Date,High,Low,Open,Close,adjust,Volume
2012-01-03,29.8,27.4,29.8,27.4,4.91,20070
2012-01-04,27.2,26.1,27.2,27.0,4.84,39598
2012-01-05,25.9,25.9,25.9,25.9,4.64,230
2012-01-06,25.9,25.9,25.9,25.9,4.64,0
2012-01-09,27.1,26.9,26.9,27.1,4.86,1370
2012-01-10,28.2,28.0,28.0,28.2,5.06,180
2012-01-11,29.0,29.0,29.0,29.0,5.2,1060
2012-01-12,30.0,30.0,30.0,30.0,5.38,80
2012-01-13,30.0,30.0,30.0,30.0,5.38,0
2012-01-16,30.0,28.8,28.8,30.0,5.38,2510
2012-01-17,30.0,28.5,30.0,28.5,5.11,8250
2012-01-18,28.5,27.1,28.4,27.1,4.86,125870
2012-01-19,28.4,28.4,28.4,28.4,5.09,300
2012-01-20,28.4,28.4,28.4,28.4,5.09,0
2012-01-30,29.6,29.6,29.6,29.6,5.31,10
2012-01-31,28.5,28.2,28.5,28.2,5.06,130
2012-02-01,28.6,28.6,28.6,28.6,5.13,980
2012-02-02,29.6,29.0,29.0,29.6,5.31,110
2012-02-03,31.0,29.6,31.0,30.8,5.52,810
2012-02-06,30.8,30.8,30.8,30.8,5.52,6000
2012-02-07,32.0,30.7,30.7,32.0,5.74,10460
2012-02-08,30.5,30.5,30.5,30.5,5.47,2000
2012-02-09,30.8,30.8,30.8,30.8,5.52,10
2012-02-10,30.8,30.8,30.8,30.8,5.52,10
2012-02-13,31.5,31.5,31.5,31.5,5.65,54020
2012-02-14,31.5,30.3,31.5,31.5,5.65,1200
2012-02-15,31.5,31.5,31.5,31.5,5.65,14530
2012-02-16,31.5,30.2,30.2,31.5,5.65,9440
2012-02-17,32.0,31.5,31.6,31.5,5.65,7270
2012-02-20,32.0,32.0,32.0,32.0,5.74,940
2012-02-21,32.0,31.9,31.9,32.0,5.74,30100
2012-02-22,33.0,32.0,32.0,33.0,5.92,10670
2012-02-23,33.5,33.0,33.5,33.0,5.92,1620
2012-02-24,33.0,33.0,33.0,33.0,5.92,0
2012-02-27,33.0,33.0,33.0,33.0,5.92,1830
2012-02-28,33.0,33.0,33.0,33.0,5.92,2630
