Date,High,Low,Open,Close,adjust,Volume
2012-01-03,4.0,3.8,4.0,4.0,2.22,1810
2012-01-04,4.0,3.8,3.8,4.0,2.22,15170
2012-01-05,4.0,4.0,4.0,4.0,2.22,0
2012-01-06,4.0,3.8,4.0,4.0,2.22,4700
2012-01-09,4.0,3.8,3.8,4.0,2.22,11600
2012-01-10,4.0,3.8,3.8,3.9,2.16,8820
2012-01-11,4.0,3.8,4.0,4.0,2.22,4780
2012-01-12,4.0,3.8,3.8,3.8,2.11,11700
2012-01-13,3.9,3.7,3.9,3.9,2.16,4090
2012-01-16,4.0,3.8,3.8,4.0,2.22,21560
2012-01-17,4.0,3.9,3.9,3.9,2.16,13670
2012-01-18,4.0,3.9,3.9,4.0,2.22,800
2012-01-19,4.0,3.9,4.0,4.0,2.22,15150
2012-01-20,4.0,3.9,3.9,3.9,2.16,8070
2012-01-30,3.9,3.9,3.9,3.9,2.16,1160
2012-01-31,3.9,3.8,3.9,3.8,2.11,47880
2012-02-01,3.7,3.7,3.7,3.7,2.05,35400
2012-02-02,3.8,3.6,3.7,3.8,2.11,49420
2012-02-03,3.8,3.7,3.7,3.7,2.05,30530
2012-02-06,3.8,3.6,3.7,3.8,2.11,26250
2012-02-07,3.8,3.7,3.8,3.7,2.05,6110
2012-02-08,3.8,3.6,3.7,3.6,2.0,59600
2012-02-09,3.6,3.5,3.5,3.6,2.0,73820
2012-02-10,3.6,3.5,3.5,3.6,2.0,10510
2012-02-13,3.6,3.5,3.6,3.5,1.94,2370
2012-02-14,3.6,3.4,3.5,3.6,2.0,19900
2012-02-15,3.5,3.5,3.5,3.5,1.94,6580
2012-02-16,3.5,3.4,3.4,3.5,1.94,10990
2012-02-17,3.6,3.5,3.6,3.5,1.94,730
2012-02-20,3.6,3.5,3.5,3.6,2.0,50250
2012-02-21,3.7,3.5,3.6,3.5,1.94,104550
2012-02-22,3.6,3.4,3.4,3.6,2.0,22470
2012-02-23,3.7,3.5,3.6,3.7,2.05,79840
2012-02-24,3.8,3.8,3.8,3.8,2.11,71560
2012-02-27,3.9,3.8,3.9,3.9,2.16,96000
2012-02-28,4.0,3.9,4.0,4.0,2.22,177410
2012-02-29,4.1,3.9,4.0,4.0,2.22,41580
2012-03-01,4.1,3.9,4.0,4.1,2.27,14960
2012-03-02,4.1,3.9,3.9,4.1,2.27,97520
2012-03-05,4.3,4.2,4.2,4.3,2.39,98030
2012-03-06,4.5,4.1,4.5,4.3,2.39,88150
2012-03-07,4.2,4.1,4.1,4.2,2.33,55170
2012-03-08,4.1,4.0,4.1,4.0,2.22,16220
2012-03-09,4.0,3.8,3.9,3.9,2.16,41340
2012-03-12,4.0,3.8,4.0,3.9,2.16,55150
2012-03-13,4.0,3.8,3.8,3.9,2.16,18140
2012-03-14,4.0,3.8,3.8,4.0,2.22,33790
2012-03-15,4.0,3.8,4.0,4.0,2.22,1100
2012-03-16,4.0,3.8,4.0,3.9,2.16,52680
2012-03-19,4.0,3.8,4.0,3.9,2.16,51310
2012-03-20,4.0,3.9,3.9,3.9,2.16,43500
2012-03-21,4.0,3.9,3.9,4.0,2.22,101920
2012-03-22,4.1,3.9,4.1,4.1,2.27,121770
2012-03-23,4.2,4.0,4.1,4.2,2.33,106380
2012-03-26,4.4,4.2,4.3,4.4,2.44,302500
2012-03-27,4.6,4.4,4.5,4.4,2.44,163890
2012-03-28,4.5,4.2,4.3,4.5,2.5,84230
2012-03-29,4.5,4.3,4.4,4.3,2.39,106510
2012-03-30,4.3,4.1,4.2,4.2,2.33,91540
2012-04-03,4.3,4.1,4.2,4.1,2.27,31080
2012-04-04,4.2,4.0,4.1,4.1,2.27,54890
2012-04-05,4.2,4.1,4.1,4.2,2.33,23060
2012-04-06,4.1,4.0,4.0,4.0,2.22,133730
2012-04-09,4.1,3.9,3.9,4.1,2.27,66390
2012-04-10,4.1,4.0,4.0,4.0,2.22,33990
2012-04-11,4.2,4.0,4.1,4.1,2.27,93270
