Date,High,Low,Open,Close,adjust,Volume
2012-01-03,4.3,4.2,4.2,4.2,1.48,27660
2012-01-04,4.2,4.1,4.1,4.2,1.48,32070
2012-01-05,4.3,4.0,4.3,4.0,1.41,17830
2012-01-06,4.1,3.9,4.0,4.1,1.44,55290
2012-01-09,4.1,4.0,4.1,4.1,1.44,49100
2012-01-10,4.2,4.1,4.2,4.1,1.44,44860
2012-01-11,4.2,4.1,4.1,4.1,1.44,97150
2012-01-12,4.1,4.0,4.1,4.0,1.41,36380
2012-01-13,4.2,4.0,4.0,4.2,1.48,15910
2012-01-16,4.3,4.2,4.2,4.3,1.51,53080
2012-01-17,4.3,4.1,4.2,4.2,1.48,64310
2012-01-18,4.3,4.2,4.2,4.3,1.51,74560
2012-01-19,4.5,4.4,4.4,4.5,1.59,145590
2012-01-20,4.6,4.4,4.5,4.4,1.55,275830
2012-01-30,4.6,4.4,4.4,4.6,1.62,139400
2012-01-31,4.8,4.6,4.7,4.8,1.69,328240
2012-02-01,4.8,4.6,4.6,4.7,1.66,172380
2012-02-02,4.9,4.7,4.8,4.9,1.73,124410
2012-02-03,5.1,4.8,5.0,4.9,1.73,265400
2012-02-06,5.0,4.7,4.9,4.9,1.73,157290
2012-02-07,5.0,4.9,5.0,4.9,1.73,67050
2012-02-08,5.0,4.9,5.0,5.0,1.76,128760
2012-02-09,5.1,4.9,5.1,5.0,1.76,134470
2012-02-10,5.0,4.8,5.0,4.8,1.69,187390
2012-02-13,4.7,4.6,4.6,4.6,1.62,104080
2012-02-14,4.7,4.5,4.5,4.6,1.62,139740
2012-02-15,4.6,4.5,4.6,4.6,1.62,47570
2012-02-16,4.7,4.4,4.6,4.5,1.59,104000
2012-02-17,4.7,4.4,4.5,4.7,1.66,96090
2012-02-20,4.9,4.7,4.7,4.9,1.73,127240
2012-02-21,4.9,4.8,4.9,4.8,1.69,176750
2012-02-22,4.9,4.6,4.7,4.9,1.73,154100
2012-02-23,5.1,4.8,4.9,5.1,1.8,612080
2012-02-24,5.3,5.0,5.1,5.1,1.8,331130
2012-02-27,5.3,5.0,5.1,5.3,1.87,341950
2012-02-28,5.5,5.3,5.5,5.3,1.87,516980
2012-02-29,5.5,5.3,5.3,5.5,1.94,366570
2012-03-01,5.7,5.4,5.6,5.5,1.94,196590
2012-03-02,5.7,5.5,5.6,5.7,2.01,292640
2012-03-05,5.9,5.8,5.9,5.9,2.08,187340
2012-03-06,6.1,5.7,6.1,5.7,2.01,809420
2012-03-07,5.8,5.5,5.8,5.8,2.04,549550
2012-03-08,5.7,5.6,5.7,5.6,1.97,491270
2012-03-09,5.7,5.4,5.6,5.7,2.01,342370
2012-03-12,5.6,5.5,5.6,5.5,1.94,219130
2012-03-13,5.6,5.4,5.6,5.5,1.94,188930
2012-03-14,5.6,5.3,5.6,5.3,1.87,293180
2012-03-15,5.5,5.1,5.2,5.5,1.94,424410
2012-03-16,5.7,5.5,5.6,5.5,1.94,287360
2012-03-19,5.5,5.3,5.4,5.4,1.9,95040
2012-03-20,5.5,5.3,5.4,5.5,1.94,207100
2012-03-21,5.7,5.5,5.5,5.6,1.97,375740
2012-03-22,5.6,5.4,5.4,5.5,1.94,228750
2012-03-23,5.7,5.5,5.6,5.7,2.01,564070
2012-03-26,5.9,5.7,5.9,5.9,2.08,624520
2012-03-27,6.1,5.8,5.9,5.8,2.04,878470
2012-03-28,6.0,5.7,5.8,6.0,2.11,828740
2012-03-29,6.1,5.7,6.1,5.7,2.01,528990
2012-03-30,5.7,5.5,5.6,5.5,1.94,211250
2012-04-03,5.7,5.4,5.5,5.7,2.01,137950
2012-04-04,5.7,5.5,5.6,5.5,1.94,391920
2012-04-05,5.7,5.4,5.5,5.7,2.01,209550
2012-04-06,5.8,5.5,5.8,5.6,1.97,310070
2012-04-09,5.8,5.6,5.7,5.7,2.01,238690
2012-04-10,5.9,5.7,5.8,5.8,2.04,1250300
2012-04-11,6.0,5.8,6.0,6.0,2.11,353630
2012-04-12,6.1,5.8,6.0,5.8,2.04,736010
2012-04-13,5.9,5.7,5.8,5.7,2.01,221450
2012-04-16,5.9,5.7,5.7,5.9,2.08,541560
2012-04-17,6.1,6.0,6.0,6.1,2.15,928670
2012-04-18,6.4,6.4,6.4,6.4,2.25,183850
2012-04-19,6.7,6.7,6.7,6.7,2.36,169010
2012-04-20,7.0,6.9,7.0,7.0,2.47,2978190
2012-04-23,7.3,6.8,7.1,6.8,2.4,1212880
2012-04-24,7.1,6.8,6.9,7.1,2.5,776110
2012-04-25,7.4,7.3,7.4,7.4,2.61,825860
2012-04-26,7.7,7.7,7.7,7.7,2.71,773450
2012-04-27,8.0,8.0,8.0,8.0,2.82,159440
2012-05-02,8.4,8.2,8.4,8.3,2.92,1235200
2012-05-03,8.7,8.1,8.1,8.6,3.03,1900760
2012-05-04,9.0,8.6,8.8,9.0,3.17,1213560
2012-05-07,9.4,9.2,9.3,9.4,3.31,609070
2012-05-08,9.7,9.0,9.7,9.0,3.17,1343440
2012-05-09,9.1,8.6,8.8,9.0,3.17,1201020
2012-05-10,9.4,9.0,9.4,9.4,3.31,1794880
2012-05-11,9.3,8.8,9.2,9.0,3.35,648720
2012-05-14,8.8,8.6,8.8,8.6,3.2,646870
2012-05-15,8.4,8.2,8.3,8.2,3.05,681830
2012-05-16,8.2,7.8,8.0,7.8,2.9,942460
2012-05-17,8.0,7.5,7.9,7.5,2.79,523690
2012-05-18,7.4,7.2,7.3,7.2,2.68,627170
2012-05-21,7.5,7.1,7.1,7.5,2.79,304940
2012-05-22,7.8,7.6,7.8,7.8,2.9,429570
2012-05-23,7.8,7.5,7.7,7.5,2.79,496690
2012-05-24,7.5,7.2,7.5,7.2,2.68,594800
2012-05-25,7.5,7.4,7.4,7.5,2.79,215000
2012-05-28,7.8,7.6,7.8,7.8,2.9,709370
2012-05-29,7.8,7.5,7.6,7.7,2.86,235170
2012-05-30,7.8,7.5,7.6,7.5,2.79,135190
2012-05-31,7.5,7.2,7.4,7.3,2.72,345120
2012-06-01,7.4,7.2,7.4,7.2,2.68,236580
2012-06-04,7.2,6.9,7.2,6.9,2.57,508430
2012-06-05,7.2,6.7,7.0,7.2,2.68,240530
2012-06-06,7.5,7.0,7.0,7.4,2.75,196470
2012-06-07,7.7,7.2,7.7,7.7,2.86,497250
2012-06-08,8.0,7.5,7.9,7.5,2.79,425050
2012-06-11,7.8,7.5,7.5,7.6,2.83,178610
2012-06-12,7.5,7.3,7.5,7.3,2.72,244100
2012-06-13,7.4,7.2,7.4,7.3,2.72,187440
2012-06-14,7.4,7.2,7.4,7.3,2.72,175090
2012-06-15,7.6,7.2,7.2,7.5,2.79,151250
2012-06-18,7.7,7.4,7.7,7.4,2.75,157470
2012-06-19,7.4,7.2,7.4,7.3,2.72,230360
2012-06-20,7.4,7.2,7.4,7.4,2.75,56850
2012-06-21,7.4,7.2,7.3,7.3,2.72,70100
2012-06-22,7.3,7.1,7.2,7.1,2.64,163020
2012-06-25,7.2,6.8,7.0,6.8,2.53,304830
2012-06-26,6.7,6.5,6.7,6.5,2.42,435910
2012-06-27,6.7,6.5,6.6,6.5,2.42,227850
2012-06-28,6.6,6.4,6.4,6.5,2.42,114230
2012-06-29,6.7,6.4,6.5,6.5,2.42,54660
2012-07-02,6.6,6.3,6.6,6.4,2.38,115740
