Date,High,Low,Open,Close,adjust,Volume
2016-04-12,12.9,11.2,11.5,11.2,7.51,30900
2016-04-13,11.7,11.2,11.2,11.5,7.71,96000
2016-04-14,11.5,11.3,11.5,11.4,7.64,20100
2016-04-15,11.5,11.0,11.3,11.4,7.64,51630
2016-04-19,11.4,11.2,11.4,11.2,7.51,56100
2016-04-20,11.8,11.1,11.2,11.5,7.71,85130
2016-04-21,11.3,11.2,11.3,11.2,7.51,4609
2016-04-22,11.2,11.1,11.2,11.1,7.44,16500
2016-04-25,11.2,11.1,11.2,11.2,7.51,44200
2016-04-26,11.2,11.1,11.2,11.2,7.51,17800
2016-04-27,11.2,11.1,11.2,11.2,7.51,35900
2016-04-28,11.2,11.2,11.2,11.2,7.51,10300
2016-04-29,11.3,11.1,11.1,11.3,7.58,32700
2016-05-04,11.3,11.1,11.1,11.3,7.58,43500
2016-05-05,11.3,11.2,11.3,11.2,7.51,35700
2016-05-06,11.4,11.2,11.3,11.2,7.51,30350
2016-05-09,11.3,11.2,11.3,11.3,7.58,35700
2016-05-10,11.2,11.2,11.2,11.2,7.51,142
2016-05-11,11.3,11.2,11.2,11.3,7.58,41920
2016-05-12,11.2,11.2,11.2,11.2,7.51,38159
2016-05-13,11.2,11.2,11.2,11.2,7.51,26600
2016-05-16,11.2,11.0,11.0,11.0,7.37,305757
2016-05-17,11.0,11.0,11.0,11.0,7.37,105733
2016-05-18,11.0,11.0,11.0,11.0,7.37,256600
2016-05-19,11.0,11.0,11.0,11.0,7.37,72100
2016-05-20,11.2,11.0,11.0,11.2,7.51,14200
2016-05-23,11.1,11.1,11.1,11.1,7.44,388
2016-05-24,11.3,11.1,11.1,11.3,7.58,25000
2016-05-25,11.3,11.2,11.2,11.2,7.51,55100
2016-05-26,11.5,11.0,11.2,11.5,7.71,43520
2016-05-27,11.3,11.3,11.3,11.5,7.71,31
2016-05-30,11.3,11.1,11.1,11.3,7.58,31000
2016-05-31,11.2,11.2,11.2,11.2,7.51,17022
2016-06-01,11.2,11.1,11.2,11.2,7.51,39998
2016-06-02,11.2,11.2,11.2,11.2,7.51,8400
2016-06-03,11.5,11.2,11.2,11.3,7.58,36226
2016-06-06,11.5,11.2,11.2,11.5,7.71,80500
2016-06-07,11.3,11.3,11.3,11.3,7.58,24064
2016-06-08,11.6,11.3,11.3,11.5,7.71,58400
2016-06-09,11.7,11.5,11.5,11.7,7.84,65135
2016-06-10,11.7,11.7,11.7,11.7,7.84,65
2016-06-13,11.6,11.6,11.6,11.6,7.78,52375
2016-06-14,11.6,11.4,11.4,11.4,7.64,8100
2016-06-15,11.5,11.4,11.4,11.5,7.71,7000
