Date,High,Low,Open,Close,adjust,Volume
2018-01-18,13.8,13.8,13.8,13.8,3.98,5000
2018-01-19,14.75,14.75,14.75,14.75,4.25,2200
2018-01-22,15.75,15.75,15.75,15.75,4.54,103400
2018-01-25,16.85,16.85,16.85,16.85,4.86,301000
2018-01-26,18.0,18.0,18.0,18.0,5.19,109900
2018-01-29,19.25,19.25,19.25,19.25,5.55,7000
2018-01-30,20.55,19.25,20.55,20.55,5.92,291600
2018-01-31,21.95,19.5,19.5,21.9,6.31,240700
2018-02-01,22.5,20.4,22.5,20.4,5.88,214680
2018-02-02,20.4,19.0,20.0,20.4,5.88,154050
2018-02-05,20.0,19.0,19.1,20.0,5.76,165240
2018-02-06,20.0,18.6,18.6,18.6,5.36,182810
2018-02-07,19.9,18.6,18.95,19.9,5.73,166790
2018-02-08,21.0,19.9,21.0,20.0,5.76,108730
2018-02-09,20.9,19.8,20.0,20.3,5.85,101080
2018-02-12,21.0,20.0,20.3,20.4,5.88,128290
2018-02-13,21.0,20.0,21.0,20.5,5.91,130330
2018-02-21,20.5,19.5,20.5,19.5,5.62,76550
2018-02-22,20.0,19.0,19.5,19.0,5.47,115010
2018-02-23,19.5,18.6,18.6,18.6,5.36,151990
2018-02-26,19.9,19.0,19.0,19.9,5.73,114390
2018-02-27,21.0,19.5,19.9,21.0,6.05,106990
2018-02-28,20.9,20.0,20.9,20.3,5.85,108870
2018-03-01,20.8,19.5,20.8,20.0,5.76,105870
2018-03-02,20.0,19.5,19.7,19.5,5.62,113140
2018-03-05,19.7,19.3,19.6,19.6,5.65,102060
2018-03-06,20.0,19.6,19.6,20.0,5.76,95930
2018-03-07,20.3,19.5,19.6,20.0,5.76,88030
2018-03-08,20.0,19.0,19.5,19.0,5.47,94850
2018-03-09,19.8,19.1,19.3,19.7,5.68,71230
2018-03-12,19.9,19.5,19.7,19.7,5.68,57800
2018-03-13,19.9,19.5,19.7,19.7,5.68,44830
2018-03-14,19.9,19.5,19.7,19.6,5.65,33400
2018-03-15,19.7,19.5,19.6,19.6,5.65,40180
2018-03-16,19.5,19.0,19.5,19.5,5.62,34770
2018-03-19,19.5,19.0,19.3,19.3,5.56,40660
2018-03-20,19.0,18.8,19.0,19.0,5.47,44830
2018-03-21,19.0,18.7,19.0,19.0,5.47,39310
2018-03-22,19.0,18.6,19.0,18.8,5.42,27640
2018-03-23,18.8,18.4,18.6,18.5,5.33,25380
2018-03-26,18.5,18.0,18.5,18.0,5.19,28350
2018-03-27,18.0,17.7,17.7,18.0,5.19,26550
2018-03-28,18.0,17.7,18.0,18.0,5.19,17500
2018-03-29,18.0,17.7,18.0,18.0,5.19,17130
2018-03-30,18.0,17.9,18.0,18.0,5.19,16910
2018-04-02,18.0,17.9,18.0,18.0,5.19,12590
2018-04-03,18.0,17.5,18.0,17.9,5.16,17040
2018-04-04,17.9,17.8,17.9,17.85,5.14,10090
2018-04-05,17.9,17.7,17.85,17.85,5.14,11490
2018-04-06,17.85,17.5,17.85,17.5,5.04,8200
2018-04-09,18.0,17.5,17.5,17.9,5.16,10550
2018-04-10,17.9,17.0,17.9,17.8,5.13,5250
2018-04-11,17.8,16.6,17.8,16.6,4.78,11840
2018-04-12,17.0,16.6,17.0,16.8,4.84,6440
2018-04-13,17.95,16.0,16.8,17.95,5.17,108550
2018-04-16,18.5,17.95,17.95,18.5,5.33,41750
2018-04-17,18.8,18.5,18.6,18.8,5.42,20380
2018-04-18,18.9,18.4,18.8,18.9,5.45,33730
2018-04-19,18.9,18.4,18.9,18.7,5.39,33300
2018-04-20,18.8,18.4,18.7,18.8,5.42,29340
2018-04-23,18.8,18.0,18.4,18.4,5.3,10000
2018-04-24,18.5,18.1,18.4,18.4,5.3,9230
2018-04-26,18.4,18.0,18.4,18.0,5.19,4500
2018-04-27,18.5,18.0,18.0,18.35,5.29,4720
2018-05-02,18.35,18.0,18.35,18.35,5.29,5160
2018-05-03,18.3,18.0,18.0,18.0,5.19,8380
2018-05-04,18.3,18.0,18.0,18.0,5.19,7460
2018-05-07,18.2,17.8,18.0,18.0,5.19,6500
2018-05-08,18.1,17.6,18.0,17.9,5.16,10700
2018-05-09,17.9,17.5,17.9,17.9,5.16,5640
2018-05-10,17.9,17.4,17.5,17.7,5.1,43860
2018-05-11,17.7,17.3,17.7,17.7,5.1,67550
2018-05-14,17.7,17.4,17.65,17.7,5.1,45050
2018-05-15,17.7,17.2,17.7,17.35,5.0,41430
2018-05-16,17.7,17.2,17.2,17.7,5.1,19760
2018-05-17,17.9,17.5,17.7,17.9,5.16,21500
2018-05-18,17.9,17.6,17.9,17.8,5.13,20820
2018-05-21,17.8,17.5,17.8,17.8,5.13,23420
2018-05-22,17.8,17.4,17.8,17.7,5.1,18510
2018-05-23,17.7,17.5,17.7,17.7,5.1,19760
2018-05-24,17.7,17.5,17.7,17.55,5.06,18030
2018-05-25,17.6,17.3,17.55,17.45,5.03,27800
2018-05-28,17.45,17.3,17.45,17.35,5.0,6210
2018-05-29,17.4,17.0,17.0,17.4,5.01,8110
2018-05-30,17.5,17.2,17.4,17.3,4.98,9740
2018-05-31,17.3,17.0,17.3,17.3,4.98,9500
2018-06-01,17.3,16.8,17.0,17.2,4.96,7600
2018-06-04,17.2,17.0,17.2,17.2,4.96,1980
2018-06-05,17.2,16.9,17.2,17.0,4.9,1590
2018-06-06,17.3,16.1,16.1,16.5,4.75,5220
2018-06-07,16.5,15.5,16.5,15.5,4.47,22540
2018-06-08,16.55,15.0,15.0,16.4,4.73,31290
2018-06-11,16.9,16.4,16.4,16.9,4.87,27050
2018-06-12,16.9,16.4,16.9,16.5,4.75,34850
2018-06-13,16.7,16.0,16.5,16.0,4.61,22560
2018-06-14,16.4,16.0,16.0,16.4,4.73,17370
2018-06-15,16.7,16.0,16.3,16.7,4.81,22280
2018-06-18,16.7,16.4,16.7,16.5,4.75,10870
2018-06-19,16.5,16.2,16.5,16.3,4.7,4260
2018-06-20,16.4,16.2,16.4,16.4,4.73,8620
2018-06-21,16.4,16.3,16.4,16.4,4.73,3450
2018-06-22,16.5,16.0,16.0,16.5,4.75,83500
2018-06-25,16.6,16.3,16.5,16.6,4.78,75030
2018-06-26,16.6,16.0,16.5,16.5,4.75,74410
2018-06-27,16.5,16.0,16.0,16.5,4.75,39000
2018-06-28,16.5,16.2,16.5,16.5,4.75,7790
2018-06-29,16.8,16.1,16.5,16.8,4.84,42430
2018-07-02,15.6,14.8,15.0,15.6,5.17,137950
2018-07-03,16.65,15.3,15.6,16.3,5.4,137010
2018-07-04,16.9,16.0,16.0,16.5,5.47,122910
2018-07-05,17.0,16.3,16.5,17.0,5.63,116400
2018-07-06,17.3,16.8,16.9,16.9,5.6,57640
2018-07-09,16.9,16.5,16.9,16.7,5.53,22050
2018-07-10,16.9,16.6,16.7,16.6,5.5,28000
2018-07-11,16.6,16.3,16.6,16.5,5.47,79680
2018-07-12,17.0,16.3,16.9,16.9,5.6,119550
2018-07-13,17.3,16.9,16.9,17.1,5.67,82410
2018-07-16,17.3,16.9,17.3,17.1,5.67,104960
2018-07-17,17.7,17.1,17.1,17.3,5.73,92860
2018-07-18,17.6,16.2,17.3,17.0,5.63,76250
2018-07-19,17.0,16.6,17.0,17.0,5.63,47590
2018-07-20,17.7,17.0,17.5,17.5,5.8,88890
2018-07-23,17.8,17.45,17.6,17.6,5.83,62510
2018-07-24,17.8,17.5,17.6,17.5,5.8,57250
2018-07-25,17.6,17.1,17.5,17.3,5.73,47560
2018-07-26,17.4,17.0,17.3,17.2,5.7,45160
2018-07-27,17.4,16.9,17.0,17.1,5.67,43550
2018-07-30,17.4,16.8,17.1,17.3,5.73,58540
2018-07-31,17.5,17.3,17.3,17.4,5.77,31260
2018-08-01,17.9,17.4,17.4,17.6,5.83,54550
2018-08-02,17.7,17.5,17.6,17.6,5.83,56340
2018-08-03,17.9,17.35,17.6,17.6,5.83,52980
2018-08-06,17.6,17.3,17.6,17.6,5.83,51050
2018-08-07,17.6,17.3,17.6,17.3,5.73,45330
2018-08-08,17.5,17.0,17.3,17.3,5.73,51210
2018-08-09,17.4,17.0,17.3,17.0,5.63,99020
2018-08-10,17.5,16.1,16.5,17.0,5.63,107150
2018-08-13,17.5,16.9,17.1,17.3,5.73,128140
2018-08-14,17.3,16.9,17.3,17.3,5.73,117760
2018-08-15,17.9,17.3,17.3,17.7,5.87,112140
2018-08-16,18.1,17.5,17.7,18.0,5.96,105470
2018-08-17,18.5,18.0,18.0,18.4,6.1,105770
2018-08-20,18.9,18.4,18.4,18.7,6.2,119460
2018-08-21,18.7,18.0,18.7,18.5,6.13,108160
2018-08-22,18.7,18.2,18.5,18.3,6.06,97070
2018-08-23,18.5,18.0,18.3,18.0,5.96,110470
2018-08-24,18.4,17.7,17.7,18.3,6.06,118630
2018-08-27,18.9,18.2,18.3,18.8,6.23,108310
2018-08-28,19.0,18.5,18.7,18.9,6.26,112560
2018-08-29,19.2,18.8,18.9,19.0,6.3,96250
2018-08-30,19.3,18.2,19.0,18.7,6.2,110170
2018-08-31,19.0,18.4,18.7,18.9,6.26,101440
2018-09-04,18.9,18.4,18.9,18.7,6.2,104420
2018-09-05,18.7,18.0,18.7,18.6,6.16,117540
2018-09-06,18.6,18.0,18.6,18.5,6.13,112670
2018-09-07,18.5,18.0,18.5,18.5,6.13,99720
2018-09-10,18.5,18.0,18.5,18.0,5.96,84060
2018-09-11,18.6,17.8,17.8,18.3,6.06,208170
2018-09-12,18.7,18.0,18.1,18.6,6.16,202410
2018-09-13,19.0,18.2,18.3,18.7,6.2,201560
2018-09-14,19.0,18.4,18.9,18.9,6.26,200610
2018-09-17,18.9,18.4,18.8,18.6,6.16,240250
2018-09-18,19.0,18.5,18.6,19.0,6.3,320900
2018-09-19,20.3,18.9,19.0,20.3,6.73,314760
2018-09-20,20.7,20.2,20.3,20.5,6.79,98090
2018-09-21,20.6,20.2,20.2,20.3,6.73,233900
2018-09-24,20.6,20.0,20.3,20.2,6.69,203870
2018-09-25,20.7,19.3,20.3,20.3,6.73,203930
2018-09-26,20.6,20.3,20.5,20.4,6.76,191890
2018-09-27,20.6,20.0,20.4,20.4,6.76,203650
2018-09-28,20.8,20.3,20.5,20.7,6.86,188500
2018-10-01,21.1,20.6,20.7,21.1,6.99,172060
2018-10-02,21.8,21.1,21.1,21.8,7.22,205110
2018-10-03,22.2,21.8,21.8,22.0,7.29,195700
2018-10-04,22.5,21.95,22.0,22.2,7.36,213470
2018-10-05,22.6,20.65,22.5,21.5,7.12,203450
2018-10-08,21.8,21.0,21.6,21.3,7.06,203950
2018-10-09,21.5,20.8,21.5,20.8,6.89,201130
2018-10-10,21.0,20.6,20.6,20.8,6.89,178820
2018-10-11,21.0,20.1,21.0,21.0,6.96,237590
2018-10-12,22.0,21.0,21.0,22.0,7.29,197000
2018-10-15,22.6,22.0,22.0,22.4,7.42,199820
2018-10-16,23.5,22.5,22.5,23.0,7.62,174450
2018-10-17,24.1,22.8,24.0,24.0,7.95,198810
2018-10-18,24.1,23.1,23.8,23.1,7.65,162540
2018-10-19,23.1,21.6,23.1,21.6,7.16,161810
2018-10-22,22.3,21.5,21.6,22.0,7.29,192170
2018-10-23,22.1,21.0,22.1,21.5,7.12,180310
2018-10-24,21.2,20.5,20.5,21.2,7.02,154290
2018-10-25,21.5,21.0,21.0,21.3,7.06,175690
2018-10-26,21.7,21.1,21.3,21.4,7.09,161310
2018-10-29,21.8,21.1,21.4,21.7,7.19,181000
2018-10-30,21.8,21.3,21.7,21.8,7.22,161280
2018-10-31,22.0,21.5,21.8,21.5,7.12,162270
2018-11-01,22.6,21.7,21.7,22.5,7.46,144440
2018-11-02,23.6,21.3,21.3,23.6,7.82,276240
2018-11-05,24.5,23.4,23.6,24.0,7.95,204390
2018-11-06,24.0,23.5,23.7,23.7,7.85,174700
2018-11-07,24.0,23.5,23.7,23.5,7.79,173550
2018-11-08,24.0,23.5,23.5,23.7,7.85,158150
2018-11-09,23.9,23.0,23.7,23.5,7.79,163030
2018-11-12,23.6,23.0,23.5,23.6,7.82,239440
