Date,High,Low,Open,Close,adjust,Volume
2012-01-03,8.6,8.5,8.5,8.6,5.89,120
2012-01-04,8.5,8.5,8.5,8.5,5.82,100
2012-01-05,8.8,8.1,8.8,8.8,6.02,720
2012-01-06,8.9,8.4,8.9,8.7,5.95,120
2012-01-09,8.5,8.5,8.5,8.5,5.82,56010
2012-01-10,8.5,8.5,8.5,8.5,5.82,100
2012-01-11,8.5,8.5,8.5,8.5,5.82,30509
2012-01-12,8.1,8.1,8.1,8.1,5.54,7220
2012-01-13,8.3,7.8,7.8,8.3,5.68,2010
2012-01-16,8.2,8.2,8.2,8.2,5.61,36150
2012-01-17,8.5,8.0,8.5,8.0,5.47,50299
2012-01-18,8.4,8.0,8.3,8.0,5.47,90
2012-01-19,8.0,8.0,8.0,8.0,5.47,1290
2012-01-20,8.4,8.0,8.4,8.0,5.47,550
2012-01-30,8.0,8.0,8.0,8.0,5.47,30
2012-01-31,8.4,7.9,8.4,8.0,5.47,790
2012-02-01,8.0,8.0,8.0,8.0,5.47,0
2012-02-02,8.4,7.9,8.0,8.0,5.47,35530
2012-02-03,8.4,7.8,8.3,7.8,5.34,16140
2012-02-06,7.8,7.8,7.8,7.8,5.34,10220
2012-02-07,7.7,7.5,7.6,7.7,5.27,23790
2012-02-08,7.8,7.4,7.5,7.8,5.34,16430
2012-02-09,7.8,7.6,7.6,7.8,5.34,650
2012-02-10,7.7,7.5,7.6,7.6,5.2,19970
2012-02-13,7.4,7.3,7.4,7.4,5.06,24440
2012-02-14,7.4,7.4,7.4,7.4,5.06,37000
2012-02-15,7.4,7.2,7.2,7.4,5.06,5250
2012-02-16,7.6,7.1,7.2,7.6,5.2,1750
2012-02-17,7.7,7.5,7.6,7.7,5.27,1700
2012-02-20,7.9,7.6,7.6,7.8,5.34,27620
2012-02-21,7.7,7.5,7.7,7.5,5.13,4080
2012-02-22,7.8,7.3,7.3,7.8,5.34,37760
2012-02-23,8.1,8.0,8.0,8.1,5.54,23620
2012-02-24,8.1,8.0,8.1,8.1,5.54,12660
2012-02-27,8.3,8.3,8.3,8.3,5.68,1090
2012-02-28,8.0,7.9,8.0,7.9,5.41,2720
2012-02-29,8.0,7.7,8.0,7.9,5.41,4560
2012-03-01,7.8,7.7,7.8,7.7,5.27,8800
2012-03-02,7.8,7.5,7.7,7.5,5.13,48490
2012-03-05,7.8,7.7,7.7,7.8,5.34,192320
2012-03-06,8.1,7.7,8.1,7.9,5.41,254600
2012-03-07,8.0,7.6,8.0,7.9,5.41,120340
2012-03-08,8.2,7.9,8.0,8.1,5.54,193590
2012-03-09,8.3,7.9,8.2,8.1,5.54,58880
2012-03-12,8.0,7.7,8.0,7.9,5.41,29640
2012-03-13,8.0,7.7,7.8,7.9,5.41,27000
2012-03-14,8.0,7.6,8.0,7.6,5.2,87170
2012-03-15,7.9,7.3,7.4,7.9,5.41,69180
2012-03-16,8.0,7.7,8.0,7.9,5.41,36650
2012-03-19,7.8,7.6,7.6,7.6,5.2,32100
2012-03-20,7.9,7.6,7.6,7.9,5.41,69780
2012-03-21,8.1,7.9,7.9,8.0,5.47,97390
2012-03-22,8.0,7.8,7.9,8.0,5.47,56050
2012-03-23,8.3,8.0,8.0,8.1,5.54,107750
2012-03-26,8.5,8.0,8.1,8.5,5.82,185730
2012-03-27,8.7,8.1,8.7,8.3,5.68,97440
2012-03-28,8.3,8.0,8.1,8.3,5.68,45150
2012-03-29,8.2,7.9,8.0,7.9,5.41,76370
2012-03-30,7.8,7.6,7.8,7.8,5.34,29670
2012-04-03,7.9,7.7,7.9,7.7,5.27,13010
2012-04-04,7.7,7.5,7.6,7.7,5.27,16160
2012-04-05,7.8,7.6,7.8,7.8,5.34,5370
2012-04-06,8.0,7.7,7.9,7.8,5.34,21910
2012-04-09,8.1,7.9,7.9,8.1,5.54,63100
2012-04-10,8.2,7.9,8.1,7.9,5.41,28060
2012-04-11,8.2,7.9,8.0,8.2,5.61,94450
2012-04-12,8.6,8.6,8.6,8.6,5.89,11650
2012-04-13,9.0,8.8,9.0,9.0,6.16,236810
2012-04-16,9.4,9.3,9.4,9.4,6.43,32650
2012-04-17,9.8,9.8,9.8,9.8,6.71,57030
2012-04-18,10.2,10.0,10.2,10.2,6.98,145610
2012-04-19,10.5,9.7,10.5,9.7,6.64,106060
2012-04-20,9.8,9.3,9.3,9.8,6.71,60010
2012-04-23,10.1,9.7,9.9,9.7,6.64,45710
2012-04-24,9.7,9.3,9.7,9.7,6.64,39610
2012-04-25,10.0,9.7,10.0,9.8,6.71,48300
2012-04-26,9.9,9.4,9.8,9.4,6.43,26040
2012-04-27,9.8,9.2,9.4,9.8,6.71,50510
2012-05-02,10.2,9.9,10.2,9.9,6.78,226680
2012-05-03,10.0,9.6,10.0,10.0,6.84,35570
2012-05-04,10.4,10.0,10.0,10.3,7.05,36070
2012-05-07,10.7,9.9,10.7,10.6,7.25,40190
2012-05-08,11.1,10.3,10.3,11.1,7.6,125360
2012-05-09,11.6,10.9,11.4,11.6,7.94,112730
2012-05-10,12.0,11.5,12.0,11.5,7.87,260110
2012-05-11,11.5,11.0,11.3,11.0,7.53,52000
2012-05-14,11.0,10.5,10.6,10.5,7.19,71110
2012-05-15,10.4,10.0,10.0,10.0,6.84,82250
2012-05-16,10.5,9.7,10.0,10.4,7.12,33120
2012-05-17,9.4,9.0,9.0,9.0,6.81,8860
2012-05-18,8.9,8.6,8.6,8.6,6.51,27920
2012-05-21,9.0,8.6,8.7,9.0,6.81,23610
2012-05-22,8.8,8.6,8.6,8.6,6.51,18060
2012-05-23,8.6,8.2,8.2,8.6,6.51,30130
2012-05-24,8.2,8.2,8.2,8.2,6.21,5170
2012-05-25,8.6,8.5,8.5,8.6,6.51,24610
2012-05-28,9.0,8.6,8.6,8.6,6.51,25820
2012-05-29,8.6,8.3,8.5,8.6,6.51,18210
2012-05-30,8.8,8.7,8.7,8.8,6.66,60
2012-05-31,8.8,8.8,8.8,8.8,6.66,0
2012-06-01,8.7,8.4,8.7,8.4,6.36,15110
2012-06-04,8.4,8.0,8.4,8.0,6.06,10820
2012-06-05,8.4,8.0,8.4,8.4,6.36,9720
2012-06-06,8.7,8.4,8.7,8.5,6.44,14850
2012-06-07,8.8,8.5,8.5,8.6,6.51,24250
2012-06-08,8.6,8.3,8.3,8.4,6.36,7520
2012-06-11,8.8,8.4,8.8,8.5,6.44,3260
2012-06-12,8.6,8.1,8.6,8.5,6.44,36580
2012-06-13,8.1,8.1,8.1,8.1,6.13,56080
2012-06-14,8.3,7.7,8.3,7.7,5.83,65640
2012-06-15,8.0,7.8,7.8,8.0,6.06,6640
2012-06-18,8.2,8.1,8.2,8.1,6.13,3040
2012-06-19,8.1,7.7,8.1,7.7,5.83,6250
2012-06-20,7.9,7.6,7.6,7.8,5.91,25790
2012-06-21,8.0,7.8,7.8,7.9,5.98,14020
2012-06-22,8.1,7.8,8.1,8.0,6.06,10510
2012-06-25,8.2,7.6,8.2,7.6,5.75,80780
2012-06-26,7.8,7.5,7.5,7.8,5.91,47110
2012-06-27,7.9,7.7,7.9,7.7,5.83,21780
2012-06-28,7.8,7.4,7.8,7.6,5.75,10530
2012-06-29,7.9,7.4,7.9,7.9,5.98,85240
2012-07-02,7.8,7.6,7.8,7.6,5.75,13610
2012-07-03,7.9,7.4,7.9,7.4,5.6,2590
2012-07-04,7.4,7.3,7.4,7.3,5.53,16210
2012-07-05,7.3,7.0,7.0,7.3,5.53,43600
2012-07-06,7.3,7.0,7.3,7.0,5.3,86340
2012-07-09,6.9,6.7,6.8,6.7,5.07,141960
2012-07-10,7.0,6.5,6.5,7.0,5.3,19920
2012-07-11,7.3,7.0,7.3,7.0,5.3,2780
2012-07-12,7.0,6.8,7.0,6.8,5.15,17030
2012-07-13,7.1,6.9,6.9,7.0,5.3,32470
2012-07-16,7.3,7.1,7.3,7.2,5.45,11400
2012-07-17,7.3,7.0,7.0,7.2,5.45,12640
2012-07-18,7.4,7.3,7.4,7.3,5.53,487454
2012-07-19,7.3,7.1,7.3,7.3,5.53,26910
2012-07-20,7.6,7.2,7.6,7.2,5.45,41840
2012-07-23,7.1,6.9,7.0,7.1,5.38,8370
2012-07-24,7.1,6.8,6.9,6.8,5.15,6300
2012-07-25,7.0,6.6,6.8,6.6,5.0,8020
2012-07-26,6.8,6.7,6.7,6.8,5.15,2010
2012-07-27,7.0,7.0,7.0,7.0,5.3,10
2012-07-30,7.2,6.9,6.9,7.2,5.45,20900
2012-07-31,7.4,7.2,7.2,7.4,5.6,33660
2012-08-01,7.2,7.1,7.2,7.1,5.38,120
2012-08-02,7.2,6.8,7.1,6.8,5.15,340
2012-08-03,7.0,6.7,7.0,6.7,5.07,4010
2012-08-06,7.0,6.9,6.9,7.0,5.3,660
2012-08-07,7.1,7.1,7.1,7.1,5.38,10
2012-08-08,7.1,7.1,7.1,7.1,5.38,300
2012-08-09,7.2,7.0,7.1,7.0,5.3,2680
2012-08-10,7.0,6.7,6.9,6.7,5.07,3660
2012-08-13,6.6,6.4,6.6,6.4,4.85,14910
2012-08-14,6.7,6.3,6.7,6.7,5.07,14540
2012-08-15,6.9,6.9,6.9,6.9,5.22,10
2012-08-16,6.9,6.6,6.9,6.7,5.07,6770
2012-08-17,6.8,6.5,6.7,6.8,5.15,8590
2012-08-20,6.9,6.8,6.8,6.8,5.15,7920
2012-08-21,6.8,6.5,6.8,6.5,4.92,56800
2012-08-22,6.5,6.3,6.5,6.3,4.77,4000
2012-08-23,6.0,6.0,6.0,6.0,4.54,5920
2012-08-24,6.3,5.7,5.7,6.2,4.69,65600
2012-08-27,6.3,5.9,6.0,6.3,4.77,11100
2012-08-28,6.4,6.1,6.3,6.4,4.85,5720
2012-08-29,6.4,6.3,6.3,6.4,4.85,520
2012-08-30,6.5,6.2,6.2,6.5,4.92,2310
2012-08-31,6.5,6.2,6.3,6.5,4.92,26700
2012-09-04,6.5,6.3,6.5,6.3,4.77,30500
2012-09-05,6.3,6.0,6.0,6.3,4.77,1740
2012-09-06,6.1,6.0,6.1,6.0,4.54,2200
2012-09-07,6.0,5.7,5.9,5.8,4.39,3120
2012-09-10,5.6,5.6,5.6,5.6,4.24,52280
2012-09-11,5.6,5.4,5.5,5.6,4.24,44640
2012-09-12,5.8,5.6,5.8,5.6,4.24,3510
2012-09-13,5.7,5.6,5.7,5.7,4.32,7050
2012-09-14,5.9,5.8,5.8,5.9,4.47,4130
2012-09-17,6.0,5.8,6.0,5.8,4.39,19000
2012-09-18,5.7,5.6,5.6,5.7,4.32,43020
2012-09-19,5.5,5.5,5.5,5.5,4.16,52570
2012-09-20,5.5,5.3,5.3,5.3,4.01,55950
2012-09-21,5.4,5.1,5.3,5.4,4.09,59870
2012-09-24,5.2,5.2,5.2,5.2,3.94,39500
2012-09-25,5.4,5.0,5.0,5.4,4.09,34700
2012-09-26,5.5,5.2,5.4,5.5,4.16,15050
2012-09-27,5.3,5.3,5.3,5.3,4.01,38200
2012-09-28,5.5,5.1,5.1,5.5,4.16,22790
2012-10-01,5.7,5.3,5.3,5.3,4.01,16700
2012-10-02,5.1,5.1,5.1,5.1,3.86,3700
2012-10-03,5.3,5.3,5.3,5.3,4.01,10
2012-10-04,5.4,5.2,5.4,5.2,3.94,210
2012-10-05,5.2,5.2,5.2,5.2,3.94,100
2012-10-08,5.3,5.1,5.1,5.3,4.01,1100
2012-10-09,5.3,5.1,5.1,5.1,3.86,57530
2012-10-10,5.3,4.9,4.9,5.3,4.01,5010
2012-10-11,5.4,5.4,5.4,5.4,4.09,10
2012-10-12,5.2,5.2,5.2,5.2,3.94,3950
2012-10-15,5.3,5.3,5.3,5.3,4.01,10
2012-10-16,5.3,5.1,5.3,5.1,3.86,6380
2012-10-17,5.2,5.2,5.2,5.2,3.94,20
2012-10-18,5.2,5.1,5.1,5.2,3.94,2140
2012-10-19,5.0,5.0,5.0,5.0,3.79,3470
2012-10-22,5.0,5.0,5.0,5.0,3.79,1000
2012-10-23,5.0,4.8,5.0,4.9,3.71,2870
2012-10-24,5.1,4.7,5.1,4.7,3.56,1870
2012-10-25,4.8,4.6,4.6,4.8,3.63,1300
2012-10-26,4.7,4.7,4.7,4.7,3.56,100
2012-10-29,4.9,4.7,4.7,4.9,3.71,1100
2012-10-30,5.1,4.9,5.1,4.9,3.71,110
2012-10-31,4.9,4.8,4.8,4.9,3.71,2620
2012-11-01,5.1,4.9,4.9,4.9,3.71,5710
2012-11-02,5.0,4.8,4.9,4.9,3.71,24620
2012-11-05,5.0,4.9,5.0,4.9,3.71,46450
2012-11-06,5.0,4.8,4.9,5.0,3.79,20430
2012-11-07,5.1,4.8,4.9,5.1,3.86,39000
2012-11-08,5.0,4.9,5.0,4.9,3.71,50
2012-11-09,4.9,4.7,4.9,4.7,3.56,1330
2012-11-12,4.8,4.5,4.7,4.5,3.41,11610
2012-11-13,4.7,4.7,4.7,4.7,3.56,10
2012-11-14,4.9,4.9,4.9,4.9,3.71,5870
2012-11-15,5.1,4.9,5.1,4.9,3.71,3520
2012-11-16,5.1,5.0,5.1,5.0,3.79,11780
2012-11-19,5.0,5.0,5.0,5.0,3.79,1600
2012-11-20,5.1,4.8,5.1,4.8,3.63,1820
2012-11-21,4.9,4.9,4.9,4.9,3.71,810
2012-11-22,4.8,4.8,4.8,4.8,3.63,20
2012-11-23,5.0,4.8,4.8,4.8,3.63,1600
2012-11-26,5.0,4.7,5.0,5.0,3.79,2210
2012-11-27,5.1,5.1,5.1,5.1,3.86,100
2012-11-28,5.0,4.9,5.0,4.9,3.71,10840
2012-11-29,5.0,5.0,5.0,5.0,3.79,1420
2012-11-30,5.1,5.0,5.1,5.0,3.79,21310
2012-12-03,5.0,5.0,5.0,5.0,3.79,42000
2012-12-04,5.1,5.0,5.0,5.1,3.86,182460
2012-12-05,5.3,5.1,5.1,5.3,4.01,1240
2012-12-06,5.4,5.2,5.4,5.2,3.94,7940
2012-12-07,5.4,5.2,5.2,5.4,4.09,6010
2012-12-10,5.5,5.5,5.5,5.5,4.16,10
2012-12-11,5.5,5.3,5.5,5.3,4.01,17020
2012-12-12,5.1,5.1,5.1,5.1,3.86,850
2012-12-13,5.3,4.9,5.3,4.9,3.71,6120
2012-12-14,5.1,4.7,5.1,4.7,3.56,2030
2012-12-17,4.9,4.6,4.9,4.6,3.48,150
2012-12-18,4.8,4.7,4.8,4.7,3.56,20
2012-12-19,4.9,4.5,4.9,4.9,3.71,4010
2012-12-20,5.0,5.0,5.0,5.0,3.79,9350
2012-12-21,5.1,5.0,5.0,5.1,3.86,13260
2012-12-24,5.3,5.3,5.3,5.3,4.01,500
2012-12-25,5.1,5.1,5.1,5.1,3.86,20
2012-12-26,5.3,5.0,5.0,5.3,4.01,11490
2012-12-27,5.3,5.2,5.2,5.3,4.01,175180
2012-12-28,5.3,5.3,5.3,5.3,4.01,10
2013-01-02,5.4,5.1,5.4,5.1,3.86,21590
2013-01-03,5.2,4.9,4.9,5.2,3.94,138440
2013-01-04,5.3,5.0,5.0,5.3,4.01,4000
2013-01-07,5.4,5.3,5.3,5.4,4.09,1520
2013-01-08,5.3,5.2,5.3,5.3,4.01,42480
