Date,High,Low,Open,Close,adjust,Volume
2012-01-03,26.0,25.1,26.0,25.1,3.4,4100
2012-01-04,26.2,24.8,24.8,26.0,3.52,1030
2012-01-05,25.5,25.5,25.5,25.5,3.45,3510
2012-01-06,25.9,25.9,25.9,25.9,3.5,540
2012-01-09,25.9,25.6,25.8,25.9,3.5,1860
2012-01-10,25.9,25.9,25.9,25.9,3.5,10
2012-01-11,26.8,26.8,26.8,26.8,3.63,500
2012-01-12,26.0,26.0,26.0,26.0,3.52,8310
2012-01-13,26.0,26.0,26.0,26.0,3.52,0
2012-01-16,27.0,25.0,27.0,26.4,3.57,720
2012-01-17,26.4,26.4,26.4,26.4,3.57,9130
2012-01-18,26.5,26.5,26.5,26.5,3.59,20
2012-01-19,27.4,27.4,27.4,27.4,3.71,20
2012-01-20,28.0,26.4,27.0,28.0,3.79,1070
2012-01-30,28.0,26.7,26.7,27.0,3.65,1210
2012-01-31,28.0,26.1,26.1,28.0,3.79,2520
2012-02-01,28.0,27.1,28.0,27.1,3.67,430
2012-02-02,28.0,27.3,27.3,28.0,3.79,3350
2012-02-03,28.0,27.2,28.0,27.2,3.68,2870
2012-02-06,28.1,27.2,27.2,28.1,3.8,3000
2012-02-07,28.1,28.0,28.0,28.1,3.8,130
2012-02-08,29.3,28.1,29.3,28.2,3.82,600
2012-02-09,28.5,28.0,28.0,28.4,3.84,8910
2012-02-10,28.5,28.1,28.4,28.3,3.83,28190
2012-02-13,28.5,28.0,28.5,28.0,3.79,620
2012-02-14,28.5,28.4,28.4,28.5,3.86,1000
2012-02-15,28.5,27.8,28.5,27.8,3.76,1700
2012-02-16,28.4,27.8,28.4,27.8,3.76,3910
2012-02-17,28.5,28.4,28.5,28.4,3.84,7400
2012-02-20,29.2,28.0,29.2,29.0,3.92,5620
2012-02-21,29.1,28.7,29.1,28.7,3.88,4380
2012-02-22,29.7,27.8,29.7,29.3,3.96,240
2012-02-23,29.6,28.5,28.5,29.6,4.0,730
2012-02-24,30.3,29.0,30.3,29.6,4.0,3200
2012-02-27,30.5,30.0,30.0,30.5,4.13,9730
2012-02-28,30.0,29.0,30.0,29.0,3.92,3850
2012-02-29,30.4,29.5,30.4,29.6,4.0,9070
2012-03-01,30.0,29.0,29.0,29.2,3.95,750
2012-03-02,29.6,29.4,29.5,29.6,4.0,4830
2012-03-05,31.0,29.9,30.0,31.0,4.19,13210
2012-03-06,31.0,29.9,31.0,30.0,4.06,14520
2012-03-07,29.9,29.1,29.5,29.6,4.0,6970
2012-03-08,30.0,28.9,30.0,28.9,3.91,3510
2012-03-09,29.0,28.0,29.0,28.2,3.82,16170
2012-03-12,28.4,28.0,28.2,28.0,3.79,7190
2012-03-13,28.3,28.0,28.0,28.3,3.83,17830
2012-03-14,29.4,28.2,29.4,28.2,3.82,4930
2012-03-15,28.7,28.2,28.5,28.7,3.88,16400
2012-03-16,29.5,28.0,29.5,28.5,3.86,29120
2012-03-19,28.2,28.1,28.2,28.1,3.8,26000
2012-03-20,28.9,28.0,28.0,28.9,3.91,6000
2012-03-21,29.0,28.6,29.0,29.0,3.92,16810
2012-03-22,28.9,28.2,28.7,28.5,3.86,21660
2012-03-23,28.8,28.3,28.5,28.3,3.83,51550
2012-03-26,29.7,28.3,28.4,29.4,3.98,95960
2012-03-27,29.5,28.6,29.0,28.6,3.87,9060
2012-03-28,28.6,28.6,28.6,28.6,3.87,66000
2012-03-29,28.6,28.3,28.6,28.5,3.86,24240
2012-03-30,28.5,28.0,28.1,28.5,3.86,24280
2012-04-03,28.6,28.0,28.6,28.4,3.84,27050
2012-04-04,28.4,28.0,28.2,28.0,3.79,30420
2012-04-05,28.0,27.8,27.9,28.0,3.79,15620
2012-04-06,28.1,27.9,28.0,27.9,3.77,13790
2012-04-09,28.6,27.9,27.9,27.9,3.77,15060
2012-04-10,28.2,28.0,28.0,28.0,3.79,34260
2012-04-11,29.0,28.1,29.0,28.6,3.87,20530
2012-04-12,29.2,28.0,29.2,28.6,3.87,14990
2012-04-13,28.6,28.1,28.1,28.4,3.84,6090
2012-04-16,28.7,28.2,28.2,28.5,3.86,19320
2012-04-17,29.9,28.5,28.5,29.9,4.05,100510
2012-04-18,31.3,30.0,31.3,31.3,4.23,89140
2012-04-19,31.8,30.0,31.8,30.7,4.15,17310
2012-04-20,31.0,29.6,29.6,31.0,4.19,3550
2012-04-23,31.4,30.0,31.4,30.5,4.13,25990
2012-04-24,30.9,29.8,30.5,30.9,4.18,19970
2012-04-25,32.4,30.8,30.9,32.4,4.38,34530
2012-04-26,34.0,33.0,33.5,34.0,4.6,107680
2012-04-27,35.7,34.5,34.9,35.7,4.83,113660
2012-05-02,37.0,34.7,35.0,35.9,4.86,27590
2012-05-03,35.9,34.2,35.9,34.2,4.63,28380
2012-05-04,35.9,34.2,34.2,35.6,4.82,52560
2012-05-07,37.2,35.3,36.5,37.0,5.01,73310
2012-05-08,38.8,37.0,37.0,38.8,5.25,162580
2012-05-09,40.7,39.5,40.2,40.7,5.51,169940
2012-05-10,42.0,39.1,41.9,40.7,5.51,154610
2012-05-11,40.8,39.2,40.3,40.5,5.48,86860
2012-05-14,39.8,38.5,39.8,38.5,5.21,103120
2012-05-15,40.1,36.6,37.0,36.9,4.99,66950
2012-05-16,37.9,35.1,37.0,35.4,4.79,29380
2012-05-17,35.4,33.7,35.1,33.7,4.56,36740
2012-05-18,34.4,32.1,34.4,32.1,4.34,99980
2012-05-21,33.7,30.6,31.5,33.7,4.56,238860
2012-05-22,35.3,33.0,35.0,35.3,4.78,41300
2012-05-23,36.4,33.6,36.4,33.6,4.55,24580
2012-05-24,35.0,32.2,35.0,32.5,4.4,13740
2012-05-25,34.1,32.5,34.0,34.1,4.61,103190
2012-05-28,35.5,33.0,35.5,33.1,4.48,55540
2012-05-29,33.5,31.8,32.0,33.5,4.53,41450
