Date,High,Low,Open,Close,adjust,Volume
2018-06-26,300.0,300.0,300.0,300.0,300.0,6100
2018-06-27,321.0,321.0,321.0,321.0,321.0,7856860
2018-06-28,343.4,342.0,342.0,343.0,343.0,186700
2018-06-29,321.0,319.0,321.0,319.0,319.0,1800
2018-07-02,296.7,296.7,296.7,296.7,296.7,10610
2018-07-03,296.7,276.0,296.7,276.0,276.0,10050
2018-07-04,256.7,256.7,256.7,256.7,256.7,10000
2018-07-05,241.0,238.8,238.8,241.0,241.0,123420
2018-07-06,230.0,224.2,224.2,225.0,225.0,16270
2018-07-09,240.7,218.5,225.0,240.7,240.7,11290
2018-07-10,257.5,231.0,257.5,256.5,256.5,37640
2018-07-11,256.5,246.0,256.5,250.0,250.0,63200
2018-07-12,250.0,232.5,244.0,244.0,244.0,18810
2018-07-13,249.9,232.5,249.5,245.4,245.4,85730
2018-07-16,245.4,235.0,245.4,245.0,245.0,3810
2018-07-17,247.0,239.0,245.0,239.0,239.0,6870
2018-07-18,244.9,225.0,227.0,244.9,244.9,8530
2018-07-19,244.9,228.0,228.0,244.9,244.9,4450
2018-07-20,230.0,227.8,228.0,228.0,228.0,3220
2018-07-23,228.2,218.7,228.0,221.0,221.0,1060
2018-07-24,235.0,207.0,219.1,235.0,235.0,5680
2018-07-25,251.4,218.6,220.5,251.4,251.4,6190
2018-07-26,248.0,233.9,233.9,233.9,233.9,590
2018-07-27,218.2,217.6,217.6,217.6,217.6,25750
2018-07-30,202.5,202.4,202.4,202.4,202.4,29730
2018-07-31,202.4,200.0,200.1,202.4,202.4,860
2018-08-01,202.0,190.8,200.0,200.9,200.9,1150
2018-08-02,199.9,187.0,195.0,191.1,191.1,121560
2018-08-03,200.0,195.0,200.0,200.0,200.0,620
2018-08-06,200.0,191.0,200.0,191.0,191.0,2210
2018-08-07,195.0,192.0,192.0,194.0,194.0,230
2018-08-08,197.0,194.0,196.3,197.0,197.0,2220
2018-08-09,199.7,195.0,196.0,197.0,197.0,88630
2018-08-10,198.8,195.0,195.0,195.0,195.0,3080
2018-08-13,199.7,195.0,199.7,196.7,196.7,360
2018-08-14,199.0,192.0,198.4,196.1,196.1,6220
2018-08-15,198.2,193.5,198.2,197.1,197.1,1750
2018-08-16,197.1,190.1,197.1,196.0,196.0,510
2018-08-17,198.9,194.5,195.0,195.0,195.0,10480
2018-08-20,198.5,185.0,197.9,197.8,197.8,60190
2018-08-21,198.1,196.0,197.8,198.0,198.0,104930
2018-08-22,197.5,195.0,195.0,195.5,195.5,890
2018-08-23,195.5,181.9,195.5,181.9,181.9,14060
2018-08-24,194.6,180.0,188.9,194.6,194.6,68260
2018-08-27,196.0,181.0,195.0,181.0,181.0,26360
2018-08-28,193.6,185.0,185.0,193.6,193.6,52340
2018-08-29,200.0,195.5,196.0,198.0,198.0,26110
2018-08-30,199.0,188.0,197.9,197.0,197.0,7220
2018-08-31,200.0,194.9,200.0,196.0,196.0,270700
2018-09-04,209.7,209.7,209.7,209.7,209.7,142940
2018-09-05,224.3,224.3,224.3,224.3,224.3,43200
2018-09-06,240.0,224.3,240.0,235.0,235.0,67180
2018-09-07,235.0,218.6,218.6,218.6,218.6,27120
2018-09-10,218.6,203.3,218.0,217.0,217.0,27320
2018-09-11,217.0,210.0,213.9,216.4,216.4,43640
2018-09-12,221.0,215.5,216.4,218.9,218.9,22050
2018-09-13,220.1,217.0,217.0,219.3,219.3,21050
2018-09-14,221.4,219.3,220.5,221.4,221.4,51660
2018-09-17,234.0,219.4,221.9,234.0,234.0,18800
2018-09-18,235.0,225.6,234.0,235.0,235.0,3850
2018-09-19,236.0,229.0,235.0,229.0,229.0,6180
2018-09-20,232.8,222.0,229.0,229.0,229.0,32370
2018-09-21,233.0,225.0,229.0,230.0,230.0,5240
2018-09-24,222.1,219.0,222.1,221.5,221.5,3790
2018-09-25,225.0,216.0,220.0,220.0,220.0,3200
2018-09-26,225.0,214.0,225.0,223.7,223.7,6080
2018-09-27,231.0,218.0,222.0,222.0,222.0,18120
2018-09-28,222.0,221.0,222.0,222.0,222.0,8540
2018-10-01,224.9,220.0,222.0,224.9,224.9,5210
2018-10-02,225.0,222.0,224.9,224.9,224.9,7030
2018-10-03,230.0,225.0,226.0,228.3,228.3,6270
2018-10-04,232.0,227.0,232.0,227.0,227.0,3780
2018-10-05,230.1,227.0,227.0,230.1,230.1,27970
2018-10-08,239.8,226.5,232.2,239.0,239.0,198320
2018-10-09,245.0,240.0,240.2,244.0,244.0,15330
2018-10-10,244.0,239.1,244.0,239.1,239.1,20860
2018-10-11,239.1,227.2,228.0,228.0,228.0,14860
2018-10-12,238.1,228.0,228.0,238.1,238.1,11790
2018-10-15,254.7,239.2,248.0,251.1,251.1,21970
