Date,High,Low,Open,Close,adjust,Volume
2012-01-03,35.9,35.9,35.9,35.9,13.12,1010
2012-01-04,36.0,34.5,34.5,36.0,13.16,430
2012-01-05,36.7,35.0,36.7,36.7,13.41,1020
2012-01-06,35.0,35.0,35.0,35.0,12.79,10
2012-01-09,36.0,33.5,36.0,35.0,12.79,32060
2012-01-10,36.0,36.0,36.0,36.0,13.16,30
2012-01-11,36.2,34.3,36.2,35.9,13.12,50
2012-01-12,36.0,36.0,36.0,36.0,13.16,110
2012-01-13,36.5,35.9,36.5,36.0,13.16,5880
2012-01-16,36.6,36.5,36.6,36.5,13.34,15800
2012-01-17,37.0,35.1,35.1,37.0,13.52,6920
2012-01-18,37.0,37.0,37.0,37.0,13.52,300
2012-01-19,38.8,37.0,37.0,38.7,14.14,380
2012-01-20,38.6,37.0,37.0,38.6,14.11,1210
2012-01-30,37.1,37.1,37.1,37.1,14.11,0
2012-01-31,38.5,35.3,38.5,35.3,13.42,10950
2012-02-01,36.9,35.3,35.3,36.9,14.03,2200
2012-02-02,37.0,35.8,35.9,36.0,13.69,8770
2012-02-03,36.4,36.0,36.1,36.4,13.84,610
2012-02-06,36.0,35.0,35.0,36.0,13.69,9390
2012-02-07,35.3,35.2,35.2,35.3,13.42,2870
2012-02-08,36.8,35.3,36.8,36.7,13.96,80
2012-02-09,36.5,35.0,35.3,36.5,13.88,4020
2012-02-10,36.6,35.0,36.6,35.0,13.31,5810
2012-02-13,35.0,35.0,35.0,35.0,13.31,1000
2012-02-14,35.8,35.0,35.0,35.8,13.61,580
2012-02-15,36.0,35.1,36.0,35.9,13.65,820
2012-02-16,35.1,35.1,35.1,35.1,13.35,100
2012-02-17,36.5,35.6,36.5,36.0,13.69,2160
2012-02-20,36.5,36.0,36.2,36.2,13.77,29660
2012-02-21,36.4,35.5,36.4,35.5,13.5,100
2012-02-22,36.5,36.0,36.0,36.5,13.88,3240
2012-02-23,37.1,36.5,37.1,37.1,14.11,1040
2012-02-24,38.0,37.3,38.0,37.3,14.18,3050
2012-02-27,37.0,36.3,37.0,36.3,13.8,1140
2012-02-28,37.0,35.0,36.5,35.0,13.31,3840
2012-02-29,36.7,35.1,36.7,36.5,13.88,1950
2012-03-01,37.3,35.5,37.3,35.5,13.5,1510
2012-03-02,37.0,35.0,35.0,35.5,13.5,2900
2012-03-05,37.2,35.4,35.4,36.9,14.03,17880
2012-03-06,37.3,36.0,36.0,36.2,13.77,4530
2012-03-07,37.0,36.0,36.2,36.0,13.69,3210
2012-03-08,36.3,36.0,36.0,36.0,13.69,2490
2012-03-09,36.0,36.0,36.0,36.0,13.69,110
2012-03-12,36.0,36.0,36.0,36.0,13.69,3260
2012-03-13,36.0,36.0,36.0,36.0,13.69,60
2012-03-14,36.0,35.5,36.0,35.5,13.5,910
2012-03-15,36.9,35.6,36.9,35.6,13.54,100
2012-03-16,36.8,35.6,35.6,36.8,13.99,1220
2012-03-19,36.8,36.1,36.8,36.8,13.99,10030
2012-03-20,36.8,36.8,36.8,36.8,13.99,19200
2012-03-21,36.8,35.3,36.8,35.6,13.54,62860
2012-03-22,35.5,35.0,35.3,35.0,13.31,49210
2012-03-23,35.0,35.0,35.0,35.0,13.31,126540
2012-03-26,35.1,35.0,35.0,35.0,13.31,82230
2012-03-27,35.8,35.5,35.5,35.5,13.5,19100
2012-03-28,36.0,33.8,33.8,35.5,13.5,1710
2012-03-29,35.5,35.5,35.5,35.5,13.5,0
2012-03-30,35.3,35.0,35.0,35.3,13.42,6030
2012-04-03,35.7,35.0,35.0,35.1,13.35,12060
2012-04-04,35.2,35.0,35.2,35.0,13.31,1860
2012-04-05,35.5,35.0,35.0,35.5,13.5,1630
2012-04-06,35.6,35.0,35.0,35.4,13.46,1350
2012-04-09,35.8,35.7,35.7,35.8,13.61,2230
2012-04-10,36.0,35.8,35.8,35.8,13.61,10260
2012-04-11,36.9,36.0,36.0,36.6,13.92,4950
2012-04-12,38.0,36.5,36.5,36.8,13.99,14890
2012-04-13,37.9,36.8,37.9,36.8,13.99,2990
2012-04-16,38.0,36.6,36.6,37.9,14.41,5930
2012-04-17,39.7,38.3,39.7,38.3,14.56,2970
2012-04-18,38.3,38.0,38.3,38.0,14.45,4680
2012-04-19,38.5,37.8,38.0,38.2,14.53,20330
2012-04-20,38.5,38.2,38.2,38.3,14.56,8660
2012-04-23,38.4,38.3,38.4,38.3,14.56,6100
2012-04-24,39.0,38.4,38.4,38.7,14.72,11000
2012-04-25,38.5,38.1,38.5,38.1,15.07,9660
2012-04-26,39.7,38.3,39.7,38.3,15.15,5820
2012-04-27,38.9,38.3,38.9,38.9,15.39,5270
2012-05-02,38.9,38.9,38.9,38.9,15.39,20
2012-05-03,38.5,38.5,38.5,38.5,15.23,180
2012-05-04,37.5,37.0,37.0,37.5,14.84,310
2012-05-07,39.0,38.1,38.5,38.1,15.07,2180
2012-05-08,38.5,38.2,38.2,38.3,15.15,1920
