Date,High,Low,Open,Close,adjust,Volume
2012-01-03,17.8,17.6,17.6,17.8,2.31,1660
2012-01-04,18.0,17.8,18.0,17.9,2.32,11950
2012-01-05,17.2,17.1,17.2,17.1,2.22,12480
2012-01-06,17.9,17.9,17.9,17.9,2.32,10
2012-01-09,17.9,17.9,17.9,17.9,2.32,50
2012-01-10,18.0,18.0,18.0,18.0,2.33,4950
2012-01-11,18.0,18.0,18.0,18.0,2.33,4780
2012-01-12,18.2,18.2,18.2,18.2,2.36,30
2012-01-13,18.8,18.0,18.8,18.7,2.42,430
2012-01-16,19.0,19.0,19.0,19.0,2.46,10
2012-01-17,19.1,19.0,19.0,19.1,2.47,4830
2012-01-18,19.1,19.1,19.1,19.1,2.47,360
2012-01-19,19.5,19.5,19.5,19.5,2.53,10
2012-01-20,19.9,19.9,19.9,19.9,2.58,40
2012-01-30,19.9,19.9,19.9,19.9,2.58,0
2012-01-31,19.9,19.9,19.9,19.9,2.58,0
2012-02-01,20.5,20.4,20.5,20.5,2.66,110
2012-02-02,20.5,20.5,20.5,20.5,2.66,0
2012-02-03,20.5,20.5,20.5,20.5,2.66,0
2012-02-06,20.5,20.5,20.5,20.5,2.66,0
2012-02-07,20.5,20.5,20.5,20.5,2.66,0
2012-02-08,20.0,19.5,20.0,19.5,2.53,110
2012-02-09,18.8,18.6,18.8,18.7,2.42,1010
2012-02-10,19.6,17.8,19.6,17.8,2.31,20
2012-02-13,17.0,17.0,17.0,17.0,2.2,200
2012-02-14,17.8,16.7,17.0,16.7,2.16,120
2012-02-15,16.8,16.8,16.8,16.8,2.18,560
2012-02-16,17.3,16.9,17.3,16.9,2.19,1330
2012-02-17,17.7,16.9,16.9,17.7,2.29,590
2012-02-20,17.7,17.6,17.7,17.6,2.28,1300
2012-02-21,17.6,17.5,17.5,17.6,2.28,3220
2012-02-22,18.4,18.4,18.4,18.4,2.38,10
2012-02-23,18.5,18.3,18.5,18.4,2.38,1500
2012-02-24,19.0,18.0,19.0,19.0,2.46,5280
2012-02-27,18.5,18.1,18.1,18.5,2.4,20850
2012-02-28,18.9,18.5,18.5,18.9,2.45,1220
2012-02-29,18.0,18.0,18.0,18.0,2.33,1200
2012-03-01,18.2,18.0,18.0,18.0,2.33,6000
2012-03-02,18.0,18.0,18.0,18.0,2.33,0
2012-03-05,18.9,18.0,18.0,18.9,2.45,10060
2012-03-06,19.8,18.9,19.8,18.9,2.45,18810
