Date,High,Low,Open,Close,adjust,Volume
2019-12-26,77.0,77.0,77.0,77.0,29.97,10000
2019-12-27,88.5,88.5,88.5,88.5,34.45,21600
2019-12-30,93.1,89.8,89.8,93.1,36.24,19400
2019-12-31,91.5,88.5,89.5,90.9,35.38,18900
2020-01-02,90.1,87.4,90.1,90.0,35.03,21500
2020-01-03,95.0,89.8,90.0,89.8,34.95,3500
2020-01-06,93.3,88.5,88.5,93.2,36.28,6700
2020-01-07,90.0,89.6,90.0,89.8,34.95,8300
2020-01-08,90.2,88.6,90.0,90.2,35.11,9600
2020-01-09,90.4,89.1,89.1,90.4,35.19,11700
2020-01-10,90.4,89.7,90.4,90.0,35.03,5300
2020-01-13,90.0,89.2,90.0,89.2,34.72,8700
2020-01-14,90.2,89.2,89.2,90.2,35.11,11700
2020-01-15,91.0,90.0,90.4,90.8,35.34,13100
2020-01-16,91.0,90.0,91.0,90.0,35.03,10600
2020-01-17,90.1,89.5,89.9,89.5,34.84,8500
2020-01-20,90.7,89.5,89.5,90.7,35.3,14200
2020-01-21,90.2,89.9,89.9,90.2,35.11,7800
2020-01-22,91.2,89.8,89.8,91.2,35.5,10200
2020-01-30,90.8,90.0,90.0,90.7,35.3,12800
2020-01-31,90.8,90.5,90.7,90.5,35.23,10700
2020-02-03,90.7,90.2,90.7,90.6,35.27,9600
2020-02-04,90.6,90.2,90.6,90.6,35.27,9100
2020-02-05,91.2,90.6,90.6,91.2,35.5,8100
2020-02-06,92.6,91.5,91.5,92.6,36.04,10200
2020-02-07,92.6,91.6,92.6,91.8,35.73,11900
2020-02-10,93.0,91.4,92.0,92.3,35.93,9700
2020-02-11,92.7,91.9,92.0,92.7,36.08,8400
2020-02-12,92.0,91.3,92.0,91.3,35.54,10900
2020-02-13,93.0,91.9,91.9,93.0,36.2,14600
2020-02-14,93.3,92.7,92.9,92.7,36.08,14000
2020-02-17,93.1,92.8,93.0,92.9,36.16,11500
2020-02-18,93.2,92.6,92.9,93.2,36.28,13700
2020-02-19,94.5,93.2,93.2,94.4,36.74,15300
2020-02-20,95.0,94.3,94.4,94.9,36.94,14500
2020-02-21,95.0,94.5,95.0,94.7,36.86,16400
2020-02-24,94.7,94.0,94.7,94.0,36.59,15500
2020-02-25,94.2,93.5,94.2,94.0,36.59,14600
2020-02-26,105.7,93.3,93.5,94.9,36.94,16300
2020-02-27,95.1,94.2,94.3,95.1,37.02,16100
2020-02-28,95.2,95.0,95.2,95.2,37.06,22710
2020-03-02,95.4,95.2,95.3,95.4,37.13,12700
2020-03-03,95.7,95.4,95.4,95.5,37.17,18400
2020-03-04,95.5,95.0,95.5,95.0,36.98,22310
2020-03-05,96.0,95.4,95.6,95.4,37.13,20800
2020-03-06,95.4,95.1,95.4,95.3,37.09,19800
2020-03-09,94.4,92.0,94.4,92.0,35.81,18100
2020-03-10,93.0,91.0,91.5,93.0,36.2,19300
2020-03-12,91.8,91.6,91.8,91.7,35.69,17600
2020-03-13,91.9,91.2,91.6,91.9,35.77,17900
2020-03-16,91.4,90.7,90.7,90.8,35.34,17610
2020-03-17,91.2,90.8,90.8,91.2,35.5,18808
2020-03-18,91.2,91.0,91.2,91.1,35.46,5300
2020-03-19,91.1,90.8,91.1,90.8,35.34,9700
2020-03-20,90.9,90.8,90.8,90.8,35.34,4300
2020-03-23,90.6,90.3,90.6,90.3,35.15,3900
2020-03-24,93.2,90.2,90.4,90.2,35.11,4600
2020-03-25,94.3,93.2,93.2,94.3,36.71,3700
2020-03-26,95.3,93.5,93.5,93.9,36.55,4800
2020-03-27,94.1,93.5,93.5,93.9,36.55,4200
2020-03-30,92.9,92.6,92.9,92.6,36.04,2600
2020-03-31,92.9,92.0,92.0,92.0,35.81,2500
2020-04-01,92.6,92.1,92.1,92.6,36.04,800
2020-04-03,92.6,92.6,92.6,92.6,36.04,700
2020-04-06,92.8,92.6,92.6,92.8,36.12,640
2020-04-07,92.8,92.7,92.8,92.7,36.08,700
2020-04-08,92.7,92.2,92.7,92.2,35.89,500
2020-04-09,92.5,92.5,92.5,92.5,36.0,610
2020-04-10,92.5,92.4,92.5,92.4,35.97,800
2020-04-13,92.8,92.5,92.5,92.5,36.0,502
2020-04-14,92.8,91.9,92.6,92.7,36.08,3100
2020-04-15,92.8,92.5,92.5,92.6,36.04,4800
2020-04-16,92.7,92.5,92.6,92.7,36.08,4500
2020-04-17,92.9,92.7,92.7,92.7,36.08,4700
2020-04-20,93.0,92.7,92.8,93.0,36.2,9300
2020-04-21,92.8,92.4,92.5,92.8,36.12,8900
2020-04-22,92.9,92.2,92.7,92.9,36.16,9700
2020-04-23,93.8,92.9,93.1,93.6,36.43,9100
2020-04-24,93.8,93.3,93.6,93.7,36.47,9900
2020-04-27,95.0,93.6,93.6,94.0,36.59,8200
2020-04-28,94.0,93.6,94.0,93.7,36.47,9340
2020-04-29,95.0,93.8,93.8,95.0,36.98,10600
2020-05-04,107.2,95.0,95.5,100.1,38.96,7600
