Date,High,Low,Open,Close,adjust,Volume
2012-12-14,23.6,16.0,16.0,20.2,11.47,3270
2012-12-17,21.0,20.5,20.5,20.5,11.64,820
2012-12-18,21.5,20.0,21.5,20.5,11.64,1130
2012-12-19,20.5,20.5,20.5,20.5,11.64,100
2012-12-20,20.5,20.0,20.5,20.0,11.35,1080
2012-12-21,20.0,20.0,20.0,20.0,11.35,770
2012-12-24,20.5,19.2,19.2,20.5,11.64,1730
2012-12-25,21.5,21.0,21.0,21.5,12.2,20
2012-12-26,22.0,20.5,20.5,22.0,12.49,2900
2012-12-27,23.0,20.9,22.0,23.0,13.06,25020
2012-12-28,22.0,21.9,21.9,22.0,12.49,1060
2013-01-02,22.0,20.9,20.9,22.0,12.49,2540
2013-01-03,22.0,20.9,20.9,20.9,11.86,1660
2013-01-04,21.0,19.9,20.0,21.0,11.92,2430
2013-01-07,21.0,20.0,20.0,21.0,11.92,1570
2013-01-08,20.5,20.0,20.0,20.5,11.64,8680
2013-01-09,20.5,19.5,19.5,20.5,11.64,590
2013-01-10,20.5,19.5,19.5,20.5,11.64,380
2013-01-11,19.7,19.5,19.6,19.7,11.18,1120
2013-01-14,20.0,19.3,19.3,20.0,11.35,1100
2013-01-15,20.0,20.0,20.0,20.0,11.35,0
2013-01-16,20.0,18.6,18.6,20.0,11.35,550
2013-01-17,20.0,18.7,18.7,20.0,11.35,2100
2013-01-18,20.0,20.0,20.0,20.0,11.35,0
2013-01-21,20.0,20.0,20.0,20.0,11.35,0
2013-01-22,20.0,18.6,18.6,20.0,11.35,770
2013-01-23,20.0,18.6,19.0,18.6,10.56,880
2013-01-24,19.9,19.9,19.9,19.9,11.3,10
2013-01-25,20.0,19.9,19.9,20.0,11.35,2090
2013-01-28,20.0,20.0,20.0,20.0,11.35,0
2013-01-29,19.9,19.0,19.0,19.9,11.3,590
2013-01-30,19.9,19.9,19.9,19.9,11.3,10
2013-01-31,19.9,19.9,19.9,19.9,11.3,300
2013-02-01,19.9,19.9,19.9,19.9,11.3,400
2013-02-04,19.9,19.9,19.9,19.9,11.3,30
2013-02-05,19.9,19.9,19.9,19.9,11.3,30
2013-02-06,19.9,18.6,18.7,19.9,11.3,1060
2013-02-07,19.9,19.9,19.9,19.9,11.3,0
2013-02-08,19.9,19.9,19.9,19.9,11.3,1380
2013-02-18,20.0,19.0,19.0,20.0,11.35,130
2013-02-19,19.9,19.0,19.9,19.9,11.3,700
2013-02-20,19.9,19.0,19.0,19.9,11.3,20
2013-02-21,19.0,19.0,19.0,19.0,10.79,350
2013-02-22,19.9,19.0,19.0,19.9,11.3,360
2013-02-25,19.9,19.9,19.9,19.9,11.3,0
2013-02-26,19.9,19.9,19.9,19.9,11.3,0
2013-02-27,19.0,19.0,19.0,19.0,10.79,30
2013-02-28,19.0,18.5,18.5,19.0,10.79,480
2013-03-01,19.0,19.0,19.0,19.0,10.79,0
2013-03-04,18.6,17.7,18.6,17.7,10.05,210
2013-03-05,18.9,18.9,18.9,18.9,10.73,10
2013-03-06,18.0,18.0,18.0,18.0,10.22,900
2013-03-07,18.5,18.5,18.5,18.5,10.5,10
2013-03-08,18.5,18.5,18.5,18.5,10.5,0
2013-03-11,18.5,18.5,18.5,18.5,10.5,0
2013-03-12,17.3,17.3,17.3,17.3,9.82,10
2013-03-13,18.5,18.5,18.5,18.5,10.5,70
2013-03-14,19.7,17.3,17.3,19.7,11.18,2280
2013-03-15,19.8,18.4,18.5,19.8,11.24,520
2013-03-18,19.5,18.5,18.5,19.5,11.07,230
2013-03-19,18.2,18.2,18.2,18.2,10.33,240
2013-03-20,19.0,19.0,19.0,19.0,10.79,20
2013-03-21,18.6,17.7,18.6,18.6,10.56,260
2013-03-22,18.8,18.8,18.8,18.8,10.67,10
2013-03-25,18.8,18.8,18.8,18.8,10.67,0
2013-03-26,18.8,18.8,18.8,18.8,10.67,0
2013-03-27,18.8,18.8,18.8,18.8,10.67,0
2013-03-28,19.0,19.0,19.0,19.0,10.79,10
2013-03-29,19.0,19.0,19.0,19.0,10.79,0
2013-04-01,19.0,19.0,19.0,19.0,10.79,0
2013-04-02,19.0,19.0,19.0,19.0,10.79,0
2013-04-03,19.0,19.0,19.0,19.0,10.79,0
2013-04-04,18.6,18.0,18.0,18.6,10.56,60
2013-04-05,19.0,19.0,19.0,19.0,10.79,10
2013-04-08,18.5,18.0,18.0,18.5,10.5,60
2013-04-09,18.5,18.5,18.5,18.5,10.5,0
2013-04-10,18.5,18.5,18.5,18.5,10.5,0
2013-04-11,18.5,18.5,18.5,18.5,10.5,0
2013-04-12,18.8,18.8,18.8,18.8,10.67,10
2013-04-15,18.8,18.8,18.8,18.8,10.67,150000
2013-04-16,18.8,17.5,17.5,18.8,10.67,1010
2013-04-17,18.8,18.8,18.8,18.8,10.67,0
2013-04-18,18.8,18.8,18.8,18.8,10.67,0
2013-04-22,18.8,18.8,18.8,18.8,10.67,0
2013-04-23,18.8,18.8,18.8,18.8,10.67,0
2013-04-24,18.8,18.8,18.8,18.8,10.67,0
2013-04-25,18.8,18.8,18.8,18.8,10.67,0
2013-04-26,18.8,18.8,18.8,18.8,10.67,0
2013-05-02,18.8,18.8,18.8,18.8,10.67,0
