Date,High,Low,Open,Close,adjust,Volume
2014-11-11,14.9,14.9,14.9,14.9,12.88,218700
2014-11-12,16.3,16.3,16.3,16.3,14.09,128000
2014-11-13,17.9,17.9,17.9,17.9,15.47,92700
2014-11-14,17.9,17.9,17.9,17.9,15.47,92700
2014-11-17,21.3,18.9,19.2,21.2,18.32,313200
2014-11-18,22.3,19.8,20.3,22.3,19.27,416000
2014-11-19,21.6,20.5,21.0,21.6,18.67,639900
2014-11-20,22.0,20.9,21.1,21.9,18.92,486800
2014-11-21,22.2,20.4,21.5,20.6,17.8,613000
2014-11-24,21.4,20.5,21.3,21.1,18.23,400200
2014-11-25,21.5,20.6,21.0,21.2,18.32,434600
2014-11-26,21.1,20.1,21.1,20.3,17.54,409100
2014-11-27,20.6,18.7,20.4,19.9,17.2,423200
2014-11-28,19.6,19.2,19.6,19.2,16.59,160200
2014-12-01,19.6,19.1,19.5,19.1,16.51,152700
2014-12-02,19.4,17.5,19.3,19.0,16.42,414800
2014-12-03,18.6,17.4,18.1,17.4,15.04,247400
2014-12-04,18.2,16.3,18.1,16.7,14.43,462400
2014-12-05,18.3,17.0,17.0,17.9,15.47,215300
2014-12-08,17.8,17.4,17.8,17.5,15.12,223100
2014-12-09,17.6,15.9,17.5,15.9,13.74,309200
2014-12-10,18.0,15.5,16.3,18.0,15.55,197700
2014-12-11,16.7,15.4,16.3,16.3,14.09,407000
2014-12-12,16.9,15.9,16.0,16.4,14.17,408800
2014-12-15,17.8,15.8,16.2,17.7,15.3,390600
2014-12-16,16.6,15.5,16.6,16.4,14.17,413900
2014-12-17,16.2,14.7,15.9,15.5,13.39,412900
2014-12-18,17.0,15.5,15.6,17.0,14.69,438800
2014-12-19,16.2,15.5,16.0,15.9,13.74,416800
2014-12-22,16.6,15.8,15.8,15.8,13.65,388100
2014-12-23,16.4,15.9,16.3,16.2,14.0,403900
2014-12-24,16.5,16.1,16.2,16.3,14.09,309500
2014-12-25,16.5,15.7,16.5,16.1,13.91,263500
2014-12-26,16.2,15.8,16.1,15.9,13.74,143400
2014-12-29,16.1,15.7,15.9,15.9,13.74,152100
2014-12-30,16.0,15.6,15.9,15.9,13.74,105600
2014-12-31,16.1,15.8,15.8,16.1,13.91,106800
2015-01-05,16.3,15.8,16.0,16.0,13.83,200300
2015-01-06,16.3,15.7,16.0,16.2,14.0,170700
2015-01-07,16.4,15.9,16.0,16.2,14.0,201800
2015-01-08,16.4,16.0,16.2,16.2,14.0,162200
2015-01-09,16.4,16.1,16.2,16.2,14.0,163100
2015-01-12,16.3,16.0,16.2,16.1,13.91,200900
2015-01-13,16.4,16.1,16.2,16.3,14.09,203300
2015-01-14,16.4,16.0,16.3,16.2,14.0,205100
2015-01-15,16.4,16.1,16.1,16.2,14.0,211600
2015-01-16,16.4,16.0,16.2,16.1,13.91,217100
2015-01-19,16.3,15.9,16.1,16.0,13.83,203600
2015-01-20,16.2,15.9,16.0,15.9,13.74,206900
2015-01-21,16.1,15.7,16.1,15.8,13.65,191500
2015-01-22,16.1,15.6,15.9,15.8,13.65,221000
2015-01-23,16.1,15.8,15.9,16.0,13.83,197200
2015-01-26,16.0,15.7,15.9,15.9,13.74,214000
2015-01-27,16.0,15.7,15.9,15.8,13.65,206100
2015-01-28,16.0,15.8,15.8,15.9,13.74,204400
2015-01-29,15.9,15.6,15.8,15.6,13.48,205900
2015-01-30,15.9,15.6,15.7,15.7,13.57,170400
2015-02-02,16.0,15.5,15.7,15.6,13.48,201400
2015-02-03,15.8,15.5,15.7,15.6,13.48,211400
2015-02-04,15.6,15.2,15.5,15.2,13.14,122300
2015-02-05,15.8,15.4,15.4,15.5,13.39,201800
2015-02-06,15.7,15.4,15.5,15.6,13.48,186700
2015-02-09,15.8,15.4,15.6,15.5,13.39,194400
2015-02-10,15.6,15.4,15.5,15.6,13.48,183100
2015-02-11,15.8,15.4,15.5,15.7,13.57,190400
2015-02-12,15.9,15.6,15.7,15.7,13.57,184700
2015-02-13,16.0,15.8,15.8,15.9,13.74,146900
2015-02-24,16.1,15.9,15.9,16.0,13.83,189300
2015-02-25,16.3,15.9,16.1,16.0,13.83,176200
2015-02-26,16.3,16.0,16.1,16.1,13.91,175500
2015-02-27,16.4,16.0,16.2,16.2,14.0,161900
2015-03-02,16.4,16.0,16.3,16.1,13.91,154000
2015-03-03,16.4,16.0,16.1,16.1,13.91,175800
2015-03-04,16.4,16.1,16.2,16.1,13.91,186700
2015-03-05,16.2,16.0,16.2,16.1,13.91,188200
2015-03-06,16.2,15.9,16.1,16.2,14.0,179800
2015-03-09,16.3,15.9,16.1,16.0,13.83,193200
2015-03-10,16.3,16.0,16.2,16.1,13.91,129300
2015-03-11,16.4,16.1,16.2,16.1,13.91,172400
2015-03-12,16.4,16.0,16.2,16.2,14.0,186300
2015-03-13,16.2,15.9,16.0,16.1,13.91,170100
2015-03-16,16.1,15.7,16.1,15.7,13.57,170200
2015-03-17,16.2,15.9,15.9,16.1,13.91,162100
2015-03-18,16.2,15.9,16.1,16.1,13.91,183600
2015-03-19,16.2,15.9,16.1,16.0,13.83,169600
2015-03-20,16.2,16.0,16.0,16.2,14.0,168600
2015-03-23,16.3,16.0,16.1,16.2,14.0,164200
2015-03-24,16.1,15.8,16.1,15.9,13.74,190200
2015-03-25,16.1,15.7,15.9,15.9,13.74,186400
2015-03-26,16.0,15.7,15.9,16.0,13.83,165900
2015-03-27,16.0,15.8,15.9,16.0,13.83,165900
2015-03-30,16.0,15.7,15.8,15.8,13.65,184700
2015-03-31,16.0,15.7,15.9,15.8,13.65,171500
2015-04-01,16.0,15.6,15.8,15.8,13.65,171800
2015-04-02,16.0,15.6,15.8,15.7,13.57,171200
2015-04-03,16.0,15.7,15.9,15.8,13.65,170700
2015-04-06,16.3,15.8,15.9,15.9,13.74,160400
2015-04-07,16.0,15.7,15.9,16.0,13.83,165300
2015-04-08,16.0,15.6,15.9,15.7,13.57,164700
2015-04-09,16.0,15.6,15.6,15.8,13.65,157600
2015-04-10,16.0,15.8,15.8,15.8,13.65,145700
2015-04-13,16.0,15.7,15.8,15.9,13.74,154300
2015-04-14,16.1,15.7,15.9,15.9,13.74,104800
2015-04-15,16.0,15.7,15.9,16.0,13.83,87800
2015-04-16,16.1,15.8,15.8,16.0,13.83,100500
2015-04-17,16.0,15.6,16.0,15.8,13.65,73000
2015-04-20,16.0,15.5,15.8,15.9,13.74,80600
2015-04-21,16.0,15.6,15.8,15.8,13.65,74700
2015-04-22,16.0,15.7,15.8,15.9,13.74,91200
2015-04-23,16.1,15.7,15.9,15.9,13.74,36000
2015-04-24,16.0,15.7,15.8,15.9,13.74,35000
2015-04-27,16.0,15.8,15.9,15.9,13.74,31100
2015-05-04,16.0,15.4,15.8,15.4,13.31,39300
2015-05-05,15.8,15.5,15.7,15.8,13.65,34700
2015-05-06,15.9,15.6,15.7,15.8,13.65,32400
2015-05-07,15.9,15.5,15.7,15.7,13.57,29600
2015-05-08,15.8,15.5,15.6,15.6,13.48,28200
2015-05-11,15.7,15.3,15.6,15.6,13.48,33300
2015-05-12,15.8,15.5,15.6,15.7,13.57,29600
2015-05-13,15.8,15.4,15.6,15.6,13.48,38400
2015-05-14,15.8,15.5,15.5,15.7,13.57,28800
2015-05-15,15.8,15.5,15.6,15.8,13.65,31100
2015-05-18,15.7,15.5,15.7,15.7,13.57,34900
2015-05-19,15.8,15.5,15.5,15.7,13.57,29900
2015-05-20,16.0,15.6,15.6,15.9,13.74,24800
2015-05-21,15.9,15.6,15.8,15.8,13.65,23800
2015-05-22,15.8,15.6,15.7,15.7,13.57,30300
2015-05-25,15.8,15.5,15.6,15.7,13.57,26700
2015-05-26,15.7,15.5,15.6,15.6,13.48,27300
2015-05-27,15.7,15.5,15.6,15.6,13.48,50400
2015-05-28,15.7,15.5,15.5,15.6,13.48,38400
2015-05-29,15.9,15.5,15.6,15.6,13.48,70200
2015-06-01,15.8,15.6,15.6,15.8,13.65,77000
2015-06-02,16.3,15.7,15.7,16.2,14.0,139400
2015-06-03,16.4,15.9,16.1,16.1,13.91,127200
2015-06-04,16.2,16.0,16.1,16.2,14.0,81600
2015-06-05,16.3,15.9,16.1,16.2,14.0,118100
2015-06-08,16.3,16.1,16.1,16.2,14.0,160700
2015-06-16,19.2,17.1,17.1,19.2,16.59,862200
2015-06-17,20.5,19.2,19.2,20.5,17.71,649950
2015-06-18,21.9,20.5,20.5,21.9,18.92,303930
2015-06-19,23.4,21.5,21.6,23.4,20.22,689650
2015-06-22,22.5,21.8,22.5,22.3,19.27,1345150
2015-06-23,23.8,20.8,22.5,23.8,20.57,1178450
2015-06-24,24.7,22.9,24.7,23.3,20.13,754860
2015-06-25,24.9,21.7,23.0,24.9,21.52,1359550
2015-06-26,24.0,23.2,23.6,23.5,20.31,1824870
2015-06-29,23.7,21.9,23.3,22.6,19.53,1646820
2015-06-30,22.7,21.1,22.5,21.1,18.23,978610
2015-07-01,21.4,19.7,21.3,19.7,17.02,1436570
2015-07-02,20.2,18.4,19.7,20.1,17.37,1127140
2015-07-03,20.6,20.1,20.1,20.2,17.46,1331400
2015-07-06,20.4,19.8,20.2,20.2,17.46,1111640
2015-07-07,19.7,18.8,19.6,19.4,16.76,2419050
2015-07-08,19.7,18.6,19.5,19.0,16.42,1533220
2015-07-09,19.0,18.2,18.8,18.7,16.16,895040
2015-07-10,19.5,18.7,18.7,19.4,16.76,837390
2015-07-13,19.6,19.1,19.4,19.5,16.85,674710
2015-07-14,19.8,18.2,19.5,19.0,16.42,981630
2015-07-15,19.0,17.7,19.0,18.0,15.55,966460
2015-07-16,18.1,16.8,18.0,16.9,14.6,1009200
2015-07-17,16.5,15.8,16.4,15.8,13.65,1631820
2015-07-20,15.3,14.7,15.2,14.7,12.7,1095540
2015-07-21,15.1,13.7,14.5,13.7,11.84,964410
2015-07-22,14.6,13.0,13.5,14.2,12.27,1320940
2015-07-23,14.5,13.9,14.2,13.9,12.01,915920
2015-07-24,14.0,13.4,13.6,13.4,11.58,760940
2015-07-27,13.5,13.2,13.4,13.2,11.41,611450
2015-07-28,13.3,12.7,13.2,12.8,11.06,715270
2015-07-29,13.1,12.7,12.8,12.9,11.15,996230
2015-07-30,13.2,12.9,13.0,13.0,11.23,655240
2015-07-31,13.4,13.1,13.1,13.1,11.32,921590
2015-08-03,13.0,12.4,13.0,12.5,10.8,841410
2015-08-04,12.7,12.2,12.5,12.3,10.63,747070
2015-08-05,13.1,12.5,12.8,12.8,11.06,932780
2015-08-06,13.1,12.4,12.9,12.4,10.72,822330
2015-08-07,12.6,12.2,12.5,12.3,10.63,673440
2015-08-10,12.7,12.4,12.4,12.5,10.8,684320
2015-08-11,12.7,12.3,12.6,12.5,10.8,721320
2015-08-12,12.5,12.0,12.5,12.1,10.46,722610
2015-08-13,12.2,11.7,12.2,11.8,10.2,739550
2015-08-14,11.9,11.4,11.8,11.7,10.11,602200
2015-08-17,11.9,11.4,11.7,11.4,9.85,634330
2015-08-18,11.6,11.3,11.4,11.4,9.85,486600
2015-08-19,11.4,11.1,11.4,11.2,9.68,539760
2015-08-20,11.3,10.8,11.2,10.9,9.42,451470
2015-08-21,10.9,10.3,10.9,10.5,9.07,474690
2015-08-24,10.4,9.8,10.4,9.8,8.47,393190
2015-08-25,10.2,9.6,9.6,10.0,8.64,473870
2015-08-26,10.7,10.1,10.1,10.7,9.25,844510
2015-08-27,11.4,10.8,10.9,11.4,9.85,569820
2015-08-28,11.8,11.4,11.5,11.7,10.11,493380
2015-08-31,11.8,11.4,11.7,11.5,9.94,382970
2015-09-01,12.1,11.4,11.5,11.6,10.02,1027350
2015-09-03,11.6,10.8,11.6,10.8,9.33,1137160
2015-09-04,11.2,10.7,10.8,10.8,9.33,519220
2015-09-07,10.9,10.5,10.8,10.7,9.25,519120
2015-09-08,11.4,10.6,10.7,11.4,9.85,905240
2015-09-09,12.1,11.5,11.5,11.7,10.11,779840
2015-09-10,11.7,11.4,11.7,11.5,9.94,528900
2015-09-11,11.6,11.2,11.4,11.4,9.85,704740
2015-09-14,11.7,11.3,11.4,11.6,10.02,806920
2015-09-15,12.0,11.4,11.5,11.9,10.28,908970
2015-09-16,12.1,11.7,11.9,11.7,10.11,835690
2015-09-17,11.9,11.5,11.7,11.7,10.11,827790
2015-09-18,12.0,11.7,11.7,11.9,10.28,923410
2015-09-21,12.2,11.8,11.9,12.1,10.46,1004950
2015-09-22,12.2,11.8,12.1,11.9,10.28,812310
2015-09-23,12.0,11.6,11.8,11.9,10.28,825590
2015-09-24,12.0,11.7,11.8,11.9,10.28,825390
2015-09-25,12.2,11.7,11.9,11.9,10.28,859680
2015-09-28,12.3,11.7,11.9,12.1,10.46,823090
2015-09-29,12.7,11.8,12.0,12.5,10.8,1485120
2015-09-30,12.9,12.4,12.4,12.5,10.8,1238250
2015-10-01,12.6,12.3,12.5,12.3,10.63,1031560
2015-10-02,12.8,12.1,12.3,12.6,10.89,1519900
2015-10-05,12.9,12.5,12.5,12.9,11.15,1400920
2015-10-06,13.3,12.9,12.9,13.2,11.41,1579080
2015-10-07,14.1,13.2,13.2,14.1,12.18,1778000
2015-10-08,14.2,13.5,14.2,13.6,11.75,1165670
2015-10-09,13.6,13.4,13.6,13.5,11.67,1004530
2015-10-12,13.8,13.4,13.5,13.5,11.67,988230
2015-10-13,13.5,13.3,13.5,13.5,11.67,1022220
