Date,High,Low,Open,Close,adjust,Volume
2012-01-03,14.5,14.2,14.2,14.5,10.99,7520
2012-01-04,14.5,14.4,14.4,14.5,10.99,11240
2012-01-05,14.5,14.4,14.5,14.5,10.99,1690
2012-01-06,14.8,14.4,14.4,14.8,11.22,456890
2012-01-09,15.2,14.9,15.2,14.9,11.29,5150
2012-01-10,15.0,14.6,14.6,14.9,11.29,5450
2012-01-11,15.1,15.0,15.0,15.0,11.37,21330
2012-01-12,15.0,14.9,15.0,14.9,11.29,9100
2012-01-13,15.0,14.8,14.9,15.0,11.37,1590
2012-01-16,15.0,14.8,15.0,14.8,11.22,11410
2012-01-17,15.2,14.9,14.9,15.2,11.52,100
2012-01-18,15.2,14.9,15.2,15.2,11.52,14220
2012-01-19,15.3,15.1,15.1,15.3,11.6,9480
2012-01-20,15.3,15.2,15.3,15.3,11.6,420
2012-01-30,16.0,15.3,15.3,16.0,12.13,159530
2012-01-31,16.5,15.8,16.0,15.8,11.98,13210
2012-02-01,15.8,15.5,15.8,15.8,11.98,95870
2012-02-02,15.9,15.6,15.6,15.8,11.98,35520
2012-02-03,16.5,15.7,15.9,16.4,12.43,285130
2012-02-06,16.9,16.0,16.2,16.9,12.81,33020
2012-02-07,17.7,16.5,16.8,17.7,13.42,98470
2012-02-08,17.7,17.0,17.5,17.4,13.19,12710
2012-02-09,17.6,17.0,17.1,17.4,13.19,45320
2012-02-10,17.4,16.9,17.0,16.9,12.81,4040
2012-02-13,16.9,16.5,16.5,16.5,12.51,13730
2012-02-14,17.0,16.5,16.9,17.0,12.89,3750
2012-02-15,16.8,16.2,16.8,16.2,12.28,13980
2012-02-16,16.4,15.4,15.9,15.4,11.67,16550
2012-02-17,16.0,14.9,15.4,14.9,11.29,49480
2012-02-20,15.6,15.6,15.6,15.6,11.82,43290
2012-02-21,16.3,15.5,16.3,16.1,12.2,35710
2012-02-22,16.3,15.5,16.0,16.3,12.36,21190
2012-02-23,16.3,15.6,16.3,16.1,12.2,50670
2012-02-24,16.1,15.6,16.1,16.0,12.13,50380
2012-02-27,16.1,16.0,16.0,16.0,12.13,36720
2012-02-28,16.0,15.7,16.0,15.7,11.9,20900
2012-02-29,15.9,15.6,15.7,15.6,11.82,23750
2012-03-01,16.0,15.2,16.0,15.3,11.6,33180
2012-03-02,15.7,15.1,15.1,15.7,11.9,30770
2012-03-05,16.4,15.8,15.8,16.4,12.43,197610
2012-03-06,16.5,15.7,16.4,16.0,12.13,45440
2012-03-07,16.4,15.7,15.8,16.2,12.28,103470
2012-03-08,16.0,15.4,16.0,15.5,11.75,44810
2012-03-09,15.3,15.0,15.0,15.1,11.45,64710
2012-03-12,15.6,15.0,15.6,15.0,11.37,34580
2012-03-13,15.4,14.9,14.9,15.0,11.37,45540
2012-03-14,15.1,14.9,15.0,14.9,11.29,29610
2012-03-15,15.1,14.9,15.0,15.1,11.45,29100
2012-03-16,14.7,14.4,14.6,14.4,11.69,38890
2012-03-19,14.4,13.9,14.1,14.2,11.53,51490
2012-03-20,14.5,14.1,14.2,14.4,11.69,52290
2012-03-21,14.8,14.4,14.5,14.7,11.93,100140
2012-03-22,14.9,14.7,14.7,14.8,12.01,33720
2012-03-23,15.0,14.8,14.8,14.8,12.01,65290
2012-03-26,14.7,14.4,14.6,14.6,11.85,22930
2012-03-27,14.7,14.4,14.4,14.4,11.69,79470
