Date,High,Low,Open,Close,adjust,Volume
2020-09-24,36.0,36.0,36.0,36.0,25.0,2010
2020-09-25,38.5,38.5,38.5,38.5,26.73,4260
2020-09-28,41.15,41.15,41.15,41.15,28.57,91910
2020-09-29,44.0,44.0,44.0,44.0,30.55,234737
2020-09-30,47.05,47.05,47.05,47.05,32.67,86000
2020-10-01,50.3,50.0,50.3,50.3,34.93,137410
2020-10-02,53.8,53.0,53.8,53.8,37.36,195430
2020-10-05,53.7,50.1,50.6,50.1,34.79,78970
2020-10-06,46.6,46.6,46.6,46.6,32.36,24970
2020-10-07,43.35,43.35,43.35,43.35,30.1,18770
2020-10-08,46.2,40.35,40.35,44.0,30.55,181260
2020-10-09,44.0,41.7,44.0,43.0,29.86,32000
2020-10-12,42.4,40.4,40.4,41.3,28.68,24370
2020-10-13,42.0,40.1,41.9,40.6,28.19,27690
2020-10-14,41.0,39.5,40.6,40.8,28.33,33750
2020-10-15,40.8,39.3,40.0,40.6,28.19,53710
2020-10-16,40.8,39.7,39.7,40.8,28.33,16690
2020-10-19,41.0,39.8,41.0,40.8,28.33,18310
2020-10-20,40.9,40.0,40.7,40.9,28.4,1394390
2020-10-21,40.5,38.2,40.15,38.2,26.53,45310
2020-10-22,39.5,38.0,38.0,38.9,27.01,18330
2020-10-23,39.9,39.0,39.4,39.0,27.08,7420
2020-10-26,39.5,38.3,39.0,38.3,26.6,10150
2020-10-27,38.4,37.8,38.3,38.4,26.66,13570
2020-10-28,38.4,36.5,38.4,36.5,25.35,16330
2020-10-29,37.2,35.2,35.5,36.8,25.55,21600
2020-10-30,37.35,36.0,37.15,36.0,25.0,4960
2020-11-02,37.0,35.7,35.7,36.2,25.14,9800
2020-11-03,36.9,36.3,36.3,36.5,25.35,3390
2020-11-04,37.0,36.5,37.0,36.5,25.35,4900
2020-11-05,36.9,36.4,36.5,36.7,25.48,6410
2020-11-06,37.0,36.95,37.0,37.0,25.69,1780
2020-11-09,37.2,35.5,37.1,35.5,24.65,23670
2020-11-10,37.35,35.5,37.35,36.8,25.55,14890
2020-11-11,36.8,36.3,36.8,36.5,25.35,4610
2020-11-12,36.8,36.0,36.2,36.5,25.35,22210
2020-11-13,36.5,35.7,36.5,35.8,24.86,21520
2020-11-16,35.8,35.2,35.2,35.8,24.86,26620
2020-11-17,36.5,35.5,36.5,35.5,24.65,8720
2020-11-18,36.5,35.7,36.5,36.0,25.0,7050
2020-11-19,36.0,35.5,36.0,35.9,24.93,10150
2020-11-20,36.0,35.5,35.5,35.8,24.86,6270
2020-11-23,36.0,35.5,35.8,35.5,24.65,17290
2020-11-24,36.0,35.6,35.9,36.0,25.0,20870
2020-11-25,36.0,35.5,36.0,36.0,25.0,18240
2020-11-26,35.9,35.4,35.5,35.6,24.72,13970
2020-11-27,35.8,35.45,35.6,35.7,24.79,3660
2020-11-30,36.05,35.6,35.7,35.7,24.79,22420
2020-12-01,36.6,35.7,35.95,36.1,25.07,20050
2020-12-02,36.6,36.15,36.15,36.5,25.35,12880
2020-12-03,39.05,37.4,37.5,39.05,27.12,29660
2020-12-04,41.5,39.5,41.5,39.5,27.43,31430
2020-12-07,40.0,38.0,38.5,38.5,26.73,6030
2020-12-08,39.5,37.8,38.5,37.8,26.25,6820
2020-12-09,40.0,37.0,40.0,37.2,25.83,15570
2020-12-10,38.0,37.1,37.1,37.9,26.32,7660
2020-12-11,38.0,37.0,37.0,37.1,25.76,5730
2020-12-14,38.2,37.0,37.3,37.2,25.83,10680
2020-12-15,38.3,37.2,37.2,37.3,25.9,13480
2020-12-16,39.0,37.4,38.0,37.4,25.97,37240
2020-12-17,38.2,37.3,37.5,37.5,26.04,33210
2020-12-18,38.6,37.5,38.0,37.7,26.18,893940
2020-12-21,38.0,37.5,37.7,37.7,26.18,14200
2020-12-22,39.5,37.9,37.9,39.3,27.29,39180
2020-12-23,40.0,38.8,40.0,39.5,27.43,185720
2020-12-24,42.2,37.5,39.5,42.2,29.3,1619340
2020-12-25,42.3,40.0,40.0,41.9,29.09,92280
2020-12-28,42.0,39.5,42.0,41.0,28.47,13370
2020-12-29,41.6,40.0,40.9,41.0,28.47,16380
2020-12-30,40.5,39.5,41.0,39.5,27.43,3090
2020-12-31,40.0,38.5,39.5,39.5,27.43,7250
