Date,High,Low,Open,Close,adjust,Volume
2012-01-03,22.5,22.1,22.5,22.4,6.94,38130
2012-01-04,22.4,22.1,22.4,22.1,6.85,221620
2012-01-05,22.2,21.4,21.8,21.9,6.79,379300
2012-01-06,22.5,21.4,22.5,21.8,6.76,557460
2012-01-09,22.0,21.0,22.0,21.0,6.51,127060
2012-01-10,21.9,21.0,21.9,21.1,6.54,104640
2012-01-11,21.6,20.1,21.6,21.0,6.51,241030
2012-01-12,21.0,20.1,21.0,20.1,6.23,106470
2012-01-13,21.0,20.4,20.5,21.0,6.51,118570
2012-01-16,21.5,21.0,21.5,21.5,6.66,63040
2012-01-17,21.4,20.5,20.8,21.3,6.6,196390
2012-01-18,21.3,20.3,21.3,21.3,6.6,355460
2012-01-19,22.0,20.3,20.6,21.3,6.6,70570
2012-01-20,21.6,21.1,21.6,21.3,6.6,79560
2012-01-30,22.0,21.1,22.0,21.7,6.72,341720
2012-01-31,21.8,20.9,21.7,21.5,6.66,567190
2012-02-01,21.1,20.5,21.1,20.5,6.35,501510
2012-02-02,21.4,20.5,21.2,21.4,6.63,116160
2012-02-03,21.6,20.6,21.5,21.0,6.51,397640
2012-02-06,21.4,20.6,21.4,21.0,6.51,545400
2012-02-07,21.1,20.5,20.8,20.7,6.41,419080
2012-02-08,21.7,20.0,20.8,21.2,6.57,103920
2012-02-09,21.6,20.5,21.2,20.5,6.35,81260
2012-02-10,20.6,19.5,20.6,19.6,6.07,601440
2012-02-13,20.5,18.7,20.5,20.5,6.35,72120
2012-02-14,20.9,20.1,20.5,20.9,6.48,145300
2012-02-15,20.9,20.0,20.9,20.0,6.2,227070
2012-02-16,20.6,19.7,20.0,20.6,6.38,162880
2012-02-17,20.6,20.4,20.6,20.5,6.35,257090
2012-02-20,20.7,20.0,20.7,20.6,6.38,197330
2012-02-21,20.6,19.6,20.6,19.7,6.1,116380
2012-02-22,20.3,19.9,20.1,20.3,6.29,311650
2012-02-23,20.8,20.1,20.3,20.8,6.45,621060
2012-02-24,21.5,21.2,21.2,21.3,6.6,309260
2012-02-27,22.3,21.2,21.3,22.3,6.91,235520
2012-02-28,23.2,22.4,23.1,23.0,7.13,268770
2012-02-29,24.1,22.0,22.0,24.0,7.44,288950
2012-03-01,24.9,23.8,23.8,24.9,7.72,421240
2012-03-02,25.8,24.3,24.9,25.8,8.0,359010
2012-03-05,26.9,26.3,26.5,26.8,8.31,567680
2012-03-06,26.4,25.5,26.4,25.5,7.9,470190
2012-03-07,25.2,24.3,24.9,24.6,7.62,277230
2012-03-08,25.0,23.4,23.7,23.4,7.25,239150
2012-03-09,23.9,22.3,23.2,22.7,7.03,189560
2012-03-12,23.0,21.9,22.8,21.9,6.79,230740
2012-03-13,22.3,21.0,22.0,22.3,6.91,895490
2012-03-14,22.6,21.2,22.6,21.2,6.57,201370
2012-03-15,22.2,21.1,21.8,22.2,6.88,377620
2012-03-16,23.0,22.2,22.8,22.7,7.03,369130
2012-03-19,23.0,22.0,22.8,22.6,7.0,679290
2012-03-20,22.8,22.2,22.4,22.6,7.0,229800
2012-03-21,23.7,22.6,22.6,23.7,7.34,527790
2012-03-22,24.1,23.3,23.8,23.6,7.31,569350
2012-03-23,24.3,23.3,23.3,24.0,7.44,454840
2012-03-26,24.3,23.1,24.3,23.8,7.38,742770
2012-03-27,23.6,22.7,23.4,22.7,7.03,414320
2012-03-28,22.6,21.8,22.6,22.4,6.94,413410
2012-03-29,22.8,21.8,22.2,22.0,6.82,191140
2012-03-30,22.0,21.5,21.6,22.0,6.82,323040
2012-04-03,22.3,22.0,22.3,22.0,6.82,457300
2012-04-04,22.5,21.6,21.6,22.0,6.82,118560
2012-04-05,22.4,21.7,21.8,22.3,6.91,503030
2012-04-06,23.1,22.2,22.5,22.8,7.07,642060
2012-04-09,23.2,22.8,22.9,23.2,7.19,432460
2012-04-10,24.1,23.3,23.6,23.6,7.31,610620
2012-04-11,24.6,23.6,23.8,24.5,7.59,1427480
2012-04-12,25.3,24.3,25.3,24.3,7.53,506140
2012-04-13,24.2,23.5,24.0,23.7,7.34,476860
2012-04-16,24.3,23.4,23.5,23.8,7.38,510870
2012-04-17,24.4,23.8,24.0,24.1,7.47,550220
2012-04-18,24.1,23.0,24.1,23.0,7.13,490890
2012-04-19,23.0,22.3,23.0,22.3,6.91,476700
2012-04-20,22.8,22.1,22.3,22.4,6.94,517250
2012-04-23,22.7,22.2,22.4,22.4,6.94,371310
2012-04-24,22.6,22.1,22.4,22.6,7.0,437110
2012-04-25,23.7,22.6,22.6,23.7,7.34,914020
2012-04-26,24.8,24.4,24.6,24.8,7.69,1566910
2012-04-27,26.0,24.8,25.0,26.0,8.06,1152930
2012-05-02,27.0,24.8,26.5,25.3,7.84,617600
2012-05-03,25.0,24.1,24.6,24.6,7.62,1565290
2012-05-04,24.7,23.4,24.5,24.7,7.65,2020740
2012-05-07,25.8,23.5,25.0,25.8,8.0,6565640
2012-05-08,26.1,24.6,25.8,24.9,7.72,1487400
2012-05-09,25.0,23.7,24.0,24.0,7.44,1917870
2012-05-10,24.1,22.8,24.0,23.1,7.16,2213530
2012-05-11,23.1,22.0,22.5,22.0,6.82,2641250
2012-05-14,22.3,20.9,21.6,20.9,6.48,1890370
2012-05-15,20.3,19.9,19.9,19.9,6.17,2532720
2012-05-16,20.0,19.0,19.8,19.0,5.89,2280200
2012-05-17,19.1,18.1,18.1,18.1,5.61,2232150
2012-05-18,17.2,17.2,17.2,17.2,5.33,429600
2012-05-21,17.5,16.4,16.4,17.5,5.42,3227780
2012-05-22,17.5,16.7,17.5,16.7,5.18,1796580
2012-05-23,16.1,15.9,15.9,15.9,4.93,2213670
2012-05-24,15.7,15.2,15.4,15.2,4.71,1853710
2012-05-25,15.9,14.8,15.8,15.9,4.93,1685870
2012-05-28,16.6,16.0,16.6,16.6,5.14,2226340
2012-05-29,16.6,15.9,16.0,16.2,5.02,1520000
2012-05-30,16.5,15.7,16.2,15.8,4.9,2257830
2012-05-31,15.7,15.1,15.5,15.1,4.68,1584070
2012-06-01,15.3,14.4,15.1,14.4,4.46,1714790
2012-06-04,14.0,13.7,13.8,13.7,4.25,648160
2012-06-05,14.3,13.7,14.3,14.3,4.43,1678100
2012-06-06,15.0,14.4,14.7,15.0,4.65,1341570
2012-06-07,15.7,15.6,15.7,15.7,4.87,673590
2012-06-08,16.4,15.8,16.4,16.0,4.96,2627670
2012-06-11,16.2,15.3,15.7,15.7,4.87,1469830
2012-06-12,15.7,15.1,15.4,15.1,4.68,1421820
2012-06-13,15.4,14.6,15.1,14.9,4.62,981610
2012-06-14,15.2,14.6,14.8,15.0,4.65,893770
2012-06-15,15.6,15.1,15.1,15.4,4.77,605850
2012-06-18,16.0,15.3,15.7,15.4,4.77,882210
2012-06-19,15.3,14.8,15.2,14.9,4.62,1026020
2012-06-20,15.1,14.8,14.9,15.1,4.68,414920
2012-06-21,15.2,14.9,14.9,14.9,4.62,561220
2012-06-22,14.8,14.2,14.8,14.2,4.4,1692280
2012-06-25,14.3,13.5,14.2,13.6,4.21,1785460
2012-06-26,13.5,13.0,13.4,13.0,4.03,1067790
2012-06-27,13.5,12.9,13.2,13.0,4.03,643510
2012-06-28,13.2,12.6,13.2,12.8,3.97,569860
2012-06-29,13.3,12.8,13.0,13.3,4.12,726910
2012-07-02,13.4,12.7,13.4,12.7,3.94,710370
2012-07-03,12.8,12.1,12.7,12.1,3.75,1132190
2012-07-04,12.3,11.5,12.1,11.5,3.56,884730
2012-07-05,12.0,11.0,11.3,12.0,3.72,846870
2012-07-06,12.5,11.7,11.9,12.1,3.75,685410
2012-07-09,11.9,11.5,11.9,11.5,3.56,565270
2012-07-10,11.5,11.1,11.2,11.1,3.44,688270
2012-07-11,11.4,11.0,11.1,11.1,3.44,188580
2012-07-12,11.6,11.1,11.1,11.6,3.59,717580
2012-07-13,12.1,11.6,11.6,12.1,3.75,298910
2012-07-16,12.7,12.1,12.6,12.4,3.84,1416720
2012-07-17,13.0,12.2,12.2,12.9,4.0,603880
2012-07-18,13.2,12.4,12.8,12.5,3.87,583370
2012-07-19,13.1,12.5,12.6,13.1,4.06,986380
2012-07-20,13.5,12.8,13.3,12.8,3.97,691300
2012-07-23,12.9,12.3,12.8,12.3,3.81,676960
2012-07-24,12.3,11.7,12.3,11.7,3.63,951260
2012-07-25,11.9,11.5,11.6,11.6,3.59,488450
2012-07-26,12.1,11.7,11.7,12.0,3.72,395080
2012-07-27,12.2,11.7,12.0,11.7,3.63,553060
2012-07-30,11.8,11.5,11.5,11.7,3.63,251730
2012-07-31,11.9,11.6,11.8,11.6,3.59,501740
2012-08-01,11.7,11.3,11.6,11.5,3.56,386490
2012-08-02,11.8,11.5,11.7,11.6,3.59,198520
2012-08-03,11.8,11.5,11.7,11.6,3.59,204020
2012-08-06,12.1,11.7,11.7,12.1,3.75,972950
2012-08-07,12.2,11.9,12.1,11.9,3.69,424080
2012-08-08,12.0,11.9,11.9,12.0,3.72,314320
2012-08-09,12.6,12.1,12.2,12.4,3.84,792700
2012-08-10,12.4,12.1,12.4,12.3,3.81,527850
2012-08-13,12.2,12.0,12.2,12.0,3.72,407840
2012-08-14,12.3,12.0,12.1,12.1,3.75,253360
2012-08-15,12.2,12.0,12.1,12.1,3.75,261810
2012-08-16,12.2,12.0,12.1,12.1,3.75,220220
2012-08-17,12.6,12.0,12.0,12.5,3.87,780130
2012-08-20,13.1,12.5,12.5,13.0,4.03,729070
2012-08-21,12.6,12.4,12.5,12.4,3.84,887470
2012-08-22,12.1,11.8,11.8,11.8,3.66,1067090
2012-08-23,11.3,11.3,11.3,11.3,3.5,147450
2012-08-24,11.7,10.8,10.8,10.9,3.38,1627580
2012-08-27,10.9,10.4,10.8,10.4,3.22,406350
2012-08-28,10.4,9.9,10.0,9.9,3.07,1240110
2012-08-29,10.3,10.1,10.1,10.3,3.19,541800
2012-08-30,10.5,10.2,10.4,10.2,3.16,395830
2012-08-31,10.3,9.9,10.1,9.9,3.07,285180
2012-09-04,10.3,10.0,10.0,10.2,3.16,245380
2012-09-05,10.2,9.8,10.2,9.8,3.04,469040
2012-09-06,9.8,9.4,9.7,9.4,2.91,554510
2012-09-07,9.4,9.0,9.3,9.0,2.79,1003290
2012-09-10,8.8,8.6,8.7,8.6,2.67,426650
2012-09-11,8.4,8.2,8.2,8.2,2.54,1106950
2012-09-12,8.5,7.9,8.1,7.9,2.45,499610
2012-09-13,8.2,7.7,8.0,8.2,2.54,509610
2012-09-14,8.6,8.6,8.6,8.6,2.67,208940
2012-09-17,9.0,8.8,9.0,8.8,2.73,1384220
2012-09-18,9.0,8.4,8.7,8.6,2.67,1004920
2012-09-19,9.0,8.4,8.6,9.0,2.79,976880
2012-09-20,9.0,8.6,8.8,9.0,2.79,613570
2012-09-21,9.2,8.9,9.0,9.1,2.82,459600
2012-09-24,9.0,8.7,9.0,8.7,2.7,513920
2012-09-25,8.8,8.5,8.7,8.5,2.63,458680
2012-09-26,8.8,8.5,8.7,8.8,2.73,314320
2012-09-27,8.8,8.5,8.8,8.6,2.67,278220
2012-09-28,8.8,8.4,8.5,8.6,2.67,433700
2012-10-01,8.6,8.2,8.5,8.2,2.54,508150
2012-10-02,8.3,8.0,8.2,8.2,2.54,353560
2012-10-03,8.5,8.1,8.2,8.4,2.6,204280
2012-10-04,8.4,8.0,8.2,8.2,2.54,366060
2012-10-05,8.3,8.0,8.1,8.1,2.51,315430
2012-10-08,8.5,8.1,8.1,8.5,2.63,720030
2012-10-09,8.9,8.6,8.6,8.7,2.7,869020
2012-10-10,8.9,8.5,8.6,8.9,2.76,503550
2012-10-11,9.3,8.8,9.0,8.8,2.73,579190
2012-10-12,8.9,8.5,8.9,8.7,2.7,471620
2012-10-15,8.7,8.3,8.7,8.5,2.63,302100
2012-10-16,8.9,8.5,8.6,8.9,2.76,414440
2012-10-17,8.9,8.6,8.9,8.7,2.7,656270
2012-10-18,8.9,8.6,8.6,8.8,2.73,407120
2012-10-19,8.7,8.4,8.7,8.5,2.63,640290
2012-10-22,8.5,8.2,8.5,8.3,2.57,408270
2012-10-23,8.4,8.3,8.3,8.4,2.6,185850
2012-10-24,8.5,8.2,8.4,8.2,2.54,227890
2012-10-25,8.2,8.0,8.2,8.1,2.51,382510
2012-10-26,8.3,8.1,8.1,8.1,2.51,238840
