Date,High,Low,Open,Close,adjust,Volume
2012-01-03,11.1,11.1,11.1,11.1,8.75,41990
2012-01-04,11.6,11.2,11.2,11.6,9.14,80820
2012-01-05,11.8,11.4,11.8,11.4,8.98,18340
2012-01-06,11.5,11.2,11.2,11.3,8.9,15320
2012-01-09,11.3,11.0,11.1,11.3,8.9,39950
2012-01-10,11.5,11.3,11.3,11.5,9.06,21730
2012-01-11,11.7,11.2,11.7,11.2,8.82,15880
2012-01-12,11.3,11.1,11.2,11.3,8.9,13410
2012-01-13,11.4,11.1,11.1,11.4,8.98,24230
2012-01-16,11.4,11.2,11.3,11.4,8.98,9440
2012-01-17,11.4,11.3,11.4,11.3,8.9,7010
2012-01-18,11.4,11.3,11.4,11.4,8.98,3190
2012-01-19,11.7,11.5,11.5,11.7,9.22,38430
2012-01-20,12.0,11.5,12.0,11.7,9.22,11760
2012-01-30,11.8,11.7,11.7,11.8,9.3,6780
2012-01-31,12.1,11.8,11.9,11.8,9.3,30370
2012-02-01,11.9,11.6,11.8,11.8,9.3,57240
2012-02-02,12.3,11.8,11.9,12.3,9.69,59380
2012-02-03,12.6,11.9,12.3,11.9,9.38,17430
2012-02-06,12.1,11.8,12.0,12.1,9.53,8880
2012-02-07,12.2,11.9,12.0,12.2,9.61,5390
2012-02-08,12.8,12.5,12.5,12.6,9.93,67430
2012-02-09,12.8,12.3,12.7,12.3,9.69,46970
2012-02-10,12.5,12.0,12.3,12.0,9.45,65540
2012-02-13,12.1,11.9,11.9,12.0,9.45,37240
2012-02-14,12.5,12.0,12.2,12.2,9.61,9480
2012-02-15,12.5,12.2,12.5,12.3,9.69,179430
2012-02-16,12.4,12.2,12.3,12.4,9.77,27830
2012-02-17,12.7,12.4,12.6,12.7,10.01,55990
2012-02-20,13.3,12.8,12.8,13.3,10.48,133050
2012-02-21,13.8,13.3,13.5,13.6,10.71,118820
2012-02-22,14.2,13.5,13.6,14.2,11.19,103670
2012-02-23,14.8,14.2,14.2,14.7,11.58,55800
2012-02-24,15.0,14.0,14.8,14.0,11.03,69190
2012-02-27,14.7,13.7,14.0,14.5,11.42,34720
2012-02-28,14.2,13.8,14.0,13.8,10.87,79610
2012-02-29,14.0,13.3,13.5,14.0,11.03,45450
2012-03-01,14.0,13.6,14.0,14.0,11.03,57400
2012-03-02,14.1,13.6,13.8,14.1,11.11,66770
2012-03-05,14.8,14.7,14.7,14.8,11.66,93050
2012-03-06,15.5,14.3,15.4,14.6,11.5,65490
2012-03-07,14.5,13.9,14.1,14.5,11.42,48470
2012-03-08,14.4,13.8,14.0,13.8,10.87,91630
2012-03-09,13.9,13.5,13.5,13.8,10.87,62300
2012-03-12,13.8,13.6,13.8,13.8,10.87,45210
2012-03-13,14.0,13.8,13.8,14.0,11.03,11910
2012-03-14,14.0,13.9,14.0,13.9,10.95,14630
2012-03-15,14.5,13.8,13.8,14.5,11.42,58270
2012-03-16,14.8,14.2,14.8,14.4,11.35,47070
2012-03-19,14.5,14.0,14.0,14.4,11.35,35440
2012-03-20,14.5,14.2,14.4,14.5,11.42,7910
2012-03-21,14.8,14.4,14.7,14.6,11.5,49420
2012-03-22,14.7,14.3,14.3,14.6,11.5,23310
2012-03-23,14.8,14.6,14.6,14.7,11.58,61480
2012-03-26,15.4,14.7,14.7,15.4,12.13,208570
2012-03-27,16.1,15.5,16.1,16.1,12.68,172990
2012-03-28,16.9,16.5,16.5,16.9,13.31,302970
2012-03-29,17.7,17.7,17.7,17.7,13.95,76390
2012-03-30,18.5,17.4,18.5,18.4,14.5,757480
2012-04-03,18.4,17.7,18.4,18.0,14.18,182520
2012-04-04,18.9,18.0,18.2,18.9,14.89,383030
2012-04-05,19.8,19.2,19.3,19.8,15.6,405030
2012-04-06,20.7,20.0,20.3,20.7,16.31,463670
2012-04-09,21.7,21.4,21.7,21.7,17.1,76650
2012-04-10,22.7,22.7,22.7,22.7,17.88,54380
2012-04-11,23.8,23.8,23.8,23.8,18.75,84380
2012-04-12,23.7,22.6,23.7,23.5,19.5,734940
2012-04-13,24.6,22.8,23.1,24.6,20.41,755330
2012-04-16,25.6,25.1,25.6,25.2,20.91,158550
2012-04-17,25.3,24.0,24.9,25.2,20.91,417430
2012-04-18,25.2,24.0,25.2,24.0,19.91,352050
2012-04-19,24.0,22.8,23.0,23.0,19.08,494470
2012-04-20,24.1,22.6,22.6,24.1,20.0,256850
2012-04-23,25.3,24.3,25.3,24.6,20.41,290520
2012-04-24,24.8,23.9,24.0,24.0,19.91,85410
2012-04-25,24.1,23.1,23.2,23.4,19.41,198850
2012-04-26,24.3,22.8,23.0,23.3,19.33,134590
2012-04-27,24.0,22.6,23.3,23.9,19.83,282570
