Date,High,Low,Open,Close,adjust,Volume
2018-02-21,29.6,25.0,29.6,25.0,23.53,81200
2018-02-22,26.0,25.0,26.0,25.0,23.53,28900
2018-02-23,25.2,22.4,25.2,23.0,21.65,37800
2018-02-26,24.3,20.0,22.0,22.9,21.55,21100
2018-02-27,24.8,20.0,24.8,24.0,22.59,34700
2018-02-28,22.0,20.4,20.4,22.0,20.71,2300
2018-03-01,22.2,21.0,22.0,22.2,20.89,21100
2018-03-02,21.9,20.5,21.9,21.6,20.33,24900
2018-03-05,21.5,21.0,21.2,21.3,20.05,35500
2018-03-06,22.5,20.5,22.5,21.7,20.42,4200
2018-03-07,20.5,20.0,20.5,20.2,19.01,3000
2018-03-08,21.0,21.0,21.0,21.0,19.76,2100
2018-03-09,21.0,18.0,21.0,20.9,19.67,36700
2018-03-12,20.9,19.5,20.0,20.5,19.29,7000
2018-03-13,20.0,19.2,20.0,19.8,18.63,15100
2018-03-14,19.7,18.8,19.1,18.8,17.69,11700
2018-03-15,19.5,18.0,18.3,19.3,18.16,29700
2018-03-16,21.5,19.5,20.9,20.0,18.82,33500
2018-03-19,21.2,20.2,20.2,21.2,19.95,14000
2018-03-20,20.9,19.1,20.0,20.0,18.82,101100
2018-03-21,20.5,19.1,20.5,19.8,18.63,63600
2018-03-22,22.4,19.8,20.0,22.4,21.08,135400
2018-03-23,23.8,22.0,22.3,23.5,22.12,97700
2018-03-26,24.4,22.7,24.3,24.0,22.59,198500
2018-03-27,26.8,20.8,24.0,24.0,22.59,362200
2018-03-28,26.2,22.5,23.6,23.9,22.49,433200
2018-03-29,25.3,23.5,23.8,23.8,22.4,272700
2018-03-30,25.0,24.1,24.1,24.9,23.43,46000
2018-04-02,25.7,25.0,25.0,25.7,24.19,47800
2018-04-03,27.0,25.5,25.9,26.3,24.75,99300
2018-04-04,26.3,25.6,26.3,26.0,24.47,60400
2018-04-05,26.3,25.6,26.0,26.2,24.66,206800
2018-04-06,26.2,25.5,26.0,25.8,24.28,70500
2018-04-09,26.8,25.3,25.4,26.5,24.94,71600
2018-04-10,26.2,25.3,25.3,26.0,24.47,63800
2018-04-11,26.0,25.0,26.0,25.8,24.28,77400
2018-04-12,25.8,25.0,25.7,25.7,24.19,100200
2018-04-13,26.0,25.2,25.8,25.8,24.28,36600
2018-04-16,25.7,25.6,25.6,25.7,24.19,55000
2018-04-17,25.7,25.0,25.7,25.7,24.19,58000
2018-04-18,25.7,25.6,25.6,25.7,24.19,10500
2018-04-19,25.6,24.8,25.0,25.6,24.09,30000
2018-04-20,25.7,25.5,25.5,25.7,24.19,20200
2018-04-23,25.6,25.0,25.5,25.0,23.53,31600
2018-04-24,25.5,25.0,25.5,25.0,23.53,21100
2018-04-26,25.0,24.9,25.0,24.9,23.43,28200
2018-04-27,25.0,25.0,25.0,25.0,23.53,33200
2018-05-02,25.6,25.0,25.0,25.6,24.09,13900
2018-05-03,25.7,25.4,25.7,25.5,24.0,1300
2018-05-07,24.0,22.1,24.0,23.0,21.65,11900
2018-05-08,25.0,21.0,24.9,24.9,23.43,101600
2018-05-09,24.4,22.2,24.4,22.2,20.89,10300
2018-05-10,24.9,22.4,22.4,23.0,21.65,1400
2018-05-11,23.9,23.9,23.9,23.9,22.49,100
2018-05-14,23.9,23.9,23.9,23.9,22.49,0
2018-05-15,23.5,23.5,23.5,23.5,22.12,100
2018-05-16,23.9,22.0,23.9,23.8,22.4,10500
2018-05-17,25.0,25.0,25.0,25.0,23.53,100
2018-05-18,22.3,22.2,22.3,22.2,20.89,1100
2018-05-21,25.5,22.0,25.5,22.0,20.71,57100
2018-05-22,23.5,22.0,23.5,22.0,20.71,600
2018-05-23,25.5,25.5,25.5,25.5,24.0,100
2018-05-24,25.5,25.5,25.5,25.5,24.0,0
2018-05-25,25.5,25.5,25.5,25.5,24.0,0
2018-05-28,23.5,21.8,21.8,23.5,22.12,4300
2018-05-29,24.0,22.0,22.0,24.0,22.59,8900
2018-05-30,23.5,23.5,23.5,23.5,22.12,0
2018-05-31,23.5,23.5,23.5,23.5,22.12,0
2018-06-01,23.5,22.0,23.5,22.5,21.18,800
2018-06-04,23.7,21.7,23.7,21.7,20.42,3100
2018-06-05,23.3,23.3,23.3,23.3,21.93,100
2018-06-06,24.5,21.0,24.5,21.0,19.76,92700
2018-06-07,24.9,20.0,24.9,20.0,18.82,52000
2018-06-08,23.0,20.0,23.0,21.0,19.76,9800
2018-06-11,21.0,20.5,21.0,20.5,19.29,700
2018-06-12,21.5,20.0,21.5,20.0,18.82,2100
2018-06-13,20.9,20.0,20.9,20.0,18.82,300
2018-06-14,20.8,20.5,20.8,20.5,19.29,200
2018-06-15,21.0,18.0,21.0,20.0,18.82,32400
2018-06-18,20.0,20.0,20.0,20.0,18.82,100
2018-06-19,20.2,19.5,20.2,19.5,18.35,555
2018-06-20,19.0,19.0,19.0,19.0,17.88,20300
2018-06-21,20.2,20.0,20.2,20.0,18.82,200
2018-06-22,21.7,19.9,20.0,21.7,20.42,15200
2018-06-25,21.8,21.8,21.8,21.8,20.52,100
2018-06-26,21.8,21.8,21.8,21.8,20.52,0
2018-06-27,22.0,21.4,21.4,22.0,20.71,5100
2018-06-28,20.1,20.0,20.1,20.0,18.82,300
2018-06-29,21.6,19.0,21.6,19.0,17.88,7200
2018-07-02,19.5,19.5,19.5,19.5,18.35,100
2018-07-03,20.8,18.0,20.8,18.0,16.94,3200
2018-07-04,17.0,15.8,17.0,15.8,14.87,46200
2018-07-05,15.9,14.9,15.9,14.9,14.02,14500
2018-07-06,15.0,12.9,14.0,14.9,14.02,222600
2018-07-09,16.0,15.0,16.0,15.0,14.12,6700
2018-07-10,15.1,15.1,15.1,15.1,14.21,76100
2018-07-11,15.0,12.9,15.0,14.0,13.18,83101
2018-07-12,14.5,14.5,14.5,14.5,13.65,800
2018-07-13,14.5,14.5,14.5,14.5,13.65,1300
2018-07-16,15.0,14.6,15.0,14.6,13.74,12400
2018-07-17,15.0,15.0,15.0,15.0,14.12,500
2018-07-18,15.0,15.0,15.0,15.0,14.12,1300
2018-07-19,15.0,15.0,15.0,15.0,14.12,28300
2018-07-20,17.0,16.0,16.0,16.9,15.91,4800
2018-07-23,18.0,16.0,18.0,16.0,15.06,4000
2018-07-24,16.3,16.3,16.3,16.3,15.34,0
2018-07-25,17.4,16.9,16.9,17.4,16.38,500
2018-07-26,17.9,15.5,17.9,15.5,14.59,5110
2018-07-27,17.4,17.1,17.4,17.1,16.09,200
2018-07-30,17.4,17.4,17.4,17.4,16.38,100
2018-07-31,17.7,17.7,15.0,15.0,14.12,24400
2018-08-01,16.9,16.9,16.9,16.9,15.91,3100
2018-08-02,16.4,15.7,16.0,15.7,14.78,3100
2018-08-03,16.7,15.0,16.7,16.3,15.34,7400
2018-08-06,16.0,15.1,16.0,16.0,15.06,6600
2018-08-07,16.4,15.2,16.4,15.9,14.96,6200
2018-08-08,15.7,14.3,15.0,15.5,14.59,16500
2018-08-09,15.6,14.5,14.7,15.3,14.4,45000
2018-08-10,15.4,15.1,15.4,15.4,14.49,11010
2018-08-13,15.4,15.1,15.2,15.2,14.31,17800
2018-08-14,15.5,15.1,15.2,15.1,14.21,24110
2018-08-15,15.5,15.2,15.5,15.2,14.31,8200
2018-08-16,15.4,15.3,15.3,15.4,14.49,5000
2018-08-17,15.7,15.2,15.7,15.2,14.31,8100
2018-08-20,15.5,15.2,15.3,15.5,14.59,11700
2018-08-21,15.3,15.0,15.0,15.3,14.4,700
2018-08-22,15.7,15.0,15.7,15.5,14.59,3800
2018-08-23,15.5,15.3,15.5,15.5,14.59,10100
2018-08-24,16.2,15.5,16.2,15.6,14.68,1000
2018-08-27,15.9,15.3,15.9,15.7,14.78,3100
2018-08-28,15.3,15.0,15.3,15.3,14.4,13700
2018-08-29,15.0,15.0,15.0,15.0,14.12,2300
2018-08-30,15.0,15.0,15.0,15.0,14.12,1600
2018-08-31,15.0,14.9,15.0,14.9,14.02,6400
2018-09-04,15.1,15.0,15.0,15.1,14.21,10000
2018-09-05,15.1,14.9,14.9,15.0,14.12,5700
2018-09-06,15.0,15.0,15.0,15.0,14.12,2490
2018-09-07,15.0,15.0,15.0,15.0,14.12,3500
2018-09-10,15.1,14.0,14.0,15.1,14.21,5500
