Date,High,Low,Open,Close,adjust,Volume
2017-07-20,17.15,17.15,17.15,17.15,14.18,2000
2017-07-21,18.35,18.35,18.35,18.35,15.18,5390010
2017-07-24,19.6,19.6,19.6,19.6,16.21,290010
2017-07-25,20.95,20.95,20.95,20.95,17.33,10
2017-07-26,22.4,22.4,22.4,22.4,18.53,696020
2017-07-27,23.95,22.7,23.95,23.95,19.81,1738970
2017-07-28,25.6,25.3,25.6,25.6,21.17,360000
2017-07-31,27.35,27.35,27.35,27.35,22.62,265000
2017-08-01,29.25,29.25,29.25,29.25,24.19,649530
2017-08-02,31.25,28.0,31.25,29.0,23.98,964050
2017-08-03,29.0,27.0,29.0,27.0,22.33,379980
2017-08-04,28.85,27.0,28.0,28.8,23.82,194320
2017-08-07,29.9,28.2,29.9,28.8,23.82,124720
2017-08-08,28.2,27.1,28.0,27.1,22.41,265060
2017-08-09,27.7,25.25,27.0,27.7,22.91,675340
2017-08-10,27.7,25.9,27.7,26.1,21.59,86550
2017-08-11,27.0,25.0,25.0,27.0,22.33,152900
2017-08-14,27.25,25.6,27.0,26.45,21.87,161420
2017-08-15,26.1,24.6,26.1,25.2,20.84,497180
2017-08-16,25.8,25.1,25.8,25.5,21.09,139700
2017-08-17,25.7,25.3,25.5,25.3,20.92,80110
2017-08-18,25.3,24.8,25.3,25.0,20.68,67000
2017-08-21,25.75,24.9,24.95,25.7,21.25,135980
2017-08-22,25.7,25.15,25.7,25.4,21.01,16960
2017-08-23,25.4,25.0,25.0,25.2,20.84,38920
2017-08-24,25.2,24.9,25.2,25.0,20.68,22810
2017-08-25,25.6,25.0,25.0,25.4,21.01,158370
2017-08-28,25.85,24.9,25.1,25.8,21.34,161300
2017-08-29,26.0,25.3,26.0,25.8,21.34,62230
2017-08-30,25.7,25.0,25.7,25.3,20.92,114910
2017-08-31,25.55,24.7,25.15,25.0,20.68,317390
2017-09-01,25.55,24.9,25.0,25.5,21.09,161080
2017-09-05,25.95,25.2,25.95,25.5,21.09,126890
2017-09-06,25.3,25.0,25.05,25.1,20.76,521380
2017-09-07,25.3,25.0,25.2,25.3,20.92,172410
2017-09-08,26.4,25.35,25.4,25.9,21.42,253780
2017-09-11,26.9,25.5,26.5,26.0,21.5,720470
2017-09-12,26.3,25.35,25.35,26.0,21.5,532780
2017-09-13,27.0,25.7,26.75,26.5,21.92,585880
2017-09-14,28.0,26.8,27.2,27.1,22.41,727710
2017-09-15,27.75,26.85,27.5,26.85,22.21,1313120
2017-09-18,27.05,26.3,26.85,26.5,21.92,730760
2017-09-19,26.5,25.9,26.3,26.0,21.5,1038800
2017-09-20,26.0,25.2,26.0,25.2,20.84,1205870
2017-09-21,25.6,25.2,25.2,25.5,21.09,1105750
2017-09-22,27.25,26.2,26.2,27.25,22.54,15969900
2017-09-25,28.4,27.2,28.0,27.4,22.66,268030
2017-09-26,27.4,26.65,27.4,27.0,22.33,347490
2017-09-27,27.25,26.8,27.0,27.1,22.41,537930
2017-09-28,27.3,26.95,27.3,27.0,22.33,399530
2017-09-29,27.25,26.4,27.2,26.9,22.25,146050
2017-10-02,27.1,26.3,27.1,26.5,21.92,176220
2017-10-03,26.5,25.85,26.5,26.0,21.5,227080
2017-10-04,26.4,26.0,26.3,26.15,21.63,76960
2017-10-05,26.9,26.1,26.9,26.1,21.59,136710
2017-10-06,26.25,25.8,25.9,25.95,21.46,134870
2017-10-09,26.5,25.7,26.5,25.95,21.46,122920
2017-10-10,26.0,25.7,26.0,25.95,21.46,181910
2017-10-11,25.95,25.7,25.7,25.95,21.46,107260
2017-10-12,27.0,25.8,25.95,27.0,22.33,1983820
2017-10-13,27.5,26.6,27.0,27.25,22.54,2175960
2017-10-16,27.3,27.0,27.0,27.15,22.45,318450
2017-10-17,27.15,26.65,27.15,26.65,22.04,303340
2017-10-18,27.0,26.5,26.65,26.5,21.92,81190
2017-10-19,26.8,26.05,26.1,26.6,22.0,125880
2017-10-20,26.85,26.3,26.65,26.3,21.75,184910
2017-10-23,26.0,25.4,25.4,25.4,21.01,836130
2017-10-24,25.6,24.5,25.2,25.1,20.76,634590
2017-10-25,26.7,25.5,25.5,26.1,21.59,1440010
2017-10-26,26.35,26.0,26.3,26.0,21.5,1996990
2017-10-27,26.1,25.6,26.0,25.6,21.17,305970
2017-10-30,25.6,25.3,25.6,25.6,21.17,288990
2017-10-31,25.6,25.2,25.4,25.3,20.92,1673320
2017-11-01,25.7,25.35,25.5,25.55,21.13,142450
2017-11-02,25.6,23.8,25.6,25.0,20.68,308420
2017-11-03,25.2,24.7,25.0,25.0,20.68,1778550
2017-11-06,25.2,25.0,25.0,25.0,20.68,92350
2017-11-07,25.6,25.0,25.0,25.5,21.09,122000
2017-11-08,25.4,25.0,25.4,25.05,20.72,1748710
2017-11-09,25.35,25.0,25.1,25.3,20.92,90240
2017-11-10,25.35,25.0,25.35,25.05,20.72,270440
2017-11-13,25.05,24.5,24.95,24.5,20.26,1663100
2017-11-14,25.3,24.1,24.5,24.55,20.3,562720
2017-11-15,25.0,24.65,24.8,24.8,20.51,400170
2017-11-16,25.6,24.7,24.7,25.45,21.05,314430
2017-11-17,25.55,25.05,25.45,25.05,20.72,266190
2017-11-20,25.2,24.65,24.8,24.65,20.59,158930
2017-11-21,25.0,24.45,24.95,24.5,20.47,98690
2017-11-22,25.0,24.5,24.5,24.8,20.72,1708710
2017-11-23,25.3,24.6,25.3,25.0,20.88,216190
2017-11-24,25.0,24.6,25.0,24.7,20.63,133290
2017-11-27,24.8,24.4,24.7,24.5,20.47,1589850
2017-11-28,24.9,23.9,24.6,24.5,20.47,324720
2017-11-29,24.5,22.8,24.5,22.85,19.09,687020
2017-11-30,23.35,22.65,23.35,23.05,19.26,159140
2017-12-01,23.85,22.9,23.05,23.8,19.88,239280
2017-12-04,24.15,23.2,23.8,23.8,19.88,340630
2017-12-05,23.8,23.4,23.8,23.7,19.8,1621990
2017-12-06,23.8,23.25,23.8,23.4,19.55,144070
2017-12-07,23.65,23.05,23.5,23.4,19.55,93600
2017-12-08,23.4,22.85,23.4,23.0,19.21,464320
2017-12-11,23.0,22.8,23.0,22.8,19.05,191290
