Date,High,Low,Open,Close,adjust,Volume
2012-01-03,9.8,9.2,9.8,9.2,2.03,13320
2012-01-04,9.6,9.5,9.6,9.6,2.12,3810
2012-01-05,8.6,8.5,8.6,8.5,2.09,3400
2012-01-06,8.8,8.5,8.5,8.8,2.17,2980
2012-01-09,8.8,8.8,8.8,8.8,2.17,0
2012-01-10,8.8,8.8,8.8,8.8,2.17,0
2012-01-11,8.8,8.8,8.8,8.8,2.17,0
2012-01-12,8.5,8.5,8.5,8.5,2.09,420
2012-01-13,8.9,8.2,8.9,8.2,2.02,210
2012-01-16,8.4,8.4,8.4,8.4,2.07,250
2012-01-17,8.2,8.1,8.2,8.1,1.99,1800
2012-01-18,8.1,8.1,8.1,8.1,1.99,0
2012-01-19,8.5,8.5,8.5,8.5,2.09,140
2012-01-20,8.7,8.1,8.7,8.1,1.99,3040
2012-01-30,8.5,8.5,8.5,8.5,2.09,10
2012-01-31,8.7,8.4,8.7,8.4,2.07,1790
2012-02-01,8.5,8.2,8.5,8.2,2.02,7030
2012-02-02,8.6,8.5,8.5,8.6,2.12,10740
2012-02-03,9.0,9.0,9.0,9.0,2.22,910
2012-02-06,9.2,8.6,9.2,8.7,2.14,90
2012-02-07,9.1,8.6,9.0,9.1,2.24,11640
2012-02-08,9.5,9.2,9.3,9.5,2.34,12500
2012-02-09,9.7,9.5,9.5,9.6,2.36,15520
2012-02-10,9.6,9.2,9.6,9.2,2.26,8010
2012-02-13,9.2,9.1,9.2,9.2,2.26,5700
2012-02-14,9.2,9.1,9.2,9.2,2.26,13080
2012-02-15,9.2,9.0,9.2,9.0,2.22,8000
2012-02-16,9.0,8.9,9.0,9.0,2.22,5600
2012-02-17,9.1,8.8,8.8,9.1,2.24,22250
2012-02-20,9.2,9.1,9.1,9.2,2.26,32010
2012-02-21,9.3,9.0,9.3,9.1,2.24,31420
2012-02-22,9.1,9.0,9.1,9.0,2.22,6910
2012-02-23,9.0,9.0,9.0,9.0,2.22,5000
2012-02-24,9.3,8.8,9.3,9.1,2.24,10110
2012-02-27,9.3,9.0,9.3,9.1,2.24,18970
2012-02-28,9.0,9.0,9.0,9.0,2.22,3080
2012-02-29,9.1,9.0,9.1,9.0,2.22,10130
2012-03-01,9.3,9.1,9.3,9.1,2.24,3140
2012-03-02,9.4,9.1,9.4,9.1,2.24,11290
2012-03-05,9.5,9.0,9.0,9.5,2.34,84740
2012-03-06,9.7,9.1,9.7,9.1,2.24,38870
2012-03-07,9.2,8.8,8.8,9.2,2.26,550
2012-03-08,9.5,9.1,9.5,9.1,2.24,6010
2012-03-09,9.3,8.7,9.3,9.0,2.22,22790
2012-03-12,8.8,8.6,8.7,8.8,2.17,19500
2012-03-13,8.9,8.8,8.8,8.9,2.19,11000
2012-03-14,9.0,8.9,8.9,9.0,2.22,2600
2012-03-15,9.1,9.0,9.1,9.0,2.22,250
2012-03-16,9.0,8.9,9.0,8.9,2.19,5000
2012-03-19,9.1,8.9,9.1,9.1,2.24,17450
2012-03-20,9.2,9.1,9.2,9.1,2.24,7620
2012-03-21,9.4,9.1,9.2,9.4,2.31,15490
2012-03-22,9.5,9.2,9.4,9.4,2.31,18300
2012-03-23,9.5,9.4,9.4,9.5,2.34,21770
2012-03-26,9.7,9.4,9.7,9.4,2.31,3910
2012-03-27,9.6,9.0,9.3,9.0,2.22,11180
2012-03-28,9.3,8.8,8.9,9.3,2.29,5510
2012-03-29,9.3,9.3,9.3,9.3,2.29,1230
2012-03-30,9.7,9.7,9.7,9.7,2.39,11120
2012-04-03,10.1,9.9,10.1,10.1,2.49,62940
2012-04-04,10.4,10.0,10.4,10.0,2.46,18590
2012-04-05,10.4,10.0,10.2,10.4,2.56,18660
2012-04-06,10.5,10.0,10.3,10.3,2.54,10640
2012-04-09,10.4,10.2,10.3,10.3,2.54,24900
2012-04-10,10.5,10.2,10.5,10.4,2.56,20780
2012-04-11,10.3,10.2,10.3,10.3,2.54,37290
2012-04-12,10.6,10.2,10.4,10.4,2.56,46510
2012-04-13,10.7,10.4,10.6,10.7,2.63,10090
2012-04-16,10.8,10.3,10.3,10.8,2.66,22870
2012-04-17,10.9,10.7,10.8,10.9,2.68,28830
2012-04-18,11.0,10.7,11.0,10.8,2.66,13780
2012-04-19,10.8,10.8,10.8,10.8,2.66,8430
2012-04-20,10.9,10.7,10.8,10.7,2.63,7060
2012-04-23,10.9,10.7,10.8,10.9,2.68,19580
2012-04-24,11.0,10.9,11.0,10.9,2.68,11310
2012-04-25,11.0,10.9,10.9,11.0,2.71,15940
2012-04-26,11.2,11.1,11.2,11.2,2.76,6450
2012-04-27,11.3,11.2,11.2,11.3,2.78,3560
2012-05-02,11.5,11.2,11.5,11.3,2.78,6550
2012-05-03,11.5,11.3,11.5,11.5,2.83,24540
2012-05-04,11.8,11.4,11.4,11.8,2.91,15330
2012-05-07,12.3,12.2,12.3,12.3,3.03,21460
2012-05-08,12.9,12.7,12.8,12.9,3.18,68000
2012-05-09,13.5,13.1,13.5,13.5,3.32,80670
2012-05-10,14.0,13.4,14.0,13.4,3.3,39040
2012-05-11,13.7,13.3,13.6,13.5,3.32,58540
2012-05-14,13.5,12.9,13.5,12.9,3.18,34520
2012-05-15,13.5,12.3,13.3,12.7,3.13,11360
2012-05-16,13.2,12.4,13.2,12.4,3.05,7510
2012-05-17,12.7,11.9,12.7,12.3,3.03,21890
2012-05-18,12.3,12.1,12.2,12.3,3.03,6900
2012-05-21,11.4,10.6,11.0,11.0,3.01,10130
2012-05-22,11.0,10.7,11.0,10.7,2.93,20500
2012-05-23,10.7,10.2,10.3,10.7,2.93,2460
2012-05-24,10.3,10.2,10.3,10.2,2.8,6770
2012-05-25,10.6,10.5,10.5,10.5,2.88,5670
2012-05-28,11.0,10.4,11.0,10.5,2.88,12810
2012-05-29,10.5,10.5,10.5,10.5,2.88,510
2012-05-30,10.4,10.2,10.3,10.4,2.85,13230
2012-05-31,10.1,10.0,10.1,10.0,2.74,2200
2012-06-01,10.3,10.0,10.0,10.0,2.74,3490
2012-06-04,10.0,9.8,10.0,9.8,2.69,4860
2012-06-05,10.0,9.8,9.8,10.0,2.74,8920
2012-06-06,10.3,10.0,10.3,10.1,2.77,3220
2012-06-07,10.4,10.2,10.2,10.4,2.85,15400
2012-06-08,10.7,10.4,10.6,10.7,2.93,20010
2012-06-11,10.7,10.5,10.7,10.5,2.88,5510
2012-06-12,10.4,10.4,10.4,10.4,2.85,200
2012-06-13,10.4,10.3,10.4,10.4,2.85,2830
2012-06-14,10.6,10.4,10.6,10.5,2.88,18350
2012-06-15,10.6,10.5,10.5,10.6,2.9,13340
2012-06-18,10.7,10.6,10.6,10.7,2.93,10010
