Date,High,Low,Open,Close,adjust,Volume
2012-01-03,5.0,5.0,5.0,5.0,2.97,0
2012-01-04,5.0,5.0,5.0,5.0,2.97,0
2012-01-05,5.0,5.0,5.0,5.0,2.97,0
2012-01-06,5.0,5.0,5.0,5.0,2.97,0
2012-01-09,5.0,5.0,5.0,5.0,2.97,0
2012-01-10,5.0,5.0,5.0,5.0,2.97,0
2012-01-11,5.0,5.0,5.0,5.0,2.97,0
2012-01-12,5.0,5.0,5.0,5.0,2.97,0
2012-01-13,5.0,5.0,5.0,5.0,2.97,0
2012-01-16,5.0,5.0,5.0,5.0,2.97,0
2012-01-17,4.8,4.8,4.8,4.8,2.85,5000
2012-01-18,4.8,4.8,4.8,4.8,2.85,0
2012-01-19,5.0,5.0,5.0,5.0,2.97,10
2012-01-20,5.0,5.0,5.0,5.0,2.97,0
2012-01-30,5.0,5.0,5.0,5.0,2.97,0
2012-01-31,5.0,5.0,5.0,5.0,2.97,0
2012-02-01,5.0,5.0,5.0,5.0,2.97,0
2012-02-02,5.1,4.9,4.9,5.1,3.03,20
2012-02-03,5.1,5.1,5.1,5.1,3.03,10
2012-02-06,5.1,5.1,5.1,5.1,3.03,0
2012-02-07,4.9,4.9,4.9,4.9,2.91,7510
2012-02-08,4.8,4.8,4.8,4.8,2.85,500
2012-02-09,4.8,4.8,4.8,4.8,2.85,0
2012-02-10,4.9,4.9,4.9,4.9,2.91,10
2012-02-13,4.9,4.9,4.9,4.9,2.91,0
2012-02-14,5.0,5.0,5.0,5.0,2.97,100
2012-02-15,5.0,5.0,5.0,5.0,2.97,0
2012-02-16,4.9,4.9,4.9,4.9,2.91,10
2012-02-17,4.9,4.9,4.9,4.9,2.91,0
2012-02-20,4.9,4.9,4.9,4.9,2.91,0
2012-02-21,4.7,4.7,4.7,4.7,2.79,670
2012-02-22,4.7,4.5,4.5,4.5,2.68,100
2012-02-23,4.7,4.3,4.7,4.3,2.56,20
2012-02-24,4.5,4.1,4.1,4.5,2.68,600
2012-02-27,4.7,4.7,4.7,4.7,2.79,10
2012-02-28,4.7,4.7,4.7,4.7,2.79,0
2012-02-29,4.9,4.9,4.9,4.9,2.91,100
2012-03-01,4.9,4.9,4.9,4.9,2.91,0
2012-03-02,4.8,4.7,4.8,4.7,2.79,590
2012-03-05,4.9,4.7,4.9,4.9,2.91,69690
2012-03-06,5.1,4.9,5.1,5.1,3.03,5290
2012-03-07,5.1,5.1,5.1,5.1,3.03,6200
