Date,High,Low,Open,Close,adjust,Volume
2012-01-03,28.1,28.1,28.1,28.1,13.99,10
2012-01-04,29.0,29.0,29.0,29.0,14.44,50
2012-01-05,29.0,29.0,29.0,29.0,14.44,0
2012-01-06,29.0,29.0,29.0,29.0,14.44,0
2012-01-09,29.0,28.9,28.9,29.0,14.44,500
2012-01-10,29.0,29.0,29.0,29.0,14.44,0
2012-01-11,29.0,29.0,29.0,29.0,14.44,0
2012-01-12,29.0,27.6,29.0,27.6,13.74,20
2012-01-13,28.9,26.3,26.3,28.9,14.39,20
2012-01-16,28.9,28.9,28.9,28.9,14.39,0
2012-01-17,28.9,28.9,28.9,28.9,14.39,0
2012-01-18,28.9,28.9,28.9,28.9,14.39,0
2012-01-19,28.9,28.9,28.9,28.9,14.39,0
2012-01-20,28.9,28.9,28.9,28.9,14.39,0
2012-01-30,28.9,28.9,28.9,28.9,14.39,0
2012-01-31,29.0,29.0,29.0,29.0,14.44,20
2012-02-01,29.5,28.0,29.5,28.0,13.94,230
2012-02-02,28.0,28.0,28.0,28.0,13.94,0
2012-02-03,29.4,26.6,29.4,26.6,13.24,50
2012-02-06,25.5,25.4,25.4,25.4,12.64,1170
2012-02-07,25.4,24.3,25.4,24.3,12.1,440
2012-02-08,25.0,25.0,25.0,25.0,12.44,50
2012-02-09,26.2,26.2,26.2,26.2,13.04,20
2012-02-10,27.0,27.0,27.0,27.0,13.44,120
2012-02-13,27.0,25.9,27.0,25.9,12.89,220
2012-02-14,25.7,25.7,25.7,25.7,12.79,20
2012-02-15,25.7,24.5,24.5,25.7,12.79,560
2012-02-16,24.6,24.6,24.6,24.6,12.24,30
2012-02-17,25.8,25.0,25.0,25.8,12.84,530
2012-02-20,26.5,25.8,25.8,26.5,13.19,40
2012-02-21,25.2,25.2,25.2,25.2,12.54,30
2012-02-22,26.2,26.2,26.2,26.2,13.04,30
2012-02-23,27.2,24.9,25.5,27.2,13.54,550
2012-02-24,27.2,27.2,27.2,27.2,13.54,10
2012-02-27,25.9,25.9,25.9,25.9,12.89,30
2012-02-28,26.4,25.9,25.9,26.4,13.14,540
2012-02-29,26.4,25.1,26.4,25.1,12.49,200
2012-03-01,24.2,24.2,24.2,24.2,12.05,10
2012-03-02,25.2,23.3,23.3,25.2,12.54,840
2012-03-05,26.3,25.0,26.3,26.3,13.09,4840
2012-03-06,27.3,27.3,27.3,27.3,13.59,30
2012-03-07,28.0,27.0,27.3,27.0,13.44,150
2012-03-08,26.8,25.7,25.7,26.8,13.34,220
