Date,High,Low,Open,Close,adjust,Volume
2018-08-20,15.2,15.2,15.2,15.2,13.15,176720
2018-08-21,16.25,16.25,16.25,16.25,14.05,162480
2018-08-22,17.35,17.3,17.35,17.35,15.01,313040
2018-08-23,18.55,17.5,17.5,18.55,16.04,210380
2018-08-24,19.5,17.3,18.55,19.0,16.43,289430
2018-08-27,19.0,17.9,17.9,17.9,15.48,121410
2018-08-28,17.85,16.75,16.9,16.75,14.49,113440
2018-08-29,16.5,15.6,16.5,16.0,13.84,111000
2018-08-30,16.4,15.95,15.95,16.35,14.14,54920
2018-08-31,16.8,16.0,16.0,16.8,14.53,165600
2018-09-04,17.0,16.0,16.5,16.4,14.18,157290
2018-09-05,16.35,15.9,16.35,16.25,14.05,144000
2018-09-06,16.85,15.15,15.8,16.85,14.57,258450
2018-09-07,17.25,16.0,16.3,17.25,14.92,231970
2018-09-10,17.3,16.5,16.8,17.25,14.92,230150
2018-09-11,17.4,16.7,16.7,17.3,14.96,242460
2018-09-12,17.45,17.0,17.3,17.4,15.05,132350
2018-09-13,17.5,16.7,16.7,17.5,15.14,223610
2018-09-14,17.8,16.4,16.4,17.8,15.4,305410
2018-09-17,18.5,17.6,18.0,18.5,16.0,223380
2018-09-18,19.75,18.5,18.5,19.75,17.08,300660
2018-09-19,21.1,19.9,20.0,21.1,18.25,253370
2018-09-20,21.05,20.15,20.8,20.15,17.43,221970
2018-09-21,21.55,19.5,20.55,19.5,16.87,213130
2018-09-24,20.2,19.65,20.0,20.0,17.3,186130
2018-09-25,20.7,19.65,20.7,20.7,17.9,129250
2018-09-26,20.9,19.5,20.5,19.5,16.87,45020
2018-09-27,19.8,19.05,19.8,19.5,16.87,25750
2018-09-28,19.4,18.15,19.2,19.25,16.65,138220
2018-10-01,19.5,18.5,18.9,19.5,16.87,25670
2018-10-02,20.0,18.7,18.7,20.0,17.3,111710
2018-10-03,20.0,19.4,19.7,19.9,17.21,207130
2018-10-04,21.25,19.3,19.6,20.5,17.73,310380
2018-10-05,20.85,19.3,20.5,20.85,18.03,157710
2018-10-08,20.95,20.5,20.5,20.5,17.73,92690
2018-10-09,20.4,19.7,20.4,20.25,17.51,188410
2018-10-10,20.25,19.8,20.0,19.8,17.13,135150
2018-10-11,19.0,18.6,19.8,18.6,16.09,27250
2018-10-12,19.0,18.2,18.5,19.0,16.43,25160
2018-10-15,19.0,18.2,19.0,18.2,15.74,43190
2018-10-16,18.25,18.1,18.2,18.25,15.78,27460
2018-10-17,18.9,18.0,18.0,18.7,16.17,86130
2018-10-18,18.9,18.7,18.9,18.75,16.22,26380
2018-10-19,18.9,18.75,18.9,18.85,16.3,77460
2018-10-22,19.15,18.65,18.85,19.15,16.56,63970
2018-10-23,19.6,18.95,19.15,19.2,16.61,193000
2018-10-24,20.2,19.25,19.25,20.2,17.47,207380
2018-10-25,20.0,19.5,19.5,19.9,17.21,43230
2018-10-26,19.95,19.55,19.9,19.55,16.91,135830
2018-10-29,20.1,19.55,19.55,20.1,17.38,204210
2018-10-30,20.5,19.8,20.1,20.5,17.73,249970
2018-10-31,20.5,19.8,19.85,19.95,17.69,195190
2018-11-01,20.0,19.6,20.0,19.6,17.38,66730
2018-11-02,19.75,18.3,19.6,18.4,16.31,137940
2018-11-05,18.8,18.2,18.8,18.4,16.31,118810
2018-11-06,19.65,18.45,18.45,18.5,16.4,309280
2018-11-07,19.3,18.5,18.7,18.5,16.4,254750
2018-11-08,18.9,17.25,18.6,18.0,15.96,229540
2018-11-09,18.0,17.0,18.0,17.0,15.07,266710
2018-11-12,17.7,16.0,16.8,17.65,15.65,312180
2018-11-13,17.6,17.25,17.6,17.35,15.38,219720
2018-11-14,18.55,17.5,17.55,18.55,16.45,196730
2018-11-15,19.1,18.15,18.55,18.45,16.36,189810
2018-11-16,19.7,18.45,18.5,19.7,17.46,270030
2018-11-19,19.8,19.55,19.75,19.7,17.46,238300
2018-11-20,19.8,19.2,19.65,19.5,17.29,102910
