Date,High,Low,Open,Close,adjust,Volume
2015-03-18,24.0,20.0,24.0,21.2,10.54,391350
2015-03-19,22.0,20.2,24.0,21.5,10.69,100950
2015-03-20,22.0,21.0,22.0,21.0,10.44,31280
2015-03-23,21.0,19.6,21.6,19.6,9.75,178850
2015-03-24,19.7,19.4,19.6,19.5,9.7,16140
2015-03-25,19.8,19.4,19.4,19.8,9.85,3800
2015-03-26,19.7,19.4,19.4,19.6,9.75,14030
2015-03-27,19.7,19.5,19.7,19.6,9.75,6790
2015-03-30,19.5,18.9,19.4,18.9,9.4,21650
2015-03-31,19.2,18.9,18.9,19.2,9.55,8420
2015-04-01,19.0,18.9,18.9,19.0,9.45,6700
2015-04-02,19.9,19.2,19.2,19.9,9.89,3020
2015-04-03,19.4,18.9,18.9,19.4,9.65,150
2015-04-06,19.0,18.7,19.0,19.0,9.45,3530
2015-04-07,19.4,18.2,19.4,18.3,9.1,6070
2015-04-08,18.3,17.7,18.3,18.2,9.05,27220
2015-04-09,18.8,18.0,18.2,18.8,9.35,11000
2015-04-10,19.1,18.8,19.1,19.0,9.45,1030
2015-04-13,18.8,18.5,18.8,18.5,9.2,3500
2015-04-14,19.5,18.1,18.4,19.5,9.7,115140
2015-04-15,19.5,19.0,19.5,19.0,9.45,2600
2015-04-16,19.4,18.9,19.0,19.4,9.65,35560
2015-04-17,19.9,19.1,19.9,19.7,9.8,170
2015-04-20,19.7,19.0,19.7,19.0,9.45,12860
2015-04-21,19.1,19.0,19.1,19.0,9.45,10830
2015-04-22,19.4,19.0,19.0,19.4,9.65,110
2015-04-23,20.2,19.0,19.4,19.0,9.45,10110
2015-04-24,19.3,19.1,19.2,19.3,9.6,6840
2015-04-27,20.0,19.4,19.8,20.0,9.94,3280
2015-05-04,19.7,19.0,19.5,19.7,9.8,7970
2015-05-05,19.5,18.5,18.7,19.5,9.7,22510
2015-05-06,19.4,19.4,19.4,19.4,9.65,100
2015-05-07,19.9,19.5,19.9,19.5,9.7,90
2015-05-08,20.4,19.3,19.5,19.3,9.6,11930
2015-05-11,19.4,19.4,19.4,19.4,9.65,100
2015-05-12,19.8,19.2,19.2,19.7,9.8,11330
2015-05-13,19.5,19.5,19.5,19.5,9.7,210
2015-05-14,19.5,19.5,19.5,19.5,9.7,6050
2015-05-15,19.5,18.7,19.2,19.4,9.65,2270
2015-05-18,19.7,19.3,19.7,19.5,9.7,32200
2015-05-19,19.6,19.0,19.5,19.6,9.75,7530
2015-05-20,20.0,19.6,19.6,20.0,9.94,13140
2015-05-21,20.0,19.5,20.0,20.0,9.94,6600
2015-05-22,20.2,20.1,20.1,20.1,9.99,56540
2015-05-25,20.6,20.0,20.1,20.1,9.99,30540
2015-05-26,19.7,18.8,19.7,18.8,10.16,11610
2015-05-27,19.1,18.9,18.9,19.1,10.32,14820
2015-05-28,19.2,19.0,19.1,19.2,10.37,16430
2015-05-29,19.1,19.1,19.1,19.1,10.32,121040
2015-06-01,19.1,18.8,18.8,19.0,10.26,19850
2015-06-02,18.7,18.7,18.7,18.7,10.1,250
2015-06-03,18.8,18.5,18.7,18.7,10.1,14240
2015-06-04,19.0,18.9,19.0,19.0,10.26,12240
2015-06-05,19.0,18.8,18.9,19.0,10.26,8770
2015-06-08,19.0,18.7,19.0,19.0,10.26,13750
2015-06-09,19.6,19.0,19.0,19.2,10.37,37100
2015-06-10,19.3,19.1,19.2,19.1,10.32,5920
2015-06-11,19.1,18.9,19.1,19.0,10.26,21140
2015-06-12,19.2,18.8,19.2,18.9,10.21,10850
2015-06-15,19.5,19.0,19.0,19.4,10.48,99870
2015-06-16,19.5,19.0,19.1,19.4,10.48,26940
2015-06-17,20.7,19.5,19.5,20.7,11.18,141280
2015-06-18,22.1,22.1,22.1,22.1,11.94,135100
2015-06-19,23.6,22.8,23.0,23.6,12.75,443180
2015-06-22,23.9,22.7,23.9,22.7,12.26,90270
2015-06-23,23.7,22.5,22.7,23.6,12.75,92630
