Date,High,Low,Open,Close,adjust,Volume
2017-10-31,35.6,28.0,35.6,28.0,10.52,174200
2017-11-01,28.5,26.2,28.5,26.3,9.88,45175
2017-11-02,26.5,23.5,26.2,23.5,8.83,9391
2017-11-03,22.2,21.1,22.1,21.6,8.12,60501
2017-11-06,24.8,21.5,21.6,24.8,9.32,36843
2017-11-07,27.2,24.5,24.5,27.2,10.22,53412
2017-11-08,30.7,27.0,30.0,27.5,10.33,68856
2017-11-09,29.0,26.4,27.5,26.8,10.07,21640
2017-11-10,27.0,26.5,26.5,27.0,10.15,14153
2017-11-13,25.7,24.6,25.5,25.0,9.4,15901
2017-11-14,26.0,25.0,26.0,25.2,9.47,11293
2017-11-15,25.3,25.1,25.3,25.3,9.51,57900
2017-11-16,26.0,25.3,25.4,25.4,9.55,22200
2017-11-17,26.0,25.7,25.7,25.7,9.66,22210
2017-11-20,25.3,25.0,25.2,25.0,9.4,13900
2017-11-21,25.5,24.1,25.5,24.8,9.32,40610
2017-11-22,24.8,23.8,24.8,23.8,8.94,46510
2017-11-23,24.0,23.5,23.8,24.0,9.02,16586
2017-11-24,24.5,23.8,24.0,24.0,9.02,55956
2017-11-27,24.1,23.8,24.0,24.1,9.06,27606
2017-11-28,24.4,23.9,24.0,24.0,9.02,40850
2017-11-29,25.5,23.9,24.0,24.2,9.09,88331
2017-11-30,25.2,24.3,24.5,24.5,9.21,47700
2017-12-01,25.9,24.1,25.9,25.0,9.4,99820
2017-12-04,25.5,24.4,25.0,25.5,9.58,94529
2017-12-05,27.0,25.1,25.5,27.0,10.15,38913
2017-12-06,28.8,26.9,26.9,27.8,10.45,208124
2017-12-07,28.2,27.1,28.0,27.6,10.37,119611
2017-12-08,28.5,26.2,28.0,26.2,9.85,58620
2017-12-11,27.0,25.0,27.0,26.4,9.92,90436
2017-12-12,27.8,25.0,27.0,26.9,10.11,53924
2017-12-13,27.9,25.5,27.9,25.5,9.58,60568
2017-12-14,26.4,25.4,25.5,26.4,9.92,94900
2017-12-15,26.5,25.4,26.0,26.5,9.96,58966
2017-12-18,27.8,25.8,25.8,27.0,10.15,25100
2017-12-19,28.2,26.7,27.0,27.0,10.15,100243
2017-12-20,28.3,26.0,27.7,26.0,9.77,73400
2017-12-21,27.5,26.1,26.1,27.0,10.15,6850
2017-12-22,27.3,26.9,26.9,26.9,10.11,36923
2017-12-25,27.4,26.3,27.3,26.3,9.88,19556
2017-12-26,25.9,25.4,25.5,25.9,9.73,23255
2017-12-27,25.5,25.0,25.0,25.3,9.51,11222
2017-12-28,26.0,25.1,26.0,25.8,9.7,23800
2017-12-29,26.3,25.0,25.0,26.3,9.88,9000
2018-01-02,27.0,25.7,26.2,25.8,9.7,16660
2018-01-03,26.5,25.8,26.2,26.0,9.77,20836
2018-01-04,26.5,26.0,26.0,26.4,9.92,6600
2018-01-05,27.0,25.5,26.5,26.2,9.85,4235
2018-01-08,26.0,25.2,25.6,26.0,9.77,7600
