Date,High,Low,Open,Close,adjust,Volume
2012-01-03,5.3,5.0,5.2,5.1,2.22,36300
2012-01-04,5.2,4.9,5.2,4.9,2.13,37900
2012-01-05,5.0,4.9,5.0,4.9,2.13,15900
2012-01-06,4.9,4.8,4.9,4.9,2.13,66300
2012-01-09,5.1,5.0,5.1,5.0,2.17,145400
2012-01-10,5.4,5.2,5.2,5.4,2.35,161000
2012-01-11,5.6,5.3,5.6,5.4,2.35,93400
2012-01-12,5.4,5.2,5.3,5.3,2.3,48700
2012-01-13,5.5,5.3,5.4,5.4,2.35,32600
2012-01-16,5.7,5.4,5.5,5.7,2.48,167500
2012-01-17,5.7,5.5,5.7,5.5,2.39,135800
2012-01-18,5.8,5.6,5.7,5.8,2.52,136700
2012-01-19,6.0,5.7,5.7,6.0,2.61,80900
2012-01-20,6.0,5.7,5.9,6.0,2.61,123200
2012-01-30,6.2,5.8,6.0,6.1,2.65,47500
2012-01-31,6.4,6.1,6.1,6.3,2.74,134400
2012-02-01,6.2,6.0,6.2,6.1,2.65,87700
2012-02-02,6.5,5.9,5.9,6.5,2.83,327900
2012-02-03,6.8,6.2,6.7,6.4,2.78,243800
2012-02-06,6.4,6.1,6.4,6.2,2.7,103600
2012-02-07,6.4,6.2,6.3,6.3,2.74,68900
2012-02-08,6.5,6.3,6.4,6.5,2.83,91100
2012-02-09,6.5,6.1,6.4,6.1,2.65,110000
2012-02-10,6.2,5.9,6.2,5.9,2.56,136300
2012-02-13,6.0,5.6,6.0,5.9,2.56,112300
2012-02-14,5.9,5.7,5.7,5.9,2.56,90000
2012-02-15,5.8,5.5,5.8,5.8,2.52,104800
2012-02-16,5.9,5.7,5.7,5.7,2.48,18100
2012-02-17,6.1,5.8,5.9,6.1,2.65,123100
2012-02-20,6.4,6.2,6.2,6.4,2.78,347100
2012-02-21,6.8,6.4,6.4,6.5,2.83,440300
2012-02-22,6.9,6.4,6.5,6.8,2.96,271400
2012-02-23,7.1,6.7,7.0,7.0,3.04,299500
2012-02-24,7.3,6.9,7.0,7.1,3.09,200800
2012-02-27,7.3,6.9,7.0,7.2,3.13,357400
2012-02-28,7.2,6.7,7.2,6.8,2.96,360500
2012-02-29,6.9,6.6,6.6,6.9,3.0,299100
2012-03-01,7.1,6.7,6.8,7.1,3.09,362000
2012-03-02,7.4,7.1,7.1,7.4,3.22,647000
2012-03-05,7.9,7.9,7.9,7.9,3.43,67200
2012-03-06,8.4,8.0,8.4,8.4,3.65,1740700
