Date,High,Low,Open,Close,adjust,Volume
2012-01-03,8.1,7.9,7.9,8.1,1.11,11600
2012-01-04,8.1,7.9,8.0,8.0,1.1,14400
2012-01-05,7.6,7.5,7.6,7.5,1.03,5500
2012-01-06,7.2,7.2,7.2,7.2,0.99,300
2012-01-09,7.2,7.0,7.2,7.0,0.96,10800
2012-01-10,7.4,6.8,6.8,7.4,1.02,6100
2012-01-11,7.7,7.4,7.4,7.6,1.04,500
2012-01-12,7.6,7.6,7.6,7.6,1.04,0
2012-01-13,7.7,7.5,7.5,7.7,1.06,3000
2012-01-16,7.9,7.7,7.9,7.9,1.08,6400
2012-01-17,7.9,7.8,7.9,7.8,1.07,3500
2012-01-18,8.1,8.1,8.1,8.1,1.11,100
2012-01-19,8.5,8.2,8.2,8.3,1.14,12400
2012-01-20,8.4,8.2,8.4,8.2,1.13,15300
2012-01-30,8.3,8.3,8.3,8.3,1.14,4500
2012-01-31,8.6,8.2,8.6,8.3,1.14,15400
2012-02-01,8.3,8.1,8.3,8.2,1.13,13100
2012-02-02,8.6,8.4,8.6,8.5,1.17,10800
2012-02-03,8.6,8.1,8.6,8.2,1.13,21800
2012-02-06,8.2,8.0,8.1,8.0,1.1,17000
2012-02-07,8.4,8.1,8.4,8.1,1.11,4200
2012-02-08,8.5,8.1,8.1,8.5,1.17,16200
2012-02-09,8.4,8.3,8.3,8.3,1.14,9100
2012-02-10,8.3,8.0,8.3,8.0,1.1,3900
2012-02-13,8.0,7.8,8.0,7.8,1.07,10100
2012-02-14,8.2,7.9,8.2,7.9,1.08,600
2012-02-15,8.1,8.1,8.1,8.1,1.11,900
2012-02-16,8.2,8.1,8.1,8.1,1.11,2500
2012-02-17,8.3,8.0,8.3,8.3,1.14,10800
2012-02-20,8.5,8.3,8.4,8.5,1.17,43300
2012-02-21,8.4,8.1,8.4,8.1,1.11,46100
2012-02-22,8.1,8.0,8.0,8.1,1.11,72800
2012-02-23,8.6,8.2,8.3,8.6,1.18,135300
2012-02-24,9.0,8.6,9.0,8.8,1.21,64800
2012-02-27,9.2,8.9,8.9,9.2,1.26,45200
2012-02-28,9.0,8.7,9.0,8.8,1.21,83500
2012-02-29,9.1,8.6,8.9,9.1,1.25,43200
2012-03-01,9.5,9.2,9.3,9.5,1.3,45100
2012-03-02,10.0,9.8,9.8,10.0,1.37,44300
2012-03-05,10.7,10.6,10.6,10.7,1.47,52800
2012-03-06,11.4,10.5,11.4,10.8,1.48,179300
