Date,High,Low,Open,Close,adjust,Volume
2012-01-03,15.9,15.3,15.9,15.3,2.35,13140
2012-01-04,15.9,15.3,15.9,15.3,2.35,3450
2012-01-05,15.8,15.3,15.3,15.4,2.37,80
2012-01-06,16.0,15.0,16.0,15.0,2.31,8670
2012-01-09,15.6,15.6,15.6,15.6,2.4,50
2012-01-10,16.0,16.0,16.0,16.0,2.46,150
2012-01-11,16.0,16.0,16.0,16.0,2.46,180
2012-01-12,16.0,15.3,16.0,15.8,2.43,4440
2012-01-13,15.9,15.9,15.9,15.9,2.45,30
2012-01-16,16.0,15.6,15.6,16.0,2.46,2480
2012-01-17,16.2,16.2,16.2,16.2,2.49,30
2012-01-18,16.2,16.2,16.2,16.2,2.49,33120
2012-01-19,16.5,16.1,16.1,16.5,2.54,700
2012-01-20,17.0,17.0,17.0,17.0,2.62,660
2012-01-30,17.0,17.0,17.0,17.0,2.62,0
2012-01-31,17.0,16.4,17.0,16.8,2.59,520
2012-02-01,16.3,16.0,16.3,16.1,2.48,700
2012-02-02,16.4,16.0,16.4,16.1,2.48,2990
2012-02-03,16.9,15.6,16.9,15.8,2.43,6670
2012-02-06,15.9,15.9,15.9,15.9,2.45,4850
2012-02-07,16.0,15.9,16.0,15.9,2.45,1550
2012-02-08,16.1,15.6,15.9,15.6,2.4,10250
2012-02-09,16.0,15.4,16.0,15.9,2.45,3690
2012-02-10,16.6,15.6,15.9,15.9,2.45,780
2012-02-13,15.9,15.9,15.9,15.9,2.45,40
2012-02-14,16.2,15.3,16.2,15.4,2.37,4040
2012-02-15,16.0,15.3,16.0,15.9,2.45,6050
2012-02-16,15.9,15.3,15.9,15.9,2.45,1640
2012-02-17,15.9,15.6,15.9,15.9,2.45,980
2012-02-20,16.3,15.9,15.9,16.1,2.48,2910
2012-02-21,16.7,15.9,16.7,15.9,2.45,1010
2012-02-22,16.5,15.7,15.7,16.5,2.54,3020
2012-02-23,16.7,16.2,16.2,16.7,2.57,4540
2012-02-24,16.8,16.1,16.7,16.2,2.49,4740
2012-02-27,17.0,16.8,16.8,17.0,2.62,4160
2012-02-28,17.8,16.3,17.8,17.5,2.69,1270
2012-02-29,17.3,16.7,17.0,17.3,2.66,1380
2012-03-01,17.9,17.9,17.9,17.9,2.75,170
2012-03-02,18.1,17.1,18.1,17.9,2.75,300
2012-03-05,18.7,18.1,18.6,18.7,2.88,17300
2012-03-06,19.6,17.8,19.6,18.7,2.88,2120
2012-03-07,18.7,17.8,17.8,18.7,2.88,1340
2012-03-08,18.7,17.8,18.7,18.0,2.77,1230
2012-03-09,18.0,18.0,18.0,18.0,2.77,1220
2012-03-12,18.7,17.4,18.7,18.5,2.85,7030
2012-03-13,18.5,18.5,18.5,18.5,2.85,720
2012-03-14,19.0,18.1,18.5,18.1,2.79,19140
2012-03-15,17.5,17.4,17.4,17.4,2.68,1050
2012-03-16,17.4,17.4,17.4,17.4,2.68,120
2012-03-19,18.2,17.1,18.1,18.0,2.77,2120
2012-03-20,18.4,17.5,18.0,18.3,2.82,890
2012-03-21,18.4,17.4,18.4,17.8,2.74,3480
2012-03-22,18.0,17.7,18.0,17.8,2.74,5180
2012-03-23,18.2,17.8,18.2,18.2,2.8,2010
2012-03-26,18.8,18.0,18.0,18.3,2.82,2420
2012-03-27,18.5,18.0,18.0,18.0,2.77,1570
2012-03-28,18.0,17.5,17.8,18.0,2.77,2150
2012-03-29,18.5,17.4,17.4,18.5,2.85,20
