Date,High,Low,Open,Close,adjust,Volume
2012-01-03,5.1,5.1,5.1,5.1,1.79,0
2012-01-04,5.1,5.1,5.1,5.1,1.79,0
2012-01-05,5.3,5.3,5.3,5.3,1.86,10
2012-01-06,5.3,5.3,5.3,5.3,1.86,0
2012-01-09,5.4,5.3,5.4,5.3,1.86,120
2012-01-10,5.4,5.3,5.4,5.3,1.86,20
2012-01-11,5.4,5.3,5.3,5.3,1.86,110
2012-01-12,5.3,5.3,5.3,5.3,1.86,0
2012-01-13,5.1,5.1,5.1,5.1,1.79,1010
2012-01-16,5.3,4.9,4.9,5.3,1.86,1640
2012-01-17,5.5,5.5,5.5,5.5,1.93,20
2012-01-18,5.5,5.5,5.5,5.5,1.93,0
2012-01-19,5.5,5.4,5.4,5.5,1.93,730
2012-01-20,5.5,5.5,5.5,5.5,1.93,0
2012-01-30,5.3,5.3,5.3,5.3,1.86,2000
2012-01-31,5.4,5.3,5.3,5.4,1.89,4260
2012-02-01,5.5,5.4,5.4,5.5,1.93,2680
2012-02-02,5.6,5.3,5.5,5.6,1.96,5310
2012-02-03,5.7,5.4,5.7,5.6,1.96,12410
2012-02-06,5.6,5.5,5.5,5.6,1.96,1730
2012-02-07,5.6,5.4,5.6,5.5,1.93,12800
2012-02-08,5.6,5.3,5.3,5.3,1.86,9970
2012-02-09,5.5,5.5,5.5,5.5,1.93,5050
2012-02-10,5.7,5.7,5.7,5.7,2.0,2750
2012-02-13,5.9,5.8,5.9,5.8,2.03,23590
2012-02-14,6.0,5.8,5.9,6.0,2.1,14980
2012-02-15,6.1,5.9,6.0,6.1,2.14,7200
2012-02-16,6.1,5.8,6.1,5.8,2.03,3140
2012-02-17,6.0,5.7,6.0,5.7,2.0,6470
2012-02-20,5.9,5.8,5.9,5.9,2.07,11850
2012-02-21,6.1,5.9,6.1,6.0,2.1,2530
2012-02-22,6.1,5.9,6.0,6.0,2.1,7350
2012-02-23,6.2,6.0,6.2,6.1,2.14,1070
2012-02-24,6.2,5.9,6.2,6.2,2.17,13060
2012-02-27,6.3,6.1,6.1,6.3,2.21,2590
2012-02-28,6.4,6.2,6.4,6.2,2.17,11700
2012-02-29,6.4,6.2,6.3,6.4,2.24,3970
2012-03-01,6.5,6.1,6.5,6.5,2.28,220
2012-03-02,6.6,6.3,6.4,6.6,2.31,20850
2012-03-05,6.9,6.6,6.6,6.9,2.42,26080
2012-03-06,7.2,6.9,7.2,7.0,2.45,46700
2012-03-07,7.2,6.9,7.1,7.2,2.52,71390
2012-03-08,7.1,6.9,7.0,6.9,2.42,86420
2012-03-09,6.9,6.6,6.6,6.8,2.38,61330
2012-03-12,7.0,6.5,7.0,6.5,2.28,48790
2012-03-13,6.8,6.5,6.5,6.8,2.38,58260
2012-03-14,7.0,6.7,7.0,6.9,2.42,22130
2012-03-15,7.2,6.6,6.8,7.2,2.52,71200
2012-03-16,7.4,7.2,7.4,7.2,2.52,78340
2012-03-19,7.2,7.1,7.1,7.2,2.52,59990
2012-03-20,7.2,6.9,7.0,6.9,2.42,46060
2012-03-21,7.2,6.9,6.9,7.1,2.49,73770
2012-03-22,7.2,6.9,6.9,7.0,2.45,53980
2012-03-23,7.1,6.8,6.9,6.8,2.38,62130
2012-03-26,7.1,6.9,7.0,7.1,2.49,84230
2012-03-27,7.4,7.0,7.3,7.0,2.45,218770
2012-03-28,7.3,6.9,6.9,7.3,2.56,154640
2012-03-29,7.5,7.0,7.5,7.0,2.45,88650
2012-03-30,7.1,6.8,6.9,6.8,2.38,79870
2012-04-03,7.1,7.0,7.0,7.1,2.49,75840
2012-04-04,7.4,6.8,7.4,7.1,2.49,85980
2012-04-05,7.3,7.0,7.3,7.3,2.56,60040
2012-04-06,7.4,7.1,7.1,7.2,2.52,72480
2012-04-09,7.4,7.1,7.3,7.2,2.52,91220
2012-04-10,7.5,7.1,7.2,7.3,2.56,181970
2012-04-11,7.6,7.4,7.4,7.6,2.66,168870
2012-04-12,7.9,7.4,7.8,7.6,2.66,56570
2012-04-13,7.7,7.3,7.7,7.3,2.56,46060
2012-04-16,7.6,7.2,7.5,7.3,2.56,29340
2012-04-17,7.6,7.3,7.3,7.6,2.66,114560
2012-04-18,7.9,7.6,7.9,7.8,2.73,37880
2012-04-19,7.8,7.5,7.7,7.5,2.63,45130
2012-04-20,7.8,7.8,7.8,7.8,2.73,66320
2012-04-23,8.0,7.5,8.0,7.5,2.63,25000
2012-04-24,7.8,7.6,7.8,7.8,2.73,7900
2012-04-25,8.1,8.1,8.1,8.1,2.84,15150
2012-04-26,8.5,8.5,8.5,8.5,2.98,1110
2012-04-27,8.9,8.9,8.9,8.9,3.12,24340
2012-05-02,9.3,9.3,9.3,9.3,3.26,21450
2012-05-03,9.7,9.7,9.7,9.7,3.4,1120
2012-05-04,10.1,10.1,10.1,10.1,3.54,100010
2012-05-07,10.6,10.6,10.6,10.6,3.71,10180
2012-05-08,11.1,11.1,11.1,11.1,3.89,46580
2012-05-09,11.6,11.5,11.6,11.6,4.06,73850
2012-05-10,12.1,11.1,12.1,11.1,3.89,218920
2012-05-11,11.6,11.0,11.1,11.1,3.89,126220
2012-05-14,11.6,11.1,11.6,11.3,3.96,46330
2012-05-15,11.8,11.3,11.8,11.8,4.13,49330
2012-05-16,11.9,11.7,11.7,11.9,4.17,23290
2012-05-17,11.8,11.4,11.8,11.4,3.99,75660
2012-05-18,11.0,10.9,10.9,10.9,3.82,49970
2012-05-21,11.0,10.4,10.6,11.0,3.85,56300
2012-05-22,11.3,10.5,10.6,10.5,3.68,32500
