Date,High,Low,Open,Close,adjust,Volume
2012-01-03,17.0,17.0,17.0,17.0,2.25,300
2012-01-04,17.0,17.0,17.0,17.0,2.25,0
2012-01-05,16.7,16.7,16.7,16.7,2.21,300
2012-01-06,15.7,15.7,15.7,15.7,2.08,300
2012-01-09,15.0,15.0,15.0,15.0,1.99,2200
2012-01-10,15.0,15.0,15.0,15.0,1.99,0
2012-01-11,16.0,14.8,16.0,14.8,1.96,900
2012-01-12,15.0,15.0,15.0,15.0,1.99,300
2012-01-13,15.0,15.0,15.0,15.0,1.99,0
2012-01-16,16.0,15.1,16.0,15.1,2.0,1000
2012-01-17,15.5,15.5,15.5,15.5,2.05,500
2012-01-18,15.0,15.0,15.0,15.0,1.99,200
2012-01-19,16.0,16.0,16.0,16.0,2.12,500
2012-01-20,16.0,16.0,16.0,16.0,2.12,0
2012-01-30,16.0,16.0,16.0,16.0,2.12,0
2012-01-31,16.0,16.0,16.0,16.0,2.12,0
2012-02-01,16.0,16.0,16.0,16.0,2.12,0
2012-02-02,16.0,16.0,16.0,16.0,2.12,0
2012-02-03,16.0,16.0,16.0,16.0,2.12,0
2012-02-06,16.0,16.0,16.0,16.0,2.12,1000
2012-02-07,16.0,16.0,16.0,16.0,2.12,0
2012-02-08,16.0,16.0,16.0,16.0,2.12,300
2012-02-09,16.0,16.0,16.0,16.0,2.12,0
2012-02-10,15.0,15.0,15.0,15.0,1.99,400
2012-02-13,15.0,15.0,15.0,15.0,1.99,0
2012-02-14,15.0,15.0,15.0,15.0,1.99,800
2012-02-15,15.0,15.0,15.0,15.0,1.99,900
2012-02-16,15.2,15.2,15.2,15.2,2.01,500
2012-02-17,15.2,15.2,15.2,15.2,2.01,3900
2012-02-20,15.2,15.2,15.2,15.2,2.01,0
2012-02-21,15.6,15.2,15.2,15.3,2.03,4700
2012-02-22,15.5,15.2,15.5,15.2,2.01,1500
2012-02-23,16.0,15.5,16.0,15.5,2.05,1200
2012-02-24,15.6,15.6,15.6,15.6,2.07,700
2012-02-27,15.8,15.8,15.8,15.8,2.09,2000
2012-02-28,15.8,15.8,15.8,15.8,2.09,0
2012-02-29,16.0,16.0,16.0,16.0,2.12,100
2012-03-01,15.5,15.2,15.5,15.2,2.01,500
2012-03-02,16.3,16.2,16.2,16.3,2.16,9000
2012-03-05,17.1,16.0,16.0,17.1,2.27,3500
2012-03-06,16.5,16.5,16.5,16.5,2.19,11500
2012-03-07,17.0,16.2,16.2,17.0,2.25,600
2012-03-08,17.0,16.2,17.0,16.5,2.19,1700
2012-03-09,16.0,16.0,16.0,16.0,2.12,1200
2012-03-12,15.9,15.9,15.9,15.9,2.25,200
2012-03-13,16.0,15.0,16.0,15.0,2.12,3500
2012-03-14,15.0,15.0,15.0,15.0,2.12,3500
2012-03-15,15.0,15.0,15.0,15.0,2.12,0
2012-03-16,15.1,15.1,15.1,15.1,2.14,700
2012-03-19,16.0,16.0,16.0,16.0,2.26,300
2012-03-20,16.2,16.1,16.1,16.2,2.29,700
2012-03-21,15.0,15.0,15.0,15.0,2.12,400
2012-03-22,16.0,15.2,16.0,15.2,2.15,900
2012-03-23,15.3,15.3,15.3,15.3,2.16,0
2012-03-26,16.0,15.3,15.3,16.0,2.26,4300
