Date,High,Low,Open,Close,adjust,Volume
2012-02-23,13.0,13.0,13.0,13.0,3.27,87510
2012-02-24,13.6,13.6,13.6,13.6,3.42,26590
2012-02-27,14.2,14.2,14.2,14.2,3.57,8000
2012-02-28,14.9,14.9,14.9,14.9,3.75,56630
2012-02-29,15.6,15.6,15.6,15.6,3.93,15010
2012-03-01,16.3,16.3,16.3,16.3,4.1,72150
2012-03-02,16.9,16.9,16.9,16.9,4.25,76160
2012-03-05,16.5,16.5,16.5,16.5,4.15,73360
2012-03-06,15.7,15.7,15.7,15.7,3.95,27300
2012-03-07,15.0,15.0,15.0,15.0,3.78,15630
2012-03-08,14.3,14.3,14.3,14.3,3.6,30830
2012-03-09,13.6,13.6,13.6,13.6,3.42,100580
2012-03-12,13.6,13.6,13.6,13.6,3.42,37350
2012-03-13,13.3,13.3,13.3,13.3,3.35,47580
2012-03-14,13.3,13.3,13.3,13.3,3.35,35600
2012-03-15,13.3,13.3,13.3,13.3,3.35,47460
2012-03-16,12.8,12.8,12.8,12.8,3.22,53820
2012-03-19,12.2,12.2,12.2,12.2,3.07,100310
2012-03-20,11.6,11.6,11.6,11.6,2.92,68180
2012-03-21,12.1,12.1,12.1,12.1,3.05,84930
2012-03-22,12.7,12.7,12.7,12.7,3.2,29680
2012-03-23,13.3,13.3,13.3,13.3,3.35,14490
2012-03-26,13.9,13.9,13.9,13.9,3.5,53140
2012-03-27,13.3,13.3,13.3,13.3,3.35,110890
2012-03-28,12.7,12.7,12.7,12.7,3.2,51410
2012-03-29,12.1,12.1,12.1,12.1,3.05,17900
2012-03-30,11.5,11.5,11.5,11.5,2.89,81400
2012-04-03,11.7,11.7,11.7,11.7,2.94,63740
2012-04-04,11.3,11.3,11.3,11.3,2.84,34870
2012-04-05,11.8,11.8,11.8,11.8,2.97,18820
2012-04-06,12.3,12.3,12.3,12.3,3.1,41000
2012-04-09,12.8,12.8,12.8,12.8,3.22,27730
2012-04-10,12.7,12.7,12.7,12.7,3.2,29600
2012-04-11,13.3,13.3,13.3,13.3,3.35,59870
2012-04-12,12.9,12.9,12.9,12.9,3.25,34600
2012-04-13,12.9,12.9,12.9,12.9,3.25,11400
2012-04-16,12.6,12.6,12.6,12.6,3.17,16430
2012-04-17,12.7,12.7,12.7,12.7,3.2,10020
2012-04-18,12.1,12.1,12.1,12.1,3.05,39400
2012-04-19,11.8,11.8,11.8,11.8,2.97,22000
2012-04-20,12.3,12.3,12.3,12.3,3.1,21000
2012-04-23,12.9,12.9,12.9,12.9,3.25,41060
2012-04-24,13.1,13.1,13.1,13.1,3.3,11640
2012-04-25,13.4,13.4,13.4,13.4,3.37,7400
2012-04-26,12.8,12.8,12.8,12.8,3.22,410
2012-04-27,13.0,13.0,13.0,13.0,3.27,13300
2012-05-02,12.4,12.4,12.4,12.4,3.12,6920
2012-05-03,11.8,11.8,11.8,11.8,2.97,23420
2012-05-04,12.1,12.1,12.1,12.1,3.05,17000
2012-05-07,11.7,11.7,11.7,11.7,2.94,49560
2012-05-08,11.8,11.8,11.8,11.8,2.97,55700
2012-05-09,11.9,11.9,11.9,11.9,2.99,5010
2012-05-10,11.7,11.7,11.7,11.7,2.94,33120
2012-05-11,12.2,12.2,12.2,12.2,3.07,4000
2012-05-14,11.6,11.6,11.6,11.6,2.92,11390
2012-05-15,11.4,11.4,11.4,11.4,2.87,10910
2012-05-16,11.4,11.4,11.4,11.4,2.87,15200
2012-05-17,11.4,11.4,11.4,11.4,2.87,5000
2012-05-18,11.4,11.4,11.4,11.4,2.87,2600
2012-05-21,11.8,11.8,11.8,11.8,2.97,6120
2012-05-22,11.4,11.4,11.4,11.4,2.87,9000
2012-05-23,11.5,11.5,11.5,11.5,2.89,9030
2012-05-24,11.1,11.1,11.1,11.1,2.79,2200
2012-05-25,11.6,11.6,11.6,11.6,2.92,5510
2012-05-28,11.3,11.3,11.3,11.3,2.84,5030
2012-05-29,11.3,11.3,11.3,11.3,2.84,20
2012-05-30,11.8,11.8,11.8,11.8,2.97,1940
2012-05-31,11.8,11.8,11.8,11.8,2.97,1130
2012-06-01,11.5,11.5,11.5,11.5,2.89,1370
2012-06-04,11.2,11.2,11.2,11.2,2.82,500
2012-06-05,11.7,11.7,11.7,11.7,2.94,2070
2012-06-06,12.2,12.2,12.2,12.2,3.07,2360
2012-06-07,12.3,12.3,12.3,12.3,3.1,5030
2012-06-08,11.8,11.8,11.8,11.8,2.97,1860
2012-06-11,12.1,12.1,12.1,12.1,3.05,580
2012-06-12,12.2,12.2,12.2,12.2,3.07,2010
2012-06-13,11.6,11.6,11.6,11.6,2.92,2400
2012-06-14,11.9,11.9,11.9,11.9,2.99,3000
2012-06-15,11.9,11.9,11.9,11.9,2.99,4980
2012-06-18,11.9,11.9,11.9,11.9,2.99,5380
2012-06-19,11.9,11.9,11.9,11.9,2.99,1210
2012-06-20,12.2,12.2,12.2,12.2,3.07,5050
2012-06-21,12.5,12.5,12.5,12.5,3.15,11670
2012-06-22,12.5,12.5,12.5,12.5,3.15,9410
2012-06-25,12.1,12.1,12.1,12.1,3.05,3900
2012-06-26,12.0,12.0,12.0,12.0,3.02,3170
2012-06-27,12.0,12.0,12.0,12.0,3.02,5820
2012-06-28,12.0,12.0,12.0,12.0,3.02,5000
2012-06-29,11.5,11.5,11.5,11.5,2.89,1000
2012-07-02,11.9,11.9,11.9,11.9,2.99,240
2012-07-03,11.4,11.4,11.4,11.4,2.87,6500
2012-07-04,11.4,11.4,11.4,11.4,2.87,8360
2012-07-05,11.9,11.9,11.9,11.9,2.99,3250
