Date,High,Low,Open,Close,adjust,Volume
2014-08-26,39.0,35.0,35.0,39.0,5.81,22700
2014-08-27,42.9,42.9,42.9,42.9,6.39,22100
2014-08-28,47.1,47.1,47.1,47.1,7.02,34603
2014-08-29,51.8,42.4,51.8,47.2,7.03,27929
2014-09-03,50.0,44.1,45.2,44.6,6.64,7700
2014-09-04,44.6,40.2,44.6,40.2,5.99,4251
2014-09-05,40.2,36.2,36.6,36.5,5.44,16729
2014-09-08,39.0,36.7,36.7,39.0,5.81,400
2014-09-09,38.7,36.7,37.0,38.7,5.77,7900
2014-09-10,35.5,35.0,35.5,35.3,5.26,4500
2014-09-11,35.0,34.5,35.0,35.0,5.21,2500
2014-09-12,34.5,33.5,34.5,33.5,4.99,900
2014-09-15,36.8,33.2,34.3,36.6,5.45,6000
2014-09-16,34.0,34.0,34.0,34.0,5.07,1200
2014-09-17,36.0,34.1,34.1,35.0,5.21,1000
2014-09-18,36.5,35.0,36.0,36.5,5.44,2200
2014-09-19,37.5,36.5,36.5,37.5,5.59,12400
2014-09-22,39.5,37.0,37.0,38.5,5.74,13200
2014-09-23,38.2,37.1,37.9,38.0,5.66,7600
2014-09-24,38.5,38.0,38.0,38.5,5.74,2500
2014-09-25,38.8,37.7,38.8,37.8,5.63,3500
2014-09-26,38.2,37.1,38.0,37.7,5.62,6300
2014-09-29,38.0,37.7,37.9,38.0,5.66,6400
2014-09-30,37.9,37.5,37.9,37.5,5.59,900
2014-10-01,37.9,37.9,37.9,37.9,5.65,6849
2014-10-02,37.9,37.0,37.9,37.5,5.59,7000
2014-10-03,37.9,37.4,37.5,37.5,5.59,8100
2014-10-06,37.3,37.1,37.3,37.1,5.53,3800
2014-10-07,36.8,36.6,36.8,36.6,5.45,600
2014-10-08,36.5,36.5,36.5,36.5,5.44,300
2014-10-09,36.5,36.5,36.5,36.5,5.44,2400
2014-10-10,36.1,36.0,36.0,36.0,5.36,2700
2014-10-13,36.0,36.0,36.0,36.0,5.36,600
