Date,High,Low,Open,Close,adjust,Volume
2012-07-25,20.0,19.0,20.0,19.0,16.57,337330
2012-07-26,19.9,18.2,18.3,19.9,17.36,837710
2012-07-27,20.8,19.9,20.4,20.8,18.14,667490
2012-07-30,21.8,20.4,20.6,21.8,19.02,449710
2012-07-31,22.8,22.7,22.8,22.8,19.89,520820
2012-08-01,22.7,21.7,21.7,21.7,18.93,719130
2012-08-02,22.0,20.7,21.0,21.0,18.32,477870
2012-08-03,21.0,20.0,20.5,20.8,18.14,503690
2012-08-06,21.8,20.3,20.8,21.8,19.02,535370
2012-08-07,22.8,21.9,22.0,22.8,19.89,322240
2012-08-08,23.2,22.4,23.0,22.9,19.97,261070
2012-08-09,24.0,22.8,22.9,23.4,20.41,537560
2012-08-10,23.2,22.3,22.6,22.5,19.63,501120
2012-08-13,22.0,21.2,21.5,22.0,20.56,311740
2012-08-14,22.6,21.9,22.0,22.2,20.75,166330
2012-08-15,22.5,21.3,22.4,21.5,20.09,261720
2012-08-16,21.5,21.0,21.4,21.1,19.72,305160
2012-08-17,21.6,20.5,20.8,21.5,20.09,357170
2012-08-20,22.1,21.1,21.5,21.9,20.47,285750
2012-08-21,21.2,20.9,21.2,20.9,19.53,166660
2012-08-22,19.9,19.9,19.9,19.9,18.6,264460
2012-08-23,19.0,19.0,19.0,19.0,17.76,24880
2012-08-24,18.6,18.1,18.1,18.1,16.92,745080
2012-08-27,17.2,17.2,17.2,17.2,16.08,104100
2012-08-28,16.4,16.4,16.4,16.4,15.33,179710
2012-08-29,16.5,15.7,15.7,16.0,14.95,641470
2012-08-30,16.8,15.4,15.4,16.8,15.7,881790
2012-08-31,17.4,16.6,17.0,17.4,16.26,608550
2012-09-04,17.9,16.8,17.7,16.8,15.7,469290
2012-09-05,16.7,16.0,16.3,16.1,15.05,647980
2012-09-06,16.1,15.4,15.6,15.7,14.67,534530
2012-09-07,15.7,15.2,15.4,15.3,14.3,218510
2012-09-10,15.6,14.6,15.1,14.6,13.65,218990
2012-09-11,14.0,13.9,13.9,13.9,12.99,200440
