Date,High,Low,Open,Close,adjust,Volume
2012-01-03,19.5,19.2,19.5,19.3,15.36,20550
2012-01-04,19.5,19.0,19.0,19.5,15.52,25960
2012-01-05,19.9,18.8,19.9,19.5,15.52,38310
2012-01-06,19.8,19.5,19.8,19.6,15.6,41390
2012-01-09,19.9,19.2,19.2,19.9,15.83,35920
2012-01-10,19.8,19.2,19.2,19.8,15.75,31920
2012-01-11,19.8,19.0,19.0,19.5,15.52,32020
2012-01-12,19.5,18.9,19.1,18.9,15.04,71040
2012-01-13,19.5,19.5,19.5,19.5,15.52,45010
2012-01-16,19.5,19.2,19.5,19.5,15.52,45250
2012-01-17,19.8,19.5,19.5,19.8,15.75,45480
2012-01-18,19.8,19.7,19.8,19.8,15.75,52010
2012-01-19,20.7,19.0,19.8,20.7,16.47,56190
2012-01-20,21.7,20.5,20.7,21.7,17.27,60450
2012-01-30,22.6,22.0,22.0,22.6,17.98,38620
2012-01-31,23.7,22.7,23.7,23.6,18.78,1100
2012-02-01,23.4,22.5,23.0,22.5,17.9,28090
2012-02-02,23.0,21.5,22.5,23.0,18.3,49740
2012-02-03,24.0,21.9,21.9,24.0,19.1,38500
2012-02-06,24.9,22.9,24.9,24.0,19.1,55560
2012-02-07,24.1,22.8,24.1,22.9,18.22,41030
2012-02-08,23.0,21.8,23.0,21.8,17.35,57530
2012-02-09,22.7,20.8,20.8,22.5,17.9,37640
2012-02-10,22.8,22.5,22.5,22.8,18.14,35320
2012-02-13,21.7,21.7,21.7,21.7,17.27,10
2012-02-14,20.7,20.7,20.7,20.7,16.47,10
2012-02-15,21.0,19.7,19.7,19.7,15.67,27520
2012-02-16,20.0,18.8,18.8,18.8,14.96,35570
2012-02-17,19.7,17.9,19.0,19.7,15.67,38180
2012-02-20,19.6,18.8,18.8,18.8,14.96,13320
2012-02-21,18.0,17.9,18.0,17.9,14.24,10460
2012-02-22,18.7,17.1,17.1,18.7,14.88,24250
2012-02-23,19.6,18.7,18.8,19.6,15.6,52190
2012-02-24,20.0,19.0,19.9,20.0,15.91,55940
2012-02-27,20.0,19.0,19.0,19.0,15.12,48370
2012-02-28,19.0,18.1,18.1,18.9,15.04,46140
2012-02-29,19.8,18.0,19.0,19.8,15.75,40110
2012-03-01,20.5,19.5,19.8,20.5,16.31,38960
2012-03-02,20.9,19.5,20.5,20.6,16.39,39160
2012-03-05,21.6,19.8,19.8,21.6,17.19,402150
2012-03-06,22.0,20.6,20.6,21.6,17.19,162120
2012-03-07,21.8,20.6,21.0,20.6,16.39,137160
2012-03-08,21.2,19.6,19.6,20.6,16.39,144470
2012-03-09,21.0,19.6,21.0,21.0,16.71,158280
2012-03-12,21.6,20.0,20.0,21.0,16.71,152220
2012-03-13,21.5,20.6,21.2,21.5,17.11,153340
2012-03-14,21.4,20.6,21.2,20.6,16.39,100210
2012-03-15,21.2,20.6,20.6,21.2,16.87,122040
2012-03-16,21.6,21.4,21.6,21.6,17.19,105550
2012-03-19,22.0,20.9,21.7,20.9,16.63,164520
2012-03-20,21.8,21.6,21.8,21.8,17.35,135430
2012-03-21,22.6,22.2,22.6,22.6,17.98,119600
2012-03-22,23.5,21.5,21.5,23.0,18.3,136260
2012-03-23,23.7,23.1,23.1,23.6,18.78,160920
2012-03-26,24.0,23.5,24.0,23.6,18.78,139220
2012-03-27,23.8,22.9,23.8,23.0,18.3,154100
2012-03-28,23.3,22.8,23.1,23.0,18.3,161910
2012-03-29,23.6,22.8,23.6,23.0,18.3,152720
2012-03-30,23.0,22.7,23.0,22.7,18.06,135690
2012-04-03,22.5,21.8,22.5,22.5,17.9,157050
2012-04-04,22.4,21.4,21.5,21.4,17.03,117180
2012-04-05,21.9,21.0,21.8,21.9,17.43,101780
2012-04-06,22.0,20.9,21.9,21.9,17.43,124040
2012-04-09,21.8,21.4,21.7,21.8,17.35,99030
2012-04-10,22.2,20.8,21.9,22.2,17.66,93290
2012-04-11,23.3,21.1,21.1,23.2,18.46,164950
2012-04-12,24.0,22.1,24.0,22.1,17.58,5790
2012-04-13,21.0,21.0,21.0,21.0,16.71,4670
2012-04-16,21.4,20.0,20.0,21.4,17.03,87640
2012-04-17,21.9,20.4,20.4,21.9,17.43,13660
2012-04-18,22.0,20.9,20.9,22.0,17.5,5370
2012-04-19,21.0,20.9,20.9,20.9,16.63,490
2012-04-20,20.9,19.9,19.9,20.9,16.63,8550
2012-04-23,20.9,19.9,19.9,20.9,16.63,4460
2012-04-24,20.0,19.9,19.9,19.9,15.83,13030
2012-04-25,19.1,19.0,19.0,19.0,15.12,15830
2012-04-26,19.9,18.1,18.1,19.9,15.83,12580
2012-04-27,20.8,19.0,19.0,20.8,16.55,11670
2012-05-02,19.9,19.8,19.8,19.9,15.83,12550
2012-05-03,19.0,19.0,19.0,19.0,15.12,2470
2012-05-04,18.9,18.1,18.1,18.1,14.4,25940
2012-05-07,18.8,17.2,17.4,18.8,14.96,7570
2012-05-08,18.9,18.6,18.6,18.9,15.04,3610
2012-05-09,19.4,18.1,18.5,19.4,15.44,16670
2012-05-10,19.5,18.6,19.3,19.2,15.28,6270
2012-05-11,19.0,18.4,18.4,19.0,15.12,8150
2012-05-14,19.0,18.2,18.2,19.0,15.12,8130
2012-05-15,18.9,18.5,18.5,18.9,15.04,160
2012-05-16,18.6,18.3,18.3,18.6,14.8,110
2012-05-17,18.6,17.7,17.7,18.6,14.8,19560
2012-05-18,18.1,17.7,17.8,18.1,14.4,100700
2012-05-21,18.1,17.2,17.2,18.1,14.4,9940
2012-05-22,18.0,17.2,18.0,17.2,13.69,2630
2012-05-23,16.4,16.4,16.4,16.4,13.05,7080
2012-05-24,16.9,16.0,16.9,16.0,12.73,110
2012-05-25,16.0,15.2,15.3,15.3,12.17,12880
2012-05-28,14.6,14.6,14.6,14.6,11.62,25560
2012-05-29,13.9,13.9,13.9,13.9,11.06,10430
2012-05-30,13.3,13.3,13.3,13.3,10.58,5900
2012-05-31,12.7,12.7,12.7,12.7,10.11,5220
2012-06-01,13.3,12.1,12.1,13.1,10.42,36980
2012-06-04,13.0,12.5,12.5,13.0,10.34,17510
2012-06-05,13.4,12.4,12.4,13.4,10.66,25710
2012-06-06,13.7,12.8,12.8,13.7,10.9,32260
2012-06-07,13.5,13.1,13.1,13.1,10.42,85280
2012-06-08,13.0,12.5,12.5,12.5,9.95,136560
2012-06-11,12.8,11.9,11.9,12.8,10.18,119380
2012-06-12,12.9,12.2,12.2,12.8,10.18,49990
2012-06-13,12.3,12.2,12.2,12.2,9.71,52950
2012-06-14,11.6,11.6,11.6,11.6,9.23,37190
2012-06-15,11.1,11.1,11.1,11.1,8.83,11310
2012-06-18,11.1,10.6,10.6,10.6,8.43,427280
2012-06-19,10.1,10.1,10.1,10.1,8.04,48430
2012-06-20,9.6,9.6,9.6,9.6,7.64,22530
2012-06-21,10.0,9.2,9.2,9.2,7.32,3961540
2012-06-22,9.5,8.8,8.8,8.8,7.0,2317697
2012-06-25,9.2,9.2,9.2,9.2,7.32,65880
2012-06-26,9.6,9.6,9.6,9.6,7.64,305710
2012-06-27,9.4,9.2,9.2,9.2,7.32,609550
2012-06-28,8.8,8.8,8.8,8.8,7.0,321770
2012-06-29,8.7,8.4,8.4,8.4,6.68,1279580
2012-07-02,8.6,8.0,8.6,8.0,6.37,616940
2012-07-03,7.8,7.6,7.7,7.6,6.05,451830
2012-07-04,7.3,7.3,7.3,7.3,5.81,142660
2012-07-05,7.0,7.0,7.0,7.0,5.57,48440
2012-07-06,7.3,6.7,6.8,7.2,5.73,3688220
2012-07-09,7.1,6.9,7.0,6.9,5.49,489100
2012-07-10,6.8,6.6,6.7,6.6,5.25,494280
2012-07-11,6.7,6.4,6.4,6.4,5.09,350020
2012-07-12,6.7,6.3,6.4,6.7,5.33,791760
2012-07-13,7.0,6.8,6.8,7.0,5.57,716230
2012-07-16,7.3,7.0,7.1,7.2,5.73,1264460
2012-07-17,7.5,7.0,7.1,7.4,5.89,829180
2012-07-18,7.5,7.1,7.3,7.2,5.73,798160
2012-07-19,7.5,7.0,7.2,7.5,5.97,752240
2012-07-20,7.6,7.3,7.5,7.3,5.81,851380
2012-07-23,7.3,7.0,7.2,7.0,5.57,515120
2012-07-24,6.9,6.7,6.9,6.7,5.33,395810
2012-07-25,6.7,6.4,6.6,6.6,5.25,506270
2012-07-26,6.7,6.5,6.6,6.7,5.33,304390
2012-07-27,6.7,6.4,6.6,6.4,5.09,684660
2012-07-30,6.4,6.2,6.3,6.2,4.93,713419
2012-07-31,6.4,6.2,6.3,6.2,4.93,270030
2012-08-01,6.3,6.0,6.2,6.2,4.93,275430
2012-08-02,6.5,6.3,6.3,6.5,5.17,163790
2012-08-03,6.8,6.6,6.8,6.8,5.41,1032480
2012-08-06,7.0,6.8,6.8,6.8,5.41,445330
2012-08-07,6.8,6.5,6.7,6.5,5.17,401530
2012-08-08,6.6,6.4,6.5,6.5,5.17,175560
2012-08-09,6.7,6.5,6.6,6.5,5.17,319770
2012-08-10,6.6,6.4,6.5,6.4,5.09,278620
2012-08-13,6.5,6.3,6.4,6.3,5.01,189560
2012-08-14,6.5,6.3,6.3,6.5,5.17,163860
2012-08-15,6.6,6.4,6.5,6.4,5.09,149980
2012-08-16,6.5,6.3,6.3,6.4,5.09,112150
2012-08-17,6.4,6.2,6.4,6.4,5.09,260710
2012-08-20,6.6,6.4,6.5,6.6,5.25,204450
2012-08-21,6.5,6.3,6.5,6.3,5.01,122830
2012-08-22,6.0,6.0,6.0,6.0,4.77,93450
2012-08-23,5.7,5.7,5.7,5.7,4.54,89760
2012-08-24,5.7,5.5,5.5,5.5,4.38,1324010
2012-08-27,5.4,5.3,5.3,5.3,4.22,186630
2012-08-28,5.1,5.1,5.1,5.1,4.06,40470
2012-08-29,5.1,4.9,4.9,5.0,3.98,1075910
2012-08-30,5.1,4.9,4.9,4.9,3.9,203130
2012-08-31,5.0,4.7,4.8,4.8,3.82,182330
2012-09-04,5.0,4.8,4.8,5.0,3.98,181440
2012-09-05,5.1,4.8,5.0,4.8,3.82,350040
2012-09-06,4.7,4.6,4.6,4.6,3.66,290060
2012-09-07,4.6,4.4,4.5,4.4,3.5,655120
2012-09-10,4.3,4.2,4.3,4.2,3.34,183550
2012-09-11,4.0,4.0,4.0,4.0,3.18,53700
2012-09-12,4.1,3.8,3.8,3.8,3.02,609380
2012-09-13,3.9,3.8,3.9,3.9,3.1,468100
2012-09-14,4.0,4.0,4.0,4.0,3.18,24090
2012-09-17,4.2,4.1,4.2,4.2,3.34,530470
2012-09-18,4.3,4.0,4.1,4.0,3.18,644090
2012-09-19,4.1,3.9,4.0,3.9,3.1,273000
2012-09-20,4.0,3.8,4.0,3.9,3.1,304270
2012-09-21,4.0,3.8,3.9,3.9,3.1,271470
2012-09-24,3.9,3.8,3.8,3.8,3.02,266560
2012-09-25,3.8,3.7,3.8,3.7,2.94,197020
2012-09-26,3.8,3.6,3.7,3.7,2.94,288120
2012-09-27,3.8,3.6,3.8,3.6,2.86,461700
2012-09-28,3.6,3.5,3.5,3.5,2.78,207040
2012-10-01,3.4,3.4,3.4,3.4,2.71,17610
2012-10-02,3.3,3.3,3.3,3.3,2.63,6430
2012-10-03,3.4,3.4,3.4,3.4,2.71,254370
2012-10-04,3.5,3.4,3.5,3.4,2.71,671430
2012-10-05,3.5,3.3,3.4,3.5,2.78,144250
2012-10-08,3.6,3.4,3.4,3.5,2.78,266720
2012-10-09,3.6,3.4,3.5,3.6,2.86,767090
2012-10-10,3.7,3.5,3.5,3.7,2.94,512270
2012-10-11,3.8,3.8,3.8,3.8,3.02,334630
2012-10-12,3.9,3.7,3.8,3.9,3.1,368110
2012-10-15,3.9,3.8,3.8,3.8,3.02,222260
2012-10-16,3.9,3.7,3.7,3.9,3.1,775590
2012-10-17,4.0,3.8,4.0,3.8,3.02,378370
2012-10-18,3.9,3.8,3.8,3.9,3.1,304730
2012-10-19,3.9,3.8,3.8,3.8,3.02,313810
2012-10-22,3.7,3.7,3.7,3.7,2.94,51870
2012-10-23,3.7,3.6,3.6,3.6,2.86,659660
2012-10-24,3.7,3.6,3.6,3.7,2.94,162570
2012-10-25,3.7,3.6,3.7,3.6,2.86,81440
2012-10-26,3.6,3.5,3.5,3.5,2.78,258730
2012-10-29,3.6,3.4,3.5,3.5,2.78,901560
2012-10-30,3.6,3.4,3.5,3.6,2.86,1249190
2012-10-31,3.7,3.5,3.7,3.7,2.94,801720
2012-11-01,3.7,3.6,3.6,3.6,2.86,511940
2012-11-02,3.5,3.5,3.5,3.5,2.78,111850
2012-11-05,3.5,3.4,3.4,3.4,2.71,1794970
2012-11-06,3.5,3.3,3.4,3.3,2.63,196750
2012-11-07,3.4,3.4,3.4,3.4,2.71,188690
2012-11-08,3.5,3.4,3.4,3.4,2.71,414390
2012-11-09,3.5,3.4,3.4,3.4,2.71,238500
2012-11-12,3.5,3.4,3.4,3.5,2.78,477790
2012-11-13,3.6,3.5,3.5,3.5,2.78,298640
2012-11-14,3.5,3.4,3.5,3.5,2.78,269520
2012-11-15,3.5,3.4,3.5,3.4,2.71,442750
2012-11-16,3.5,3.3,3.4,3.4,2.71,490430
2012-11-19,3.5,3.3,3.4,3.4,2.71,434110
2012-11-20,3.5,3.3,3.4,3.3,2.63,147940
2012-11-21,3.4,3.3,3.3,3.3,2.63,158070
2012-11-22,3.4,3.3,3.4,3.4,2.71,718150
2012-11-23,3.5,3.5,3.5,3.5,2.78,354080
2012-11-26,3.6,3.5,3.6,3.5,2.78,1264260
2012-11-27,3.6,3.5,3.5,3.6,2.86,239640
2012-11-28,3.6,3.5,3.6,3.5,2.78,772190
2012-11-29,3.6,3.4,3.5,3.5,2.78,565090
2012-11-30,3.5,3.4,3.5,3.4,2.71,277360
2012-12-03,3.5,3.3,3.4,3.4,2.71,452250
2012-12-04,3.5,3.4,3.4,3.4,2.71,525380
2012-12-05,3.5,3.4,3.5,3.5,2.78,840390
2012-12-06,3.6,3.4,3.4,3.5,2.78,530360
