Date,High,Low,Open,Close,adjust,Volume
2017-01-12,43.4,43.4,43.4,43.4,4.59,100
2017-01-13,43.4,43.4,43.4,43.4,4.59,0
2017-01-16,49.9,49.9,49.9,49.9,5.28,123022
2017-01-17,57.3,57.3,57.3,57.3,6.06,900
2017-01-18,65.8,65.8,65.8,65.8,6.96,1300
2017-01-19,75.6,66.5,75.6,75.6,8.0,21800
2017-01-20,84.7,78.0,78.0,84.7,8.96,1350
2017-01-23,95.6,80.1,95.6,95.6,10.11,65086
2017-01-24,94.3,71.5,90.0,94.3,9.97,38500
2017-01-25,102.6,102.0,102.0,102.6,10.85,16900
2017-02-02,103.0,100.0,103.0,100.0,10.58,2200
2017-02-03,105.0,90.0,95.0,100.0,10.58,4700
2017-02-06,100.0,99.9,100.0,99.9,10.57,2600
2017-02-07,92.0,89.0,92.0,90.0,9.52,11600
2017-02-08,92.0,83.1,91.0,88.6,9.37,33320
2017-02-09,88.6,76.2,85.0,86.0,9.1,29200
2017-02-10,85.0,84.0,85.0,84.0,8.88,11000
2017-02-13,83.0,73.5,78.5,79.0,8.36,61008
2017-02-14,82.5,74.1,76.0,81.0,8.57,56350
2017-02-15,90.0,82.8,82.8,86.5,9.15,30020
2017-02-16,86.9,85.5,86.2,85.8,9.08,59418
2017-02-17,89.0,86.0,86.0,87.5,9.25,46000
2017-02-20,89.0,87.5,89.0,88.0,9.31,99800
2017-02-21,92.0,88.9,88.9,91.5,9.68,59720
2017-02-22,99.0,91.8,91.8,97.0,10.26,58695
2017-02-23,98.0,91.1,91.1,95.5,10.1,10466
2017-02-24,95.5,94.5,95.5,95.5,10.1,16000
2017-02-27,99.9,94.0,94.0,96.0,10.15,30400
2017-02-28,95.6,95.0,95.0,95.1,10.06,13267
2017-03-01,95.5,93.5,95.4,93.5,9.89,11436
2017-03-02,93.0,90.1,91.0,92.0,9.73,17600
2017-03-03,96.5,91.4,92.0,94.0,9.94,30196
2017-03-06,96.5,95.0,96.0,96.0,10.15,41493
2017-03-07,98.7,96.4,96.4,97.0,10.26,50395
2017-03-08,98.0,96.3,96.3,97.1,10.27,11913
2017-03-09,97.7,97.0,97.7,97.5,10.31,21211
2017-03-10,104.9,98.0,98.0,102.0,10.79,74848
2017-03-13,116.7,104.0,104.0,116.7,12.34,88634
2017-03-14,124.9,117.2,122.0,120.5,12.75,30700
2017-03-15,124.0,118.0,124.0,119.9,12.68,36498
2017-03-16,123.9,116.3,116.3,122.5,12.96,31129
2017-03-17,125.0,119.0,125.0,121.5,12.85,7082
2017-03-20,120.0,116.3,120.0,118.0,12.48,41374
2017-03-21,123.0,118.0,118.0,120.4,12.73,64914
2017-03-22,120.5,113.0,120.5,115.0,12.16,63127
2017-03-23,122.0,114.0,115.9,119.0,12.59,55000
2017-03-24,123.0,120.0,120.0,121.9,12.89,42910
2017-03-27,126.0,116.0,120.0,125.7,13.3,68097
2017-03-28,135.7,125.0,125.0,133.9,14.16,42481
2017-03-29,138.0,135.0,135.0,137.0,14.49,36461
2017-03-30,140.8,138.9,140.5,140.0,14.81,82729
2017-03-31,139.2,120.1,139.2,123.0,13.01,154254
2017-04-03,125.0,118.0,122.0,119.5,12.64,46910
2017-04-04,122.7,119.5,120.0,121.1,12.81,22400
2017-04-05,124.0,110.0,124.0,114.0,12.06,82926
2017-04-07,117.0,112.5,116.0,115.0,12.16,20382
2017-04-10,121.0,114.0,114.0,116.5,12.32,81468
2017-04-11,118.0,113.0,115.5,114.8,12.14,16850
2017-04-12,115.8,100.0,115.8,106.0,11.21,29100
2017-04-13,107.0,96.6,106.3,99.9,10.57,94347
2017-04-14,97.0,88.1,97.0,93.0,9.84,31780
2017-04-17,97.0,91.1,96.0,92.0,9.73,80400
2017-04-18,92.0,88.1,91.2,90.9,9.61,54140
2017-04-19,94.4,90.0,94.0,94.4,9.98,28150
2017-04-20,106.0,94.2,95.9,102.0,10.79,47978
2017-04-21,105.0,99.0,103.9,101.3,10.71,27100
2017-04-24,101.9,94.0,100.0,94.5,10.0,26300
2017-04-25,95.9,92.0,95.9,95.0,10.05,149300
2017-04-26,96.7,92.0,95.5,94.0,9.94,5930
2017-04-27,100.0,94.2,95.0,94.9,10.04,44200
2017-04-28,95.0,93.0,95.0,93.0,9.84,9700
2017-05-03,93.0,91.5,93.0,93.0,9.84,4700
