Date,High,Low,Open,Close,adjust,Volume
2012-01-03,24.1,23.4,24.0,23.5,7.22,215580
2012-01-04,23.3,23.0,23.1,23.1,7.09,239970
2012-01-05,23.1,22.7,23.1,22.7,6.97,406030
2012-01-06,22.9,22.5,22.9,22.5,6.91,166820
2012-01-09,23.1,22.6,23.1,23.1,7.09,252650
2012-01-10,23.9,22.9,22.9,23.6,7.25,194510
2012-01-11,24.2,23.7,24.0,24.0,7.37,211340
2012-01-12,24.0,23.5,23.8,23.8,7.31,114370
2012-01-13,24.0,23.7,23.9,23.7,7.28,158040
2012-01-16,23.9,23.6,23.8,23.8,7.31,191080
2012-01-17,24.0,23.6,24.0,23.6,7.25,454230
2012-01-18,24.5,23.9,24.0,24.3,7.46,127020
2012-01-19,25.5,24.3,24.3,25.5,7.83,266780
2012-01-20,26.5,25.6,25.8,26.0,7.98,229080
2012-01-30,27.3,26.0,26.0,27.3,8.38,291660
2012-01-31,28.4,27.0,28.0,27.0,8.29,581680
2012-02-01,27.6,26.5,27.0,27.6,8.47,358540
2012-02-02,28.9,27.8,28.0,28.8,8.84,420010
2012-02-03,30.1,28.0,29.5,28.0,8.6,600970
2012-02-06,28.2,27.4,28.2,27.6,8.47,171500
2012-02-07,28.0,27.1,27.8,27.7,8.5,438490
2012-02-08,28.4,27.6,27.7,28.2,8.66,430080
2012-02-09,28.5,27.8,28.3,28.0,8.6,412550
2012-02-10,29.1,27.7,28.1,28.5,8.75,682740
2012-02-13,29.5,28.4,28.5,28.9,8.87,414930
2012-02-14,29.3,28.7,28.7,29.0,8.9,369100
2012-02-15,29.3,28.6,29.3,28.7,8.81,374160
2012-02-16,29.0,28.5,28.7,28.7,8.81,280210
2012-02-17,29.0,28.7,28.9,28.9,8.87,249590
2012-02-20,30.0,29.2,29.3,30.0,9.21,567020
2012-02-21,30.5,29.4,30.5,29.4,9.03,571280
2012-02-22,30.3,29.3,29.5,30.0,9.21,441470
2012-02-23,30.4,29.6,30.2,30.3,9.3,627690
2012-02-24,30.6,30.1,30.3,30.4,9.33,909510
2012-02-27,31.9,30.6,30.9,31.9,9.79,1473080
2012-02-28,32.1,30.7,32.0,30.7,9.43,535650
2012-02-29,31.0,30.3,30.5,31.0,9.52,589620
2012-03-01,31.1,30.6,31.0,31.1,9.55,477910
2012-03-02,31.6,30.8,31.2,31.1,9.55,616570
2012-03-05,32.6,32.1,32.3,32.6,10.01,724740
2012-03-06,33.5,31.0,33.5,31.0,9.52,1088530
2012-03-07,31.0,29.8,31.0,30.6,9.4,936190
2012-03-08,30.1,29.1,30.0,29.1,8.93,919450
2012-03-09,29.9,28.9,29.1,29.2,8.97,714080
2012-03-12,29.5,29.0,29.2,29.2,8.97,477510
2012-03-13,29.5,29.0,29.2,29.2,8.97,569770
2012-03-14,29.8,28.8,29.8,29.0,8.9,818480
2012-03-15,30.4,28.1,28.7,30.4,9.33,1135220
2012-03-16,31.5,28.9,31.5,28.9,8.87,1464170
2012-03-19,29.5,28.6,29.0,29.3,9.0,1096400
2012-03-20,30.0,29.3,29.3,29.9,9.18,733940
2012-03-21,30.8,30.0,30.0,30.5,9.36,1068380
2012-03-22,30.4,30.0,30.2,30.1,9.24,524610
2012-03-23,30.3,30.0,30.2,30.2,9.27,718280
2012-03-26,31.7,30.2,30.6,31.6,9.7,1287710
2012-03-27,31.8,30.1,31.5,30.1,9.24,736660
2012-03-28,30.5,29.4,30.0,30.4,9.33,332950
2012-03-29,30.7,30.0,30.5,30.1,9.24,370980
2012-03-30,30.0,29.2,30.0,29.2,8.97,973890
2012-04-03,30.5,29.2,29.2,30.4,9.33,674210
2012-04-04,30.7,29.9,30.7,29.9,9.18,405500
2012-04-05,30.0,29.5,29.5,30.0,9.21,372960
2012-04-06,30.3,29.9,30.3,29.9,9.18,578650
2012-04-09,30.5,29.9,30.3,30.0,9.21,220990
2012-04-10,31.0,30.0,30.0,30.3,9.3,407010
2012-04-11,31.3,30.7,31.0,30.9,9.49,1237170
2012-04-12,32.1,31.0,31.0,31.5,9.67,1203020
2012-04-13,31.8,31.2,31.5,31.5,9.67,1326430
2012-04-16,32.7,31.6,31.6,32.4,9.95,1581500
2012-04-17,34.0,32.5,32.8,34.0,10.44,1624060
2012-04-18,35.1,33.5,34.8,33.8,10.38,971140
2012-04-19,33.8,32.4,33.8,32.5,9.98,920950
2012-04-20,33.1,32.4,32.5,32.6,10.01,1111840
2012-04-23,33.1,32.6,32.9,32.6,10.01,804990
2012-04-24,32.8,32.3,32.6,32.8,10.07,981660
2012-04-25,34.4,33.2,33.2,34.3,10.53,1667770
2012-04-26,36.0,35.2,36.0,35.2,10.81,2817970
2012-04-27,36.3,35.3,35.7,36.0,11.05,730380
2012-05-02,37.5,36.4,36.8,36.7,11.27,1391210
2012-05-03,37.0,35.9,36.8,36.8,11.3,1191550
2012-05-04,37.7,36.8,36.8,37.5,11.51,872420
2012-05-07,39.3,38.9,39.2,39.3,12.07,1135050
2012-05-08,41.2,39.3,39.5,40.8,12.53,1543250
2012-05-09,41.2,40.2,40.8,40.7,12.5,898660
2012-05-10,40.9,39.0,40.6,39.1,12.0,1476510
2012-05-11,39.3,38.6,39.2,38.8,11.91,1401790
2012-05-14,38.9,36.9,38.8,37.0,11.36,1612790
2012-05-15,37.3,35.7,36.2,36.1,11.08,1448580
2012-05-16,34.7,32.5,34.6,33.3,10.99,1632050
2012-05-17,34.3,33.5,33.5,33.5,11.05,1038010
2012-05-18,33.2,32.0,33.1,32.6,10.75,990960
2012-05-21,34.2,32.9,32.9,34.2,11.28,654530
2012-05-22,35.8,34.0,34.7,34.5,11.38,1007690
2012-05-23,34.6,33.6,34.5,33.7,11.12,824900
2012-05-24,34.0,32.7,33.5,33.5,11.05,604320
2012-05-25,35.1,34.0,34.5,35.1,11.58,957110
2012-05-28,36.0,34.1,36.0,34.6,11.41,556370
2012-05-29,34.7,34.3,34.6,34.6,11.41,435860
2012-05-30,35.1,34.7,34.9,34.7,11.45,498960
2012-05-31,34.6,33.7,34.6,33.7,11.12,700610
2012-06-01,34.2,33.6,34.2,33.7,11.12,333980
2012-06-04,33.4,32.2,33.4,32.4,10.69,973570
2012-06-05,33.4,32.1,32.4,33.4,11.02,598350
2012-06-06,34.0,33.3,33.4,34.0,11.22,373460
2012-06-07,35.0,34.1,34.2,34.5,11.38,905890
2012-06-08,35.0,34.0,35.0,34.0,11.22,756460
2012-06-11,34.5,33.9,34.0,34.0,11.22,451620
2012-06-12,34.1,33.7,33.9,33.7,11.12,250980
2012-06-13,34.2,33.6,33.7,34.0,11.22,337550
2012-06-14,34.0,33.6,34.0,33.6,11.08,275220
2012-06-15,35.0,33.9,33.9,35.0,11.55,1126070
2012-06-18,35.5,34.8,35.0,34.8,11.48,554150
2012-06-19,34.7,34.2,34.6,34.4,11.35,983730
2012-06-20,34.8,34.4,34.8,34.5,11.38,188140
2012-06-21,34.8,34.4,34.5,34.4,11.35,131610
2012-06-22,35.1,34.2,34.5,34.5,11.38,530350
2012-06-25,35.0,34.2,34.9,34.3,11.32,358480
2012-06-26,34.5,33.9,34.1,34.0,11.22,391720
2012-06-27,34.6,34.0,34.4,34.0,11.22,311560
2012-06-28,34.0,33.3,33.3,33.8,11.15,167210
2012-06-29,34.6,34.0,34.0,34.3,11.32,182250
2012-07-02,34.5,33.8,34.3,33.8,11.15,126460
2012-07-03,34.1,33.5,34.1,33.6,11.08,201700
2012-07-04,34.0,33.6,34.0,33.6,11.08,114440
2012-07-05,34.0,33.5,33.6,33.9,11.18,184840
2012-07-06,34.5,34.0,34.0,34.0,11.22,108480
2012-07-09,34.0,33.5,34.0,33.5,11.05,359200
2012-07-10,33.6,33.2,33.2,33.2,10.95,184620
2012-07-11,33.6,33.1,33.2,33.5,11.05,73290
2012-07-12,33.9,33.1,33.1,33.3,10.99,86530
2012-07-13,34.8,33.7,33.8,34.7,11.45,582150
2012-07-16,35.2,34.3,34.7,34.3,11.32,174810
2012-07-17,35.3,34.2,34.2,35.0,11.55,397370
2012-07-18,35.7,34.8,35.0,35.4,11.68,460120
2012-07-19,37.1,35.7,35.8,37.1,12.24,1253170
2012-07-20,38.4,36.0,38.2,36.0,11.88,895490
2012-07-23,37.8,36.8,37.0,37.2,12.27,700130
2012-07-24,37.2,36.4,37.0,36.6,12.07,747220
2012-07-25,36.5,35.8,36.4,36.2,11.94,505530
2012-07-26,37.0,35.9,37.0,36.3,11.98,258590
2012-07-27,37.6,36.4,36.4,36.7,12.11,652930
2012-07-30,37.0,36.4,36.5,36.4,12.01,228840
2012-07-31,36.9,36.4,36.8,36.5,12.04,331580
2012-08-01,36.5,36.0,36.4,36.4,12.01,176270
2012-08-02,36.6,36.2,36.2,36.3,11.98,125500
2012-08-03,37.2,36.4,36.4,36.7,12.11,461890
2012-08-06,38.0,36.8,37.0,37.5,12.37,547520
2012-08-07,37.8,37.0,37.5,37.2,12.27,517630
2012-08-08,37.7,37.2,37.3,37.5,12.37,382200
2012-08-09,37.7,37.5,37.6,37.6,12.4,552960
2012-08-10,37.7,37.3,37.7,37.3,12.31,406770
2012-08-13,37.6,37.0,37.2,37.3,12.31,190380
2012-08-14,37.5,37.2,37.2,37.4,12.34,238000
2012-08-15,39.0,37.4,37.5,38.6,12.73,970120
2012-08-16,39.7,38.6,38.6,39.3,12.96,1030430
2012-08-17,40.9,39.2,39.3,39.9,13.16,1149410
2012-08-20,40.5,39.9,40.0,40.2,13.26,574720
2012-08-21,39.5,38.2,39.1,38.5,12.7,2038740
2012-08-22,39.5,38.2,38.4,39.1,12.9,1623330
2012-08-23,39.1,37.2,39.0,37.2,12.27,1473180
2012-08-24,39.0,35.8,35.8,39.0,12.87,923800
2012-08-27,39.0,37.1,39.0,37.1,12.24,851030
2012-08-28,37.6,36.0,37.1,37.2,12.27,545230
2012-08-29,39.0,38.3,38.5,39.0,12.87,829890
2012-08-30,40.1,39.2,39.5,39.3,12.96,720910
2012-08-31,40.1,39.2,39.5,40.0,13.2,756880
2012-09-04,41.2,40.1,40.1,40.7,13.43,676140
2012-09-05,41.8,40.0,41.0,41.0,13.53,1057680
2012-09-06,41.0,39.6,40.6,39.6,13.06,688880
2012-09-07,40.3,39.6,40.0,40.3,13.29,707940
2012-09-10,40.2,38.4,40.2,38.4,12.67,1231190
2012-09-11,39.4,38.0,38.0,39.2,12.93,848910
2012-09-12,39.2,38.0,38.9,38.7,13.28,428960
2012-09-13,39.3,38.5,38.6,39.2,13.45,748170
2012-09-14,40.0,38.9,39.6,38.9,13.34,1209980
2012-09-17,38.5,37.3,38.2,37.5,12.86,1422000
2012-09-18,38.1,36.6,37.5,36.9,12.66,943970
2012-09-19,37.3,36.6,36.6,37.0,12.69,929000
2012-09-20,36.9,36.2,36.9,36.6,12.55,966470
2012-09-21,37.3,36.7,37.0,37.0,12.69,1139060
2012-09-24,37.2,36.5,36.7,36.9,12.66,408030
2012-09-25,37.2,36.9,36.9,37.1,12.73,344260
2012-09-26,37.7,37.2,37.3,37.2,12.76,459410
2012-09-27,37.4,36.8,37.2,36.8,12.62,490040
2012-09-28,36.8,36.5,36.7,36.6,12.55,399680
2012-10-01,36.5,35.7,36.5,35.7,12.25,809600
2012-10-02,36.0,35.2,35.9,35.3,12.11,996620
2012-10-03,36.3,35.3,35.6,35.8,12.28,383680
2012-10-04,35.8,35.3,35.7,35.3,12.11,417050
2012-10-05,36.1,35.3,35.3,35.9,12.31,463680
2012-10-08,36.8,35.8,35.9,36.5,12.52,614610
2012-10-09,36.8,36.2,36.5,36.4,12.49,717040
2012-10-10,37.3,36.2,36.2,37.0,12.69,1126740
2012-10-11,37.3,36.5,37.0,36.6,12.55,972110
2012-10-12,36.7,36.2,36.6,36.3,12.45,299970
2012-10-15,36.5,35.7,36.3,35.8,12.28,421920
2012-10-16,36.7,35.8,35.8,36.6,12.55,302170
2012-10-17,36.6,36.0,36.6,36.2,12.42,272950
2012-10-18,36.3,36.0,36.3,36.0,12.35,429670
2012-10-19,36.1,35.6,36.0,35.9,12.31,621880
2012-10-22,36.0,35.7,35.9,35.8,12.28,268760
2012-10-23,35.9,35.6,35.6,35.9,12.31,203440
2012-10-24,36.1,35.9,35.9,35.9,12.31,381610
2012-10-25,36.0,35.7,35.7,35.9,12.31,261140
2012-10-26,36.0,35.8,35.8,35.8,12.28,311480
2012-10-29,35.9,35.7,35.9,35.8,12.28,153300
2012-10-30,35.9,35.7,35.8,35.7,12.25,176370
2012-10-31,35.9,35.7,35.7,35.9,12.31,189370
2012-11-01,36.1,35.7,35.7,35.7,12.25,279820
2012-11-02,35.0,34.2,34.3,34.4,11.8,945630
2012-11-05,35.1,34.4,34.4,35.0,12.01,263450
2012-11-06,35.1,34.8,35.0,34.9,11.97,199520
2012-11-07,35.2,34.9,34.9,34.9,11.97,254380
2012-11-08,35.2,34.8,34.9,35.2,12.07,397670
2012-11-09,35.3,34.9,35.1,35.1,12.04,230550
2012-11-12,35.6,35.1,35.1,35.5,12.18,133580
2012-11-13,35.6,35.2,35.6,35.2,12.07,190330
2012-11-14,35.4,35.0,35.1,35.1,12.04,195250
2012-11-15,35.2,34.7,35.2,34.7,11.9,232210
2012-11-16,35.0,34.7,34.7,34.9,11.97,163670
2012-11-19,35.0,34.7,34.8,34.7,11.9,268120
2012-11-20,34.9,34.7,34.8,34.9,11.97,171520
2012-11-21,35.1,34.8,35.0,34.8,11.94,109610
2012-11-22,35.2,34.9,35.0,34.9,11.97,238830
2012-11-23,35.2,35.0,35.0,35.0,12.01,165510
2012-11-26,35.0,34.7,35.0,34.9,11.97,134040
2012-11-27,34.9,34.8,34.9,34.9,11.97,86640
2012-11-28,35.0,34.8,35.0,34.8,11.94,1052570
2012-11-29,34.9,34.8,34.9,34.9,11.97,79280
2012-11-30,35.0,34.7,35.0,34.7,11.9,680310
2012-12-03,34.5,33.6,34.5,33.8,11.94,262070
2012-12-04,33.8,33.4,33.5,33.5,11.83,238130
2012-12-05,34.4,33.8,33.9,34.1,12.04,148730
2012-12-06,34.2,33.9,34.2,34.0,12.01,91310
2012-12-07,34.0,33.7,34.0,33.8,11.94,123160
2012-12-10,34.1,33.7,33.8,34.0,12.01,89120
2012-12-11,34.5,34.0,34.0,34.5,12.19,312060
2012-12-12,34.8,34.2,34.3,34.5,12.19,140640
2012-12-13,34.7,34.1,34.5,34.1,12.04,148790
2012-12-14,34.6,33.9,34.6,33.9,11.97,262580
2012-12-17,35.5,34.7,35.2,35.5,12.54,734150
2012-12-18,36.1,35.4,36.0,35.4,12.5,609590
2012-12-19,36.0,35.5,35.5,35.7,12.61,432800
2012-12-20,35.8,35.4,35.7,35.6,12.57,583120
2012-12-21,35.5,34.7,35.5,35.2,12.43,1394830
2012-12-24,35.6,35.1,35.3,35.3,12.47,481100
2012-12-25,35.9,35.3,35.3,35.9,12.68,495230
2012-12-26,35.9,35.7,35.9,35.9,12.68,322160
2012-12-27,36.0,35.7,36.0,35.7,12.61,433030
2012-12-28,35.9,35.5,35.8,35.8,12.64,731690
2013-01-02,36.6,35.9,36.0,36.5,12.89,514640
2013-01-03,37.5,36.6,37.0,37.5,13.25,1246410
2013-01-04,38.5,37.5,37.6,38.5,13.6,422070
2013-01-07,40.3,38.2,38.6,40.3,14.23,1067610
2013-01-08,41.4,40.3,40.5,41.0,14.48,1164580
2013-01-09,42.7,40.5,41.1,42.4,14.98,1687150
2013-01-10,43.8,41.0,41.3,43.8,15.47,924730
2013-01-11,44.5,42.5,44.5,42.5,15.01,1417220
2013-01-14,42.5,41.7,42.0,42.4,14.98,518750
2013-01-15,44.5,42.1,42.4,44.5,15.72,823770
2013-01-16,45.0,44.0,44.4,44.5,15.72,799320
2013-01-17,44.4,43.0,44.0,43.0,15.19,684770
2013-01-18,43.5,42.0,43.5,42.0,14.83,844560
2013-01-21,42.5,41.1,42.0,41.2,14.55,394330
2013-01-22,42.0,41.2,41.7,41.5,14.66,550540
2013-01-23,42.2,41.5,41.9,41.6,14.69,354010
2013-01-24,43.1,41.7,41.8,42.9,15.15,289180
2013-01-25,44.0,43.0,43.7,44.0,15.54,800140
2013-01-28,46.1,44.2,44.2,45.0,15.89,1076780
2013-01-29,45.5,44.2,44.9,45.5,16.07,868090
2013-01-30,47.9,45.5,45.8,45.8,16.18,885370
2013-01-31,46.5,45.5,46.0,45.8,16.18,743240
2013-02-01,46.9,45.4,45.8,46.9,16.57,758460
2013-02-04,46.9,45.4,46.9,45.4,16.04,376750
2013-02-05,45.2,44.5,45.2,44.7,15.79,698400
2013-02-06,47.1,44.7,44.7,47.1,16.64,717550
2013-02-07,47.5,46.7,47.1,46.8,16.53,293690
2013-02-08,46.8,46.0,46.8,46.5,16.42,291740
2013-02-18,46.5,45.9,46.5,45.9,16.21,408350
2013-02-19,45.9,45.1,45.9,45.5,16.07,578320
2013-02-20,45.4,44.9,45.3,45.4,16.04,650020
2013-02-21,45.4,44.0,45.4,44.0,15.54,616830
2013-02-22,44.9,42.6,44.0,43.5,15.36,911260
2013-02-25,43.5,42.9,43.5,43.1,15.22,558560
2013-02-26,43.0,42.0,43.0,42.0,14.83,804900
2013-02-27,43.5,41.6,42.1,42.2,14.91,897050
2013-02-28,42.8,42.1,42.3,42.5,15.01,488320
2013-03-01,43.0,42.3,42.4,42.6,15.05,630590
2013-03-04,42.4,41.7,42.3,41.7,14.73,807570
2013-03-05,41.7,40.0,41.7,41.0,14.48,485730
2013-03-06,42.8,41.2,42.5,42.8,15.12,340290
2013-03-07,43.8,42.7,42.8,43.0,15.19,750390
2013-03-08,44.0,43.0,43.0,44.0,15.54,489470
2013-03-11,45.7,44.5,44.5,45.7,16.14,650590
2013-03-12,45.9,44.6,45.8,45.0,15.89,1072070
2013-03-13,45.0,43.5,45.0,43.6,15.4,543910
2013-03-14,45.0,43.0,43.5,44.9,15.86,562760
2013-03-15,45.0,44.4,44.9,45.0,15.89,786490
2013-03-18,45.0,44.4,45.0,45.0,15.89,196580
2013-03-19,45.2,44.6,45.0,45.0,15.89,190040
2013-03-20,45.5,44.9,44.9,45.2,15.96,286080
2013-03-21,46.0,45.2,45.2,45.7,16.14,568840
2013-03-22,45.7,44.0,45.7,44.3,15.65,640900
2013-03-25,45.5,44.3,44.3,45.5,16.07,510000
2013-03-26,45.5,45.0,45.5,45.1,15.93,231800
2013-03-27,45.1,44.6,44.8,44.6,15.75,250460
2013-03-28,45.1,44.5,45.0,45.0,15.89,273720
2013-03-29,45.0,44.3,45.0,44.9,15.86,96360
2013-04-01,45.5,44.8,45.1,45.5,16.07,445530
2013-04-02,46.1,45.6,45.7,45.9,16.21,812710
2013-04-03,47.1,45.9,46.2,45.9,16.21,1124720
2013-04-04,46.1,44.3,45.9,44.3,15.65,445090
2013-04-05,45.3,44.4,45.0,44.7,15.79,576310
2013-04-08,46.1,45.0,45.0,46.0,16.25,683980
2013-04-09,46.4,45.9,46.0,46.2,16.32,634920
2013-04-10,46.5,44.2,46.0,44.2,15.61,1183450
2013-04-11,46.2,44.2,44.2,45.1,15.93,1144960
2013-04-12,45.3,43.9,45.3,44.3,15.65,727750
2013-04-15,44.7,43.8,44.3,44.0,15.54,646090
2013-04-16,44.4,43.2,43.7,44.0,15.54,584740
2013-04-17,44.2,43.7,44.2,43.8,15.47,295500
2013-04-18,43.8,41.6,43.1,42.0,14.83,870390
2013-04-22,42.1,41.5,42.1,41.6,14.69,256920
2013-04-23,42.0,41.6,41.6,41.8,14.76,283110
2013-04-24,42.1,41.7,41.8,41.8,14.76,437490
2013-04-25,42.3,41.8,41.8,42.0,14.83,64880
