Date,High,Low,Open,Close,adjust,Volume
2012-01-03,46.3,46.3,46.3,46.3,15.69,0
2012-01-04,44.0,44.0,44.0,44.0,14.91,2250
2012-01-05,44.0,42.6,42.6,44.0,14.91,125350
2012-01-06,44.0,44.0,44.0,44.0,14.91,0
2012-01-09,46.0,46.0,46.0,46.0,15.59,50
2012-01-10,46.0,46.0,46.0,46.0,15.59,0
2012-01-11,46.0,45.0,46.0,45.0,15.25,2050
2012-01-12,45.0,45.0,45.0,45.0,15.25,0
2012-01-13,46.8,45.0,46.6,45.0,15.25,12790
2012-01-16,46.5,45.0,45.0,46.5,15.76,370
2012-01-17,46.9,46.9,46.9,46.9,15.89,50
2012-01-18,46.9,46.9,46.9,46.9,15.89,1000
2012-01-19,47.0,47.0,47.0,47.0,15.93,800
2012-01-20,49.3,46.9,47.5,49.3,16.71,2880
2012-01-30,51.5,49.3,49.3,51.5,17.45,5560
2012-01-31,51.5,51.5,51.5,51.5,17.45,0
2012-02-01,52.0,50.0,52.0,50.5,17.11,8140
2012-02-02,51.5,50.5,50.5,51.5,17.45,860
2012-02-03,51.5,50.0,51.5,50.0,16.94,1870
2012-02-06,50.0,49.0,49.0,50.0,16.94,31140
2012-02-07,50.0,49.6,50.0,49.6,16.81,8040
2012-02-08,52.0,49.7,52.0,49.7,16.84,750
2012-02-09,50.0,49.7,50.0,50.0,16.94,4290
2012-02-10,52.0,50.0,50.0,50.0,16.94,25450
2012-02-13,52.0,51.0,52.0,52.0,17.62,7090
2012-02-14,53.0,50.0,53.0,50.0,16.94,12800
2012-02-15,50.0,50.0,50.0,50.0,16.94,0
2012-02-16,50.0,50.0,50.0,50.0,16.94,0
2012-02-17,50.0,50.0,50.0,50.0,16.94,1810
2012-02-20,50.0,50.0,50.0,50.0,16.94,630
2012-02-21,52.5,51.0,52.5,51.5,17.45,2330
2012-02-22,52.5,51.5,52.5,52.5,17.79,53020
2012-02-23,52.5,52.5,52.5,52.5,17.79,1640
2012-02-24,52.5,49.9,52.5,49.9,16.91,5340
2012-02-27,51.5,49.5,51.0,49.5,16.77,9710
2012-02-28,50.0,47.5,50.0,49.5,16.77,9600
2012-02-29,51.0,47.3,49.3,51.0,17.28,2300
2012-03-01,51.0,48.5,48.7,48.5,16.44,91020
2012-03-02,49.5,46.7,49.5,48.5,16.44,4870
2012-03-05,50.5,50.0,50.0,50.5,17.11,219850
2012-03-06,51.5,48.0,51.5,48.2,16.33,7170
2012-03-07,50.5,48.2,48.2,50.0,16.94,208010
2012-03-08,52.5,49.5,49.5,52.5,17.79,23410
2012-03-09,55.0,52.0,52.0,55.0,18.64,594170
2012-03-12,57.0,55.0,57.0,55.0,18.64,46140
2012-03-13,56.0,55.0,55.0,56.0,18.98,26100
2012-03-14,56.5,55.0,56.0,55.0,18.64,22530
2012-03-15,55.5,52.5,55.0,55.5,18.81,25410
2012-03-16,55.5,54.5,55.5,54.5,18.47,38100
2012-03-19,54.0,52.0,52.0,52.0,17.62,20360
2012-03-20,53.5,51.0,52.0,53.5,18.13,10670
2012-03-21,55.0,52.0,53.5,55.0,18.64,27650
2012-03-22,55.0,52.5,53.5,55.0,18.64,6600
2012-03-23,55.0,54.0,55.0,54.5,18.47,31820
2012-03-26,55.0,54.0,55.0,54.0,18.3,2100
2012-03-27,55.0,54.0,55.0,54.5,18.47,15320
2012-03-28,54.5,54.5,54.5,54.5,18.47,1000
