Date,High,Low,Open,Close,adjust,Volume
2012-01-03,3.1,2.9,2.9,2.9,1.86,38740
2012-01-04,2.9,2.8,2.8,2.9,1.86,277120
2012-01-05,3.0,2.9,3.0,3.0,1.93,114820
2012-01-06,3.1,3.0,3.1,3.1,1.99,42640
2012-01-09,3.2,3.0,3.0,3.2,2.05,32040
2012-01-10,3.3,3.2,3.3,3.3,2.12,50090
2012-01-11,3.4,3.2,3.3,3.3,2.12,92470
2012-01-12,3.3,3.2,3.3,3.3,2.12,19110
2012-01-13,3.3,3.2,3.2,3.3,2.12,2050
2012-01-16,3.2,3.2,3.2,3.2,2.05,46150
2012-01-17,3.2,3.1,3.1,3.2,2.05,86510
2012-01-18,3.3,3.2,3.2,3.3,2.12,22000
2012-01-19,3.4,3.3,3.3,3.4,2.18,6900
2012-01-20,3.5,3.5,3.5,3.5,2.25,3720
2012-01-30,3.6,3.5,3.5,3.6,2.31,11010
2012-01-31,3.7,3.5,3.7,3.7,2.38,17930
2012-02-01,3.7,3.6,3.7,3.6,2.31,3210
2012-02-02,3.7,3.5,3.7,3.7,2.38,79070
2012-02-03,3.8,3.6,3.7,3.7,2.38,76980
2012-02-06,3.6,3.6,3.6,3.6,2.31,14000
2012-02-07,3.7,3.5,3.7,3.6,2.31,11990
2012-02-08,3.7,3.5,3.6,3.5,2.25,18990
2012-02-09,3.5,3.4,3.5,3.4,2.18,15470
2012-02-10,3.3,3.3,3.3,3.3,2.12,21750
2012-02-13,3.3,3.2,3.2,3.2,2.05,15430
2012-02-14,3.2,3.1,3.1,3.2,2.05,9890
2012-02-15,3.3,3.1,3.1,3.1,1.99,16340
2012-02-16,3.2,3.2,3.2,3.2,2.05,5790
2012-02-17,3.3,3.1,3.3,3.1,1.99,10100
2012-02-20,3.2,3.2,3.2,3.2,2.05,2740
2012-02-21,3.3,3.2,3.3,3.3,2.12,89540
2012-02-22,3.3,3.2,3.2,3.2,2.05,32880
2012-02-23,3.3,3.2,3.2,3.3,2.12,61280
2012-02-24,3.4,3.3,3.4,3.4,2.18,127970
2012-02-27,3.5,3.4,3.5,3.5,2.25,77380
2012-02-28,3.6,3.5,3.6,3.6,2.31,174490
2012-02-29,3.7,3.5,3.6,3.7,2.38,88660
2012-03-01,3.8,3.6,3.7,3.8,2.44,181110
2012-03-02,3.8,3.7,3.8,3.7,2.38,106350
2012-03-05,3.8,3.7,3.7,3.8,2.44,165860
2012-03-06,3.9,3.7,3.9,3.7,2.38,148330
2012-03-07,3.8,3.6,3.7,3.8,2.44,253890
2012-03-08,3.9,3.8,3.8,3.9,2.5,264910
2012-03-09,4.0,3.9,4.0,4.0,2.57,193470
2012-03-12,4.2,4.0,4.2,4.2,2.7,607670
2012-03-13,4.2,4.0,4.2,4.0,2.57,122990
2012-03-14,4.0,3.8,4.0,3.8,2.44,122450
2012-03-15,3.9,3.7,3.7,3.9,2.5,122420
2012-03-16,4.0,3.8,4.0,3.9,2.5,330430
2012-03-19,4.0,3.8,3.9,4.0,2.57,112100
2012-03-20,4.0,3.8,3.9,4.0,2.57,105340
2012-03-21,4.1,3.9,3.9,4.0,2.57,142750
2012-03-22,4.1,3.9,4.0,3.9,2.5,194430
