Date,High,Low,Open,Close,adjust,Volume
2012-01-03,6.2,6.2,6.2,6.2,4.35,4000
2012-01-04,6.2,6.2,6.2,6.2,4.35,2000
2012-01-05,6.2,6.2,6.2,6.2,4.35,3500
2012-01-06,6.2,6.2,6.2,6.2,4.35,3000
2012-01-09,6.4,6.2,6.2,6.4,4.49,400
2012-01-10,6.6,6.3,6.3,6.6,4.64,160
2012-01-11,6.6,6.6,6.6,6.6,4.64,0
2012-01-12,6.4,6.4,6.4,6.4,4.49,1500
2012-01-13,6.4,6.4,6.4,6.4,4.49,0
2012-01-16,6.7,6.3,6.3,6.7,4.71,1010
2012-01-17,6.9,6.9,6.9,6.9,4.85,100
2012-01-18,6.9,6.9,6.9,6.9,4.85,0
2012-01-19,7.2,6.7,6.7,7.2,5.06,1110
2012-01-20,7.2,7.2,7.2,7.2,5.06,0
2012-01-30,7.4,7.4,7.4,7.4,5.2,410
2012-01-31,7.4,7.4,7.4,7.4,5.2,1500
2012-02-01,7.4,7.4,7.4,7.4,5.2,0
2012-02-02,7.6,7.6,7.6,7.6,5.34,10
2012-02-03,7.4,7.3,7.4,7.3,5.13,7000
2012-02-06,7.1,7.1,7.1,7.1,4.99,2530
2012-02-07,7.4,6.9,7.1,7.4,5.2,8010
2012-02-08,7.4,7.4,7.4,7.4,5.2,0
2012-02-09,7.6,7.6,7.6,7.6,5.34,10
2012-02-10,7.6,7.3,7.4,7.6,5.34,3010
2012-02-13,7.8,7.3,7.3,7.8,5.48,6010
2012-02-14,7.5,7.5,7.5,7.5,5.27,1000
2012-02-15,7.3,7.2,7.3,7.2,5.06,3000
2012-02-16,7.0,6.9,7.0,6.9,4.85,2740
2012-02-17,7.2,7.2,7.2,7.2,5.06,130
2012-02-20,7.2,7.0,7.0,7.2,5.06,97602
2012-02-21,7.0,7.0,7.0,7.0,4.92,180
2012-02-22,6.9,6.9,6.9,6.9,4.85,500
2012-02-23,7.2,6.9,6.9,7.2,5.06,1940
2012-02-24,7.0,7.0,7.0,7.0,4.92,1000
2012-02-27,7.1,7.0,7.0,7.1,4.99,3430
2012-02-28,7.0,7.0,7.0,7.0,4.92,2030
2012-02-29,7.0,6.9,7.0,6.9,4.85,8500
2012-03-01,7.0,6.9,7.0,6.9,4.85,4500
2012-03-02,7.2,6.9,6.9,7.2,5.06,10580
2012-03-05,7.5,7.3,7.3,7.5,5.27,5490
2012-03-06,7.8,7.3,7.3,7.8,5.48,3730
2012-03-07,7.9,7.9,7.9,7.9,5.55,100
2012-03-08,7.9,7.9,7.9,7.9,5.55,0
2012-03-09,8.2,7.6,7.6,8.2,5.76,1020
2012-03-12,7.8,7.8,7.8,7.8,5.48,1000
2012-03-13,7.8,7.5,7.8,7.5,5.27,1000
2012-03-14,7.3,7.2,7.3,7.2,5.06,1740
2012-03-15,7.3,7.3,7.3,7.3,5.13,10
2012-03-16,7.0,7.0,7.0,7.0,4.92,2000
2012-03-19,7.0,7.0,7.0,7.0,4.92,0
2012-03-20,6.9,6.9,6.9,6.9,4.85,380
2012-03-21,6.9,6.9,6.9,6.9,4.85,110
2012-03-22,6.9,6.9,6.9,6.9,4.85,10
2012-03-23,6.8,6.8,6.8,6.8,4.78,90
2012-03-26,7.1,7.1,7.1,7.1,4.99,740
2012-03-27,7.3,7.3,7.3,7.3,5.13,10
2012-03-28,7.0,7.0,7.0,7.0,4.92,340
2012-03-29,6.7,6.7,6.7,6.7,4.71,260
2012-03-30,6.7,6.7,6.7,6.7,4.71,50
2012-04-03,6.7,6.7,6.7,6.7,4.71,0
