Date,High,Low,Open,Close,adjust,Volume
2018-08-07,10.4,8.0,10.0,8.7,6.19,465100
2018-08-08,10.5,8.7,8.7,9.5,6.76,452721
2018-08-09,10.1,8.6,9.9,9.9,7.05,256811
2018-08-10,9.9,8.7,9.3,8.8,6.27,213435
2018-08-13,9.9,8.5,9.5,9.9,7.05,608321
2018-08-14,9.7,8.6,9.6,9.0,6.41,215585
2018-08-15,9.5,8.6,9.4,8.9,6.34,310054
2018-08-16,9.4,8.8,9.0,9.0,6.41,254405
2018-08-17,9.4,8.8,9.0,9.1,6.48,232938
2018-08-20,9.3,8.9,9.2,8.9,6.34,312731
2018-08-21,9.3,8.6,9.2,8.9,6.34,286640
2018-08-22,9.1,8.5,8.8,8.8,6.27,414954
2018-08-23,9.2,8.7,9.0,8.8,6.27,170328
2018-08-24,10.4,9.0,9.0,9.2,6.55,680649
2018-08-27,10.2,9.0,9.2,9.0,6.41,403810
2018-08-28,9.6,8.8,9.4,9.0,6.41,280578
2018-08-29,9.0,8.8,8.9,8.8,6.27,68360
2018-08-30,9.0,8.7,8.8,9.0,6.41,92124
2018-08-31,9.2,8.7,8.7,8.8,6.27,181696
2018-09-04,8.8,8.5,8.8,8.8,6.27,60537
2018-09-05,8.9,8.3,8.8,8.6,6.12,168869
2018-09-06,8.7,8.2,8.2,8.4,5.98,185740
2018-09-07,8.5,8.1,8.5,8.3,5.91,164266
2018-09-10,8.3,7.9,8.3,8.0,5.7,185593
2018-09-11,8.7,7.5,7.9,8.7,6.19,372625
2018-09-12,8.4,7.9,8.1,8.0,5.7,176225
2018-09-13,8.2,8.0,8.1,8.1,5.77,198076
2018-09-14,8.6,8.0,8.2,8.3,5.91,181152
2018-09-17,8.5,8.1,8.5,8.2,5.84,151610
2018-09-18,8.2,8.0,8.2,8.1,5.77,134994
2018-09-19,8.1,7.9,8.0,8.0,5.7,196527
2018-09-20,8.0,7.9,8.0,8.0,5.7,193494
2018-09-21,8.7,8.0,8.1,8.3,5.91,360098
2018-09-24,9.0,8.2,8.5,8.3,5.91,248609
2018-09-25,9.6,8.5,8.5,8.9,6.34,493247
2018-09-26,9.5,8.7,9.3,9.0,6.41,435407
2018-09-27,10.0,9.0,9.4,9.4,6.69,728675
2018-09-28,10.0,9.3,9.5,9.5,6.76,804080
