Date,High,Low,Open,Close,adjust,Volume
2013-05-15,19.2,19.2,19.2,19.2,10.23,7230
2013-05-16,17.9,17.9,17.9,17.9,9.54,130
2013-05-17,16.7,16.7,16.7,16.7,8.9,10
2013-05-20,15.6,15.6,15.6,15.6,8.32,40310
2013-05-21,15.0,14.6,14.6,15.0,8.0,2723800
2013-05-22,16.0,15.5,15.7,16.0,8.53,1274270
2013-05-23,17.1,16.6,17.1,17.1,9.12,1239310
2013-05-24,17.4,16.0,17.1,16.0,8.53,2523500
2013-05-27,15.8,14.9,15.2,14.9,7.94,1470620
2013-05-28,14.5,13.9,14.4,14.5,7.73,1198810
2013-05-29,14.4,13.5,13.8,13.9,7.41,1038580
2013-05-30,14.7,13.6,13.6,14.2,7.57,374470
2013-05-31,14.4,13.5,14.0,13.5,7.2,615720
2013-06-03,13.9,13.4,13.5,13.7,7.3,429690
2013-06-04,13.8,12.9,13.7,12.9,6.88,374230
2013-06-05,13.4,12.8,13.2,12.9,6.88,284950
2013-06-06,13.2,12.7,12.8,12.7,6.77,401130
2013-06-07,13.1,12.7,12.7,12.9,6.88,437330
2013-06-10,13.2,12.4,13.0,12.5,6.66,264570
2013-06-11,13.3,12.5,12.5,13.3,7.09,1206730
2013-06-12,14.2,13.5,13.5,14.2,7.57,2728790
2013-06-13,14.8,14.2,14.7,14.2,7.57,1472800
2013-06-14,14.3,13.8,14.1,13.9,7.41,933890
2013-06-17,13.9,13.0,13.7,13.0,6.93,1093200
2013-06-18,13.3,12.9,13.0,13.0,6.93,497460
2013-06-19,13.9,13.3,13.4,13.9,7.41,983840
2013-06-20,14.5,13.9,13.9,14.1,7.52,1522520
2013-06-21,14.1,13.6,14.0,14.0,7.46,466530
2013-06-24,14.3,13.3,14.3,13.4,7.14,506810
2013-06-25,13.4,12.5,13.4,12.5,6.66,1310770
2013-06-26,12.9,12.4,12.5,12.5,6.66,467450
2013-06-27,12.8,12.6,12.7,12.7,6.77,348780
2013-06-28,12.9,12.5,12.8,12.7,6.77,333650
2013-07-01,12.8,12.4,12.6,12.5,6.66,202700
2013-07-02,12.7,12.5,12.5,12.7,6.77,256220
2013-07-03,12.8,12.5,12.6,12.6,6.72,188220
2013-07-04,12.8,12.6,12.6,12.6,6.72,196440
2013-07-05,12.7,12.5,12.6,12.6,6.72,217050
2013-07-08,12.6,12.3,12.6,12.3,6.56,199980
2013-07-09,12.4,12.3,12.4,12.3,6.56,105230
2013-07-10,12.5,12.1,12.4,12.1,6.45,205060
2013-07-11,12.2,11.9,12.1,11.9,6.34,273790
2013-07-12,12.3,11.9,11.9,12.1,6.45,194040
2013-07-15,12.5,12.2,12.2,12.4,6.61,267370
2013-07-16,12.5,12.2,12.3,12.3,6.56,94400
2013-07-17,12.3,12.1,12.3,12.1,6.45,209240
2013-07-18,12.2,11.9,12.0,12.0,6.4,91700
2013-07-19,12.1,12.0,12.1,12.0,6.4,135160
2013-07-22,12.0,11.8,11.9,11.8,6.29,136260
2013-07-23,12.0,11.7,11.8,11.7,6.24,141880
2013-07-24,12.1,11.8,12.0,12.0,6.4,227000
2013-07-25,12.0,11.4,12.0,11.4,6.08,198360
2013-07-26,11.5,10.8,11.4,10.8,5.76,398540
2013-07-29,10.9,10.3,10.9,10.3,5.49,319090
2013-07-30,10.5,10.2,10.3,10.3,5.49,292330
2013-07-31,10.3,9.8,10.2,9.9,5.28,356570
2013-08-01,10.5,9.8,9.8,10.5,5.6,429570
2013-08-02,11.0,10.3,10.7,10.3,5.49,192300
2013-08-05,11.0,10.3,10.3,10.8,5.76,411390
2013-08-06,11.0,10.6,10.7,10.9,5.81,154640
2013-08-07,10.9,10.6,10.9,10.8,5.76,152770
2013-08-08,11.2,10.7,10.7,10.8,5.76,254270
2013-08-09,10.8,10.6,10.8,10.6,5.65,110140
2013-08-12,10.6,10.3,10.5,10.5,5.6,131530
2013-08-13,10.5,10.1,10.4,10.3,5.49,313750
2013-08-14,10.4,10.1,10.2,10.3,5.49,180930
2013-08-15,10.5,10.1,10.3,10.3,5.49,189690
2013-08-16,10.7,10.3,10.3,10.5,5.6,253500
2013-08-19,10.7,10.4,10.5,10.6,5.65,242690
2013-08-20,10.8,10.4,10.7,10.6,5.65,171610
2013-08-21,10.6,10.4,10.6,10.5,5.6,225680
2013-08-22,10.6,10.2,10.5,10.2,5.44,180220
2013-08-23,10.4,10.2,10.3,10.4,5.54,261370
2013-08-26,10.4,10.2,10.4,10.4,5.54,129180
2013-08-27,10.4,10.2,10.4,10.2,5.44,47520
2013-08-28,10.2,9.9,10.2,10.2,5.44,310700
2013-08-29,10.3,9.9,10.2,10.0,5.33,115700
2013-08-30,10.1,9.8,10.0,10.0,5.33,109620
2013-09-03,10.0,9.8,10.0,9.9,5.28,57030
2013-09-04,9.9,9.6,9.8,9.6,5.12,176330
2013-09-05,9.7,9.3,9.7,9.4,5.01,172970
2013-09-06,9.7,9.3,9.7,9.5,5.06,39670
2013-09-09,9.5,9.0,9.5,9.0,4.8,176860
2013-09-10,9.2,9.0,9.0,9.1,4.85,83250
2013-09-11,9.3,9.0,9.2,9.0,4.8,77360
2013-09-12,9.0,8.8,9.0,9.0,4.8,81000
2013-09-13,9.0,8.7,9.0,8.8,4.69,55050
2013-09-16,8.9,8.2,8.7,8.3,4.42,332140
2013-09-17,8.8,8.3,8.3,8.8,4.69,192760
2013-09-18,8.8,8.5,8.8,8.5,4.53,25390
2013-09-19,8.6,8.4,8.6,8.6,4.58,78300
2013-09-20,8.5,8.4,8.5,8.4,4.48,33400
2013-09-23,8.8,8.4,8.5,8.7,4.64,302260
2013-09-24,9.0,8.7,8.8,8.8,4.69,193530
2013-09-25,9.0,8.5,8.8,8.8,4.69,264170
2013-09-26,8.9,8.6,8.7,8.8,4.69,102760
2013-09-27,8.9,8.6,8.9,8.6,4.58,113140
2013-09-30,8.8,8.5,8.6,8.8,4.69,229200
2013-10-01,9.0,8.7,8.8,8.8,4.69,295810
2013-10-02,9.4,8.8,8.8,9.3,4.96,494340
2013-10-03,9.7,9.3,9.4,9.5,5.06,339890
2013-10-04,9.7,9.3,9.3,9.6,5.12,365810
2013-10-07,10.2,9.5,9.5,10.2,5.44,1143360
2013-10-08,10.4,10.0,10.2,10.3,5.49,381410
2013-10-09,10.3,10.0,10.1,10.1,5.38,331930
2013-10-10,10.1,9.7,10.1,9.7,5.17,420440
2013-10-11,9.8,9.4,9.8,9.5,5.06,323740
2013-10-14,9.5,9.2,9.5,9.3,4.96,173550
2013-10-15,9.5,9.3,9.4,9.5,5.06,439500
2013-10-16,9.7,9.4,9.5,9.6,5.12,309420
2013-10-17,9.8,9.4,9.7,9.4,5.01,374640
2013-10-18,9.4,9.1,9.3,9.4,5.01,661430
2013-10-21,9.9,9.4,9.5,9.7,5.17,951730
2013-10-22,9.4,9.1,9.2,9.1,4.85,946400
2013-10-23,8.8,8.5,8.5,8.6,4.58,1175130
2013-10-24,9.0,8.5,8.6,8.7,4.64,543240
2013-10-25,8.7,8.4,8.7,8.4,4.48,298400
2013-10-28,8.4,7.9,8.4,7.9,4.21,395100
2013-10-29,8.0,7.7,7.9,7.9,4.21,283350
2013-10-30,8.0,7.8,7.9,7.9,4.21,88960
2013-10-31,7.9,7.8,7.8,7.9,4.21,112150
2013-11-01,8.2,7.8,7.9,8.1,4.32,338730
2013-11-04,8.3,8.0,8.1,8.3,4.42,160120
2013-11-05,8.4,8.2,8.3,8.4,4.48,141780
2013-11-06,8.3,8.0,8.3,8.1,4.32,375270
2013-11-07,8.3,8.1,8.3,8.2,4.37,202540
2013-11-08,8.2,8.0,8.1,8.1,4.32,169530
2013-11-11,8.3,8.0,8.0,8.2,4.37,412700
2013-11-12,8.5,8.2,8.2,8.2,4.37,535990
2013-11-13,8.4,8.2,8.3,8.2,4.37,133150
2013-11-14,8.3,8.1,8.2,8.1,4.32,105070
2013-11-15,8.2,8.1,8.1,8.2,4.37,117300
2013-11-18,8.4,8.2,8.3,8.2,4.37,276020
2013-11-19,8.7,8.3,8.3,8.7,4.64,925410
