Date,High,Low,Open,Close,adjust,Volume
2013-07-26,12.6,11.0,11.1,12.4,3.84,1223000
2013-07-29,13.2,11.1,12.5,12.9,4.0,1046600
2013-07-30,13.9,12.8,12.9,13.4,4.15,1243300
2013-07-31,14.1,12.2,13.4,13.1,4.06,1690100
2013-08-01,13.3,12.3,13.1,12.6,3.91,665900
2013-08-02,13.2,11.5,12.5,13.1,4.06,655000
2013-08-05,13.1,11.9,13.0,12.7,3.94,1066200
2013-08-06,12.9,12.5,12.8,12.7,3.94,697900
2013-08-07,13.9,12.8,12.9,13.9,4.31,906200
2013-08-08,14.5,13.6,13.9,14.1,4.37,1285500
2013-08-09,15.1,14.0,14.4,14.2,4.4,1208700
2013-08-12,14.4,13.8,14.2,14.4,4.46,1225800
2013-08-13,15.3,14.5,14.5,15.0,4.65,1451900
2013-08-14,15.6,14.6,15.0,15.6,4.84,1474200
2013-08-15,16.5,15.5,16.0,15.9,4.93,1436700
2013-08-16,16.4,15.5,15.8,16.1,4.99,1018500
2013-08-19,17.3,16.1,16.3,17.1,5.3,1793300
2013-08-20,17.5,15.9,17.3,16.1,4.99,1277000
2013-08-21,16.2,15.5,15.9,16.2,5.02,837700
2013-08-22,16.2,15.7,16.2,15.9,4.93,731600
2013-08-23,16.1,15.3,15.8,15.5,4.81,641300
2013-08-26,16.0,15.3,15.4,16.0,4.96,647200
2013-08-27,16.0,15.7,16.0,15.7,4.87,564600
2013-08-28,15.7,15.0,15.7,15.4,4.77,624600
2013-08-29,15.6,15.0,15.4,15.4,4.77,690000
2013-08-30,15.4,15.1,15.4,15.4,4.77,418100
2013-09-03,15.5,15.2,15.4,15.4,4.77,449300
2013-09-04,15.7,15.3,15.4,15.7,4.87,604700
2013-09-05,16.2,15.8,15.8,16.0,4.96,817200
2013-09-06,16.1,15.7,16.0,15.7,4.87,779300
2013-09-09,15.7,15.3,15.6,15.4,4.77,511000
2013-09-10,15.6,15.4,15.4,15.6,4.84,416900
2013-09-11,15.7,15.4,15.5,15.4,4.77,518600
2013-09-12,15.6,15.3,15.3,15.5,4.81,401800
2013-09-13,15.8,15.3,15.5,15.4,4.77,403400
2013-09-16,15.7,15.3,15.4,15.4,4.77,555800
2013-09-17,16.0,15.3,15.4,15.9,4.93,707200
2013-09-18,16.0,15.7,15.9,15.8,4.9,649200
2013-09-19,15.4,15.1,15.1,15.4,5.01,758300
2013-09-20,15.7,15.1,15.3,15.7,5.11,850100
2013-09-23,16.3,15.7,15.7,16.0,5.21,1299100
2013-09-24,17.6,16.1,16.2,17.6,5.73,1865400
2013-09-25,17.9,16.6,17.9,16.7,5.44,1322900
2013-09-26,16.7,15.7,16.6,15.8,5.14,1411600
2013-09-27,16.0,15.3,15.4,15.8,5.14,1064700
2013-09-30,15.8,15.2,15.6,15.6,5.08,1293900
2013-10-01,15.6,15.1,15.2,15.3,4.98,904600
2013-10-02,16.0,15.3,15.3,15.9,5.18,1011200
2013-10-03,16.1,15.5,16.0,15.7,5.11,771300
2013-10-04,15.9,15.2,15.5,15.9,5.18,864100
2013-10-07,16.3,15.9,16.0,16.3,5.31,913400
