Date,High,Low,Open,Close,adjust,Volume
2018-04-26,150.0,140.0,150.0,150.0,41.39,948210
2018-04-27,160.5,153.5,160.5,160.5,44.29,3320730
2018-05-02,168.0,166.5,168.0,168.0,46.36,907340
2018-05-03,167.5,156.3,156.3,157.0,43.32,261780
2018-05-04,154.0,147.0,147.0,149.0,41.11,57020
2018-05-07,154.8,140.2,154.8,152.0,41.94,67180
2018-05-08,155.0,149.0,155.0,150.0,41.39,59090
2018-05-09,153.5,149.0,150.0,152.4,42.05,96890
2018-05-10,154.8,152.5,154.0,154.8,42.72,89910
2018-05-11,156.5,153.1,156.0,153.1,42.25,23700
2018-05-14,159.5,150.5,153.1,150.5,41.53,40720
2018-05-15,159.9,151.0,155.0,157.0,43.32,282190
2018-05-16,160.0,157.0,160.0,157.0,43.32,113000
2018-05-17,160.0,158.0,160.0,159.5,44.01,40650
2018-05-18,160.0,158.2,159.5,159.5,44.01,35230
2018-05-21,159.9,156.0,159.9,156.1,43.07,58530
2018-05-22,163.0,156.1,160.0,156.1,43.07,188830
2018-05-23,160.0,154.5,154.5,157.0,43.32,178490
2018-05-24,98.8,93.0,98.8,93.6,43.91,186210
2018-05-25,94.1,93.6,93.6,93.6,43.91,185010
2018-05-28,93.6,90.5,93.6,91.3,42.83,31840
2018-05-29,92.0,87.0,92.0,91.0,42.69,48230
2018-05-30,91.0,87.0,91.0,87.0,40.81,89010
2018-05-31,90.5,87.0,87.0,90.4,42.41,30530
2018-06-01,90.4,89.5,90.4,90.3,42.36,37140
2018-06-04,90.3,88.5,90.3,89.0,41.75,36140
2018-06-05,90.0,89.0,89.0,89.1,41.8,111150
2018-06-06,89.3,89.0,89.1,89.3,41.89,14560
2018-06-07,91.0,89.3,90.0,90.0,42.22,120650
2018-06-08,90.0,89.0,90.0,89.9,42.17,31310
2018-06-11,90.0,89.8,90.0,90.0,42.22,113460
2018-06-12,90.1,88.0,90.1,89.0,41.75,31120
