Date,High,Low,Open,Close,adjust,Volume
2019-07-11,14.4,14.4,14.4,14.4,13.33,1305500
2019-07-12,15.4,15.35,15.4,15.4,14.26,1326000
2019-07-15,16.45,16.4,15.4,16.45,15.23,1031350
2019-07-16,15.8,15.3,15.35,15.3,14.17,504010
2019-07-17,14.25,14.25,14.25,14.25,13.19,29340
2019-07-18,13.3,13.3,13.3,13.3,12.31,8980
2019-07-19,12.4,12.4,12.4,12.4,11.48,42520
2019-07-22,11.55,11.55,11.55,11.55,10.69,180280
2019-07-23,11.5,10.75,10.75,11.0,10.18,1431110
2019-07-24,11.7,10.25,11.0,10.25,9.49,396700
2019-07-25,10.3,9.58,9.61,10.3,9.54,338650
2019-07-26,9.89,9.58,9.8,9.58,8.87,394470
2019-07-29,8.94,8.91,8.92,8.91,8.25,183100
2019-07-30,8.86,8.29,8.29,8.29,7.68,1582260
2019-07-31,8.87,8.29,8.29,8.87,8.21,222070
2019-08-01,9.49,9.28,9.28,9.49,8.79,253790
2019-08-02,10.15,9.4,10.1,9.55,8.84,384230
2019-08-05,10.2,9.8,10.2,10.2,9.44,255240
2019-08-06,10.9,10.3,10.8,10.9,10.09,118850
2019-08-07,11.65,11.5,10.8,11.65,10.79,110250
2019-08-08,12.45,11.7,12.4,12.45,11.53,339980
2019-08-09,13.3,13.3,13.3,13.3,12.31,231980
2019-08-12,14.2,13.9,14.2,14.2,13.15,491360
2019-08-13,15.15,15.15,15.15,15.15,14.03,918490
2019-08-14,16.2,14.1,16.2,14.1,13.06,746820
2019-08-15,15.05,13.15,13.15,15.05,13.93,579240
2019-08-16,16.1,14.05,16.1,16.1,14.91,475980
2019-08-19,17.1,16.1,16.2,16.2,15.0,144100
2019-08-20,16.85,15.2,15.25,16.1,14.91,145560
2019-08-21,16.2,15.0,16.2,15.0,13.89,334230
2019-08-22,15.6,13.95,15.6,13.95,12.92,246960
2019-08-23,14.8,13.0,13.05,14.1,13.06,418240
2019-08-26,14.7,13.25,14.1,13.3,12.31,114060
2019-08-27,14.15,12.8,13.8,12.9,11.94,166090
2019-08-28,13.45,12.35,12.5,12.75,11.81,160640
2019-08-29,13.2,11.9,12.0,12.0,11.11,150310
2019-08-30,12.3,11.2,12.0,11.45,10.6,219630
2019-09-03,12.0,10.7,11.45,11.9,11.02,207070
2019-09-04,12.2,11.2,11.45,12.0,11.11,98940
2019-09-05,12.3,11.6,12.15,12.2,11.3,103830
2019-09-06,12.45,11.5,11.5,12.3,11.39,152650
2019-09-09,12.75,12.1,11.5,12.3,11.39,74680
2019-09-10,12.5,11.8,12.3,12.3,11.39,92060
2019-09-11,12.35,11.8,12.3,12.25,11.34,99940
2019-09-12,12.3,11.7,12.0,11.7,10.83,109220
2019-09-13,12.0,11.55,12.0,11.95,11.06,106360
2019-09-16,12.1,11.45,12.0,11.7,10.83,137260
2019-09-17,11.85,10.9,11.85,11.1,10.28,219220
2019-09-18,11.2,10.6,11.2,11.1,10.28,75440
2019-09-19,11.5,11.1,11.5,11.2,10.37,71360
2019-09-20,11.35,10.6,11.35,11.25,10.42,151380
2019-09-23,11.15,10.65,10.65,11.1,10.28,65930
2019-09-24,11.1,10.7,11.1,11.0,10.18,122500
2019-09-25,11.05,10.75,11.0,11.0,10.18,128740
2019-09-26,11.0,10.6,11.0,10.95,10.14,46110
2019-09-27,11.5,10.7,10.95,10.95,10.14,47000
2019-09-30,11.15,10.75,11.0,11.1,10.28,75110
2019-10-01,11.2,10.9,11.2,11.15,10.32,58820
2019-10-02,11.15,10.8,11.15,11.1,10.28,68640
2019-10-03,11.1,10.8,11.1,11.1,10.28,61580
2019-10-04,11.1,10.8,11.1,11.1,10.28,37270
2019-10-07,11.1,10.5,11.1,10.5,9.72,43930
2019-10-08,10.9,10.7,10.8,10.85,10.05,28560
2019-10-09,11.0,10.7,10.9,10.7,9.91,20120
2019-10-10,11.0,10.75,10.85,10.9,10.09,51950
2019-10-11,11.0,10.5,10.9,10.6,9.81,77570
2019-10-14,11.3,10.1,10.85,11.3,10.46,296690
2019-10-15,12.05,11.95,12.05,12.05,11.16,127790
2019-10-16,12.6,12.0,12.6,12.1,11.2,78170
2019-10-17,12.1,11.4,12.05,11.7,10.83,79670
2019-10-18,11.85,11.5,11.8,11.5,10.65,66010
2019-10-21,11.9,10.9,11.9,11.7,10.83,698420
2019-10-22,11.8,11.1,11.1,11.7,10.83,117790
2019-10-23,11.7,11.3,11.7,11.7,10.83,64280
2019-10-24,11.7,11.25,11.7,11.6,10.74,50330
2019-10-25,11.6,11.0,11.6,11.5,10.65,62310
2019-10-28,11.6,11.0,11.5,11.5,10.65,54820
2019-10-29,11.6,11.0,11.6,11.0,10.18,66530
2019-10-30,11.2,10.3,10.3,11.2,10.37,76510
