Date,High,Low,Open,Close,adjust,Volume
2012-01-03,15.0,14.8,14.8,15.0,3.08,9520
2012-01-04,15.1,15.0,15.0,15.1,3.1,810
2012-01-05,15.3,14.5,15.0,14.5,2.98,810
2012-01-06,15.0,14.8,14.8,15.0,3.08,250
2012-01-09,14.3,14.3,14.3,14.3,2.94,1000
2012-01-10,15.0,15.0,15.0,15.0,3.08,110
2012-01-11,15.7,15.6,15.7,15.6,3.21,1100
2012-01-12,15.2,15.1,15.1,15.1,3.1,5060
2012-01-13,15.5,15.5,15.5,15.5,3.19,10
2012-01-16,15.5,15.2,15.5,15.2,3.13,2570
2012-01-17,15.2,14.9,15.2,15.0,3.08,1490
2012-01-18,15.7,15.3,15.3,15.7,3.23,3780
2012-01-19,15.9,15.9,15.9,15.9,3.27,730
2012-01-20,16.3,16.0,16.3,16.0,3.29,610
2012-01-30,16.6,16.6,16.6,16.6,3.41,10
2012-01-31,16.6,16.5,16.6,16.6,3.41,11160
2012-02-01,17.2,16.5,17.2,16.5,3.39,1020
2012-02-02,16.8,16.5,16.8,16.6,3.41,3360
2012-02-03,16.9,15.8,16.6,15.8,3.25,8950
2012-02-06,16.0,15.3,15.3,15.8,3.25,13060
2012-02-07,16.5,16.3,16.5,16.5,3.39,11170
2012-02-08,17.1,17.0,17.0,17.1,3.52,540
2012-02-09,17.2,17.0,17.2,17.0,3.5,10310
2012-02-10,17.3,16.3,17.3,16.3,3.35,3830
2012-02-13,16.5,15.6,15.6,16.5,3.39,1010
2012-02-14,17.3,16.5,16.7,16.6,3.41,520
2012-02-15,16.6,16.5,16.6,16.6,3.41,45986
2012-02-16,16.9,16.6,16.6,16.6,3.41,1030
2012-02-17,16.9,16.6,16.9,16.8,3.45,19520
2012-02-20,16.3,15.8,16.0,16.3,3.56,3170
2012-02-21,16.0,16.0,16.0,16.0,3.5,2430
2012-02-22,16.5,16.0,16.3,16.0,3.5,1380
2012-02-23,16.2,16.2,16.2,16.2,3.54,1010
2012-02-24,16.4,16.0,16.2,16.2,3.54,7290
2012-02-27,16.6,16.2,16.2,16.5,3.61,15060
2012-02-28,16.5,16.5,16.5,16.5,3.61,90000
2012-02-29,16.5,16.0,16.0,16.5,3.61,4800
2012-03-01,16.5,16.5,16.5,16.5,3.61,5200
2012-03-02,16.5,16.5,16.5,16.5,3.61,12020
2012-03-05,17.3,16.7,16.7,17.3,3.78,13040
2012-03-06,17.5,17.3,17.3,17.5,3.83,1670
2012-03-07,17.3,17.0,17.0,17.3,3.78,2910
2012-03-08,17.9,16.9,17.9,16.9,3.69,510
2012-03-09,17.2,17.1,17.1,17.2,3.76,700
2012-03-12,17.3,17.2,17.3,17.2,3.76,6240
2012-03-13,16.8,16.8,16.8,16.8,3.67,50
2012-03-14,16.8,16.8,16.8,16.8,3.67,860
2012-03-15,17.0,17.0,17.0,17.0,3.72,1920
2012-03-16,17.0,16.4,16.8,16.4,3.59,2460
2012-03-19,17.0,16.5,16.5,17.0,3.72,2210
2012-03-20,16.6,16.3,16.5,16.5,3.61,570
2012-03-21,17.1,16.9,16.9,17.0,3.72,20400
2012-03-22,17.0,16.8,16.8,17.0,3.72,10000
2012-03-23,17.2,17.0,17.0,17.2,3.76,610
2012-03-26,17.4,16.9,17.4,17.2,3.76,1940
2012-03-27,17.2,17.2,17.2,17.2,3.76,50
2012-03-28,17.3,17.0,17.3,17.0,3.72,3020
2012-03-29,16.9,16.4,16.7,16.9,3.69,1810
2012-03-30,16.7,16.4,16.5,16.7,3.65,3600
2012-04-03,17.2,17.0,17.2,17.0,3.72,30010
2012-04-04,17.5,17.5,17.5,17.5,3.83,10
2012-04-05,17.1,16.9,17.0,17.0,3.72,7450
2012-04-06,17.0,16.9,16.9,17.0,3.72,5000
2012-04-09,17.0,16.5,16.6,17.0,3.72,7630
2012-04-10,17.2,16.4,16.5,17.2,3.76,4330
2012-04-11,17.3,16.6,16.6,17.3,3.78,5400
2012-04-12,17.3,17.2,17.3,17.2,3.76,150
2012-04-13,17.2,17.2,17.2,17.2,3.76,0
2012-04-16,17.1,16.8,16.8,17.1,3.74,2150
2012-04-17,17.0,16.5,16.7,17.0,3.72,4430
2012-04-18,17.1,16.8,17.0,17.1,3.74,12190
