Date,High,Low,Open,Close,adjust,Volume
2012-01-03,17.6,17.5,17.6,17.5,6.69,27710
2012-01-04,17.5,17.1,17.1,17.3,6.62,1630
2012-01-05,17.1,17.0,17.1,17.1,6.54,12320
2012-01-06,17.7,16.7,17.7,16.7,6.39,19630
2012-01-09,17.5,16.7,16.7,17.5,6.69,9570
2012-01-10,17.9,17.0,17.9,17.5,6.69,12790
2012-01-11,17.3,16.9,17.2,16.9,6.47,7000
2012-01-12,17.5,17.0,17.5,17.4,6.66,9870
2012-01-13,17.9,17.6,17.9,17.7,6.77,1288963
2012-01-16,17.9,17.7,17.7,17.8,6.81,507040
2012-01-17,17.8,17.0,17.1,17.8,6.81,19000
2012-01-18,18.0,17.8,17.9,18.0,6.89,10170
2012-01-19,18.2,17.7,18.1,17.7,6.77,619080
2012-01-20,18.2,17.6,18.2,17.6,6.73,29690
2012-01-30,18.3,17.6,17.6,18.3,7.0,22270
2012-01-31,18.7,18.2,18.7,18.2,6.96,24480
2012-02-01,18.9,17.9,18.0,18.9,7.23,48310
2012-02-02,19.8,19.0,19.4,19.7,7.54,104350
2012-02-03,20.1,18.8,20.1,18.8,7.19,55090
2012-02-06,19.0,18.5,19.0,18.5,7.08,52930
2012-02-07,19.0,18.5,18.5,18.9,7.23,172860
2012-02-08,19.4,18.9,18.9,19.4,7.42,92660
2012-02-09,19.5,19.0,19.5,19.3,7.38,105750
2012-02-10,19.2,18.6,19.2,18.9,7.23,71280
2012-02-13,18.7,18.3,18.4,18.6,7.12,26050
2012-02-14,18.6,18.0,18.6,18.0,6.89,69800
2012-02-15,18.4,17.8,18.1,17.9,6.85,42030
2012-02-16,18.2,17.7,17.7,18.0,6.89,86630
2012-02-17,18.7,18.1,18.7,18.1,6.92,78290
2012-02-20,18.5,18.1,18.3,18.4,7.04,145120
2012-02-21,19.0,18.5,19.0,18.5,7.08,154010
2012-02-22,19.2,18.6,18.8,19.0,7.27,141400
2012-02-23,19.4,18.7,19.4,19.2,7.35,370060
2012-02-24,19.7,19.0,19.3,19.2,7.35,446990
2012-02-27,20.1,19.0,19.4,20.1,7.69,743010
2012-02-28,21.1,20.8,20.9,20.9,8.0,1513540
2012-02-29,21.9,20.6,20.6,21.9,8.38,410170
2012-03-01,22.9,22.0,22.8,22.1,8.45,313980
2012-03-02,22.8,22.0,22.0,22.1,8.45,453830
2012-03-05,23.2,22.8,22.9,23.2,8.88,948820
2012-03-06,24.3,22.1,24.3,22.1,8.45,823660
2012-03-07,22.8,21.3,22.1,22.8,8.72,330490
2012-03-08,22.9,21.9,22.8,21.9,8.38,452720
2012-03-09,22.9,22.0,22.0,22.9,8.76,497900
2012-03-12,24.0,24.0,24.0,24.0,9.18,748550
2012-03-13,25.2,25.2,25.2,25.2,9.64,930160
2012-03-14,25.8,24.6,25.8,25.0,9.56,608960
2012-03-15,26.0,24.2,24.5,25.8,9.87,877090
2012-03-16,26.0,24.6,26.0,24.6,9.41,521700
2012-03-19,24.6,23.5,23.5,24.1,9.22,234150
2012-03-20,25.3,23.9,24.1,24.7,9.45,505990
2012-03-21,25.6,24.9,25.4,24.9,9.53,286500
2012-03-22,25.0,24.5,25.0,25.0,9.56,244000
