Date,High,Low,Open,Close,adjust,Volume
2012-03-09,13.6,13.6,13.6,13.6,3.72,1520
2012-03-12,13.0,13.0,13.0,13.0,3.56,10
2012-03-13,12.4,12.4,12.4,12.4,3.4,1010
2012-03-14,11.8,11.8,11.8,11.8,3.23,10
2012-03-15,11.3,11.3,11.3,11.3,3.09,10
2012-03-16,10.8,10.8,10.8,10.8,2.96,2120
2012-03-19,10.3,10.3,10.3,10.3,2.82,140
2012-03-20,9.8,9.8,9.8,9.8,2.68,1220
2012-03-21,9.4,9.4,9.4,9.4,2.57,86100
2012-03-22,9.0,9.0,9.0,9.0,2.46,31770
2012-03-23,9.4,8.6,8.6,9.4,2.57,230310
2012-03-26,9.8,9.7,9.8,9.8,2.68,138100
2012-03-27,10.2,10.0,10.2,10.2,2.79,224520
2012-03-28,10.0,9.7,10.0,9.7,2.66,40470
2012-03-29,9.6,9.3,9.3,9.3,2.55,193740
2012-03-30,9.3,8.9,9.0,9.0,2.46,61870
2012-04-03,9.3,8.8,9.3,9.0,2.46,17010
2012-04-04,9.1,8.7,9.1,8.7,2.38,37610
2012-04-05,8.8,8.4,8.4,8.8,2.41,65300
2012-04-06,9.0,8.8,8.9,9.0,2.46,19190
2012-04-09,9.1,8.8,8.9,9.0,2.46,38500
2012-04-10,9.1,8.8,8.9,9.0,2.46,44560
2012-04-11,9.1,8.9,9.1,9.0,2.46,39930
2012-04-12,9.0,8.8,9.0,8.9,2.44,66750
2012-04-13,9.0,8.7,9.0,8.9,2.44,71260
2012-04-16,9.0,8.9,9.0,9.0,2.46,23020
2012-04-17,9.1,8.9,9.0,9.1,2.49,67670
2012-04-18,9.1,8.8,9.1,9.0,2.46,107640
2012-04-19,8.9,8.7,8.8,8.9,2.44,70920
2012-04-20,9.3,8.9,8.9,9.3,2.55,137370
2012-04-23,9.7,9.7,9.7,9.7,2.66,34250
2012-04-24,10.1,9.7,10.1,10.1,2.77,380040
2012-04-25,10.6,10.6,10.6,10.6,2.9,162860
2012-04-26,11.1,10.6,11.1,11.1,3.04,453130
2012-04-27,11.3,10.8,10.8,11.0,3.01,114690
2012-05-02,11.0,10.5,11.0,10.5,2.88,178840
2012-05-03,11.0,10.0,10.0,10.9,2.99,280060
2012-05-04,11.3,10.7,11.2,10.9,2.99,173810
2012-05-07,11.4,10.9,11.2,11.4,3.12,327550
2012-05-08,11.9,11.8,11.9,11.9,3.26,302480
2012-05-09,12.4,11.8,12.3,12.4,3.4,368520
2012-05-10,12.4,11.8,12.4,11.8,3.23,244330
2012-05-11,11.9,11.3,11.9,11.8,3.23,249270
2012-05-14,11.0,10.3,10.3,10.3,3.08,142580
2012-05-15,10.0,9.8,9.9,9.8,2.93,68490
2012-05-16,9.8,9.4,9.5,9.5,2.84,63900
2012-05-17,9.8,9.1,9.5,9.1,2.72,66920
2012-05-18,9.2,8.7,9.2,8.7,2.6,98800
2012-05-21,9.1,8.8,8.9,9.1,2.72,86540
2012-05-22,9.4,8.7,9.3,9.1,2.72,98840
2012-05-23,9.0,8.7,9.0,8.7,2.6,71340
2012-05-24,8.7,8.3,8.7,8.3,2.48,81160
2012-05-25,8.7,8.5,8.5,8.7,2.6,68060
2012-05-28,9.0,8.3,9.0,8.3,2.48,67330
2012-05-29,8.6,8.0,8.5,8.1,2.42,74560
2012-05-30,8.4,8.1,8.3,8.3,2.48,71870
2012-05-31,8.7,8.0,8.5,8.5,2.54,226630
2012-06-01,8.6,8.5,8.6,8.6,2.57,117750
2012-06-04,8.6,8.3,8.6,8.6,2.57,10380
2012-06-05,8.6,8.5,8.6,8.6,2.57,32530
2012-06-06,8.6,8.4,8.6,8.5,2.54,39070
2012-06-07,8.9,8.3,8.3,8.5,2.54,100790
2012-06-08,8.8,8.4,8.8,8.5,2.54,106110
2012-06-11,8.7,8.5,8.5,8.5,2.54,37060
2012-06-12,8.6,8.5,8.5,8.5,2.54,38400
2012-06-13,8.6,8.4,8.5,8.5,2.54,38400
2012-06-14,8.5,8.2,8.4,8.2,2.45,44710
2012-06-15,8.4,8.1,8.3,8.3,2.48,18690
2012-06-18,8.5,8.3,8.4,8.3,2.48,22830
2012-06-19,8.4,8.2,8.4,8.4,2.51,109830
2012-06-20,8.6,8.4,8.6,8.6,2.57,169150
