Date,High,Low,Open,Close,adjust,Volume
2012-01-03,19.9,19.0,19.5,19.0,13.12,364010
2012-01-04,19.5,18.7,19.0,19.0,13.12,305740
2012-01-05,19.0,18.2,19.0,18.2,12.56,289840
2012-01-06,18.0,17.5,17.9,17.5,12.08,340230
2012-01-09,18.2,17.5,17.5,18.0,12.43,935110
2012-01-10,18.6,18.0,18.2,18.3,12.63,858110
2012-01-11,18.5,17.8,18.5,18.3,12.63,660090
2012-01-12,18.2,17.8,18.1,17.8,12.29,753380
2012-01-13,18.3,17.8,17.8,18.3,12.63,386490
2012-01-16,19.0,18.1,18.3,18.6,12.84,518660
2012-01-17,18.8,18.3,18.6,18.3,12.63,434170
2012-01-18,18.4,18.3,18.4,18.3,12.63,238360
2012-01-19,19.2,18.3,18.3,19.2,13.25,548990
2012-01-20,19.9,19.3,19.6,19.8,13.67,576680
2012-01-30,20.7,19.5,19.9,20.7,14.29,548390
2012-01-31,21.7,21.1,21.5,21.7,14.98,1319740
2012-02-01,22.7,21.6,22.3,22.7,15.67,1286630
2012-02-02,23.8,23.0,23.0,23.8,16.43,735460
2012-02-03,24.9,23.8,24.7,24.9,17.19,1596020
2012-02-06,25.1,24.0,25.0,24.0,16.57,597880
2012-02-07,24.3,23.1,24.0,23.5,16.22,952500
2012-02-08,24.6,23.7,24.0,24.6,16.98,593600
2012-02-09,25.0,24.2,24.9,24.5,16.91,561150
2012-02-10,24.5,23.4,24.4,23.4,16.15,612210
2012-02-13,23.5,22.4,23.4,22.4,15.46,573730
2012-02-14,23.5,22.1,22.1,23.5,16.22,783690
2012-02-15,24.2,23.2,23.5,23.5,16.22,545130
2012-02-16,23.6,23.0,23.1,23.2,16.02,576810
2012-02-17,23.9,23.3,23.7,23.9,16.5,935370
2012-02-20,25.0,24.5,24.6,25.0,17.26,1524830
2012-02-21,26.1,24.9,26.0,25.1,17.33,1531460
2012-02-22,26.3,25.0,25.0,26.3,18.16,1075530
2012-02-23,27.6,26.8,27.0,27.6,19.05,1456350
2012-02-24,28.9,27.6,27.9,27.6,19.05,2625690
2012-02-27,28.9,27.7,27.7,28.9,19.95,1883700
2012-02-28,29.7,27.5,29.7,28.6,19.74,1631850
2012-02-29,29.0,27.9,28.3,29.0,20.02,2991720
2012-03-01,30.2,28.6,29.1,30.2,20.85,970860
2012-03-02,31.6,29.8,29.8,31.5,21.75,1123990
2012-03-05,33.0,32.4,32.4,33.0,22.78,13621020
2012-03-06,34.6,32.1,34.6,32.9,22.71,2410190
2012-03-07,33.8,31.4,33.1,33.8,23.33,1495000
2012-03-08,34.0,32.2,32.5,32.2,22.23,1692090
2012-03-09,32.0,30.6,30.9,30.6,21.12,1347570
2012-03-12,29.8,29.1,29.5,29.1,20.09,823150
2012-03-13,30.0,27.7,28.0,29.2,20.16,1834870
2012-03-14,29.5,28.1,29.2,28.9,19.95,1176820
2012-03-15,29.9,27.5,27.8,29.7,20.5,13402340
2012-03-16,30.5,28.3,30.5,28.3,19.54,2126490
2012-03-19,28.6,27.5,27.5,28.1,19.4,927260
2012-03-20,29.1,28.1,28.3,29.1,20.09,835020
2012-03-21,30.5,29.1,29.1,29.1,20.09,1577050
2012-03-22,30.2,29.2,29.2,30.0,20.71,923560
2012-03-23,31.0,29.9,30.9,30.3,20.92,1114800
2012-03-26,30.4,29.5,30.3,29.6,20.43,1176060
2012-03-27,29.4,28.2,29.4,28.2,19.47,1265620
2012-03-28,28.6,27.0,28.1,28.2,19.47,706190
2012-03-29,28.4,27.0,28.3,27.3,18.85,1205330
2012-03-30,27.3,26.7,27.2,26.9,18.57,945800
2012-04-03,28.1,27.0,27.0,28.1,19.4,4524959
2012-04-04,28.4,27.6,28.4,27.7,19.12,588310
2012-04-05,29.0,27.2,27.2,29.0,20.02,1770000
2012-04-06,30.4,29.6,29.9,30.4,20.99,2656100
2012-04-09,31.5,30.4,30.9,31.1,21.47,970870
2012-04-10,31.4,30.2,31.1,30.2,20.85,1247620
2012-04-11,31.7,30.1,30.9,31.7,21.88,2173130
2012-04-12,32.5,31.3,32.2,31.3,21.61,1540090
2012-04-13,31.5,30.7,31.5,30.7,21.19,1783170
2012-04-16,32.2,30.9,31.4,32.0,22.09,1109610
2012-04-17,32.7,31.5,32.2,31.8,21.95,1088800
2012-04-18,32.9,31.5,32.0,31.7,21.88,1478770
2012-04-19,31.7,30.2,31.3,30.2,20.85,1905940
2012-04-20,31.3,29.9,30.5,30.8,21.26,1055040
2012-04-23,31.7,31.0,31.0,31.5,21.75,1045300
2012-04-24,28.7,28.1,28.7,28.7,22.78,1200610
2012-04-25,30.0,29.3,29.5,29.4,23.34,1124710
2012-04-26,29.3,28.2,28.6,28.3,22.47,1177260
2012-04-27,28.7,28.2,28.7,28.5,22.62,677440
2012-05-02,28.8,27.9,28.8,28.1,22.31,1064070
2012-05-03,28.4,27.6,27.6,28.2,22.39,724160
2012-05-04,28.9,28.3,28.3,28.3,22.47,553060
2012-05-07,28.5,27.9,28.3,28.4,22.55,1075310
2012-05-08,29.8,28.2,28.4,29.8,23.66,2376970
2012-05-09,31.2,30.0,30.0,31.2,24.77,2219390
2012-05-10,32.7,31.1,31.5,32.1,25.48,1437530
2012-05-11,32.3,30.6,32.2,30.6,24.29,1407330
2012-05-14,30.6,29.1,30.1,29.1,23.1,1482510
2012-05-15,29.3,28.2,28.2,28.2,22.39,1264240
2012-05-16,29.1,28.0,28.5,28.7,22.78,818300
2012-05-17,29.0,28.0,28.7,28.0,22.23,1072740
2012-05-18,28.0,26.9,27.6,27.7,21.99,1973030
2012-05-21,29.0,27.6,27.7,29.0,23.02,766630
2012-05-22,29.0,28.2,29.0,28.2,22.39,742210
2012-05-23,28.0,27.0,28.0,27.6,21.91,1301690
2012-05-24,27.7,27.1,27.1,27.4,21.75,2547460
2012-05-25,28.3,27.7,27.9,27.9,22.15,919080
2012-05-28,28.8,27.7,28.8,27.8,22.07,356470
2012-05-29,27.7,27.0,27.0,27.3,21.67,579960
2012-05-30,27.8,27.3,27.5,27.3,21.67,697280
2012-05-31,27.4,26.6,27.4,26.7,21.2,410080
2012-06-01,27.1,26.6,27.0,26.6,21.12,1451560
2012-06-04,25.8,25.4,25.5,25.4,20.16,1884370
2012-06-05,26.6,25.3,25.4,26.6,21.12,1419310
2012-06-06,27.9,26.6,26.6,27.7,21.99,2317530
2012-06-07,28.3,27.7,28.0,27.8,22.07,743660
2012-06-08,28.2,27.7,28.2,27.8,22.07,895610
2012-06-11,28.2,27.6,27.7,27.9,22.15,500080
2012-06-12,28.0,27.5,27.5,28.0,22.23,695360
2012-06-13,28.1,27.7,28.1,28.0,22.23,516310
2012-06-14,28.0,27.7,28.0,28.0,22.23,428240
2012-06-15,29.2,28.0,28.0,29.2,23.18,1752390
2012-06-18,29.5,28.7,29.5,29.2,23.18,502550
2012-06-19,29.0,28.6,29.0,28.9,22.94,1284118
2012-06-20,28.9,28.6,28.6,28.8,22.86,126120
2012-06-21,28.9,28.2,28.2,28.5,22.62,3305480
2012-06-22,28.6,28.2,28.5,28.4,22.55,1076680
2012-06-25,28.3,27.4,27.9,27.4,21.75,334890
2012-06-26,27.4,26.9,27.4,26.9,21.35,290050
2012-06-27,28.0,27.0,27.0,27.4,21.75,377150
2012-06-28,27.8,27.4,27.8,27.8,22.07,597741
2012-06-29,28.4,27.8,28.4,27.8,22.07,406190
2012-07-02,27.9,27.3,27.8,27.8,22.07,263920
2012-07-03,27.7,27.2,27.4,27.6,21.91,328130
2012-07-04,27.8,27.3,27.6,27.6,21.91,147770
2012-07-05,27.8,27.2,27.6,27.8,22.07,771240
2012-07-06,28.6,27.5,27.5,28.5,22.62,991390
2012-07-09,28.3,27.9,28.0,28.0,22.23,485700
2012-07-10,28.5,28.0,28.0,28.0,22.23,438620
2012-07-11,28.5,28.1,28.2,28.4,22.55,317180
2012-07-12,28.5,28.3,28.3,28.4,22.55,255530
2012-07-13,29.2,28.4,28.6,29.0,23.02,495470
2012-07-16,29.0,28.6,28.9,29.0,23.02,413780
2012-07-17,29.5,29.0,29.0,29.5,23.42,485700
2012-07-18,30.0,29.5,29.5,29.7,23.58,725150
2012-07-19,31.1,29.4,29.4,31.1,24.69,1357960
2012-07-20,32.2,29.6,32.2,29.6,23.5,730850
