Date,High,Low,Open,Close,adjust,Volume
2013-01-18,15.3,14.4,14.4,15.3,13.76,43270
2013-01-21,16.0,15.3,15.3,15.9,14.3,75040
2013-01-22,15.9,14.8,15.9,14.8,13.31,59350
2013-01-23,14.8,14.0,14.8,14.4,12.95,36230
2013-01-24,14.8,14.1,14.3,14.8,13.31,367270
2013-01-25,15.0,14.5,15.0,15.0,13.49,36740
2013-01-28,15.0,14.7,15.0,15.0,13.49,480330
2013-01-29,15.1,15.0,15.1,15.0,13.49,293590
2013-01-30,15.0,14.8,15.0,14.9,13.4,487410
2013-01-31,14.9,14.7,14.9,14.8,13.31,33130
2013-02-01,15.2,14.8,14.9,15.2,13.67,276120
2013-02-04,15.8,15.0,15.0,15.8,14.21,542300
2013-02-05,16.6,15.6,15.9,16.6,14.93,88480
2013-02-06,16.6,16.0,16.6,16.0,14.39,53610
2013-02-07,16.2,16.0,16.0,16.2,14.57,51280
2013-02-08,17.0,16.2,16.2,17.0,15.29,98010
2013-02-18,17.7,16.1,17.0,17.7,15.92,346310
2013-02-19,18.9,18.0,18.2,18.9,17.0,113190
2013-02-20,20.2,18.9,20.2,20.2,18.17,157070
2013-02-21,21.6,21.0,21.6,21.6,19.43,199320
2013-02-22,22.5,21.7,22.2,22.2,19.97,129520
2013-02-25,22.2,21.3,22.0,21.5,19.34,87600
2013-02-26,21.2,20.0,21.0,20.0,17.99,71270
2013-02-27,20.5,18.6,20.1,20.5,18.44,129830
2013-02-28,21.1,20.0,20.5,21.0,18.89,63010
2013-03-01,21.5,20.8,21.0,21.5,19.34,91080
2013-03-04,22.2,20.0,20.1,22.2,19.97,103110
2013-03-05,22.5,21.5,22.2,21.5,19.34,47280
2013-03-06,21.0,20.5,21.0,21.0,18.89,45470
2013-03-07,22.4,20.5,20.5,22.2,19.97,138230
2013-03-08,22.6,21.8,22.2,22.5,20.24,115830
2013-03-11,22.6,22.0,22.4,22.2,19.97,103980
2013-03-12,23.4,22.0,22.2,23.4,21.05,209300
2013-03-13,25.0,22.6,23.4,25.0,22.48,176120
2013-03-14,26.7,26.0,26.7,26.7,24.01,207070
2013-03-15,28.5,28.5,28.5,28.5,25.63,101350
2013-03-18,30.4,28.8,30.0,30.4,27.34,179210
2013-03-19,32.5,30.0,30.4,32.0,28.78,175570
2013-03-20,32.6,31.5,32.0,31.5,28.33,256220
2013-03-21,31.6,29.3,31.0,30.6,27.52,150470
2013-03-22,29.3,28.5,29.3,28.8,25.9,122780
2013-03-25,30.0,28.5,28.5,29.0,26.08,75320
2013-03-26,30.5,28.5,29.0,30.5,27.43,104680
2013-03-27,31.0,30.0,30.5,31.0,27.88,103340
2013-03-28,31.0,30.0,30.8,30.0,26.98,100520
2013-03-29,30.0,28.5,28.6,29.0,26.08,417270
2013-04-01,30.0,28.5,29.0,29.5,26.53,219330
2013-04-02,30.0,29.0,29.5,30.0,26.98,92060
2013-04-03,30.5,29.0,30.0,29.0,26.08,168540
2013-04-04,30.0,28.5,29.0,29.1,26.17,89120
2013-04-05,30.0,28.8,29.1,29.5,26.53,90160
2013-04-08,31.5,29.5,29.9,31.5,28.33,152200
2013-04-09,33.7,32.0,32.5,33.7,30.31,329110
2013-04-10,34.5,33.5,34.0,34.0,30.58,160410
2013-04-11,34.5,33.0,34.0,33.0,29.68,272020
2013-04-12,33.0,31.9,31.9,32.2,28.96,230000
2013-04-15,32.7,32.0,32.2,32.1,28.87,138950
2013-04-16,34.1,31.9,32.1,34.0,30.58,299120
2013-04-17,36.3,34.0,34.5,36.3,32.65,445290
2013-04-18,38.5,37.0,37.6,38.5,34.63,552770
2013-04-22,40.1,39.3,39.5,39.5,35.52,283680
