Date,High,Low,Open,Close,adjust,Volume
2012-01-03,4.5,4.4,4.4,4.5,3.2,210
2012-01-04,4.4,4.3,4.4,4.4,3.13,2580
2012-01-05,4.4,4.4,4.4,4.4,3.13,0
2012-01-06,4.3,4.2,4.2,4.3,3.06,20
2012-01-09,4.3,4.3,4.3,4.3,3.06,0
2012-01-10,4.4,4.2,4.4,4.2,2.98,1420
2012-01-11,4.4,4.1,4.1,4.4,3.13,970
2012-01-12,4.4,4.4,4.4,4.4,3.13,0
2012-01-13,4.4,4.4,4.4,4.4,3.13,20
2012-01-16,4.4,4.2,4.2,4.2,2.98,2620
2012-01-17,4.2,4.1,4.1,4.2,2.98,5120
2012-01-18,4.3,4.3,4.3,4.3,3.06,20
2012-01-19,4.3,4.3,4.3,4.3,3.06,1090
2012-01-20,4.4,4.2,4.2,4.4,3.13,1030
2012-01-30,4.5,4.4,4.4,4.5,3.2,9410
2012-01-31,4.6,4.5,4.5,4.6,3.27,17110
2012-02-01,4.5,4.4,4.5,4.4,3.13,7000
2012-02-02,4.6,4.4,4.4,4.6,3.27,27690
2012-02-03,4.8,4.6,4.8,4.7,3.34,57380
2012-02-06,4.6,4.5,4.6,4.6,3.27,6160
2012-02-07,4.7,4.5,4.5,4.5,3.2,7260
2012-02-08,4.7,4.6,4.6,4.7,3.34,13500
2012-02-09,4.7,4.7,4.7,4.7,3.34,11550
2012-02-10,4.7,4.5,4.6,4.7,3.34,19800
2012-02-13,4.5,4.5,4.5,4.5,3.2,67540
2012-02-14,4.6,4.5,4.5,4.6,3.27,1990
2012-02-15,4.6,4.5,4.6,4.5,3.2,24380
2012-02-16,4.7,4.5,4.5,4.7,3.34,60
2012-02-17,4.7,4.7,4.7,4.7,3.34,10000
2012-02-20,4.8,4.5,4.8,4.6,3.27,7470
2012-02-21,4.8,4.6,4.8,4.6,3.27,8480
2012-02-22,4.7,4.6,4.6,4.7,3.34,14960
2012-02-23,4.7,4.7,4.7,4.7,3.34,17050
2012-02-24,4.9,4.8,4.8,4.8,3.41,24820
2012-02-27,5.0,4.8,4.8,5.0,3.55,14920
2012-02-28,5.1,4.9,5.1,4.9,3.48,4950
2012-02-29,5.0,4.8,4.8,4.8,3.41,650
2012-03-01,4.9,4.7,4.7,4.8,3.41,18860
2012-03-02,5.0,4.9,4.9,5.0,3.55,19760
2012-03-05,5.2,5.2,5.2,5.2,3.7,8180
2012-03-06,5.3,5.0,5.2,5.1,3.62,17620
2012-03-07,5.2,5.0,5.2,5.1,3.62,18200
2012-03-08,5.1,4.9,4.9,5.0,3.55,16790
2012-03-09,5.1,4.8,5.1,5.0,3.55,720
2012-03-12,5.0,4.9,5.0,4.9,3.48,3000
2012-03-13,5.0,5.0,5.0,5.0,3.55,10
2012-03-14,5.0,5.0,5.0,5.0,3.55,0
2012-03-15,5.1,5.0,5.0,5.0,3.55,2070
2012-03-16,5.2,5.0,5.2,5.1,3.62,8060
2012-03-19,5.0,5.0,5.0,5.0,3.55,3640
2012-03-20,5.1,5.1,5.1,5.1,3.62,1200
2012-03-21,5.2,5.1,5.1,5.2,3.7,12950
2012-03-22,5.4,5.2,5.2,5.4,3.84,10090
2012-03-23,5.5,5.2,5.3,5.5,3.91,7500
2012-03-26,5.5,5.4,5.4,5.5,3.91,5400
2012-03-27,5.6,5.3,5.5,5.3,3.77,6280
2012-03-28,5.2,5.1,5.2,5.2,3.7,3650
2012-03-29,5.2,5.2,5.2,5.2,3.7,7240
2012-03-30,5.1,5.0,5.0,5.1,3.62,6120
2012-04-03,5.3,5.1,5.1,5.3,3.77,2110
2012-04-04,5.3,5.1,5.1,5.1,3.62,2460
2012-04-05,5.3,5.1,5.3,5.1,3.62,310
2012-04-06,5.2,4.9,4.9,5.2,3.7,4560
2012-04-09,5.3,5.0,5.0,5.3,3.77,7060
2012-04-10,5.2,5.2,5.2,5.2,3.7,950
2012-04-11,5.2,5.0,5.0,5.2,3.7,46910
2012-04-12,5.2,5.0,5.0,5.1,3.62,5120
2012-04-13,5.1,5.0,5.0,5.1,3.62,5830
2012-04-16,5.2,4.9,5.1,5.2,3.7,11360
2012-04-17,5.4,5.2,5.2,5.3,3.77,16730
2012-04-18,5.4,5.2,5.2,5.4,3.84,7170
2012-04-19,5.2,5.2,5.2,5.2,3.7,1410
2012-04-20,5.2,5.0,5.1,5.2,3.7,21060
2012-04-23,5.2,5.0,5.2,5.2,3.7,3140
2012-04-24,5.2,5.0,5.2,5.2,3.7,5940
2012-04-25,5.4,5.2,5.2,5.4,3.84,23290
2012-04-26,5.6,5.3,5.6,5.3,3.77,18390
2012-04-27,5.5,5.4,5.4,5.5,3.91,10290
2012-05-02,5.7,5.7,5.7,5.7,4.05,3260
2012-05-03,5.9,5.9,5.9,5.9,4.19,52700
2012-05-04,6.1,6.1,6.1,6.1,4.34,7940
2012-05-07,6.4,6.4,6.4,6.4,4.55,6990
2012-05-08,6.7,6.7,6.7,6.7,4.76,17970
2012-05-09,6.9,6.4,6.9,6.5,4.62,39250
2012-05-10,6.8,6.7,6.8,6.8,4.83,37230
2012-05-11,6.9,6.5,6.9,6.7,4.76,29420
2012-05-14,6.4,6.4,6.4,6.4,4.55,23700
2012-05-15,6.1,6.1,6.1,6.1,4.34,2640
2012-05-16,6.1,5.8,5.8,5.8,4.12,31940
2012-05-17,6.0,5.6,5.6,5.6,3.98,24130
2012-05-18,5.8,5.4,5.4,5.6,3.98,10480
2012-05-21,5.8,5.5,5.5,5.7,4.05,11360
2012-05-22,5.9,5.6,5.9,5.9,4.19,6320
2012-05-23,5.9,5.7,5.9,5.7,4.05,4700
2012-05-24,5.6,5.5,5.5,5.6,3.98,1160
2012-05-25,5.7,5.4,5.5,5.6,3.98,11510
2012-05-28,5.8,5.5,5.8,5.5,3.91,5500
2012-05-29,5.7,5.4,5.4,5.7,4.05,4560
2012-05-30,5.8,5.8,5.8,5.8,4.12,20
2012-05-31,5.6,5.6,5.6,5.6,3.98,100
2012-06-01,5.7,5.4,5.7,5.7,4.05,4330
2012-06-04,5.5,5.5,5.5,5.5,3.91,20
2012-06-05,5.5,5.3,5.3,5.5,3.91,600
2012-06-06,5.6,5.3,5.6,5.4,3.84,6770
2012-06-07,5.6,5.5,5.5,5.6,3.98,2010
2012-06-08,5.7,5.5,5.6,5.7,4.05,4880
2012-06-11,5.7,5.7,5.7,5.7,4.05,10
2012-06-12,5.7,5.7,5.7,5.7,4.05,0
2012-06-13,5.7,5.7,5.7,5.7,4.05,10
2012-06-14,5.7,5.7,5.7,5.7,4.05,0
2012-06-15,5.6,5.5,5.6,5.6,3.98,4510
2012-06-18,5.5,5.4,5.4,5.5,3.91,1730
2012-06-19,5.5,5.3,5.4,5.5,3.91,3310
2012-06-20,5.5,5.5,5.5,5.5,3.91,0
2012-06-21,5.5,5.3,5.3,5.5,3.91,7630
2012-06-22,5.6,5.3,5.5,5.3,3.77,4090
