Date,High,Low,Open,Close,adjust,Volume
2012-01-03,23.5,23.5,23.5,23.5,1.92,26200
2012-01-04,23.8,22.8,23.5,23.4,1.91,10240
2012-01-05,23.5,23.3,23.4,23.3,1.9,2210
2012-01-06,23.3,23.2,23.3,23.3,1.9,3800
2012-01-09,23.4,23.3,23.4,23.3,1.9,5040
2012-01-10,24.4,22.5,22.5,24.4,1.99,22310
2012-01-11,25.0,24.0,24.5,25.0,2.04,40050
2012-01-12,25.2,25.0,25.0,25.1,2.05,12680
2012-01-13,25.0,24.9,24.9,24.9,2.04,253660
2012-01-16,25.7,25.0,25.7,25.0,2.04,180970
2012-01-17,25.0,24.2,24.5,24.9,2.04,5350
2012-01-18,25.7,25.0,25.7,25.2,2.06,11350
2012-01-19,26.0,25.0,25.2,26.0,2.13,22290
2012-01-20,27.1,26.0,27.1,26.6,2.17,14130
2012-01-30,27.0,26.6,26.9,26.6,2.17,5700
2012-01-31,26.6,25.3,25.3,26.0,2.13,18100
2012-02-01,25.9,25.0,25.0,25.9,2.12,6900
2012-02-02,26.0,25.2,25.9,26.0,2.13,159540
2012-02-03,25.8,25.0,25.8,25.8,2.11,21370
2012-02-06,25.6,25.0,25.0,25.6,2.09,16180
2012-02-07,25.4,24.9,25.1,25.4,2.08,7150
2012-02-08,25.3,24.5,24.5,25.3,2.07,6150
2012-02-09,25.2,24.5,24.5,25.2,2.06,35310
2012-02-10,25.3,24.6,25.3,25.2,2.06,15470
2012-02-13,24.9,24.0,24.6,24.9,2.04,22070
2012-02-14,25.4,24.4,24.5,25.4,2.08,51170
2012-02-15,25.0,25.0,25.0,25.0,2.04,4630
2012-02-16,25.1,24.0,24.5,25.1,2.05,33400
2012-02-17,25.4,25.1,25.1,25.4,2.08,134240
2012-02-20,25.4,25.0,25.0,25.4,2.08,153790
2012-02-21,25.5,25.0,25.5,25.3,2.07,133020
2012-02-22,25.4,25.2,25.4,25.3,2.07,4320
2012-02-23,25.6,25.0,25.2,25.6,2.09,134120
2012-02-24,25.5,24.6,24.8,25.5,2.08,170340
2012-02-27,25.4,25.0,25.0,25.2,2.06,96170
2012-02-28,25.1,24.7,25.1,25.0,2.04,53360
2012-02-29,25.3,24.9,25.2,25.2,2.06,97130
2012-03-01,25.5,24.6,25.0,25.2,2.06,146970
2012-03-02,25.5,24.7,25.0,25.5,2.08,66330
