Date,High,Low,Open,Close,adjust,Volume
2012-01-03,14.4,13.8,14.0,13.8,2.35,12950
2012-01-04,13.8,13.6,13.7,13.6,2.31,39560
2012-01-05,13.6,13.2,13.6,13.2,2.24,55980
2012-01-06,13.2,12.9,13.2,12.9,2.19,50380
2012-01-09,13.2,12.6,13.0,13.1,2.23,29170
2012-01-10,13.7,12.9,12.9,13.7,2.33,107140
2012-01-11,13.9,13.4,13.9,13.4,2.28,60460
2012-01-12,13.5,13.2,13.2,13.4,2.28,52940
2012-01-13,13.8,13.5,13.6,13.8,2.35,73450
2012-01-16,14.3,13.9,14.1,14.2,2.41,109630
2012-01-17,14.3,14.0,14.2,14.1,2.4,82760
2012-01-18,14.4,14.0,14.0,14.4,2.45,38130
2012-01-19,14.9,14.4,14.5,14.9,2.53,69060
2012-01-20,15.1,14.7,15.0,15.1,2.57,99390
2012-01-30,15.4,14.7,15.1,15.3,2.6,122300
2012-01-31,15.9,15.3,15.3,15.4,2.62,137620
2012-02-01,15.4,14.8,15.4,15.0,2.55,129400
2012-02-02,15.7,15.4,15.4,15.7,2.67,144680
2012-02-03,16.1,15.0,16.1,15.2,2.58,441610
2012-02-06,15.6,14.9,15.2,15.1,2.57,88870
2012-02-07,15.3,14.7,15.1,14.9,2.53,264040
2012-02-08,15.5,15.0,15.0,15.5,2.63,203820
2012-02-09,15.7,15.0,15.5,15.1,2.57,251520
2012-02-10,15.0,14.5,14.8,14.5,2.46,164130
2012-02-13,14.5,14.0,14.5,14.1,2.4,102620
2012-02-14,14.7,14.2,14.5,14.5,2.46,80040
2012-02-15,14.5,14.1,14.5,14.2,2.41,110700
2012-02-16,14.4,14.0,14.2,14.2,2.41,49990
2012-02-17,14.8,14.3,14.5,14.8,2.52,103550
2012-02-20,15.5,15.2,15.2,15.5,2.63,366720
2012-02-21,16.2,15.4,16.2,15.5,2.63,369470
2012-02-22,16.2,15.3,15.3,16.2,2.75,356990
2012-02-23,17.0,16.3,16.5,17.0,2.89,561660
2012-02-24,17.7,16.9,17.0,16.9,2.87,458250
2012-02-27,17.6,16.9,17.0,17.4,2.96,344370
2012-02-28,17.4,16.6,17.4,16.6,2.82,456320
2012-02-29,16.9,16.1,16.6,16.9,2.87,313980
2012-03-01,17.2,16.5,17.1,16.9,2.87,220620
2012-03-02,17.6,16.2,16.9,17.6,2.99,588890
2012-03-05,18.4,18.4,18.4,18.4,3.13,197730
2012-03-06,19.0,17.6,18.4,17.8,3.03,1144800
2012-03-07,18.0,17.1,17.7,17.8,3.03,406850
2012-03-08,17.8,17.0,17.4,17.0,2.89,508350
2012-03-09,17.3,16.5,17.0,16.8,2.86,200760
2012-03-12,17.0,16.1,17.0,16.2,2.75,267180
2012-03-13,17.0,16.4,16.7,17.0,2.89,226410
2012-03-14,17.3,16.8,17.3,17.0,2.89,285420
