Date,High,Low,Open,Close,adjust,Volume
2018-01-05,39.6,36.5,39.0,39.6,14.82,32205910
2018-01-08,40.0,39.6,40.0,39.7,14.86,18641423
2018-01-09,39.8,38.9,39.7,39.75,14.87,9988940
2018-01-10,40.3,39.1,39.2,40.3,15.08,11836070
2018-01-11,42.5,40.3,40.4,42.5,15.9,10984503
2018-01-12,45.45,42.6,42.6,45.45,17.01,19714750
2018-01-15,45.7,44.0,45.5,45.5,17.03,9359820
2018-01-16,45.2,44.45,44.6,44.95,16.82,8728100
2018-01-17,44.95,42.7,44.9,42.7,15.98,9089250
2018-01-18,44.0,41.7,42.6,44.0,16.46,6371340
2018-01-19,46.1,44.5,44.5,45.2,16.91,7158810
2018-01-22,45.4,44.3,44.8,45.3,16.95,4402360
2018-01-25,48.3,45.0,45.5,47.8,17.89,17668170
2018-01-26,48.1,46.3,47.8,47.0,17.59,5677700
2018-01-29,47.5,46.3,47.1,47.05,17.61,6592140
2018-01-30,47.05,45.7,47.05,47.0,17.59,6141930
2018-01-31,46.9,46.0,46.9,46.6,17.44,8881950
2018-02-01,46.7,45.8,46.6,46.0,17.21,3928660
2018-02-02,46.0,45.3,46.0,46.0,17.21,4567580
2018-02-05,45.6,42.8,45.2,43.0,16.09,5583170
2018-02-06,41.3,40.0,41.0,41.0,15.34,4306020
2018-02-07,43.85,42.3,42.4,43.85,16.41,7038270
2018-02-08,45.85,43.5,43.85,44.9,16.8,10358414
2018-02-09,44.7,42.1,43.8,44.6,16.69,3954800
2018-02-12,47.0,44.65,44.7,46.5,17.4,4744040
2018-02-13,46.95,45.5,46.95,46.6,17.44,5264840
2018-02-21,47.1,45.5,46.9,46.7,17.47,3467200
2018-02-22,46.2,45.0,46.2,45.0,16.84,4643860
2018-02-23,46.5,44.35,45.0,44.55,16.67,3075420
2018-02-26,46.0,43.65,44.55,44.0,16.46,2378080
2018-02-27,44.6,42.8,44.5,44.5,16.65,1579540
2018-02-28,44.5,43.0,44.0,44.4,16.61,3241390
2018-03-01,44.0,43.2,43.3,43.95,16.45,2739770
2018-03-02,43.55,43.2,43.5,43.55,16.3,1808640
2018-03-05,43.7,42.9,43.6,43.0,16.09,2578830
2018-03-06,43.55,42.8,43.0,43.2,16.16,2679350
2018-03-07,43.9,42.2,43.2,42.5,15.9,3050106
2018-03-08,43.5,41.8,43.0,42.5,15.9,2182740
2018-03-09,43.4,41.9,42.1,42.5,15.9,2418640
2018-03-12,42.9,42.2,42.5,42.5,15.9,1427550
2018-03-13,42.5,42.05,42.5,42.3,15.83,1687940
2018-03-14,44.25,42.4,42.5,44.0,16.46,8874370
2018-03-15,44.6,44.0,44.0,44.5,16.65,4347760
2018-03-16,44.8,44.5,44.8,44.8,16.76,2863300
2018-03-19,45.35,44.3,44.8,45.2,16.91,12907510
2018-03-20,44.9,44.0,44.85,44.0,16.46,2666350
2018-03-21,44.2,43.15,44.0,43.5,16.28,2119630
2018-03-22,44.0,42.5,43.5,42.5,15.9,3181270
2018-03-23,42.2,40.9,42.0,42.0,15.72,2122680
2018-03-26,43.7,41.1,41.1,43.7,16.35,3848240
2018-03-27,44.95,43.7,43.7,44.8,16.76,4513810
2018-03-28,45.45,44.45,44.6,45.45,17.01,3904720
2018-03-29,46.3,45.45,45.5,46.0,17.21,3603320
2018-03-30,46.0,45.0,46.0,45.9,17.17,5258520
2018-04-02,46.1,45.5,46.0,45.6,17.06,2317540
2018-04-03,45.8,45.15,45.4,45.6,17.06,2115830
2018-04-04,46.6,45.6,45.9,46.5,17.4,6063090
2018-04-05,46.8,46.2,46.5,46.45,17.38,3364190
2018-04-06,46.5,46.1,46.45,46.45,17.38,4075100
2018-04-09,48.7,46.3,46.5,48.7,18.22,12562280
2018-04-10,50.6,49.0,49.0,50.6,18.93,12015650
2018-04-11,50.8,49.2,50.6,50.1,18.75,6500290
2018-04-12,49.9,49.0,49.5,49.1,18.37,4425590
2018-04-13,50.1,49.1,49.55,50.0,18.71,4239200
2018-04-16,51.3,49.2,50.0,51.0,19.08,9666140
2018-04-17,51.7,50.6,51.5,50.8,19.01,2262660
2018-04-18,52.4,50.6,50.9,51.8,19.38,6958090
2018-04-19,51.9,49.0,51.9,49.2,18.41,7752260
2018-04-20,50.1,48.7,49.0,50.1,18.75,3055740
2018-04-23,49.7,46.6,49.5,46.6,17.44,5902200
2018-04-24,46.4,43.35,46.0,45.0,16.84,3223200
2018-04-26,45.5,41.9,45.0,42.2,15.79,3573110
2018-04-27,43.05,41.8,42.0,42.8,16.02,1706640
2018-05-02,42.9,41.0,42.0,42.0,15.72,1500430
2018-05-03,43.5,41.05,41.5,43.5,16.28,2500150
2018-05-04,44.0,42.8,44.0,43.0,16.09,6276315
2018-05-07,44.0,42.5,43.5,43.5,16.28,7241225
2018-05-08,43.5,42.9,43.5,43.2,16.16,1157790
2018-05-09,43.1,42.0,43.0,42.9,16.05,825060
2018-05-10,42.9,40.0,42.9,40.0,14.97,961790
2018-05-11,41.4,39.1,40.0,41.4,15.49,819170
2018-05-14,42.0,40.3,41.5,40.5,15.15,550760
2018-05-15,41.3,40.35,40.9,40.9,15.3,1647990
2018-05-16,40.9,39.8,40.9,40.15,15.02,1042600
2018-05-17,40.8,40.2,40.5,40.5,15.15,2101400
2018-05-18,41.45,40.2,40.9,40.55,15.17,1552940
2018-05-21,41.3,40.5,41.0,41.1,15.38,1746750
2018-05-22,40.6,38.25,40.2,39.0,14.59,1406120
2018-05-23,39.3,36.8,39.0,37.7,14.11,959240
2018-05-24,38.3,35.1,38.0,35.5,13.28,2368050
2018-05-25,35.7,34.3,35.5,35.25,13.19,3342400
2018-05-28,35.0,32.8,35.0,32.8,12.27,3196050
2018-05-29,35.05,33.45,34.0,35.05,13.12,4026540
2018-05-30,37.4,34.9,36.0,36.7,13.73,4662960
