Date,High,Low,Open,Close,adjust,Volume
2012-01-03,17.0,17.0,17.0,17.0,3.43,1500
2012-01-04,17.0,17.0,17.0,17.0,3.43,0
2012-01-05,16.4,16.4,16.4,16.4,3.31,6800
2012-01-06,16.4,16.4,16.4,16.4,3.31,0
2012-01-09,17.1,15.7,15.7,17.1,3.45,860
2012-01-10,17.1,16.3,17.1,16.3,3.29,3150
2012-01-11,16.5,15.6,16.5,15.6,3.15,2250
2012-01-12,15.6,15.6,15.6,15.6,3.15,0
2012-01-13,16.3,15.5,15.5,16.3,3.29,27130
2012-01-16,17.1,16.8,17.1,16.8,3.39,1450
2012-01-17,17.5,17.5,17.5,17.5,3.53,20
2012-01-18,17.0,17.0,17.0,17.0,3.43,100
2012-01-19,16.5,16.5,16.5,16.5,3.33,1000
2012-01-20,17.3,17.0,17.3,17.3,3.49,1690
2012-01-30,18.0,17.0,17.0,18.0,3.63,520
2012-01-31,18.2,18.0,18.2,18.0,3.63,100
2012-02-01,17.5,17.3,17.5,17.3,3.49,1800
2012-02-02,17.6,17.0,17.0,17.6,3.55,6710
2012-02-03,17.9,17.4,17.9,17.9,3.61,2030
2012-02-06,17.9,17.9,17.9,17.9,3.61,1000
2012-02-07,17.9,17.9,17.9,17.9,3.61,10000
2012-02-08,17.2,17.2,17.2,17.2,3.47,570
2012-02-09,17.2,17.1,17.1,17.1,3.45,1140
2012-02-10,17.1,17.1,17.1,17.1,3.45,0
2012-02-13,16.3,16.3,16.3,16.3,3.29,520
2012-02-14,16.3,16.3,16.3,16.3,3.29,360
2012-02-15,16.6,16.3,16.6,16.3,3.29,1600
2012-02-16,16.8,16.4,16.4,16.8,3.39,2630
2012-02-17,17.0,16.8,16.8,17.0,3.43,1000
2012-02-20,17.8,17.7,17.7,17.8,3.59,3770
2012-02-21,17.4,17.3,17.3,17.4,3.51,4870
2012-02-22,18.2,18.0,18.2,18.0,3.63,910
2012-02-23,18.2,18.0,18.0,18.2,3.67,10710
2012-02-24,18.4,18.2,18.2,18.2,3.67,12920
2012-02-27,18.2,18.2,18.2,18.2,3.67,13690
2012-02-28,18.3,18.2,18.3,18.2,3.67,10180
2012-02-29,18.4,18.1,18.2,18.3,3.69,2330
2012-03-01,18.4,18.0,18.0,18.4,3.71,18950
2012-03-02,18.6,18.3,18.4,18.4,3.71,41310
2012-03-05,19.3,18.4,18.4,19.3,3.89,58030
2012-03-06,20.2,19.0,20.2,20.0,4.03,8230
2012-03-07,20.0,19.3,20.0,19.3,3.89,4880
2012-03-08,19.2,18.5,19.2,18.5,3.73,3350
2012-03-09,18.8,18.4,18.5,18.7,3.77,10980
2012-03-12,18.5,18.2,18.3,18.3,3.69,19590
2012-03-13,18.5,18.3,18.3,18.4,3.71,4560
2012-03-14,18.0,17.0,18.0,17.0,3.63,2710
2012-03-15,17.4,17.3,17.4,17.4,3.71,6410
2012-03-16,17.7,17.4,17.5,17.7,3.78,6190
2012-03-19,17.8,16.9,16.9,17.8,3.8,3910
2012-03-20,17.5,17.3,17.5,17.4,3.71,11000
2012-03-21,18.0,17.5,18.0,17.5,3.73,530
2012-03-22,17.8,17.8,17.8,17.8,3.8,10
2012-03-23,17.9,17.5,17.8,17.8,3.8,9690
2012-03-26,17.9,17.3,17.3,17.8,3.8,16360
2012-03-27,17.9,17.5,17.8,17.7,3.78,11020
2012-03-28,17.7,17.1,17.1,17.7,3.78,3990
2012-03-29,17.7,17.2,17.2,17.7,3.78,2010
2012-03-30,17.7,17.0,17.3,17.7,3.78,5010
2012-04-03,17.2,17.0,17.0,17.2,3.67,410
2012-04-04,17.8,17.8,17.8,17.8,3.8,10
2012-04-05,17.5,17.2,17.5,17.5,3.73,11790
2012-04-06,17.4,16.8,16.8,17.4,3.71,6550
2012-04-09,18.0,17.2,17.2,17.5,3.73,16470
2012-04-10,17.7,17.0,17.0,17.7,3.78,9000
2012-04-11,18.0,17.9,17.9,18.0,3.84,3250
2012-04-12,18.9,18.2,18.2,18.9,4.03,50260
2012-04-13,18.7,18.5,18.7,18.5,3.95,1580
2012-04-16,18.9,18.5,18.7,18.5,3.95,13000
2012-04-17,19.2,18.5,18.5,19.1,4.07,56810
2012-04-18,19.6,19.0,19.6,19.0,4.05,12810
2012-04-19,19.0,18.1,19.0,18.1,3.86,14380
2012-04-20,18.2,18.1,18.1,18.1,3.86,5260
2012-04-23,18.3,17.5,17.5,18.3,3.9,9530
2012-04-24,18.3,17.9,18.0,18.3,3.9,9280
2012-04-25,18.5,18.0,18.3,18.5,3.95,1000
2012-04-26,18.5,18.0,18.4,18.0,3.84,11340
2012-04-27,18.2,18.0,18.0,18.1,3.86,9080
2012-05-02,18.6,17.5,17.5,18.5,3.95,37160
2012-05-03,18.8,18.0,18.8,18.0,3.84,25000
2012-05-04,18.9,18.6,18.6,18.9,4.03,18230
2012-05-07,19.8,19.3,19.8,19.8,4.22,118010
2012-05-08,20.7,20.0,20.5,20.6,4.39,225010
2012-05-09,21.5,20.1,20.1,21.5,4.59,62410
2012-05-10,22.4,21.6,22.0,22.3,4.76,69280
2012-05-11,22.5,22.0,22.3,22.5,4.8,28890
2012-05-14,22.0,21.4,22.0,21.4,4.57,92050
2012-05-15,20.9,20.4,20.4,20.4,4.35,57490
2012-05-16,20.4,19.4,20.3,20.0,4.27,40270
2012-05-17,20.7,20.0,20.7,20.0,4.27,10160
2012-05-18,20.0,19.1,19.1,19.7,4.2,20140
