Date,High,Low,Open,Close,adjust,Volume
2012-01-03,10.9,10.4,10.9,10.5,1.58,9200
2012-01-04,10.6,10.4,10.4,10.6,1.6,24160
2012-01-05,10.4,10.3,10.3,10.3,1.55,3890
2012-01-06,10.2,10.0,10.2,10.2,1.54,12400
2012-01-09,10.2,9.9,10.1,10.2,1.54,7860
2012-01-10,10.6,10.3,10.5,10.6,1.6,15650
2012-01-11,10.5,10.3,10.5,10.3,1.55,4810
2012-01-12,10.8,10.5,10.5,10.8,1.63,131060
2012-01-13,11.1,10.8,10.8,11.0,1.66,32390
2012-01-16,11.2,11.0,11.0,11.2,1.69,14260
2012-01-17,11.7,11.3,11.3,11.7,1.76,48500
2012-01-18,12.0,11.7,11.8,11.7,1.76,19930
2012-01-19,12.0,12.0,12.0,12.0,1.81,16900
2012-01-20,12.4,12.0,12.4,12.3,1.86,93400
2012-01-30,12.8,11.9,12.8,11.9,1.8,30
2012-01-31,12.4,12.0,12.4,12.0,1.81,17520
2012-02-01,12.1,11.7,12.1,11.7,1.76,8010
2012-02-02,12.2,11.7,11.8,12.2,1.84,54950
2012-02-03,12.8,12.4,12.7,12.5,1.89,208740
2012-02-06,12.7,12.0,12.0,12.5,1.89,28120
2012-02-07,12.7,12.1,12.7,12.5,1.89,119590
2012-02-08,13.0,12.5,12.5,13.0,1.96,114900
2012-02-09,13.4,12.7,13.4,12.8,1.93,44590
2012-02-10,12.8,12.2,12.8,12.2,1.84,443850
2012-02-13,12.0,11.7,12.0,12.0,1.81,141710
2012-02-14,12.0,11.7,12.0,11.7,1.76,148200
2012-02-15,12.2,11.6,12.2,11.7,1.76,128600
2012-02-16,12.0,11.7,11.9,12.0,1.81,66420
2012-02-17,12.6,12.6,12.6,12.6,1.9,296260
2012-02-20,13.2,12.9,13.2,13.2,1.99,361510
2012-02-21,13.7,13.0,13.7,13.3,2.01,80670
2012-02-22,13.8,13.2,13.3,13.8,2.08,50100
2012-02-23,14.4,13.5,14.0,14.4,2.17,225200
2012-02-24,14.9,13.8,14.4,13.8,2.08,676006
2012-02-27,14.1,13.6,14.0,14.1,2.13,85050
2012-02-28,14.1,13.4,13.8,13.4,2.02,122410
2012-02-29,13.8,12.9,13.8,13.3,2.01,194110
2012-03-01,13.9,12.9,13.5,13.9,2.1,277160
2012-03-02,14.5,14.0,14.3,14.5,2.19,262570
2012-03-05,15.2,15.1,15.2,15.2,2.29,131190
2012-03-06,15.9,14.5,15.8,15.0,2.26,479340
2012-03-07,15.7,14.3,15.1,15.7,2.37,882660
2012-03-08,16.4,15.3,15.3,16.0,2.41,594130
2012-03-09,16.8,16.0,16.4,16.8,2.53,257480
2012-03-12,16.5,16.0,16.4,16.0,2.41,138010
2012-03-13,16.0,15.2,15.2,15.3,2.31,295510
2012-03-14,15.5,14.6,15.5,14.6,2.2,393820
2012-03-15,15.3,14.1,14.4,15.3,2.31,266370
2012-03-16,15.9,15.3,15.9,15.4,2.32,161210
2012-03-19,15.7,15.1,15.2,15.4,2.32,345720
2012-03-20,15.5,15.0,15.0,15.5,2.34,140030
2012-03-21,16.2,15.0,15.3,15.7,2.37,315220
2012-03-22,16.1,15.3,15.5,15.9,2.4,102950
