Date,High,Low,Open,Close,adjust,Volume
2012-02-15,35.0,33.0,35.0,35.0,3.69,57520
2012-02-16,35.0,34.0,34.5,34.0,3.59,40310
2012-02-17,34.2,33.5,33.5,33.5,3.53,38440
2012-02-20,33.6,33.0,33.3,33.0,3.48,27100
2012-02-21,32.9,32.0,32.9,32.0,3.38,25160
2012-02-22,32.1,31.9,32.0,32.0,3.38,8540
2012-02-23,32.0,31.7,32.0,31.8,3.35,4700
2012-02-24,31.5,31.5,31.5,31.5,3.32,20
2012-02-27,32.7,30.7,30.7,32.7,3.45,7900
2012-02-28,34.0,32.7,33.0,34.0,3.59,11640
2012-02-29,34.0,32.5,32.7,33.8,3.57,5060
2012-03-01,35.0,33.0,33.9,35.0,3.69,12310
2012-03-02,36.7,33.9,35.2,36.5,3.85,8190
2012-03-05,38.0,36.5,36.5,38.0,4.01,3160
2012-03-06,39.4,36.1,39.4,36.1,3.81,9240
2012-03-07,36.1,34.3,36.1,34.3,3.62,5880
2012-03-08,33.8,32.6,32.6,32.6,3.44,19060
2012-03-09,33.8,31.2,31.2,33.8,3.57,12200
2012-03-12,35.0,32.3,33.8,35.0,3.69,7480
2012-03-13,36.4,33.5,36.4,36.3,3.83,4180
2012-03-14,37.1,34.5,37.1,34.5,3.64,11120
2012-03-15,35.0,32.9,33.6,35.0,3.69,1430
2012-03-16,35.9,35.8,35.8,35.9,3.79,173460
2012-03-19,35.9,34.2,34.2,34.6,3.65,219090
2012-03-20,35.0,32.9,34.9,32.9,3.47,6550
2012-03-21,34.5,31.6,31.6,34.5,3.64,4820
2012-03-22,35.0,35.0,35.0,35.0,3.69,500
2012-03-23,35.1,34.0,35.0,34.9,3.68,205040
2012-03-26,35.0,33.2,35.0,33.2,3.5,1250
2012-03-27,34.8,32.4,32.4,34.8,3.67,370
2012-03-28,35.8,34.8,34.8,35.5,3.75,69550
2012-03-29,35.3,34.9,35.3,35.2,3.71,143090
2012-03-30,35.3,34.2,35.0,34.2,3.61,5730
2012-04-03,35.9,33.3,35.6,34.2,3.61,81270
2012-04-04,34.5,34.1,34.1,34.5,3.64,91730
2012-04-05,34.8,34.0,34.0,34.8,3.67,122420
2012-04-06,35.0,34.4,34.4,35.0,3.69,80600
2012-04-09,35.3,33.4,33.6,35.3,3.72,3020
2012-04-10,35.5,33.7,33.7,35.4,3.73,168150
2012-04-11,35.4,33.8,35.4,35.3,3.72,94720
2012-04-12,35.5,33.7,35.3,35.5,3.75,8590
2012-04-13,35.8,35.4,35.4,35.6,3.76,75110
2012-04-16,36.5,34.0,35.8,36.5,3.85,80330
2012-04-17,36.5,36.5,36.5,36.5,3.85,40120
2012-04-18,37.0,36.7,36.7,37.0,3.9,970
2012-04-19,35.3,35.2,35.3,35.2,3.71,660
2012-04-20,36.5,33.5,36.5,33.8,3.57,312560
2012-04-23,33.8,33.8,33.8,33.8,3.57,60310
2012-04-24,34.0,32.2,32.2,32.5,3.43,70130
2012-04-25,34.1,32.8,34.1,33.0,3.48,75630
2012-04-26,34.1,32.2,33.5,32.2,3.4,52960
2012-04-27,31.6,31.6,31.6,31.6,3.33,160020
2012-05-02,33.1,32.2,33.0,32.2,3.4,40
2012-05-03,32.3,32.2,32.2,32.3,3.41,55070
2012-05-04,33.9,33.6,33.9,33.9,3.58,170
2012-05-07,35.5,35.5,35.5,35.5,3.75,296630
2012-05-08,37.2,37.2,37.2,37.2,3.92,8240
2012-05-09,39.0,35.6,37.2,39.0,4.11,33000
2012-05-10,39.0,37.1,39.0,39.0,4.11,124220
2012-05-11,40.7,38.9,39.0,40.7,4.29,106430
2012-05-14,38.8,38.7,38.7,38.7,4.08,1320
2012-05-15,38.7,37.1,38.7,37.2,3.92,59220
2012-05-16,38.0,37.5,37.6,38.0,4.01,50450
2012-05-17,39.9,38.0,38.0,39.9,4.21,116680
2012-05-18,41.8,38.0,41.8,40.9,4.31,72160
2012-05-21,42.8,41.0,42.8,41.0,4.33,77260
2012-05-22,41.0,40.8,41.0,41.0,4.33,45490
2012-05-23,40.0,40.0,40.0,40.0,4.22,108030
2012-05-24,41.0,38.0,38.0,41.0,4.33,82470
2012-05-25,28.7,28.7,28.7,28.7,4.54,76480
2012-05-28,30.1,28.7,28.7,30.0,4.75,55420
2012-05-29,31.4,30.1,30.1,31.4,4.97,123840
2012-05-30,32.8,30.6,32.8,32.8,5.19,31520
2012-05-31,34.1,32.0,32.0,34.1,5.4,77120
2012-06-01,35.5,34.8,34.9,35.5,5.62,58060
2012-06-04,36.4,33.8,36.0,36.4,5.76,306100
2012-06-05,36.4,34.6,34.7,36.4,5.76,70770
2012-06-06,38.2,34.6,36.4,36.0,5.7,47880
2012-06-07,37.5,34.2,34.3,37.5,5.93,80000
2012-06-08,35.8,35.7,35.7,35.8,5.66,61630
2012-06-11,35.4,34.1,34.1,35.4,5.6,117280
2012-06-12,34.8,33.8,34.8,33.8,5.35,40230
2012-06-13,33.6,32.2,33.1,32.2,5.1,85720
2012-06-14,33.5,30.6,30.6,33.5,5.3,83130
2012-06-15,34.0,32.0,32.0,33.6,5.32,90630
2012-06-18,34.6,33.9,34.6,33.9,5.36,44490
2012-06-19,33.9,32.3,33.7,33.5,5.3,54860
2012-06-20,35.1,31.9,33.9,35.0,5.54,127890
2012-06-21,34.8,34.8,34.8,34.8,5.51,78000
2012-06-22,34.7,33.2,34.7,33.2,5.25,98100
2012-06-25,34.7,33.0,34.7,33.0,5.22,94210
2012-06-26,32.8,32.0,32.0,32.8,5.19,129010
2012-06-27,32.9,32.9,32.9,32.9,5.21,79010
2012-06-28,33.7,32.9,33.7,33.4,5.29,116050
2012-06-29,33.4,32.1,33.4,33.4,5.29,123030
2012-07-02,33.0,33.0,33.0,33.0,5.22,132040
2012-07-03,34.0,33.8,34.0,33.8,5.35,174010
2012-07-04,34.0,32.3,32.3,34.0,5.38,96100
2012-07-05,34.0,34.0,34.0,34.0,5.38,111030
2012-07-06,34.6,34.6,34.6,34.6,5.47,132470
2012-07-09,34.3,33.9,34.3,33.9,5.36,152080
2012-07-10,34.0,34.0,34.0,34.0,5.38,96500
2012-07-11,34.0,33.8,34.0,33.8,5.35,82570
2012-07-12,33.4,32.2,32.2,33.2,5.25,131750
2012-07-13,33.0,31.6,33.0,33.0,5.22,100440
2012-07-16,34.0,33.0,34.0,33.0,5.22,135000
2012-07-17,33.9,33.3,33.9,33.3,5.27,145510
2012-07-18,33.4,31.8,32.0,33.4,5.29,164810
2012-07-19,33.5,33.0,33.0,33.5,5.3,119020
2012-07-20,33.0,32.0,32.1,33.0,5.22,123690
2012-07-23,33.7,33.7,33.7,33.7,5.33,117500
2012-07-24,33.7,33.7,33.7,33.7,5.33,110500
2012-07-25,33.6,32.1,33.6,33.0,5.22,186560
2012-07-26,32.5,31.4,32.0,32.2,5.1,104290
2012-07-27,33.7,31.5,33.7,32.5,5.14,133060
2012-07-30,33.7,32.7,32.8,33.7,5.33,111410
2012-07-31,34.9,33.7,33.7,34.9,5.52,197540
2012-08-01,36.3,34.5,34.5,36.3,5.74,138850
2012-08-02,38.1,36.3,37.0,38.1,6.03,190390
2012-08-03,39.5,36.3,37.0,39.0,6.17,20910
2012-08-06,40.0,37.1,40.0,37.1,5.87,7920
2012-08-07,38.9,37.1,38.4,38.9,6.16,21470
2012-08-08,27.2,27.2,27.2,27.2,6.46,750
2012-08-09,28.5,28.5,28.5,28.5,6.76,25110
2012-08-10,29.9,29.9,29.9,29.9,7.1,3560
