Date,High,Low,Open,Close,adjust,Volume
2015-12-18,10.5,10.5,10.5,10.5,6.99,0
2015-12-21,14.7,14.7,14.7,14.7,9.79,100
2015-12-22,14.7,14.7,14.7,14.7,9.79,0
2015-12-23,14.7,14.7,14.7,14.7,9.79,0
2015-12-24,14.7,14.7,14.7,14.7,9.79,0
2015-12-25,14.7,14.7,14.7,14.7,9.79,0
2015-12-28,14.7,14.7,14.7,14.7,9.79,0
2015-12-29,14.7,14.7,14.7,14.7,9.79,0
2015-12-30,14.7,14.7,14.7,14.7,9.79,0
2015-12-31,14.7,14.7,14.7,14.7,9.79,0
2016-01-04,14.7,14.7,14.7,14.7,9.79,0
2016-01-05,14.7,14.7,14.7,14.7,9.79,0
2016-01-06,14.7,14.7,14.7,14.7,9.79,0
2016-01-07,14.7,14.7,14.7,14.7,9.79,0
2016-01-08,14.7,14.7,14.7,14.7,9.79,0
2016-01-11,14.7,14.7,14.7,14.7,9.79,0
2016-01-12,14.7,14.7,14.7,14.7,9.79,0
2016-01-13,14.7,14.7,14.7,14.7,9.79,0
2016-01-14,14.7,14.7,14.7,14.7,9.79,0
2016-01-15,14.7,14.7,14.7,14.7,9.79,0
2016-01-18,14.7,14.7,14.7,14.7,9.79,0
2016-01-19,14.7,14.7,14.7,14.7,9.79,0
2016-01-20,14.7,14.7,14.7,14.7,9.79,0
2016-01-21,14.7,14.7,14.7,14.7,9.79,1422000
2016-01-22,14.7,14.7,14.7,14.7,9.79,0
2016-01-25,14.7,14.7,14.7,14.7,9.79,0
2016-01-26,14.7,14.7,14.7,14.7,9.79,0
2016-01-27,14.7,14.7,14.7,14.7,9.79,0
2016-01-28,14.7,14.7,14.7,14.7,9.79,0
2016-01-29,14.7,14.7,14.7,14.7,9.79,0
2016-02-01,14.7,14.7,14.7,14.7,9.79,0
2016-02-02,14.7,14.7,14.7,14.7,9.79,0
2016-02-03,14.7,14.7,14.7,14.7,9.79,0
2016-02-04,14.7,14.7,14.7,14.7,9.79,0
2016-02-05,14.7,14.7,14.7,14.7,9.79,0
2016-02-15,14.7,14.7,14.7,14.7,9.79,0
2016-02-16,14.7,14.7,14.7,14.7,9.79,0
2016-02-17,14.7,14.7,14.7,14.7,9.79,0
2016-02-18,14.7,14.7,14.7,14.7,9.79,0
2016-02-19,14.7,14.7,14.7,14.7,9.79,0
2016-02-22,14.7,14.7,14.7,14.7,9.79,0
2016-02-23,14.7,14.7,14.7,14.7,9.79,0
2016-02-24,14.7,14.7,14.7,14.7,9.79,0
2016-02-25,14.7,14.7,14.7,14.7,9.79,0
2016-02-26,14.7,14.7,14.7,14.7,9.79,0
2016-02-29,14.7,14.7,14.7,14.7,9.79,0
2016-03-01,14.7,14.7,14.7,14.7,9.79,0
2016-03-02,14.7,14.7,14.7,14.7,9.79,0
2016-03-03,14.7,14.7,14.7,14.7,9.79,0
2016-03-04,14.7,14.7,14.7,14.7,9.79,0
2016-03-07,14.7,14.7,14.7,14.7,9.79,0
2016-03-08,14.7,14.7,14.7,14.7,9.79,0
2016-03-09,14.7,14.7,14.7,14.7,9.79,0
2016-03-10,14.7,14.7,14.7,14.7,9.79,0
2016-03-11,14.7,14.7,14.7,14.7,9.79,0
2016-03-14,14.7,14.7,14.7,14.7,9.79,0
2016-03-15,14.7,14.7,14.7,14.7,9.79,0
2016-03-16,14.7,14.7,14.7,14.7,9.79,0
2016-03-17,14.7,14.7,14.7,14.7,9.79,0
2016-03-18,14.7,14.7,14.7,14.7,9.79,0
2016-03-21,14.7,14.7,14.7,14.7,9.79,0
2016-03-22,14.7,14.7,14.7,14.7,9.79,0
2016-03-23,14.7,14.7,14.7,14.7,9.79,0
2016-03-24,14.7,14.7,14.7,14.7,9.79,0
2016-03-25,14.7,14.7,14.7,14.7,9.79,0
2016-03-28,14.7,14.7,14.7,14.7,9.79,0
2016-03-29,14.7,14.7,14.7,14.7,9.79,0
2016-03-30,14.7,14.7,14.7,14.7,9.79,0
2016-03-31,14.7,14.7,14.7,14.7,9.79,0
2016-04-01,14.7,14.7,14.7,14.7,9.79,0
2016-04-04,14.7,14.7,14.7,14.7,9.79,0
2016-04-05,14.7,14.7,14.7,14.7,9.79,0
2016-04-06,14.7,14.7,14.7,14.7,9.79,0
2016-04-07,14.7,14.7,14.7,14.7,9.79,0
2016-04-08,14.7,14.7,14.7,14.7,9.79,0
2016-04-11,14.7,14.7,14.7,14.7,9.79,0
2016-04-12,14.7,14.7,14.7,14.7,9.79,0
2016-04-13,14.7,14.7,14.7,14.7,9.79,0
2016-04-14,14.7,14.7,14.7,14.7,9.79,0
2016-04-15,14.7,14.7,14.7,14.7,9.79,0
2016-04-19,14.0,14.0,14.0,14.0,9.32,500
2016-04-20,14.0,14.0,14.0,14.0,9.32,0
2016-04-21,14.0,14.0,14.0,14.0,9.32,100
2016-04-22,13.0,13.0,13.0,13.0,8.66,200
2016-04-25,13.0,13.0,13.0,13.0,8.66,400
2016-04-26,13.0,13.0,13.0,13.0,8.66,0
2016-04-27,13.0,13.0,13.0,13.0,8.66,0
2016-04-28,13.0,13.0,13.0,13.0,8.66,400
2016-04-29,13.0,13.0,13.0,13.0,8.66,0
2016-05-04,13.0,13.0,13.0,13.0,8.66,0
2016-05-05,13.0,13.0,13.0,13.0,8.66,250
2016-05-06,13.0,13.0,13.0,13.0,8.66,50
2016-05-09,13.0,13.0,13.0,13.0,8.66,0
2016-05-10,13.0,13.0,13.0,13.0,8.66,0
2016-05-11,13.0,13.0,13.0,13.0,8.66,0
2016-05-12,13.0,13.0,13.0,13.0,8.66,0
2016-05-13,13.0,13.0,13.0,13.0,8.66,0
