Date,High,Low,Open,Close,adjust,Volume
2015-07-20,33.6,33.5,33.6,33.5,33.5,440870
2015-07-21,34.5,32.0,34.5,33.0,33.0,398480
2015-07-22,33.1,31.9,33.0,33.1,33.1,527560
2015-07-23,33.5,32.7,32.8,33.2,33.2,526500
2015-07-24,33.3,32.4,33.1,33.2,33.2,432500
2015-07-27,33.2,32.0,32.0,32.8,32.8,493270
2015-07-28,32.5,31.9,32.0,32.1,32.1,468920
2015-07-29,32.1,31.3,31.3,31.5,31.5,409000
2015-07-30,31.5,31.1,31.5,31.2,31.2,468360
2015-07-31,31.7,30.7,31.2,31.2,31.2,502040
2015-08-03,30.5,29.9,30.4,30.1,30.1,376060
2015-08-04,29.8,28.8,29.4,29.4,29.4,1245130
2015-08-05,29.2,28.9,29.2,29.2,29.2,184520
2015-08-06,29.6,29.0,29.3,29.6,29.6,238060
2015-08-07,29.5,29.0,29.3,29.1,29.1,230200
2015-08-10,29.1,28.6,29.0,28.7,28.7,829920
2015-08-11,28.8,27.8,28.5,27.8,27.8,875940
2015-08-12,28.1,27.8,28.0,28.1,28.1,187300
2015-08-13,28.3,27.9,28.3,28.3,28.3,1278100
2015-08-14,28.5,28.0,28.5,28.0,28.0,687850
2015-08-17,28.2,27.7,27.7,27.9,27.9,2322780
2015-08-18,28.0,27.5,27.9,27.6,27.6,156920
2015-08-19,27.5,25.7,27.5,25.7,25.7,103280
2015-08-20,26.3,25.5,26.2,26.1,26.1,162710
2015-08-21,26.3,25.0,26.3,25.8,25.8,255500
2015-08-24,25.6,24.0,25.5,25.0,25.0,328390
2015-08-25,25.5,24.0,25.0,25.5,25.5,2210390
2015-08-26,27.0,25.2,25.2,27.0,27.0,1069500
2015-08-27,27.9,26.8,26.8,27.9,27.9,248970
2015-08-28,28.0,27.5,27.9,27.8,27.8,1226095
2015-08-31,28.3,27.3,27.5,27.7,27.7,172980
2015-09-01,27.7,27.4,27.5,27.6,27.6,190670
2015-09-03,28.0,27.5,27.5,27.6,27.6,187190
2015-09-04,27.8,27.5,27.5,27.6,27.6,202660
2015-09-07,28.0,27.4,27.4,28.0,28.0,197040
2015-09-08,28.1,27.8,27.9,28.1,28.1,202550
2015-09-09,28.4,28.0,28.0,28.4,28.4,197100
2015-09-10,29.0,28.2,28.2,28.5,28.5,186700
2015-09-11,28.8,28.1,28.3,28.1,28.1,198610
2015-09-14,28.1,27.3,27.3,28.0,28.0,206040
2015-09-15,29.9,27.7,27.7,29.9,29.9,272490
2015-09-16,30.8,29.3,30.8,29.3,29.3,216990
2015-09-17,29.5,28.8,29.0,28.8,28.8,215450
2015-09-18,29.0,28.6,28.6,28.6,28.6,205800
2015-09-21,29.0,28.3,28.7,28.7,28.7,217210
2015-09-22,28.9,28.3,28.4,28.3,28.3,225620
2015-09-23,28.3,28.0,28.0,28.0,28.0,211520
2015-09-24,28.3,27.7,27.7,27.9,27.9,223420
2015-09-25,28.3,27.7,27.7,28.3,28.3,221240
2015-09-28,28.5,28.1,28.1,28.4,28.4,214210
2015-09-29,28.5,28.1,28.2,28.4,28.4,217460
2015-09-30,28.5,27.6,27.6,28.4,28.4,213850
2015-10-01,28.6,28.2,28.2,28.6,28.6,203260
2015-10-02,28.8,28.3,28.3,28.7,28.7,196170
2015-10-05,28.8,28.5,28.5,28.7,28.7,190660
2015-10-06,29.1,28.5,28.7,29.0,29.0,667350
2015-10-07,29.1,28.7,29.0,28.7,28.7,245620
2015-10-08,28.8,28.5,28.6,28.5,28.5,183690
2015-10-09,28.8,28.5,28.5,28.8,28.8,661820
2015-10-12,28.9,28.5,28.6,28.6,28.6,220190
2015-10-13,28.7,28.3,28.6,28.3,28.3,211900
2015-10-14,28.5,28.2,28.2,28.2,28.2,215710
2015-10-15,28.4,28.1,28.2,28.2,28.2,223790
2015-10-16,28.5,26.7,28.3,28.3,28.3,205350
2015-10-19,28.5,28.2,28.2,28.3,28.3,206780
2015-10-20,28.5,28.1,28.3,28.1,28.1,209690
2015-10-21,28.2,28.0,28.1,28.0,28.0,212100
2015-10-22,28.4,27.8,27.8,28.1,28.1,205090
2015-10-23,28.2,28.0,28.0,28.1,28.1,199580
2015-10-26,28.3,28.0,28.1,28.1,28.1,202030
2015-10-27,28.4,28.1,28.2,28.4,28.4,174500
2015-10-28,28.5,28.1,28.4,28.1,28.1,192910
2015-10-29,28.3,28.1,28.1,28.2,28.2,198760
2015-10-30,30.1,28.1,28.2,30.1,30.1,218730
2015-11-02,31.1,29.7,29.9,31.1,31.1,255790
2015-11-03,31.7,30.6,31.0,31.3,31.3,218110
2015-11-04,31.5,31.0,31.2,31.3,31.3,200820
2015-11-05,31.5,31.1,31.1,31.3,31.3,207850
2015-11-06,31.7,30.9,31.3,31.0,31.0,313400
2015-11-09,31.5,30.9,31.0,30.9,30.9,266500
2015-11-10,31.2,30.5,30.9,30.5,30.5,271820
2015-11-11,30.8,30.3,30.3,30.6,30.6,302500
2015-11-12,30.8,30.3,30.6,30.4,30.4,252600
2015-11-13,30.8,30.3,30.3,30.6,30.6,300590
2015-11-16,30.9,30.4,30.6,30.5,30.5,334360
2015-11-17,31.0,30.5,30.5,30.7,30.7,1784430
2015-11-18,31.0,30.5,30.7,30.5,30.5,2304680
2015-11-19,30.8,30.2,30.5,30.5,30.5,395830
2015-11-20,30.8,30.3,30.5,30.6,30.6,344240
2015-11-23,30.8,30.6,30.6,30.7,30.7,251250
2015-11-24,30.8,30.6,30.7,30.6,30.6,332000
2015-11-25,31.8,30.5,30.5,31.8,31.8,947500
2015-11-26,31.9,31.4,31.8,31.8,31.8,1059340
2015-11-27,32.1,31.3,31.4,31.3,31.3,1312030
2015-11-30,31.3,30.9,31.1,31.1,31.1,1387670
2015-12-01,31.4,30.8,30.8,31.0,31.0,1975530
2015-12-02,31.1,30.4,30.7,30.7,30.7,816340
2015-12-03,30.9,30.3,30.7,30.5,30.5,454100
2015-12-04,30.6,29.9,30.5,29.9,29.9,267890
2015-12-07,30.2,29.0,29.9,29.1,29.1,1424400
2015-12-08,29.0,28.0,29.0,28.3,28.3,1245500
2015-12-09,28.6,28.2,28.3,28.4,28.4,1547990
2015-12-10,28.9,28.4,28.4,28.5,28.5,253690
2015-12-11,28.7,28.2,28.4,28.4,28.4,1599050
2015-12-14,28.9,28.3,28.5,28.5,28.5,605830
2015-12-15,28.9,28.4,28.4,28.6,28.6,253140
2015-12-16,28.9,28.3,28.6,28.5,28.5,284870
2015-12-17,28.9,28.3,28.5,28.6,28.6,253090
2015-12-18,28.7,28.3,28.6,28.5,28.5,304200
2015-12-21,29.0,28.5,28.5,28.5,28.5,254800
2015-12-22,29.0,28.5,28.5,28.6,28.6,257090
2015-12-23,29.1,28.5,28.6,28.6,28.6,261910
2015-12-24,29.0,28.5,28.6,28.7,28.7,259680
2015-12-25,29.0,28.5,28.7,28.8,28.8,302740
