Date,High,Low,Open,Close,adjust,Volume
2018-07-24,28.6,26.8,26.8,28.6,16.35,1437600
2018-07-25,28.8,28.0,28.6,28.7,16.41,13028100
2018-07-26,28.8,27.0,28.7,27.0,15.44,408020
2018-07-27,27.45,27.0,27.0,27.45,15.7,964800
2018-07-30,27.8,27.45,27.5,27.5,15.73,650110
2018-07-31,27.6,27.2,27.2,27.35,15.64,337200
2018-08-01,27.5,27.0,27.0,27.15,15.53,534390
2018-08-02,27.4,27.0,27.3,27.15,15.53,508410
2018-08-03,27.2,26.9,27.1,26.9,15.38,506080
2018-08-06,27.1,26.8,26.9,27.0,15.44,622430
2018-08-07,27.2,26.9,26.95,27.2,15.55,351390
2018-08-08,27.4,27.0,27.0,27.3,15.61,247830
2018-08-09,27.4,27.0,27.3,27.1,15.5,465370
2018-08-10,27.15,26.95,27.1,27.05,15.47,278970
2018-08-13,27.3,27.05,27.05,27.2,15.55,375260
2018-08-14,27.5,27.1,27.2,27.5,15.73,696230
2018-08-15,27.6,27.3,27.5,27.3,15.61,572800
2018-08-16,27.4,27.2,27.3,27.3,15.61,340040
2018-08-17,27.4,27.2,27.2,27.3,15.61,226490
2018-08-20,27.4,27.1,27.2,27.1,15.5,331940
2018-08-21,27.2,27.0,27.2,27.1,15.5,402040
2018-08-22,27.2,27.0,27.1,27.1,15.5,335780
2018-08-23,27.3,27.05,27.1,27.1,15.5,204460
2018-08-24,27.3,27.1,27.1,27.2,15.55,192410
2018-08-27,27.25,27.1,27.15,27.2,15.55,163580
2018-08-28,27.3,27.0,27.2,27.1,15.5,234190
2018-08-29,27.2,27.05,27.1,27.05,15.47,253550
2018-08-30,27.15,27.05,27.05,27.15,15.53,200170
2018-08-31,27.3,27.0,27.15,27.25,15.58,243880
2018-09-04,27.5,27.2,27.25,27.4,15.67,308090
2018-09-05,27.45,27.2,27.25,27.2,15.55,306240
2018-09-06,27.25,27.0,27.2,27.2,15.55,212110
2018-09-07,27.35,27.2,27.2,27.25,15.58,205740
2018-09-10,27.35,27.2,27.2,27.3,15.61,201510
2018-09-11,27.35,27.0,27.3,27.25,15.58,134470
2018-09-12,27.3,27.0,27.2,27.25,15.58,186410
2018-09-13,27.25,27.0,27.2,27.25,15.58,303640
2018-09-14,27.35,27.2,27.25,27.25,15.58,340800
2018-09-17,27.3,27.0,27.2,27.0,15.44,411830
2018-09-18,27.2,27.0,27.0,27.1,15.5,336020
2018-09-19,27.15,27.0,27.1,27.15,15.53,205190
2018-09-20,27.15,26.8,27.15,27.0,15.44,55450
2018-09-21,27.2,26.9,27.0,27.0,15.44,320090
2018-09-24,27.15,26.95,27.0,27.1,15.5,608560
2018-09-25,27.1,26.95,27.1,27.0,15.44,24210
2018-09-26,27.0,26.9,27.0,27.0,15.44,35330
2018-09-27,27.0,26.95,27.0,27.0,15.44,20790
2018-09-28,27.05,26.95,27.0,27.0,15.44,1451570
2018-10-01,27.1,27.0,27.0,27.05,15.47,35980
2018-10-02,27.1,26.9,27.05,26.9,15.38,35660
2018-10-03,27.0,26.9,26.9,27.0,15.44,35020
2018-10-04,27.05,26.95,27.0,27.0,15.44,36460
2018-10-05,27.0,26.9,27.0,26.95,15.41,21470
2018-10-08,27.0,26.9,26.95,26.9,15.38,15870
2018-10-09,26.95,26.9,26.9,26.9,15.38,12220
2018-10-10,27.0,26.8,26.9,27.0,15.44,35970
2018-10-11,27.15,26.7,27.05,27.05,15.47,121360
2018-10-12,27.05,26.85,26.9,27.05,15.47,75760
2018-10-15,27.1,26.95,27.05,27.0,15.44,232410
2018-10-16,28.0,26.9,27.05,28.0,16.01,262990
2018-10-17,28.05,27.65,27.8,27.8,15.9,245270
2018-10-18,29.0,27.6,27.8,29.0,16.58,543820
2018-10-19,29.05,28.0,29.0,28.0,16.01,318840
2018-10-22,28.55,28.1,28.3,28.1,16.07,291330
2018-10-23,28.5,27.65,28.2,27.8,15.9,105750
2018-10-24,28.15,27.0,27.75,27.0,15.44,150910
2018-10-25,27.5,26.0,26.75,27.5,15.73,565050
2018-10-26,27.95,27.45,27.45,27.9,15.95,528210
2018-10-29,28.2,27.5,27.55,28.15,16.1,377930
2018-10-30,30.1,27.5,27.9,29.95,17.13,870620
2018-10-31,30.7,29.3,30.1,29.95,17.13,541670
2018-11-01,26.8,25.95,26.0,26.7,17.56,496130
2018-11-02,27.1,26.65,26.65,27.1,17.82,367040
2018-11-05,27.5,27.0,27.1,27.2,17.89,313810
2018-11-06,27.8,27.1,27.2,27.75,18.25,413840
2018-11-07,27.9,27.5,27.8,27.6,18.15,282060
2018-11-08,27.8,27.2,27.5,27.65,18.18,290290
2018-11-09,27.8,27.4,27.7,27.4,18.02,404060
2018-11-12,27.55,26.65,27.3,26.65,17.52,255150
2018-11-13,27.0,26.6,26.8,27.0,17.76,175570
2018-11-14,27.5,26.7,26.95,27.5,18.08,276160
2018-11-15,27.5,27.0,27.0,27.25,17.92,313180
2018-11-16,27.7,27.2,27.25,27.6,18.15,442140
2018-11-19,28.0,27.6,27.8,27.6,18.15,230420
2018-11-20,28.0,27.0,27.5,27.0,17.76,252270
2018-11-21,27.65,27.0,27.0,27.0,17.76,260070
2018-11-22,27.6,26.8,27.0,27.45,18.05,166350
2018-11-23,27.6,26.85,27.45,27.0,17.76,188600
2018-11-26,27.1,26.9,27.0,27.0,17.76,202900
2018-11-27,27.1,26.85,27.0,26.95,17.72,151080
2018-11-28,27.05,26.5,26.95,26.9,17.69,192650
2018-11-29,27.0,26.6,26.9,26.9,17.69,207050
2018-11-30,26.95,26.3,26.6,26.8,17.62,142880
2018-12-03,27.0,26.4,26.8,26.95,17.72,182250
2018-12-04,27.05,26.4,26.95,26.95,17.72,262470
2018-12-05,26.95,26.15,26.95,26.8,17.62,129490
2018-12-06,27.0,26.4,26.5,26.8,17.62,160460
2018-12-07,26.95,26.0,26.8,26.8,17.62,246680
2018-12-10,26.8,26.1,26.8,26.8,17.62,124790
2018-12-11,26.8,26.1,26.5,26.8,17.62,325710
2018-12-12,26.8,26.05,26.8,26.05,17.13,264440
2018-12-13,26.5,26.05,26.05,26.5,17.43,277500
2018-12-14,26.55,26.1,26.5,26.45,17.39,494420
2018-12-17,26.6,26.1,26.45,26.4,17.36,292700
2018-12-18,26.4,26.1,26.4,26.1,17.16,370010
2018-12-19,26.35,25.8,26.3,26.0,17.1,378090
2018-12-20,23.95,22.5,22.5,23.95,15.75,1829020
2018-12-21,25.6,23.95,23.95,25.6,16.83,1422160
2018-12-24,26.5,25.4,25.55,25.65,16.87,863890
