Date,High,Low,Open,Close,adjust,Volume
2012-01-03,6.6,6.2,6.6,6.2,2.2,490
2012-01-04,6.3,6.2,6.2,6.2,2.2,24520
2012-01-05,6.2,6.2,6.2,6.2,2.2,10740
2012-01-06,6.3,6.1,6.3,6.1,2.16,22450
2012-01-09,6.2,6.2,6.2,6.2,2.2,3010
2012-01-10,6.3,6.2,6.3,6.3,2.23,3510
2012-01-11,6.4,6.2,6.3,6.4,2.27,12010
2012-01-12,6.5,6.2,6.3,6.5,2.31,10020
2012-01-13,6.7,6.6,6.6,6.7,2.38,1020
2012-01-16,6.7,6.7,6.7,6.7,2.38,3470
2012-01-17,6.8,6.7,6.8,6.7,2.38,5020
2012-01-18,6.8,6.8,6.8,6.8,2.41,10
2012-01-19,7.0,6.9,6.9,6.9,2.45,1040
2012-01-20,7.0,6.8,6.9,7.0,2.48,15000
2012-01-30,7.2,7.0,7.0,7.2,2.55,5070
2012-01-31,7.3,7.0,7.3,7.0,2.48,16740
2012-02-01,7.2,6.7,7.2,6.7,2.38,9310
2012-02-02,7.0,7.0,7.0,7.0,2.48,10030
2012-02-03,7.3,7.2,7.3,7.2,2.55,42010
2012-02-06,7.3,7.2,7.2,7.3,2.59,540
2012-02-07,7.5,7.2,7.5,7.4,2.63,18070
2012-02-08,7.5,7.3,7.3,7.5,2.66,17610
2012-02-09,7.6,7.3,7.5,7.5,2.66,23320
2012-02-10,7.5,7.2,7.5,7.2,2.55,26560
2012-02-13,7.2,7.0,7.0,7.0,2.48,15830
2012-02-14,7.3,7.1,7.2,7.2,2.55,4350
2012-02-15,7.4,7.1,7.4,7.3,2.59,18010
2012-02-16,7.3,7.3,7.3,7.3,2.59,2530
2012-02-17,7.6,7.3,7.4,7.6,2.7,5200
2012-02-20,7.9,7.7,7.8,7.9,2.8,55540
2012-02-21,8.1,7.8,7.9,7.9,2.8,24170
2012-02-22,8.1,7.9,7.9,8.1,2.87,24300
2012-02-23,8.5,7.9,8.1,8.4,2.98,26770
2012-02-24,8.6,8.1,8.2,8.4,2.98,71370
2012-02-27,8.8,8.3,8.3,8.8,3.12,99200
2012-02-28,9.2,8.6,9.2,8.9,3.16,28220
2012-02-29,8.9,8.6,8.7,8.9,3.16,19030
2012-03-01,9.0,8.8,8.8,9.0,3.19,92550
2012-03-02,9.4,9.0,9.0,9.4,3.33,92510
2012-03-05,9.8,9.6,9.7,9.8,3.48,207130
2012-03-06,10.2,9.9,10.2,10.2,3.62,164020
2012-03-07,10.5,9.9,9.9,10.2,3.62,12710
2012-03-08,10.2,9.7,10.2,10.0,3.55,120730
2012-03-09,10.2,9.6,9.8,9.6,3.41,41800
2012-03-12,9.2,9.2,9.2,9.2,3.26,99820
2012-03-13,9.4,8.8,9.2,9.3,3.3,6250
2012-03-14,9.7,9.2,9.6,9.5,3.37,2000
2012-03-15,9.7,9.3,9.5,9.7,3.44,19420
2012-03-16,10.1,9.6,10.0,10.1,3.58,55070
2012-03-19,10.3,10.0,10.3,10.2,3.62,330
2012-03-20,10.2,9.9,9.9,10.2,3.62,11200
2012-03-21,10.4,10.2,10.2,10.2,3.62,32690
2012-03-22,10.3,10.1,10.2,10.3,3.65,41940
2012-03-23,10.4,10.0,10.3,10.4,3.69,81680
2012-03-26,10.7,10.1,10.7,10.5,3.72,16370
2012-03-27,10.5,10.2,10.5,10.3,3.65,13450
2012-03-28,10.5,10.3,10.5,10.4,3.69,54030
2012-03-29,10.4,10.2,10.4,10.2,3.62,4170
2012-03-30,10.2,9.9,10.0,10.2,3.62,2640
2012-04-03,10.1,9.9,9.9,10.0,3.55,4600
2012-04-04,10.0,10.0,10.0,10.0,3.55,6200
2012-04-05,10.0,9.7,10.0,10.0,3.55,5230
2012-04-06,10.0,9.8,9.8,10.0,3.55,5950
2012-04-09,10.0,10.0,10.0,10.0,3.55,2760
2012-04-10,10.4,10.2,10.2,10.3,3.65,35730
2012-04-11,10.8,10.4,10.5,10.8,3.83,60080
2012-04-12,11.3,10.8,10.8,11.2,3.97,50610
2012-04-13,11.7,11.2,11.2,11.7,4.15,14140
2012-04-16,12.2,12.0,12.1,12.2,4.33,940060
2012-04-17,12.5,12.0,12.3,12.2,4.33,15320
2012-04-18,12.0,11.6,12.0,11.6,4.11,30630
2012-04-19,12.0,11.8,11.8,12.0,4.26,14230
2012-04-20,12.0,11.5,11.5,11.6,4.11,6500
2012-04-23,11.9,11.5,11.5,11.9,4.22,17250
2012-04-24,11.9,11.6,11.6,11.6,4.11,11300
2012-04-25,12.0,11.5,11.5,12.0,4.26,16140
2012-04-26,12.5,11.9,12.0,12.5,4.43,45320
2012-04-27,13.1,12.9,13.0,13.1,4.65,59840
2012-05-02,13.7,13.5,13.7,13.7,4.86,75990
2012-05-03,14.0,13.9,14.0,14.0,4.97,11030
2012-05-04,14.4,13.6,14.0,14.3,5.07,38990
2012-05-07,15.0,14.2,14.5,15.0,5.32,63440
2012-05-08,15.5,14.4,15.5,15.3,5.43,32330
2012-05-09,15.3,14.6,15.3,15.2,5.39,11220
2012-05-10,15.9,14.6,14.7,15.9,5.64,75470
2012-05-11,16.0,15.2,15.7,15.2,5.39,19580
2012-05-14,15.7,14.5,14.7,14.5,5.14,35050
2012-05-15,13.9,13.8,13.8,13.8,4.9,22250
2012-05-16,13.3,13.2,13.3,13.2,4.68,49960
2012-05-17,13.4,12.6,13.3,12.6,4.47,6550
2012-05-18,13.2,12.0,13.2,13.0,4.61,24090
2012-05-21,13.5,12.6,12.6,13.4,4.75,4290
2012-05-22,13.4,12.9,13.4,13.4,4.75,2010
2012-05-23,13.4,13.4,13.4,13.4,4.75,10
2012-05-24,12.8,12.8,12.8,12.8,4.54,680
2012-05-25,12.8,12.2,12.4,12.8,4.54,14870
2012-05-28,12.9,12.4,12.9,12.9,4.58,16860
2012-05-29,12.3,12.3,12.3,12.3,4.36,3710
2012-05-30,12.9,12.9,12.9,12.9,4.58,130
2012-05-31,13.0,12.3,12.3,13.0,4.61,1700
2012-06-01,12.8,12.4,12.8,12.4,4.4,8230
2012-06-04,11.9,11.8,11.8,11.9,4.22,4730
2012-06-05,12.2,11.4,11.5,11.9,4.22,7900
2012-06-06,11.5,11.4,11.4,11.5,4.08,2610
2012-06-07,12.0,12.0,12.0,12.0,4.26,1500
2012-06-08,12.6,12.0,12.6,12.6,4.47,25440
2012-06-11,12.6,12.6,12.6,12.6,4.47,110
2012-06-12,13.0,13.0,13.0,13.0,4.61,10
2012-06-13,13.4,12.4,13.0,13.4,4.75,3780
2012-06-14,13.8,12.8,13.4,12.8,4.54,25960
2012-06-15,13.0,12.9,13.0,12.9,4.58,1700
2012-06-18,13.5,13.5,13.5,13.5,4.79,29500
2012-06-19,12.9,12.9,12.9,12.9,4.58,1050
2012-06-20,13.0,12.3,12.3,13.0,4.61,10220
2012-06-21,13.0,13.0,13.0,13.0,4.61,0
2012-06-22,12.4,12.4,12.4,12.4,4.4,4640
2012-06-25,11.8,11.8,11.8,11.8,4.19,1950
2012-06-26,11.9,11.3,11.8,11.9,4.22,16500
2012-06-27,12.0,11.5,11.8,11.9,4.22,10000
2012-06-28,11.9,11.6,11.6,11.9,4.22,2010
2012-06-29,12.0,11.9,12.0,11.9,4.22,2300
2012-07-02,11.6,11.6,11.6,11.6,4.11,3920
2012-07-03,12.1,11.5,11.5,12.1,4.29,8180
2012-07-04,12.3,11.5,11.5,12.3,4.36,350
2012-07-05,12.4,12.0,12.0,12.4,4.4,700
2012-07-06,12.6,12.4,12.5,12.5,4.43,2120
2012-07-09,11.9,11.9,11.9,11.9,4.22,360
2012-07-10,12.0,11.5,11.5,12.0,4.26,10770
2012-07-11,11.9,11.6,11.6,11.9,4.22,2510
2012-07-12,12.3,12.3,12.3,12.3,4.36,10
2012-07-13,12.5,11.9,12.3,12.0,4.26,270
2012-07-16,12.5,12.2,12.3,12.2,4.33,2100
2012-07-17,12.5,12.3,12.3,12.5,4.43,20
2012-07-18,12.5,12.5,12.5,12.5,4.43,0
2012-07-19,13.0,13.0,13.0,13.0,4.61,300
2012-07-20,13.0,13.0,13.0,13.0,4.61,0
