Date,High,Low,Open,Close,adjust,Volume
2012-01-03,7.4,7.4,7.4,7.4,2.75,800
2012-01-04,7.5,7.4,7.4,7.5,2.79,310
2012-01-05,7.6,7.6,7.6,7.6,2.83,10
2012-01-06,7.6,7.6,7.6,7.6,2.83,0
2012-01-09,7.5,7.5,7.5,7.5,2.79,1000
2012-01-10,7.5,7.5,7.5,7.5,2.79,5800
2012-01-11,7.5,7.5,7.5,7.5,2.79,1040
2012-01-12,7.5,7.4,7.4,7.5,2.79,1210
2012-01-13,7.5,7.4,7.4,7.5,2.79,1210
2012-01-16,7.5,7.2,7.4,7.2,2.68,3620
2012-01-17,7.0,6.9,6.9,6.9,2.57,16100
2012-01-18,7.2,7.2,7.2,7.2,2.68,200
2012-01-19,7.3,7.0,7.3,7.0,2.6,1220
2012-01-20,7.3,7.3,7.3,7.3,2.71,10
2012-01-30,7.6,7.6,7.6,7.6,2.83,2490
2012-01-31,7.9,7.9,7.9,7.9,2.94,10
2012-02-01,8.2,8.2,8.2,8.2,3.05,5980
2012-02-02,8.6,8.6,8.6,8.6,3.2,10
2012-02-03,9.0,8.8,9.0,8.8,3.27,24340
2012-02-06,9.2,8.8,8.9,9.1,3.38,10240
2012-02-07,9.4,9.1,9.4,9.2,3.42,2550
2012-02-08,9.4,9.3,9.3,9.4,3.5,6320
2012-02-09,9.6,9.3,9.6,9.5,3.53,4900
2012-02-10,9.5,9.1,9.5,9.1,3.38,1330
2012-02-13,9.3,9.0,9.3,9.0,3.35,1010
2012-02-14,9.4,9.2,9.3,9.4,3.5,4610
2012-02-15,9.6,9.2,9.6,9.2,3.42,590
2012-02-16,9.3,9.0,9.3,9.0,3.35,1780
2012-02-17,9.4,9.3,9.4,9.3,3.46,5480
2012-02-20,9.7,9.6,9.6,9.6,3.57,34760
2012-02-21,9.7,9.5,9.7,9.7,3.61,11310
2012-02-22,10.1,9.6,9.9,10.1,3.76,23630
2012-02-23,10.6,10.6,10.6,10.6,3.94,20
2012-02-24,11.1,11.1,11.1,11.1,4.13,10120
2012-02-27,11.6,11.6,11.6,11.6,4.31,1290
2012-02-28,12.1,12.0,12.1,12.1,4.5,557190
2012-02-29,12.7,12.1,12.5,12.7,4.72,56360
2012-03-01,13.3,13.3,13.3,13.3,4.95,31330
2012-03-02,13.9,13.3,13.9,13.8,5.13,14670
2012-03-05,14.4,13.4,13.4,14.4,5.36,234910
2012-03-06,14.9,13.7,14.9,13.7,5.09,83900
2012-03-07,13.5,13.1,13.5,13.4,4.98,77220
2012-03-08,13.3,12.8,12.9,12.8,4.76,51790
2012-03-09,12.7,12.2,12.5,12.7,4.72,37640
2012-03-12,13.1,12.5,12.6,12.7,4.72,41380
2012-03-13,13.0,12.7,12.7,13.0,4.83,10910
2012-03-14,13.1,12.5,13.1,12.6,4.69,16850
2012-03-15,13.2,12.4,12.6,13.0,4.83,17410
2012-03-16,13.5,13.0,13.3,13.3,4.95,44390
2012-03-19,13.5,12.9,12.9,12.9,4.8,28260
2012-03-20,13.3,12.9,12.9,13.3,4.95,20670
2012-03-21,13.7,12.9,12.9,13.3,4.95,47000
2012-03-22,13.5,13.1,13.1,13.2,4.91,33260
2012-03-23,13.5,13.1,13.1,13.5,5.02,33260
2012-03-26,13.6,13.2,13.3,13.5,5.02,31980
2012-03-27,13.5,12.9,13.5,12.9,4.8,30770
2012-03-28,12.9,12.3,12.9,12.9,4.8,19540
2012-03-29,12.8,12.3,12.8,12.7,4.72,22390
2012-03-30,12.6,12.1,12.6,12.1,4.5,14240
2012-04-03,12.4,12.0,12.0,12.3,4.57,9430
2012-04-04,12.5,12.0,12.3,12.4,4.61,12570
2012-04-05,12.6,12.3,12.4,12.6,4.69,22570
2012-04-06,12.6,12.5,12.6,12.5,4.65,12340
2012-04-09,12.9,12.5,12.5,12.8,4.76,10460
2012-04-10,13.0,12.8,12.8,13.0,4.83,29650
2012-04-11,13.5,13.0,13.1,13.5,5.02,40650
2012-04-12,14.1,13.5,13.6,14.1,5.24,63860
2012-04-13,14.1,13.7,13.9,13.9,5.17,36950
2012-04-16,14.2,13.8,13.9,14.1,5.24,41490
2012-04-17,14.1,13.9,14.1,14.0,5.21,47850
2012-04-18,14.1,13.8,14.0,13.8,5.13,50240
2012-04-19,13.8,13.3,13.8,13.7,5.09,17950
2012-04-20,13.7,13.5,13.5,13.5,5.02,14600
2012-04-23,13.8,12.9,13.8,12.9,4.8,78120
2012-04-24,13.0,12.4,12.6,13.0,4.83,13950
2012-04-25,13.4,12.5,13.0,13.4,4.98,92520
2012-04-26,13.5,13.0,13.5,13.3,4.95,31760
2012-04-27,13.3,12.9,13.0,13.2,4.91,12670
2012-05-02,13.4,12.9,13.0,13.2,4.91,25300
2012-05-03,13.3,12.8,13.0,13.2,4.91,28970
2012-05-04,13.7,13.2,13.3,13.7,5.09,26570
2012-05-07,14.3,14.0,14.3,14.3,5.32,124500
2012-05-08,15.0,14.3,14.6,14.6,5.43,72250
2012-05-09,15.3,14.4,14.4,15.3,5.69,117390
2012-05-10,16.0,15.5,16.0,16.0,5.95,214550
2012-05-11,16.0,15.2,16.0,15.2,5.65,81050
2012-05-14,15.2,14.5,15.2,14.5,5.39,27340
2012-05-15,14.8,13.8,14.8,14.4,5.36,27560
2012-05-16,14.6,13.7,14.1,14.2,5.28,15130
2012-05-17,14.2,13.5,14.2,13.5,5.02,36110
2012-05-18,13.5,12.9,13.2,13.0,4.83,44000
2012-05-21,13.5,12.8,12.8,13.5,5.02,18980
2012-05-22,13.9,13.3,13.8,13.5,5.02,15300
2012-05-23,13.4,13.1,13.4,13.2,4.91,4500
2012-05-24,13.5,13.0,13.5,13.1,4.87,11500
2012-05-25,13.7,13.2,13.7,13.7,5.09,30540
2012-05-28,14.0,13.2,13.7,13.2,4.91,12810
2012-05-29,13.3,12.9,13.2,13.3,4.95,11520
2012-05-30,13.3,12.9,13.1,13.1,4.87,6570
2012-05-31,13.4,13.0,13.4,13.3,4.95,5100
2012-06-01,13.2,13.1,13.1,13.1,4.87,10700
2012-06-04,13.5,12.5,13.5,12.5,4.65,34230
2012-06-05,12.8,12.6,12.8,12.7,4.72,10260
2012-06-06,13.0,12.8,12.8,13.0,4.83,9770
2012-06-07,13.2,13.2,13.2,13.2,4.91,1200
2012-06-08,13.3,12.8,13.2,13.2,4.91,3050
2012-06-11,13.3,12.9,13.3,12.9,4.8,32150
2012-06-12,13.2,12.9,13.0,12.9,4.8,11970
2012-06-13,13.2,13.0,13.1,13.2,4.91,5990
2012-06-14,13.4,13.0,13.2,13.2,4.91,2370
2012-06-15,13.7,13.2,13.2,13.6,5.06,2620
2012-06-18,13.7,13.2,13.2,13.3,4.95,7790
2012-06-19,13.1,13.0,13.1,13.1,4.87,2700
2012-06-20,13.5,13.0,13.5,13.3,4.95,730
2012-06-21,13.5,13.2,13.2,13.3,4.95,6430
2012-06-22,13.2,12.7,13.1,12.7,4.72,9880
2012-06-25,13.3,12.4,13.3,12.4,4.61,12280
2012-06-26,12.5,12.1,12.5,12.4,4.61,12470
2012-06-27,12.6,12.4,12.4,12.6,4.69,14780
2012-06-28,12.8,12.6,12.8,12.6,4.69,200
2012-06-29,13.2,12.6,12.9,13.2,4.91,12990
2012-07-02,13.2,12.8,13.0,13.2,4.91,9750
2012-07-03,13.2,12.6,13.2,12.6,4.69,6660
2012-07-04,13.2,13.0,13.1,13.0,4.83,44570
2012-07-05,13.0,12.8,13.0,12.9,4.8,20960
2012-07-06,13.0,12.9,12.9,12.9,4.8,11840
2012-07-09,13.0,12.3,12.9,12.3,4.57,18620
2012-07-10,10.5,9.8,9.8,10.5,4.66,6720
2012-07-11,10.5,10.0,10.5,10.2,4.53,13880
2012-07-12,10.2,9.7,10.2,9.8,4.35,5390
2012-07-13,10.2,9.6,10.2,10.2,4.53,6330
2012-07-16,10.2,9.7,10.2,9.7,4.31,6020
2012-07-17,10.1,10.0,10.0,10.1,4.49,1060
2012-07-18,10.2,9.8,10.2,9.8,4.35,5020
2012-07-19,10.2,9.5,10.0,10.2,4.53,2850
2012-07-20,10.2,9.8,9.9,10.2,4.53,8650
2012-07-23,10.2,10.0,10.2,10.0,4.44,11130
2012-07-24,10.0,9.6,10.0,9.6,4.26,310
2012-07-25,9.9,9.6,9.8,9.9,4.4,580
2012-07-26,9.9,9.8,9.9,9.8,4.35,30
2012-07-27,9.9,9.5,9.9,9.5,4.22,440
2012-07-30,9.9,9.5,9.5,9.9,4.4,30
2012-07-31,9.9,9.5,9.9,9.8,4.35,1640
2012-08-01,9.9,9.5,9.8,9.5,4.22,1410
2012-08-02,9.7,9.5,9.7,9.6,4.26,7540
2012-08-03,9.7,9.2,9.6,9.2,4.09,1820
2012-08-06,9.6,9.5,9.5,9.6,4.26,1330
2012-08-07,9.9,9.4,9.9,9.4,4.17,430
2012-08-08,9.6,9.2,9.6,9.5,4.22,7920
2012-08-09,9.6,9.1,9.5,9.1,4.04,8000
2012-08-10,9.3,8.7,9.3,8.9,3.95,6160
2012-08-13,9.0,8.5,9.0,8.5,3.77,3820
2012-08-14,8.8,8.5,8.8,8.8,3.91,10020
2012-08-15,8.8,8.6,8.8,8.7,3.86,23960
2012-08-16,8.8,8.6,8.8,8.6,3.82,6960
2012-08-17,8.7,8.5,8.6,8.7,3.86,620
2012-08-20,8.9,8.9,8.9,8.9,3.95,110
2012-08-21,9.0,8.5,9.0,8.5,3.77,4260
2012-08-22,8.5,8.1,8.1,8.5,3.77,26670
2012-08-23,8.2,8.1,8.2,8.1,3.6,24470
2012-08-24,8.5,7.7,7.7,8.4,3.73,2330
2012-08-27,8.5,8.0,8.5,8.0,3.55,53360
2012-08-28,8.4,8.0,8.0,8.2,3.64,11020
2012-08-29,8.5,8.0,8.0,8.2,3.64,9110
2012-08-30,8.5,8.1,8.5,8.1,3.6,160
2012-08-31,8.4,8.1,8.4,8.1,3.6,12560
2012-09-04,8.5,7.9,8.5,7.9,3.51,4330
2012-09-05,8.1,7.8,8.1,7.8,3.46,12390
2012-09-06,8.1,7.9,8.0,8.1,3.6,7200
2012-09-07,8.3,8.0,8.3,8.0,3.55,3820
2012-09-10,8.1,7.7,8.1,7.7,3.42,22390
2012-09-11,8.0,7.9,8.0,7.9,3.51,25830
2012-09-12,8.1,8.0,8.1,8.0,3.55,15130
2012-09-13,8.3,8.0,8.3,8.3,3.69,13310
2012-09-14,8.5,8.3,8.3,8.3,3.69,1570
2012-09-17,8.5,8.2,8.5,8.2,3.64,3140
2012-09-18,8.4,8.0,8.2,8.0,3.55,1250
2012-09-19,8.3,7.6,7.6,8.0,3.55,38510
2012-09-20,8.3,7.9,8.3,7.9,3.51,7500
2012-09-21,8.2,8.0,8.2,8.0,3.55,1380
2012-09-24,8.4,8.0,8.4,8.0,3.55,7620
2012-09-25,8.3,8.3,8.3,8.3,3.69,10
2012-09-26,8.3,7.9,8.3,7.9,3.51,810
2012-09-27,8.2,7.7,8.0,7.7,3.42,6510
2012-09-28,8.0,7.7,7.9,7.7,3.42,20910
2012-10-01,8.0,7.7,7.7,7.8,3.46,570
2012-10-02,8.1,7.8,8.1,7.8,3.46,19650
2012-10-03,8.0,7.9,8.0,7.9,3.51,4610
2012-10-04,8.2,7.8,8.2,7.8,3.46,3830
2012-10-05,8.0,7.8,7.9,7.8,3.46,12710
2012-10-08,7.9,7.9,7.9,7.9,3.51,3530
2012-10-09,8.0,8.0,8.0,8.0,3.55,4510
2012-10-10,8.1,8.0,8.1,8.0,3.55,10410
2012-10-11,8.0,7.8,8.0,7.8,3.46,8500
2012-10-12,8.0,7.9,8.0,7.9,3.51,11010
2012-10-15,8.2,7.8,8.2,7.8,3.46,1010
2012-10-16,8.0,7.8,7.8,8.0,3.55,4020
2012-10-17,8.0,7.8,8.0,7.8,3.46,4380
2012-10-18,8.0,7.8,7.9,7.8,3.46,9350
2012-10-19,7.9,7.7,7.9,7.7,3.42,6300
2012-10-22,7.9,7.5,7.9,7.5,3.33,3940
2012-10-23,7.8,7.5,7.5,7.8,3.46,17230
2012-10-24,7.9,7.5,7.9,7.5,3.33,630
2012-10-25,7.7,7.2,7.2,7.3,3.24,1120
2012-10-26,7.6,7.6,7.6,7.6,3.38,2430
2012-10-29,7.9,7.9,7.9,7.9,3.51,17970
2012-10-30,7.7,7.7,7.7,7.7,3.42,2000
2012-10-31,7.9,7.7,7.9,7.7,3.42,120
2012-11-01,7.9,7.4,7.4,7.6,3.38,280
2012-11-02,7.8,7.3,7.8,7.3,3.24,620
2012-11-05,7.6,7.3,7.5,7.3,3.24,3600
2012-11-06,7.5,7.1,7.5,7.2,3.2,11500
2012-11-07,7.5,7.0,7.5,7.4,3.29,6410
2012-11-08,7.4,7.3,7.3,7.4,3.29,11580
2012-11-09,7.5,7.3,7.5,7.5,3.33,2330
2012-11-12,7.8,7.4,7.8,7.4,3.29,1310
2012-11-13,7.7,7.4,7.4,7.4,3.29,300
2012-11-14,7.5,7.2,7.2,7.5,3.33,2100
2012-11-15,7.7,7.4,7.7,7.4,3.29,5970
2012-11-16,7.6,7.4,7.6,7.4,3.29,510
2012-11-19,7.4,7.3,7.4,7.3,3.24,6620
2012-11-20,7.6,7.6,7.6,7.6,3.38,50
2012-11-21,7.3,7.3,7.3,7.3,3.24,510
2012-11-22,7.5,7.3,7.3,7.5,3.33,1100
2012-11-23,7.5,7.4,7.5,7.4,3.29,1860
2012-11-26,7.4,7.3,7.4,7.3,3.24,610
2012-11-27,7.5,7.3,7.5,7.3,3.24,40
2012-11-28,7.3,7.3,7.3,7.3,3.24,1310
2012-11-29,7.4,7.3,7.4,7.3,3.24,40
2012-11-30,7.4,7.3,7.4,7.3,3.24,1390
2012-12-03,7.5,7.1,7.5,7.1,3.15,1210
2012-12-04,7.4,7.2,7.4,7.2,3.2,5200
2012-12-05,7.4,7.4,7.4,7.4,3.29,770
2012-12-06,7.3,7.3,7.3,7.3,3.24,1500
2012-12-07,7.5,7.4,7.5,7.5,3.33,1210
2012-12-10,7.7,7.5,7.5,7.5,3.33,4410
