Date,High,Low,Open,Close,adjust,Volume
2019-02-26,26.0,20.0,25.0,20.0,11.54,65860
2019-02-27,19.0,18.6,18.7,18.6,10.74,19140
2019-02-28,17.3,17.3,17.3,17.3,9.99,1390
2019-03-01,17.0,16.1,16.1,16.1,9.29,26370
2019-03-04,16.5,15.2,15.2,15.4,8.89,5050
2019-03-05,16.45,15.3,16.0,16.45,9.5,17170
2019-03-06,17.6,17.4,17.4,17.6,10.16,6980
2019-03-07,18.8,17.95,17.95,18.5,10.68,6820
2019-03-08,18.7,17.5,18.7,18.45,10.65,2770
2019-03-11,18.3,17.2,18.3,18.3,10.56,6880
2019-03-12,18.2,18.0,18.0,18.2,10.51,4000
2019-03-13,18.0,17.0,17.05,17.3,9.99,8170
2019-03-14,17.8,17.0,17.5,17.0,9.81,18170
2019-03-15,17.6,17.0,17.0,17.45,10.07,2790
2019-03-18,18.65,17.0,17.0,18.2,10.51,17230
2019-03-19,18.2,17.7,18.2,18.15,10.48,1730
2019-03-20,19.4,18.0,18.25,19.0,10.97,3200
2019-03-21,19.4,19.0,19.0,19.0,10.97,4070
2019-03-22,20.0,19.0,19.0,19.1,11.03,5650
2019-03-25,19.1,17.9,18.1,18.0,10.39,2900
2019-03-26,19.0,18.5,19.0,18.8,10.85,940
2019-03-27,18.8,18.0,18.0,18.5,10.68,410
2019-03-28,19.0,18.0,19.0,18.0,10.39,1550
2019-03-29,18.8,18.8,18.8,18.8,10.85,10
2019-04-01,18.8,18.0,18.3,18.3,10.56,10340
2019-04-02,18.3,18.3,18.3,18.3,10.56,150
2019-04-03,18.5,17.05,18.5,18.3,10.56,8530
2019-04-04,18.6,17.1,18.5,17.35,10.02,8710
2019-04-05,18.3,18.3,18.3,18.3,10.56,840
2019-04-08,18.3,17.2,17.2,18.3,10.56,2130
2019-04-09,18.0,17.8,18.0,17.8,10.27,1230
2019-04-10,17.8,17.8,17.8,17.8,10.27,10
