Date,High,Low,Open,Close,adjust,Volume
2017-01-03,39.2,39.2,39.2,39.2,23.36,700
2017-01-04,45.0,45.0,45.0,45.0,26.82,23368
2017-01-05,51.7,46.0,51.7,49.3,29.38,773279
2017-01-06,52.2,44.0,52.2,44.0,26.22,267321
2017-01-09,46.2,41.0,46.2,41.8,24.91,175245
2017-01-10,44.1,39.3,41.8,43.0,25.63,132314
2017-01-11,44.0,42.0,42.3,43.5,25.92,99854
2017-01-12,43.5,42.5,43.2,42.5,25.33,120108
2017-01-13,42.6,42.0,42.4,42.2,25.15,176513
2017-01-16,42.0,40.1,42.0,41.0,24.43,113637
2017-01-17,40.7,39.5,40.5,39.9,23.78,165082
2017-01-18,39.9,38.0,39.5,39.0,23.24,117676
2017-01-19,39.5,38.3,38.8,39.0,23.24,73536
2017-01-20,38.8,37.8,38.5,38.1,22.71,177345
2017-01-23,38.2,37.8,38.0,38.1,22.71,97164
2017-01-24,38.5,38.0,38.0,38.3,22.82,94926
2017-01-25,38.7,38.0,38.1,38.5,22.94,144254
2017-02-02,39.1,38.1,39.0,38.9,23.18,35528
2017-02-03,39.6,38.6,39.3,38.7,23.06,191300
2017-02-06,39.0,38.3,39.0,38.6,23.0,86980
2017-02-07,38.5,38.0,38.5,38.2,22.76,132437
2017-02-08,39.2,38.0,38.0,38.8,23.12,95870
2017-02-09,38.9,38.5,38.9,38.7,23.06,76107
2017-02-10,43.0,38.7,38.7,42.9,25.57,440447
2017-02-13,44.8,42.5,43.0,44.1,26.28,285680
2017-02-14,44.5,42.3,44.2,42.3,25.21,240690
2017-02-15,42.7,41.3,42.1,41.5,24.73,365884
2017-02-16,41.6,39.4,41.6,39.7,23.66,584976
2017-02-17,39.7,38.9,39.3,39.5,23.54,768946
2017-02-20,42.4,39.5,40.1,41.9,24.97,2728735
2017-02-21,43.0,40.6,43.0,40.9,24.37,423188
2017-02-22,41.1,39.7,41.1,40.3,24.02,484550
2017-02-23,39.9,34.3,39.9,35.9,21.39,5428017
2017-02-24,36.8,31.3,36.8,33.0,19.67,6416518
2017-02-27,37.6,33.0,33.0,37.6,22.41,6788109
2017-02-28,40.0,33.0,40.0,35.0,20.86,4393904
2017-03-01,35.7,34.1,35.0,34.8,20.74,2184091
2017-03-02,35.6,34.2,35.0,34.7,20.68,1200243
