Date,High,Low,Open,Close,adjust,Volume
2019-05-15,22.6,18.3,22.5,18.5,15.29,132510
2019-05-16,18.5,17.7,17.7,18.0,14.88,285180
2019-05-17,18.2,17.9,18.0,18.2,15.04,24170
2019-05-20,18.1,17.7,17.9,18.0,14.88,501554
2019-05-21,19.25,17.9,18.0,18.5,15.29,88000
2019-05-22,19.75,19.0,19.75,19.75,16.32,114490
2019-05-23,21.1,20.0,20.5,21.1,17.44,109190
2019-05-24,22.55,21.1,22.55,21.4,17.69,163430
2019-05-27,21.1,20.0,20.1,20.8,17.19,83990
2019-05-28,20.8,19.6,20.6,20.1,16.61,63270
2019-05-29,20.0,18.75,20.0,18.9,15.62,50160
2019-05-30,19.9,18.5,18.5,19.9,16.45,54800
2019-05-31,19.9,18.8,19.9,18.8,15.54,36060
2019-06-03,18.8,18.3,18.3,18.6,15.37,24310
2019-06-04,19.0,18.4,18.6,19.0,15.7,16440
2019-06-05,19.5,18.85,19.5,19.0,15.7,8380
2019-06-06,18.95,18.5,18.6,18.5,15.29,24600
2019-06-07,19.2,18.1,19.1,18.3,15.13,21380
2019-06-10,19.0,18.3,18.35,18.3,15.13,27410
2019-06-11,18.5,18.3,18.5,18.4,15.21,10810
2019-06-12,18.4,18.15,18.4,18.2,15.04,17460
2019-06-13,18.5,18.05,18.05,18.5,15.29,15490
2019-06-14,18.5,18.1,18.3,18.1,14.96,18980
2019-06-17,18.2,18.0,18.15,18.1,14.96,17370
2019-06-18,18.25,17.85,17.9,17.9,14.79,15580
2019-06-19,18.2,17.9,17.9,17.9,14.79,11380
2019-06-20,18.0,17.7,17.8,17.8,14.71,17360
2019-06-21,18.2,17.8,18.2,18.0,14.88,2780
2019-06-24,18.0,17.9,18.0,18.0,14.88,1850
2019-06-25,18.05,17.9,18.0,17.95,14.84,8760
2019-06-26,18.0,17.8,17.8,17.8,14.71,8020
2019-06-27,18.0,17.8,18.0,18.0,14.88,13540
2019-06-28,17.95,17.6,17.9,17.9,14.79,6120
2019-07-01,17.9,17.7,17.7,17.7,14.63,10130
2019-07-02,17.8,17.5,17.8,17.8,14.71,12440
2019-07-03,19.0,17.65,17.65,19.0,15.7,68320
2019-07-04,19.9,18.5,17.65,19.0,15.7,11010
